locus_id,chrom,start,end,description,genome_version
A:128103-128251,CHR_1,128103,128251,between YAL015C and YAL014C,Genome Release 64-3-1
A:129020-129269,CHR_1,129020,129269,between YAL014C and YAL013W,Genome Release 64-3-1
A:130488-130798,CHR_1,130488,130798,between YAL013W and YAL012W,Genome Release 64-3-1
A:131984-132198,CHR_1,131984,132198,between YAL012W and YAL011W,Genome Release 64-3-1
A:134077-134183,CHR_1,134077,134183,between YAL011W and YAL010C,Genome Release 64-3-1
A:135666-135853,CHR_1,135666,135853,between YAL010C and YAL009W,Genome Release 64-3-1
A:136634-136913,CHR_1,136634,136913,between YAL009W and YAL008W,Genome Release 64-3-1
A:137511-137697,CHR_1,137511,137697,between YAL008W and YAL007C,Genome Release 64-3-1
A:138346-138830,CHR_1,138346,138830,between YAL007C and YALCdelta2,Genome Release 64-3-1
A:138993-139151,CHR_1,138993,139151,between YALCdelta2 and YNCA0002W,Genome Release 64-3-1
A:139255-139502,CHR_1,139255,139502,between YNCA0002W and YAL005C,Genome Release 64-3-1
A:141432-142173,CHR_1,141432,142173,between YAL005C and YAL003W,Genome Release 64-3-1
A:143161-143706,CHR_1,143161,143706,between YAL003W and YAL002W,Genome Release 64-3-1
A:151167-151464,CHR_1,151167,151464,between YAL001C and CEN1,Genome Release 64-3-1
A:151583-152256,CHR_1,151583,152256,between CEN1 and YAR002W,Genome Release 64-3-1
A:153877-154064,CHR_1,153877,154064,between YAR002W and YAR002C-A,Genome Release 64-3-1
A:154725-155004,CHR_1,154725,155004,between YAR002C-A and YAR003W,Genome Release 64-3-1
A:156286-156753,CHR_1,156286,156753,between YAR003W and YAR007C,Genome Release 64-3-1
A:158620-158965,CHR_1,158620,158965,between YAR007C and YAR008W,Genome Release 64-3-1
A:159794-159906,CHR_1,159794,159906,between YAR008W and ARS109,Genome Release 64-3-1
A:166163-166266,CHR_1,166163,166266,between YARCTy1-1 and YNCA0004W,Genome Release 64-3-1
A:166340-166741,CHR_1,166340,166741,between YNCA0004W and YAR014C,Genome Release 64-3-1
A:168872-169374,CHR_1,168872,169374,between YAR014C and YAR015W,Genome Release 64-3-1
A:170296-170395,CHR_1,170296,170395,between YAR015W and YAR018C,Genome Release 64-3-1
A:171704-172210,CHR_1,171704,172210,between YAR018C and YAR019C,Genome Release 64-3-1
A:175331-176156,CHR_1,175331,176156,between YAR019W-A and ARS110,Genome Release 64-3-1
A:176405-176855,CHR_1,176405,176855,between ARS110 and YAR020C,Genome Release 64-3-1
A:177024-179280,CHR_1,177024,179280,between YAR020C and YAR023C,Genome Release 64-3-1
A:179821-181140,CHR_1,179821,181140,between YAR023C and YNCA0005W,Genome Release 64-3-1
A:181255-182521,CHR_1,181255,182521,between YNCA0005W and YNCA0006C,Genome Release 64-3-1
A:182604-182619,CHR_1,182604,182619,between YNCA0006C and YARWsigma1,Genome Release 64-3-1
A:182960-183141,CHR_1,182960,183141,between YARWsigma1 and YARWdelta6,Genome Release 64-3-1
A:183475-183769,CHR_1,183475,183769,between YARWdelta6 and YAR027W,Genome Release 64-3-1
A:184478-184891,CHR_1,184478,184891,between YAR027W and YAR028W,Genome Release 64-3-1
A:185597-186320,CHR_1,185597,186320,between YAR028W and YAR029W,Genome Release 64-3-1
A:187733-188106,CHR_1,187733,188106,between YAR031W and YAR033W,Genome Release 64-3-1
A:188812-189425,CHR_1,188812,189425,between YAR033W and YARWdelta7,Genome Release 64-3-1
A:189758-190192,CHR_1,189758,190192,between YARWdelta7 and YAR035W,Genome Release 64-3-1
A:192257-192336,CHR_1,192257,192336,between YAR035W and YAR035C-A,Genome Release 64-3-1
A:192418-192618,CHR_1,192418,192618,between YAR035C-A and YAR042W,Genome Release 64-3-1
A:196186-201466,CHR_1,196186,201466,between YAR042W and YAR047C,Genome Release 64-3-1
A:201788-203402,CHR_1,201788,203402,between YAR047C and YAR050W,Genome Release 64-3-1
A:208017-208366,CHR_1,208017,208366,between YAR050W and YAR053W,Genome Release 64-3-1
A:208664-209447,CHR_1,208664,209447,between YAR053W and YARCdelta8,Genome Release 64-3-1
A:209779-214887,CHR_1,209779,214887,between YARCdelta8 and ARS111,Genome Release 64-3-1
A:215645-217156,CHR_1,215645,217156,between ARS111 and YAR060C,Genome Release 64-3-1
A:217493-218139,CHR_1,217493,218139,between YAR060C and YAR061W,Genome Release 64-3-1
A:219146-220197,CHR_1,219146,220197,between YAR061W and YAR064W,Genome Release 64-3-1
A:220498-221048,CHR_1,220498,221048,between YAR064W and YAR066W,Genome Release 64-3-1
A:221661-222405,CHR_1,221661,222405,between YAR066W and YAR068W,Genome Release 64-3-1
A:224305-224562,CHR_1,224305,224562,between YAR069C and YAR070C,Genome Release 64-3-1
A:224863-225459,CHR_1,224863,225459,between YAR070C and YAR071W,Genome Release 64-3-1
A:226864-227741,CHR_1,226864,227741,between YAR071W and YAR073W,Genome Release 64-3-1
A:229318-229410,CHR_1,229318,229410,between YAR075W and TEL01R,Genome Release 64-3-1
B:6621-7604,CHR_2,6621,7604,between ARS201 and YBL108C-A,Genome Release 64-3-1
B:7734-8176,CHR_2,7734,8176,between YBL108C-A and YBL108W,Genome Release 64-3-1
B:8483-8847,CHR_2,8483,8847,between YBL108W and YBLWdelta1,Genome Release 64-3-1
B:9519-9582,CHR_2,9519,9582,between YBLWdelta3 and YNCB0001W,Genome Release 64-3-1
B:9667-9960,CHR_2,9667,9960,between YNCB0001W and YBL107C,Genome Release 64-3-1
B:10552-10846,CHR_2,10552,10846,between YBL107C and YBL106C,Genome Release 64-3-1
B:13880-14240,CHR_2,13880,14240,between YBL106C and YBL105C,Genome Release 64-3-1
B:17697-18176,CHR_2,17697,18176,between YBL105C and YBL104C,Genome Release 64-3-1
B:21294-22075,CHR_2,21294,22075,between YBL104C and YBL103C,Genome Release 64-3-1
B:23537-24097,CHR_2,23537,24097,between YBL103C and YBL102W,Genome Release 64-3-1
B:24746-24945,CHR_2,24746,24945,between YBL102W and YBL101C,Genome Release 64-3-1
B:28300-28426,CHR_2,28300,28426,between YBL101C and YBL100W-C,Genome Release 64-3-1
B:28547-28941,CHR_2,28547,28941,between YBL100W-C and ARS230,Genome Release 64-3-1
B:29161-29643,CHR_2,29161,29643,between ARS230 and YBLWdelta4,Genome Release 64-3-1
B:35797-35850,CHR_2,35797,35850,between YBLWdelta6 and YBLCtau1,Genome Release 64-3-1
B:36222-36397,CHR_2,36222,36397,between YBLCtau1 and YNCB0002W,Genome Release 64-3-1
B:36489-36988,CHR_2,36489,36988,between YNCB0002W and YBL100C,Genome Release 64-3-1
B:38691-39144,CHR_2,38691,39144,between YBL099W and YBL098W,Genome Release 64-3-1
B:40528-40830,CHR_2,40528,40830,between YBL098W and YBL097W,Genome Release 64-3-1
B:43096-43173,CHR_2,43096,43173,between YBL097W and YBL096C,Genome Release 64-3-1
B:44098-44255,CHR_2,44098,44255,between YBL094C and YBL093C,Genome Release 64-3-1
B:44919-45977,CHR_2,44919,45977,between YBL093C and YBL092W,Genome Release 64-3-1
B:46371-46564,CHR_2,46371,46564,between YBL092W and YBL091C-A,Genome Release 64-3-1
B:47181-47362,CHR_2,47181,47362,between YBL091C-A and YBL091C,Genome Release 64-3-1
B:48629-48824,CHR_2,48629,48824,between YBL091C and YBL090W,Genome Release 64-3-1
B:49359-49573,CHR_2,49359,49573,between YBL090W and YBL089W,Genome Release 64-3-1
B:50954-51018,CHR_2,50954,51018,between YBL089W and YBL088C,Genome Release 64-3-1
B:59383-59821,CHR_2,59383,59821,between YBL088C and YBL087C,Genome Release 64-3-1
B:60740-61201,CHR_2,60740,61201,between YBL087C and YBL086C,Genome Release 64-3-1
B:62603-63258,CHR_2,62603,63258,between YBL086C and ARS202,Genome Release 64-3-1
B:63382-63875,CHR_2,63382,63875,between ARS202 and YBL085W,Genome Release 64-3-1
B:66819-67168,CHR_2,66819,67168,between YBL085W and YBL084C,Genome Release 64-3-1
B:69446-69712,CHR_2,69446,69712,between YBL084C and YBL083C,Genome Release 64-3-1
B:71128-71865,CHR_2,71128,71865,between YBL082C and YBL081W,Genome Release 64-3-1
B:72973-73069,CHR_2,72973,73069,between YBL081W and YBL080C,Genome Release 64-3-1
B:74696-75258,CHR_2,74696,75258,between YBL080C and YBL079W,Genome Release 64-3-1
B:79768-80377,CHR_2,79768,80377,between YBL079W and YBL078C,Genome Release 64-3-1
B:80732-80896,CHR_2,80732,80896,between YBL078C and YBL077W,Genome Release 64-3-1
B:84262-84498,CHR_2,84262,84498,between YBL076C and YBL075C,Genome Release 64-3-1
B:86449-86721,CHR_2,86449,86721,between YBL075C and YBL074C,Genome Release 64-3-1
B:87958-88189,CHR_2,87958,88189,between YBL073W and YNCB0003W,Genome Release 64-3-1
B:88278-88522,CHR_2,88278,88522,between YNCB0003W and YBL072C,Genome Release 64-3-1
B:89126-89457,CHR_2,89126,89457,between YBL072C and YBL071C-B,Genome Release 64-3-1
B:89557-89977,CHR_2,89557,89977,between YBL071C-B and YBL071W-A,Genome Release 64-3-1
B:90532-90604,CHR_2,90532,90604,between YBL071C and YBL070C,Genome Release 64-3-1
B:92031-92413,CHR_2,92031,92413,between YBL069W and YBL068W,Genome Release 64-3-1
B:93395-93434,CHR_2,93395,93434,between YBL068W and ARS203,Genome Release 64-3-1
B:93520-93638,CHR_2,93520,93638,between ARS203 and YBL067C,Genome Release 64-3-1
B:95883-96668,CHR_2,95883,96668,between YBL067C and YBL066C,Genome Release 64-3-1
B:100308-100370,CHR_2,100308,100370,between YBL065W and YBL064C,Genome Release 64-3-1
B:101157-101885,CHR_2,101157,101885,between YBL064C and YBL063W,Genome Release 64-3-1
B:105222-105307,CHR_2,105222,105307,between YBL063W and YBL062W,Genome Release 64-3-1
B:107407-107931,CHR_2,107407,107931,between YBL061C and YBL060W,Genome Release 64-3-1
B:109996-110124,CHR_2,109996,110124,between YBL060W and YBL059C-A,Genome Release 64-3-1
B:110540-110593,CHR_2,110540,110593,between YBL059C-A and YBL059W,Genome Release 64-3-1
B:111245-111436,CHR_2,111245,111436,between YBL059W and YBL058W,Genome Release 64-3-1
B:112709-112800,CHR_2,112709,112800,between YBL058W and YBL057C,Genome Release 64-3-1
B:113428-113761,CHR_2,113428,113761,between YBL057C and YBL056W,Genome Release 64-3-1
B:115169-115572,CHR_2,115169,115572,between YBL056W and YBL055C,Genome Release 64-3-1
B:116830-117588,CHR_2,116830,117588,between YBL055C and YBL054W,Genome Release 64-3-1
B:119167-119334,CHR_2,119167,119334,between YBL054W and YBL053W,Genome Release 64-3-1
B:121875-122752,CHR_2,121875,122752,between YBL052C and YBL051C,Genome Release 64-3-1
B:124760-125124,CHR_2,124760,125124,between YBL051C and YBL050W,Genome Release 64-3-1
B:126120-126827,CHR_2,126120,126827,between YBL050W and YBL049W,Genome Release 64-3-1
B:127245-127298,CHR_2,127245,127298,between YBL049W and YBL048W,Genome Release 64-3-1
B:127611-127894,CHR_2,127611,127894,between YBL048W and YBL047C,Genome Release 64-3-1
B:132041-132423,CHR_2,132041,132423,between YBL047C and YBL046W,Genome Release 64-3-1
B:133750-134142,CHR_2,133750,134142,between YBL046W and YBL045C,Genome Release 64-3-1
B:135517-135997,CHR_2,135517,135997,between YBL045C and YBL044W,Genome Release 64-3-1
B:136367-136687,CHR_2,136367,136687,between YBL044W and YBL043W,Genome Release 64-3-1
B:137462-138340,CHR_2,137462,138340,between YBL043W and YBL042C,Genome Release 64-3-1
B:140261-141246,CHR_2,140261,141246,between YBL042C and YBL041W,Genome Release 64-3-1
B:141973-142111,CHR_2,141973,142111,between YBL041W and YBL040C,Genome Release 64-3-1
B:142869-143392,CHR_2,142869,143392,between YBL040C and YBL039W-B,Genome Release 64-3-1
B:143573-143657,CHR_2,143573,143657,between YBL039W-B and ARS206,Genome Release 64-3-1
B:143746-143988,CHR_2,143746,143988,between ARS206 and YBL039C,Genome Release 64-3-1
B:145729-146186,CHR_2,145729,146186,between YBL039C and YBL038W,Genome Release 64-3-1
B:146886-147208,CHR_2,146886,147208,between YBL038W and YBL037W,Genome Release 64-3-1
B:150287-150446,CHR_2,150287,150446,between YBL037W and YBL036C,Genome Release 64-3-1
B:151221-151492,CHR_2,151221,151492,between YBL036C and YBL035C,Genome Release 64-3-1
B:153611-153847,CHR_2,153611,153847,between YBL035C and YBL034C,Genome Release 64-3-1
B:158390-158655,CHR_2,158390,158655,between YBL034C and YBL033C,Genome Release 64-3-1
B:159694-160183,CHR_2,159694,160183,between YBL033C and YBL032W,Genome Release 64-3-1
B:161330-161698,CHR_2,161330,161698,between YBL032W and YBL031W,Genome Release 64-3-1
B:162716-163040,CHR_2,162716,163040,between YBL031W and YBL030C,Genome Release 64-3-1
B:163998-164487,CHR_2,163998,164487,between YBL030C and YBL029C-A,Genome Release 64-3-1
B:164773-166133,CHR_2,164773,166133,between YBL029C-A and YBL029W,Genome Release 64-3-1
B:167265-167517,CHR_2,167265,167517,between YBL029W and YBL028C,Genome Release 64-3-1
B:167839-168422,CHR_2,167839,168422,between YBL028C and YBL027W,Genome Release 64-3-1
B:169377-170172,CHR_2,169377,170172,between YBL027W and ARS207,Genome Release 64-3-1
B:170280-170622,CHR_2,170280,170622,between ARS207 and YBL026W,Genome Release 64-3-1
B:171039-171480,CHR_2,171039,171480,between YBL026W and YBL025W,Genome Release 64-3-1
B:171919-172533,CHR_2,171919,172533,between YBL025W and YBL024W,Genome Release 64-3-1
B:174589-174919,CHR_2,174589,174919,between YBL024W and YBL023C,Genome Release 64-3-1
B:177527-177873,CHR_2,177527,177873,between YBL023C and YBL022C,Genome Release 64-3-1
B:181276-181659,CHR_2,181276,181659,between YBL022C and YBL021C,Genome Release 64-3-1
B:182095-182400,CHR_2,182095,182400,between YBL021C and YBL020W,Genome Release 64-3-1
B:184126-184352,CHR_2,184126,184352,between YBL020W and YBL019W,Genome Release 64-3-1
B:185916-185997,CHR_2,185916,185997,between YBL019W and YBL018C,Genome Release 64-3-1
B:186475-186843,CHR_2,186475,186843,between YBL018C and YBL017C,Genome Release 64-3-1
B:191584-192450,CHR_2,191584,192450,between YBL017C and YBL016W,Genome Release 64-3-1
B:193513-194121,CHR_2,193513,194121,between YBL016W and YBL015W,Genome Release 64-3-1
B:195703-197015,CHR_2,195703,197015,between YBL015W and YBLCdelta7,Genome Release 64-3-1
B:197321-197493,CHR_2,197321,197493,between YBLCdelta7 and YNCB0004W,Genome Release 64-3-1
B:197568-197628,CHR_2,197568,197628,between YNCB0004W and YNCB0005C,Genome Release 64-3-1
B:197700-197713,CHR_2,197700,197713,between YNCB0005C and YBLWsigma1,Genome Release 64-3-1
B:198055-198312,CHR_2,198055,198312,between YBLWsigma1 and ARS231,Genome Release 64-3-1
B:198474-199063,CHR_2,198474,199063,between ARS231 and YBL014C,Genome Release 64-3-1
B:201749-202055,CHR_2,201749,202055,between YBL014C and YBL013W,Genome Release 64-3-1
B:203262-203405,CHR_2,203262,203405,between YBL013W and YBL012C,Genome Release 64-3-1
B:205818-206106,CHR_2,205818,206106,between YBL011W and YBL010C,Genome Release 64-3-1
B:206950-207193,CHR_2,206950,207193,between YBL010C and YBL009W,Genome Release 64-3-1
B:209225-209408,CHR_2,209225,209408,between YBL009W and YBL008W-A,Genome Release 64-3-1
B:209649-209652,CHR_2,209649,209652,between YBL008W-A and YBL008W,Genome Release 64-3-1
B:212176-212631,CHR_2,212176,212631,between YBL008W and YBL007C,Genome Release 64-3-1
B:216367-216586,CHR_2,216367,216586,between YBL007C and YBL006C,Genome Release 64-3-1
B:217130-217469,CHR_2,217130,217469,between YBL006C and YBL005W,Genome Release 64-3-1
B:220401-220894,CHR_2,220401,220894,between YBL005W and YBLWdelta8,Genome Release 64-3-1
B:226953-227074,CHR_2,226953,227074,between YBLWTy1-1 and YNCB0006W,Genome Release 64-3-1
B:227157-227635,CHR_2,227157,227635,between YNCB0006W and YBL004W,Genome Release 64-3-1
B:235118-235393,CHR_2,235118,235393,between YBL004W and YBL003C,Genome Release 64-3-1
B:235793-236491,CHR_2,235793,236491,between YBL003C and YBL002W,Genome Release 64-3-1
B:236888-237152,CHR_2,236888,237152,between YBL002W and YBL001C,Genome Release 64-3-1
B:237468-237786,CHR_2,237468,237786,between YBL001C and ARS208,Genome Release 64-3-1
B:237901-238206,CHR_2,237901,238206,between ARS208 and CEN2,Genome Release 64-3-1
B:238324-238940,CHR_2,238324,238940,between CEN2 and YBR001C,Genome Release 64-3-1
B:241284-241707,CHR_2,241284,241707,between YBR001C and YBR002C,Genome Release 64-3-1
B:242569-242808,CHR_2,242569,242808,between YBR002C and YBR003W,Genome Release 64-3-1
B:244231-244365,CHR_2,244231,244365,between YBR003W and YBR004C,Genome Release 64-3-1
B:245668-245905,CHR_2,245668,245905,between YBR004C and YBR005W,Genome Release 64-3-1
B:246548-247009,CHR_2,246548,247009,between YBR005W and YBR006W,Genome Release 64-3-1
B:248504-248805,CHR_2,248504,248805,between YBR006W and YBR007C,Genome Release 64-3-1
B:251017-252562,CHR_2,251017,252562,between YBR007C and YBR008C,Genome Release 64-3-1
B:254210-254997,CHR_2,254210,254997,between YBR008C and ARS209,Genome Release 64-3-1
B:255084-255372,CHR_2,255084,255372,between ARS209 and YBR009C,Genome Release 64-3-1
B:255685-256330,CHR_2,255685,256330,between YBR009C and YBR010W,Genome Release 64-3-1
B:256742-257111,CHR_2,256742,257111,between YBR010W and YBR011C,Genome Release 64-3-1
B:257976-258669,CHR_2,257976,258669,between YBR011C and YBRCdelta11,Genome Release 64-3-1
B:258977-259146,CHR_2,258977,259146,between YBRCdelta11 and YBR012C,Genome Release 64-3-1
B:259567-259577,CHR_2,259567,259577,between YBR012C and YBRWdelta12,Genome Release 64-3-1
B:265882-266177,CHR_2,265882,266177,between YBR013C and YBRCdelta14,Genome Release 64-3-1
B:266257-266377,CHR_2,266257,266377,between YBRCdelta14 and YNCB0007W,Genome Release 64-3-1
B:266451-266724,CHR_2,266451,266724,between YNCB0007W and YBR014C,Genome Release 64-3-1
B:267337-267709,CHR_2,267337,267709,between YBR014C and YBR015C,Genome Release 64-3-1
B:269504-270246,CHR_2,269504,270246,between YBR015C and YBR016W,Genome Release 64-3-1
B:270634-270946,CHR_2,270634,270946,between YBR016W and YBR017C,Genome Release 64-3-1
B:273704-274426,CHR_2,273704,274426,between YBR017C and YBR018C,Genome Release 64-3-1
B:275528-276252,CHR_2,275528,276252,between YBR018C and YBR019C,Genome Release 64-3-1
B:280646-281442,CHR_2,280646,281442,between YNCB0008W and YBR021W,Genome Release 64-3-1
B:283345-283737,CHR_2,283345,283737,between YBR021W and YBR022W,Genome Release 64-3-1
B:284272-284427,CHR_2,284272,284427,between YBR022W and YBR023C,Genome Release 64-3-1
B:287926-289444,CHR_2,287926,289444,between YBR023C and YBR024W,Genome Release 64-3-1
B:290351-290680,CHR_2,290351,290680,between YBR024W and YBR025C,Genome Release 64-3-1
B:291866-292876,CHR_2,291866,292876,between YBR025C and YBR026C,Genome Release 64-3-1
B:294020-294023,CHR_2,294020,294023,between YBR026C and YBR027C,Genome Release 64-3-1
B:294357-294424,CHR_2,294357,294424,between YBR027C and YBR028C,Genome Release 64-3-1
B:296003-296368,CHR_2,296003,296368,between YBR028C and YBR029C,Genome Release 64-3-1
B:297743-298291,CHR_2,297743,298291,between YBR029C and YBR030W,Genome Release 64-3-1
B:299951-300165,CHR_2,299951,300165,between YBR030W and YBR031W,Genome Release 64-3-1
B:301255-301518,CHR_2,301255,301518,between YBR031W and YBR032W,Genome Release 64-3-1
B:301822-301943,CHR_2,301822,301943,between YBR032W and YBR033W,Genome Release 64-3-1
B:304704-304929,CHR_2,304704,304929,between YBR033W and YBR034C,Genome Release 64-3-1
B:305977-306268,CHR_2,305977,306268,between YBR034C and YBR035C,Genome Release 64-3-1
B:306956-307184,CHR_2,306956,307184,between YBR035C and YNCB0009C,Genome Release 64-3-1
B:307346-307586,CHR_2,307346,307586,between YNCB0009C and YNCB0010W,Genome Release 64-3-1
B:308888-309080,CHR_2,308888,309080,between YNCB0010W and YBR036C,Genome Release 64-3-1
B:310314-310564,CHR_2,310314,310564,between YBR036C and YBR037C,Genome Release 64-3-1
B:311453-311897,CHR_2,311453,311897,between YBR037C and YBR038W,Genome Release 64-3-1
B:314790-315574,CHR_2,314790,315574,between YBR038W and YBR039W,Genome Release 64-3-1
B:316511-316967,CHR_2,316511,316967,between YBR039W and YBR040W,Genome Release 64-3-1
B:317865-318265,CHR_2,317865,318265,between YBR040W and YBR041W,Genome Release 64-3-1
B:320276-320415,CHR_2,320276,320415,between YBR041W and YBR042C,Genome Release 64-3-1
B:321610-321875,CHR_2,321610,321875,between YBR042C and YBR043C,Genome Release 64-3-1
B:323946-324340,CHR_2,323946,324340,between YBR043C and YBR044C,Genome Release 64-3-1
B:326060-326139,CHR_2,326060,326139,between YBR044C and ARS211,Genome Release 64-3-1
B:326376-326791,CHR_2,326376,326791,between ARS211 and YNCB0011C,Genome Release 64-3-1
B:326866-327068,CHR_2,326866,327068,between YNCB0011C and YBRWdelta15,Genome Release 64-3-1
B:327705-328172,CHR_2,327705,328172,between YBRWdelta16 and YBR045C,Genome Release 64-3-1
B:330093-330506,CHR_2,330093,330506,between YBR045C and YBR046C,Genome Release 64-3-1
B:331512-331832,CHR_2,331512,331832,between YBR046C and YBR047W,Genome Release 64-3-1
B:332361-332830,CHR_2,332361,332830,between YBR047W and YBR048W,Genome Release 64-3-1
B:333813-334385,CHR_2,333813,334385,between YBR048W and YBR049C,Genome Release 64-3-1
B:336819-337182,CHR_2,336819,337182,between YBR049C and YBR050C,Genome Release 64-3-1
B:338339-338719,CHR_2,338339,338719,between YBR051W and YBR052C,Genome Release 64-3-1
B:339353-339674,CHR_2,339353,339674,between YBR052C and YBR053C,Genome Release 64-3-1
B:340752-343100,CHR_2,340752,343100,between YBR053C and YBR054W,Genome Release 64-3-1
B:344136-344601,CHR_2,344136,344601,between YBR054W and YBR055C,Genome Release 64-3-1
B:347302-347602,CHR_2,347302,347602,between YBR055C and YNCB0012W,Genome Release 64-3-1
B:347687-347878,CHR_2,347687,347878,between YNCB0012W and YBR056W,Genome Release 64-3-1
B:349385-350458,CHR_2,349385,350458,between YBR056W and YBRWdelta17,Genome Release 64-3-1
