locus_id,name,sgd_id,genome_annotations,chrom,start,end,description,genome_version
ARS211,ARS211,SGDID:S000118347,ARS,CHR_2,326140,326375,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YBRWdelta15,YBRWdelta15,SGDID:S000006817,long_terminal_repeat,CHR_2,327069,327394,"""Ty1 LTR""",Genome Release 64-3-1
YBRWdelta16,YBRWdelta16,SGDID:S000006818,long_terminal_repeat,CHR_2,327390,327704,"""Ty1 LTR""",Genome Release 64-3-1
YBRWdelta17,YBRWdelta17,SGDID:S000006819,long_terminal_repeat,CHR_2,350459,350751,"""Ty1 LTR""",Genome Release 64-3-1
ARS212,ARS212,SGDID:S000130151,ARS,CHR_2,379221,379912,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS213,ARS213,SGDID:S000130152,ARS,CHR_2,389212,390371,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS214,ARS214,SGDID:S000118348,ARS,CHR_2,407953,408068,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS215,ARS215,SGDID:S000118349,ARS,CHR_2,417784,418079,"""Autonomously Replicating Sequence; replication origin of very weak function""",Genome Release 64-3-1
ARS216,ARS216,SGDID:S000118350,ARS,CHR_2,486707,486954,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS217,ARS217,SGDID:S000178050,ARS,CHR_2,517185,517386,"""Autonomously replicating sequence""",Genome Release 64-3-1
ETC8,ETC8,SGDID:S000077079,matrix_attachment_site,CHR_2,549229,549251,"""Chromosome-organizing-clamp; tethers chromosomal regions to the nuclear periphery; binds TFIIIC transcription factor but does not recruit RNA Polymerase III; can act as a transcription-blocking insulator or as a heterochromatin barrier element; located between divergently transcribed genes RPB5 and CNS1""",Genome Release 64-3-1
ARS220,ARS220,SGDID:S000118351,ARS,CHR_2,622671,622939,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS221,ARS221,SGDID:S000130153,ARS,CHR_2,631939,632251,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YBRCtau2,YBRCtau2,SGDID:S000006820,reverse complement,CHR_2,643488,643858,"""Ty4 LTR""",Genome Release 64-3-1
YBRWdelta18,YBRWdelta18,SGDID:S000006812,long_terminal_repeat,CHR_2,643859,644002,"""Ty1 LTR""",Genome Release 64-3-1
YBRCdelta19,YBRCdelta19,SGDID:S000006813,reverse complement,CHR_2,644362,644603,"""Ty1 LTR""",Genome Release 64-3-1
ARS222,ARS222,SGDID:S000118352,ARS,CHR_2,704296,704566,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS224,ARS224,SGDID:S000118353,ARS,CHR_2,741681,741797,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS225,ARS225,SGDID:S000118354,ARS,CHR_2,757437,757667,"""Autonomously Replicating Sequence; replication origin of very weak function""",Genome Release 64-3-1
ARS228,ARS228,SGDID:S000118355,ARS,CHR_2,792218,792310,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
TEL02R,TEL02R,SGDID:S000028940,telomere,CHR_2,812379,813184,"""Telomeric region on the right arm of Chromosome II; composed of an X element core sequence ; X element combinatorial repeats ; and a short terminal stretch of telomeric repeats""",Genome Release 64-3-1
TEL03L,TEL03L,SGDID:S000028871,reverse complement,CHR_3,1,1098,"""Telomeric region on the left arm of Chromosome III; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",Genome Release 64-3-1
ARS300,ARS300,SGDID:S000028476,ARS,CHR_3,989,1068,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YCLWomega1,YCLWomega1,SGDID:S000006828,long_terminal_repeat,CHR_3,1179,1429,"""Ty5 LTR""",Genome Release 64-3-1
YCLWTy5-1,YCLWTy5-1,SGDID:S000006831,LTR_retrotransposon,CHR_3,1179,4322,"""Ty5 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; this is the only near-full length Ty5 retrotransposon in S288C and it is non-functional""",Genome Release 64-3-1
YCLWomega2,YCLWomega2,SGDID:S000006829,long_terminal_repeat,CHR_3,4073,4322,"""Ty5 LTR""",Genome Release 64-3-1
ARS301,ARS301,SGDID:S000028477,ARS,CHR_3,11146,11401,"""Inactive replication origin linked to the silent mating type locus HML; functions as a transcriptional silencer""",Genome Release 64-3-1
HML,HML,SGDID:S000029214,silent_mating_type_cassette_array,CHR_3,11146,14849,"""Mating type cassette - left; unexpressed complete copy of the mating-type genes ; silenced by the Sir2 histone deacetylase and its associated SIR1 ; SIR3 and SIR4 proteins; mating-type switching involves replacement of the Ya or Yalpha sequences present at the MAT locus with either the a or alpha genes located at one of the HM loci in a process stimulated by the HO endonuclease; sequence replacement occurs by gene conversion ; leaving the donor unaltered""",Genome Release 64-3-1
ARS302,ARS302,SGDID:S000028478,ARS,CHR_3,14575,14849,"""Inactive replication origin linked to the silent mating type locus HML; functions as a transcriptional silencer""",Genome Release 64-3-1
ARS303,ARS303,SGDID:S000028479,ARS,CHR_3,14871,15213,"""Autonomously Replicating Sequence on Chromosome III; inactive as replication origin at native locus near HML""",Genome Release 64-3-1
ARS320,ARS320,SGDID:S000028480,ARS,CHR_3,15214,16274,"""Autonomously Replicating Sequence on Chromosome III; inactive as replication origin at native locus near HML""",Genome Release 64-3-1
RE301,RE,SGDID:S000303804,recombination_enhancer,CHR_3,29108,29809,"""Orientation-independent ; cis-acting region that controls mating-type dependent recombination along entire left arm of ChrIII""",Genome Release 64-3-1
ARS304,ARS304,SGDID:S000028481,ARS,CHR_3,30200,30657,"""Autonomously Replicating Sequence on Chromosome III""",Genome Release 64-3-1
ARS305,ARS305,SGDID:S000028482,ARS,CHR_3,39508,39595,"""Efficient early-firing replication origin on Chromosome III""",Genome Release 64-3-1
ARS306,ARS306,SGDID:S000028483,ARS,CHR_3,74458,74677,"""Early-firing autonomously replicating sequence on Chromosome III""",Genome Release 64-3-1
YCLWdelta15,YCLWdelta15,SGDID:S000126593,long_terminal_repeat,CHR_3,82700,83036,"""Ty1 LTR""",Genome Release 64-3-1
YCLCdelta1,YCLCdelta1,SGDID:S000006822,reverse complement,CHR_3,83055,83194,"""Ty1 LTR""",Genome Release 64-3-1
YCLWdelta2a,YCLWdelta2a,SGDID:S000006823,long_terminal_repeat,CHR_3,84069,84294,"""Ty1 LTR""",Genome Release 64-3-1
YCLWdelta3,YCLWdelta3,SGDID:S000006825,long_terminal_repeat,CHR_3,84295,84626,"""Ty1 LTR""",Genome Release 64-3-1
YCLWdelta2b,YCLWdelta2b,SGDID:S000006824,long_terminal_repeat,CHR_3,84630,84718,"""Ty1 LTR""",Genome Release 64-3-1
YCLWdelta4,YCLWdelta4,SGDID:S000006826,long_terminal_repeat,CHR_3,84811,85142,"""Ty2 LTR""",Genome Release 64-3-1
YCLWTy2-1,YCLWTy2-1,SGDID:S000006830,LTR_retrotransposon,CHR_3,84811,90769,"""Ty2 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats""",Genome Release 64-3-1
YCLWdelta5,YCLWdelta5,SGDID:S000006827,long_terminal_repeat,CHR_3,90438,90769,"""Ty2 LTR""",Genome Release 64-3-1
ARS307,ARS307,SGDID:S000028484,ARS,CHR_3,108727,109060,"""Autonomously Replicating Sequence on Chromosome III""",Genome Release 64-3-1
ARS308,ARS308,SGDID:S000028485,ARS,CHR_3,114321,114939,"""Autonomously Replicating Sequence on Chromosome III""",Genome Release 64-3-1
CEN3,CEN3,SGDID:S000006465,centromere,CHR_3,114385,114501,"""Chromosome III centromere""",Genome Release 64-3-1
YCRCdelta6,YCRCdelta6,SGDID:S000006832,reverse complement,CHR_3,124134,124465,"""Ty1 LTR""",Genome Release 64-3-1
ARS309,ARS309,SGDID:S000028486,ARS,CHR_3,132043,132120,"""Autonomously Replicating Sequence on Chromosome III""",Genome Release 64-3-1
YCRCdelta7,YCRCdelta7,SGDID:S000006833,reverse complement,CHR_3,142758,143080,"""Ty1 LTR""",Genome Release 64-3-1
YCRWdelta8,YCRWdelta8,SGDID:S000006835,long_terminal_repeat,CHR_3,149482,149809,"""Ty1 LTR""",Genome Release 64-3-1
YCRWdelta9,YCRWdelta9,SGDID:S000006836,long_terminal_repeat,CHR_3,150220,150551,"""Ty1 LTR""",Genome Release 64-3-1
YCRCtau1,YCRCtau1,SGDID:S000007429,reverse complement,CHR_3,150695,151055,"""Ty4 LTR""",Genome Release 64-3-1
YCRWdelta10,YCRWdelta10,SGDID:S000006837,long_terminal_repeat,CHR_3,151521,151851,"""Ty1 LTR""",Genome Release 64-3-1
ARS310,ARS310,SGDID:S000028487,ARS,CHR_3,166503,167348,"""Compound autonomously replicating sequence on Chromosome III""",Genome Release 64-3-1
YCRWdelta11,YCRWdelta11,SGDID:S000006838,long_terminal_repeat,CHR_3,169573,169888,"""Ty1 LTR""",Genome Release 64-3-1
ARS313,ARS313,SGDID:S000028488,ARS,CHR_3,194308,194367,"""Autonomously Replicating Sequence on Chromosome III""",Genome Release 64-3-1
ARS314,ARS314,SGDID:S000028489,ARS,CHR_3,197460,197598,"""Autonomously Replicating Sequence on Chromosome III; active in <10% of cell cycles""",Genome Release 64-3-1
MATALPHA,MATALPHA,SGDID:S000029699,mating_type_region,CHR_3,198671,201177,"""Mating type locus; note that the systematic sequence in SGD contains MATalpha sequences""",Genome Release 64-3-1
ARS315,ARS315,SGDID:S000028490,ARS,CHR_3,224816,225061,"""Highly-active autonomously replicating sequence; initiates replication in ~90% of cell cycles""",Genome Release 64-3-1
ARS316,ARS316,SGDID:S000028491,ARS,CHR_3,272852,273095,"""Inefficient autonomously replicating sequence; active in ~25% of cell cycles""",Genome Release 64-3-1
YCRWdelta12,YCRWdelta12,SGDID:S000006839,long_terminal_repeat,CHR_3,291373,291712,"""Ty1 LTR""",Genome Release 64-3-1
YCRWomega3,YCRWomega3,SGDID:S000006841,long_terminal_repeat,CHR_3,291922,292167,"""Ty5 LTR""",Genome Release 64-3-1
HMR,HMR,SGDID:S000029655,silent_mating_type_cassette_array,CHR_3,292388,295034,"""Mating-type cassette - right; unexpressed complete copy of the mating-type genes ; silenced by the Sir2 histone deacetylase and its associated SIR1 ; SIR3 and SIR4 proteins; mating-type switching involves replacement of the Ya or Yalpha sequences present at the MAT locus with either the a or alpha genes located at one of the HM loci in a process stimulated by the HO endonuclease; sequence replacement occurs by gene conversion ; leaving the donor unaltered""",Genome Release 64-3-1
ARS317,ARS317,SGDID:S000028492,ARS,CHR_3,292638,292694,"""ARS that fires extremely inefficiently and late during S phase; fires late and inefficiently compared to other origins in the genome; active in only a small fraction of cell cycles""",Genome Release 64-3-1
ARS318,ARS318,SGDID:S000028493,ARS,CHR_3,294820,294901,"""ARS that becomes active if the nearby ARS317/HMR-E silencer is deleted; active in only a small fraction of cell cycles""",Genome Release 64-3-1
YCRWdelta13,YCRWdelta13,SGDID:S000006840,long_terminal_repeat,CHR_3,295003,295330,"""Ty1 LTR""",Genome Release 64-3-1
YCRCdelta14,YCRCdelta14,SGDID:S000006834,reverse complement,CHR_3,295958,296190,"""Ty1 LTR""",Genome Release 64-3-1
TEL03R,TEL03R,SGDID:S000028944,telomere,CHR_3,315783,316620,"""Telomeric region on the right arm of Chromosome III; composed of an X element core sequence ; X element combinatorial repeats ; and a short terminal stretch of telomeric repeats""",Genome Release 64-3-1
ARS319,ARS319,SGDID:S000028494,ARS,CHR_3,315807,315879,"""Highly-active subtelomeric autonomously replicating sequence; initiates replication in ~90% of cell cycles""",Genome Release 64-3-1
TEL04L,TEL04L,SGDID:S000028875,reverse complement,CHR_4,1,904,"""Telomeric region on the left arm of Chromosome IV; composed of an X element core sequence ; X element combinatorial repeats ; and a terminal stretch of telomeric repeats""",Genome Release 64-3-1
ARS400,ARS400,SGDID:S000121226,ARS,CHR_4,137,1392,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS403,ARS403,SGDID:S000118427,ARS,CHR_4,15493,15739,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS404,ARS404,SGDID:S000114787,ARS,CHR_4,46185,46237,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS405,ARS405,SGDID:S000118428,ARS,CHR_4,85945,86176,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS406,ARS406,SGDID:S000118429,ARS,CHR_4,123617,123901,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
VDE,VDE,SGDID:S000029636,intein_encoding_region,CHR_4,127636,129000,"""Vma1p derived endonuclease; a 50 kDa intein derived from the self-splicing of amino acid residues 284-738 of the VMA1 primary translation product; has endonuclease activity and cleaves at the VMA1 gene to stimulate gene conversion during meiosis""",Genome Release 64-3-1
ARS409,ARS409,SGDID:S000118430,ARS,CHR_4,212519,212618,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS409.5,ARS409.5,SGDID:S000178064,ARS,CHR_4,235937,236185,"""Strong autonomously replicating sequence""",Genome Release 64-3-1
ARS410,ARS410,SGDID:S000118431,ARS,CHR_4,253791,254039,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS411,ARS411,SGDID:S000130171,ARS,CHR_4,256530,256633,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",Genome Release 64-3-1
ARS412,ARS412,SGDID:S000130172,ARS,CHR_4,316771,317230,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",Genome Release 64-3-1
ARS413,ARS413,SGDID:S000118432,ARS,CHR_4,329566,329814,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS414,ARS414,SGDID:S000118433,ARS,CHR_4,408075,408316,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YDLCdelta1,YDLCdelta1,SGDID:S000006842,reverse complement,CHR_4,434423,434739,"""Ty1 LTR""",Genome Release 64-3-1
ARS415,ARS415,SGDID:S000130173,ARS,CHR_4,434971,435320,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",Genome Release 64-3-1
YDLWtau1,YDLWtau1,SGDID:S000006843,long_terminal_repeat,CHR_4,437149,437518,"""Ty4 LTR""",Genome Release 64-3-1
CEN4,CEN4,SGDID:S000006466,centromere,CHR_4,449711,449821,"""Chromosome IV centromere""",Genome Release 64-3-1
ARS416,ARS1,SGDID:S000029652,ARS,CHR_4,462567,462622,"""Early-firing autonomously replicating sequence; highly efficient chromosomal replicator active in nearly every cell cycle""",Genome Release 64-3-1
ARS417,ARS417,SGDID:S000118434,ARS,CHR_4,484006,484059,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS450,ARS450,SGDID:S000119069,ARS,CHR_4,505343,505584,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YDRCdelta2,YDRCdelta2,SGDID:S000006844,reverse complement,CHR_4,512986,513258,"""Ty1 LTR""",Genome Release 64-3-1
YDRCdelta3,YDRCdelta3,SGDID:S000006845,reverse complement,CHR_4,513259,513590,"""Ty1 LTR""",Genome Release 64-3-1
YDRCdelta4,YDRCdelta4,SGDID:S000006846,reverse complement,CHR_4,513692,514020,"""Ty2 LTR""",Genome Release 64-3-1
YDRCTy2-1,YDRCTy2-1,SGDID:S000006862,reverse complement,CHR_4,513692,519647,"""Ty2 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats""",Genome Release 64-3-1
YDRCdelta5,YDRCdelta5,SGDID:S000006847,reverse complement,CHR_4,519316,519647,"""Ty2 LTR""",Genome Release 64-3-1
YDRCdelta6a,YDRCdelta6a,SGDID:S000006848,reverse complement,CHR_4,520173,520475,"""Ty1 LTR""",Genome Release 64-3-1
YDRWdelta7,YDRWdelta7,SGDID:S000006863,long_terminal_repeat,CHR_4,520477,520805,"""Ty1 LTR""",Genome Release 64-3-1
YDRCdelta6b,YDRCdelta6b,SGDID:S000006849,reverse complement,CHR_4,520806,520833,"""Ty1 LTR""",Genome Release 64-3-1
ARS418,ARS418,SGDID:S000118435,ARS,CHR_4,555240,555404,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS419,ARS419,SGDID:S000118436,ARS,CHR_4,567610,567685,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS420,ARS420,SGDID:S000130174,ARS,CHR_4,628938,629582,"""Putative replication origin; identified in multiple array studies ; not yet confirmed by plasmid-based assay""",Genome Release 64-3-1
ARS421,ARS421,SGDID:S000118437,ARS,CHR_4,640006,640072,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YDRCdelta7,YDRCdelta7,SGDID:S000006850,reverse complement,CHR_4,645502,645835,"""Ty1 LTR""",Genome Release 64-3-1
YDRCTy1-1,YDRCTy1-1,SGDID:S000006859,reverse complement,CHR_4,645502,651419,"""Ty1 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats""",Genome Release 64-3-1
YDRCdelta8,YDRCdelta8,SGDID:S000006851,reverse complement,CHR_4,651086,651419,"""Ty1 LTR""",Genome Release 64-3-1
YDRCsigma1,YDRCsigma1,SGDID:S000006855,reverse complement,CHR_4,651420,651503,"""Ty3 LTR""",Genome Release 64-3-1
YDRCdelta9,YDRCdelta9,SGDID:S000006852,reverse complement,CHR_4,651682,651980,"""Ty1 LTR""",Genome Release 64-3-1
YDRWsigma2,YDRWsigma2,SGDID:S000006856,long_terminal_repeat,CHR_4,668096,668436,"""Ty3 LTR""",Genome Release 64-3-1
YDRWdelta10,YDRWdelta10,SGDID:S000006864,long_terminal_repeat,CHR_4,668543,668784,"""Ty1 LTR""",Genome Release 64-3-1
ARS422,ARS422,SGDID:S000114834,ARS,CHR_4,702887,703132,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS451,ARS451,SGDID:S000119070,ARS,CHR_4,748392,748637,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
ARS423,ARS423,SGDID:S000118438,ARS,CHR_4,753242,753386,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YDRWdelta11,YDRWdelta11,SGDID:S000006865,long_terminal_repeat,CHR_4,802905,803235,"""Ty1 LTR""",Genome Release 64-3-1
ARS425,ARS425,SGDID:S000118439,ARS,CHR_4,806052,806277,"""Autonomously Replicating Sequence""",Genome Release 64-3-1
YDRWdelta13,YDRWdelta13,SGDID:S000006867,long_terminal_repeat,CHR_4,871821,872152,"""Ty1 LTR""",Genome Release 64-3-1
YDRWTy2-2,YDRWTy2-2,SGDID:S000006884,LTR_retrotransposon,CHR_4,871821,877779,"""Ty2 element ; LTR retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol ; encoding proteins involved in structure and function of virus-like particles ; flanked by two direct repeats""",Genome Release 64-3-1
YDRWdelta14,YDRWdelta14,SGDID:S000006868,long_terminal_repeat,CHR_4,877448,877779,"""Ty1 LTR""",Genome Release 64-3-1
