chromosome,start,end,gene,score,orientation
chrXVI,892074,892075,YPR176C,.,-
chrXI,323229,323230,YKL062W,.,+
chrX,313926,313927,YJL068C,.,-
chrXIII,637017,637018,YMR188C,.,-
chrXII,859536,859537,YLR369W,.,+
chrXV,502471,502472,YOR093C,.,-
chrVII,366016,366017,YGL076C,.,-
chrIX,93582,93583,YIL136W,.,+
chrXIII,29857,29858,YML120C,.,-
chrII,425818,425819,YBR088C,.,-
chrXI,369827,369828,YKL035W,.,+
chrVII,939069,939070,YGR221C,.,-
chrVII,257513,257514,YGL133W,.,+
chrXVI,381350,381351,YPL089C,.,-
chrXVI,102929,102930,YPL236C,.,-
chrXV,584032,584033,YOR137C,.,-
chrX,667635,667636,YJR131W,.,+
chrXIII,652907,652908,YMR194C-B,.,-
chrXV,522988,522989,YOR108W,.,+
chrVII,35580,35581,YGL248W,.,+
chrIV,240183,240184,YDL124W,.,+
chrII,217390,217391,YBL005W,.,+
chrXIII,831419,831420,YMR280C,.,-
chrXI,46392,46393,YKL209C,.,-
chrIV,1234089,1234090,YDR380W,.,+
chrIV,300148,300149,YDL088C,.,-
chrVII,905081,905082,YGR203W,.,+
chrV,141622,141623,YEL007W,.,+
chrVIII,325605,325606,YHR106W,.,+
chrIV,1523238,1523239,YDR542W,.,+
chrXV,15521,15522,YOL159C-A,.,-
chrVII,154330,154331,YGL185C,.,-
chrIV,727582,727583,YDR135C,.,-
chrXVI,339903,339904,YPL111W,.,+
chrVII,599375,599376,YGR055W,.,+
chrX,617377,617378,YJR100C,.,-
chrXIV,310556,310557,YNL172W,.,+
chrXV,377802,377803,YOR023C,.,-
chrIV,680005,680006,YDR111C,.,-
chrXII,855868,855869,YLR367W,.,+
chrXIV,503621,503622,YNL065W,.,+
chrVIII,204496,204497,YHR048W,.,+
chrXII,732403,732404,YLR303W,.,+
chrIV,247791,247792,YDL119C,.,-
chrV,386202,386203,YER111C,.,-
chrXII,493519,493520,YLR164W,.,+
chrXV,1079813,1079814,YOR393W,.,+
chrXII,341233,341234,YLR099W-A,.,+
chrXV,909240,909241,YOR317W,.,+
chrVII,197967,197968,YGL162W,.,+
chrVII,939653,939654,YGR222W,.,+
chrXIII,382887,382888,YMR053C,.,-
chrV,225226,225227,YER036C,.,-
chrV,78023,78024,YEL040W,.,+
chrIX,187662,187663,YIL094C,.,-
chrVIII,206429,206430,YHR049W,.,+
chrX,265101,265102,YJL090C,.,-
chrXII,169035,169036,YLR011W,.,+
chrIV,923883,923884,YDR228C,.,-
chrIV,521735,521736,YDR035W,.,+
chrXIII,101130,101131,YML083C,.,-
chrXII,363821,363822,YLR106C,.,-
chrV,153413,153414,YER001W,.,+
chrX,224942,224943,YJL105W,.,+
chrXII,822744,822745,YLR346C,.,-
chrX,231064,231065,YJL103C,.,-
chrIV,421714,421715,YDL019C,.,-
chrXIII,413767,413768,YMR075W,.,+
chrII,116838,116839,YBL055C,.,-
chrVI,213247,213248,YFR030W,.,+
chrXIII,832269,832270,YMR281W,.,+
chrXIII,568363,568364,YMR154C,.,-
chrX,268774,268775,YJL088W,.,+
chrIII,16928,16929,YCL064C,.,-
chrXII,837455,837456,YLR354C,.,-
chrIX,433710,433711,YIR041W,.,+
chrVII,523522,523523,YGR017W,.,+
chrXIII,841686,841687,YMR285C,.,-
chrXI,506895,506896,YKR034W,.,+
chrV,63723,63724,YEL049W,.,+
chrXIII,696779,696780,YMR215W,.,+
chrXV,204487,204488,YOL066C,.,-
chrIX,232401,232402,YIL069C,.,-
chrXI,567840,567841,YKR067W,.,+
chrXII,439900,439901,YLR149C,.,-
chrX,361159,361160,YJL042W,.,+
chrX,611086,611087,YJR096W,.,+
chrXIII,16787,16788,YML128C,.,-
chrX,160474,160475,YJL133W,.,+
chrXV,457981,457982,YOR070C,.,-
chrIV,755315,755316,YDR148C,.,-
chrV,287169,287170,YER065C,.,-
chrII,28593,28594,YBL101C,.,-
chrVIII,380544,380545,YHR140W,.,+
chrII,283649,283650,YBR022W,.,+
chrXI,660555,660556,YKR105C,.,-
chrIV,167253,167254,YDL164C,.,-
chrXIII,667045,667046,YMR201C,.,-
chrVI,30551,30552,YFL051C,.,-
chrIV,1356050,1356051,YDR448W,.,+
chrXV,186737,186738,YOL077C,.,-
chrXIV,715413,715414,YNR050C,.,-
chrXII,515217,515218,YLR180W,.,+
chrX,649721,649722,YJR122W,.,+
chrX,545726,545727,YJR059W,.,+
chrXV,931159,931160,YOR327C,.,-
chrXV,619684,619685,YOR153W,.,+
chrXIV,426927,426928,YNL104C,.,-
chrXV,412772,412773,YOR044W,.,+
chrIV,155915,155916,YDL171C,.,-
chrXVI,425876,425877,YPL066W,.,+
chrIII,179440,179441,YCR032W,.,+
chrXIV,507302,507303,YNL064C,.,-
chrIX,130295,130296,YIL122W,.,+
chrXV,670615,670616,YOR178C,.,-
chrXIV,776353,776354,YNR073C,.,-
chrIII,137651,137652,YCR012W,.,+
chrXII,841203,841204,YLR357W,.,+
chrVII,482888,482889,YGL008C,.,-
chrIV,341205,341206,YDL061C,.,-
chrIX,364900,364901,YIR005W,.,+
chrIII,50243,50244,YCL043C,.,-
chrX,104970,104971,YJL167W,.,+
chrVI,75125,75126,YFL031W,.,+
chrIV,530777,530778,YDR038C,.,-
chrIV,534662,534663,YDR039C,.,-
chrIV,1198791,1198792,YDR362C,.,-
chrXIII,164284,164285,YML056C,.,-
chrXII,368593,368594,YLR109W,.,+
chrIV,1507801,1507802,YDR536W,.,+
chrXIII,560117,560118,YMR148W,.,+
chrXVI,870678,870679,YPR164W,.,+
chrIV,314778,314779,YDL079C,.,-
chrIX,177965,177966,YIL099W,.,+
chrIX,255068,255069,YIL053W,.,+
chrVIII,222623,222624,YHR061C,.,-
chrX,36768,36769,YJL210W,.,+
chrXII,29595,29596,YLL055W,.,+
chrXIV,662284,662285,YNR017W,.,+
chrXII,97563,97564,YLL024C,.,-
chrIX,384104,384105,YIR017C,.,-
chrXV,278052,278053,YOL023W,.,+
chrVII,854906,854907,YGR179C,.,-
chrVIII,198300,198301,YHR046C,.,-
chrXIII,603098,603099,YMR170C,.,-
chrXI,611493,611494,YKR091W,.,+
chrIII,211891,211892,YCR048W,.,+
chrIII,274354,274355,YCR091W,.,+
chrXI,314755,314756,YKL067W,.,+
chrII,651349,651350,YBR214W,.,+
chrVII,277532,277533,YGL123W,.,+
chrXIII,335208,335209,YMR032W,.,+
chrVII,1050059,1050060,YGR279C,.,-
chrV,68894,68895,YEL046C,.,-
chrXV,303151,303152,YOL013C,.,-
chrXII,790318,790319,YLR332W,.,+
chrXVI,291064,291065,YPL139C,.,-
chrXIV,642621,642622,YNR009W,.,+
chrV,261116,261117,YER053C-A,.,-
chrII,483472,483473,YBR121C,.,-
chrXI,646130,646131,YKR102W,.,+
chrXVI,214124,214125,YPL177C,.,-
chrVII,148950,148951,YGL189C,.,-
chrXII,364114,364115,YLR107W,.,+
chrVIII,167434,167435,YHR028C,.,-
chrIV,103362,103363,YDL199C,.,-
chrII,776552,776553,YBR287W,.,+
chrIV,1273728,1273729,YDR402C,.,-
chrIV,709518,709519,YDR128W,.,+
chrVIII,65902,65903,YHL021C,.,-
chrVII,914792,914793,YGR210C,.,-
chrVII,165164,165165,YGL179C,.,-
chrVII,433160,433161,YGL035C,.,-
chrV,313621,313622,YER076C,.,-
chrXV,878309,878310,YOR299W,.,+
chrXVI,128265,128266,YPL224C,.,-
chrIV,1031690,1031691,YDR284C,.,-
chrXIII,271505,271506,YMR001C,.,-
chrXIII,919634,919635,YMR323W,.,+
chrXIII,500730,500731,YMR116C,.,-
chrXII,23509,23510,YLL058W,.,+
chrXV,551039,551040,YOR120W,.,+
chrXIII,334857,334858,YMR031C,.,-
chrXV,24435,24436,YOL157C,.,-
chrVII,289652,289653,YGL116W,.,+
chrXII,710380,710381,YLR286C,.,-
chrXV,1017666,1017667,YOR361C,.,-
chrXII,341002,341003,YLR099C,.,-
chrXII,898173,898174,YLR388W,.,+
chrXV,70027,70028,YOL135C,.,-
chrXI,554971,554972,YKR059W,.,+
chrXVI,676911,676912,YPR061C,.,-
chrVII,69635,69636,YGL227W,.,+
chrIV,569807,569808,YDR059C,.,-
chrVII,346946,346947,YGL087C,.,-
chrXV,683961,683962,YOR187W,.,+
chrXII,826515,826516,YLR347C,.,-
chrXVI,301340,301341,YPL133C,.,-
chrVII,951756,951757,YGR230W,.,+
chrXII,84644,84645,YLL028W,.,+
chrIV,1030258,1030259,YDR283C,.,-
chrXV,397322,397323,YOR034C,.,-
chrVII,802202,802203,YGR157W,.,+
chrVII,67208,67209,YGL229C,.,-
chrII,572070,572071,YBR168W,.,+
chrVI,22840,22841,YFL054C,.,-
chrII,166049,166050,YBL029W,.,+
chrXII,388347,388348,YLR120C,.,-
chrXII,87239,87240,YLL027W,.,+
chrIV,239830,239831,YDL125C,.,-
chrXII,691280,691281,YLR273C,.,-
chrVII,560323,560324,YGR038W,.,+
chrX,456013,456014,YJR010W,.,+
chrV,362749,362750,YER102W,.,+
chrVII,917053,917054,YGR212W,.,+
chrIX,257075,257076,YIL052C,.,-
chrVI,204771,204772,YFR025C,.,-
chrVII,715804,715805,YGR111W,.,+
chrXIII,449218,449219,YMR090W,.,+
chrIV,116294,116295,YDL192W,.,+
chrII,409138,409139,YBR083W,.,+
chrIV,1420285,1420286,YDR481C,.,-
chrXII,958136,958137,YLR418C,.,-
chrIV,1226774,1226775,YDR376W,.,+
chrV,111370,111371,YEL022W,.,+
chrXIV,122222,122223,YNL274C,.,-
chrXIII,275990,275991,YMR005W,.,+
chrXIV,516767,516768,YNL058C,.,-
chrXI,127402,127403,YKL171W,.,+
chrXIII,532042,532043,YMR130W,.,+
chrXVI,576474,576475,YPR009W,.,+
chrIV,1005588,1005589,YDR270W,.,+
chrXII,245344,245345,YLR049C,.,-
chrV,395055,395056,YER115C,.,-
chrVII,516684,516685,YGR014W,.,+
chrXV,347292,347293,YOR010C,.,-
chrV,416773,416774,YER129W,.,+
chrXV,586340,586341,YOR138C,.,-
chrXV,820966,820967,YOR266W,.,+
chrXIV,734210,734211,YNR058W,.,+
chrXII,65333,65334,YLL039C,.,-
chrX,615444,615445,YJR099W,.,+
chrXIII,751798,751799,YMR241W,.,+
chrV,311381,311382,YER075C,.,-
chrXII,674055,674056,YLR264C-A,.,-
chrIV,1489225,1489226,YDR524W-C,.,+
chrXV,444500,444501,YOR063W,.,+
chrII,628989,628990,YBR203W,.,+
chrV,503770,503771,YER163C,.,-
chrIX,307918,307919,YIL026C,.,-
chrVI,226958,226959,YFR036W,.,+
chrII,764706,764707,YBR280C,.,-
chrXII,893400,893401,YLR385C,.,-
chrXVI,527535,527536,YPL014W,.,+
chrIV,553242,553243,YDR049W,.,+
chrV,361808,361809,YER101C,.,-
chrX,145142,145143,YJL145W,.,+
chrXV,160624,160625,YOL086C,.,-
chrXIII,284066,284067,YMR009W,.,+
chrVIII,151629,151630,YHR023W,.,+
chrIV,1483468,1483469,YDR520C,.,-
chrIV,368300,368301,YDL048C,.,-
chrX,150494,150495,YJL141C,.,-
chrIV,428946,428947,YDL013W,.,+
chrXII,230576,230577,YLR042C,.,-
chrIX,165923,165924,YIL107C,.,-
chrXIV,447031,447032,YNL095C,.,-
chrXII,885001,885002,YLR382C,.,-
chrXVI,406591,406592,YPL079W,.,+
chrVIII,113191,113192,YHR004C,.,-
chrXV,511684,511685,YOR099W,.,+
chrI,33204,33205,YAL061W,.,+
chrXI,589559,589560,YKR079C,.,-
chrII,372915,372916,YBR067C,.,-
chrII,564824,564825,YBR162C,.,-
chrV,303561,303562,YER073W,.,+
chrIV,850979,850980,YDR196C,.,-
chrII,728089,728090,YBR256C,.,-
chrXII,265461,265462,YLR064W,.,+
chrIV,341617,341618,YDL060W,.,+
chrIV,1178180,1178181,YDR350C,.,-
chrIX,180419,180420,YIL097W,.,+
chrXV,954334,954335,YOR337W,.,+
chrIX,62741,62742,YIL150C,.,-
chrIV,629859,629860,YDR092W,.,+
chrIV,690983,690984,YDR119W-A,.,+
chrXVI,375468,375469,YPL091W,.,+
chrV,453414,453415,YER141W,.,+
chrXIII,137503,137504,YML068W,.,+
chrVI,87292,87293,YFL025C,.,-
chrXV,292460,292461,YOL017W,.,+
chrXI,178444,178445,YKL142W,.,+
chrXI,506468,506469,YKR031C,.,-
chrXIII,307374,307375,YMR017W,.,+
chrVIII,341473,341474,YHR115C,.,-
chrIX,193475,193476,YIL090W,.,+
chrIV,1345189,1345190,YDR441C,.,-
chrIX,75925,75926,YIL146C,.,-
chrIV,312645,312646,YDL080C,.,-
chrXIII,91023,91024,YML091C,.,-
chrXIII,636023,636024,YMR187C,.,-
chrVI,107177,107178,YFL014W,.,+
chrXIII,315247,315248,YMR020W,.,+
chrXV,109029,109030,YOL111C,.,-
chrVII,1021848,1021849,YGR264C,.,-
chrXI,478340,478341,YKR020W,.,+
chrXVI,593913,593914,YPR017C,.,-
chrXIII,401542,401543,YMR066W,.,+
chrXIII,712317,712318,YMR220W,.,+
chrXVI,495506,495507,YPL029W,.,+
chrXII,247199,247200,YLR052W,.,+
chrIV,907319,907320,YDR221W,.,+
chrV,56555,56556,YEL052W,.,+
chrVIII,194823,194824,YHR044C,.,-
chrX,69319,69320,YJL194W,.,+
chrX,97717,97718,YJL172W,.,+
chrVII,23907,23908,YGL253W,.,+
chrXII,539616,539617,YLR192C,.,-
chrXV,91449,91450,YOL122C,.,-
chrIV,1417352,1417353,YDR480W,.,+
chrXI,582222,582223,YKR076W,.,+
chrI,143635,143636,YAL002W,.,+
chrXII,954244,954245,YLR414C,.,-
chrXV,1061454,1061455,YOR384W,.,+
chrIV,494395,494396,YDR026C,.,-
chrXII,193436,193437,YLR024C,.,-
chrVII,8251,8252,YGL259W,.,+
chrIV,1054887,1054888,YDR295C,.,-
chrVII,798118,798119,YGR154C,.,-
chrII,770888,770889,YBR284W,.,+
chrXV,243051,243052,YOL045W,.,+
chrXV,296449,296450,YOL015W,.,+
chrV,175173,175174,YER011W,.,+
chrIV,1269956,1269957,YDR399W,.,+
chrII,236343,236344,YBL002W,.,+
chrXV,128980,128981,YOL100W,.,+
chrXIII,815297,815298,YMR274C,.,-
chrVI,28242,28243,YFL052W,.,+
chrIX,46210,46211,YIL158W,.,+
chrXII,167792,167793,YLR010C,.,-
chrII,454827,454828,YBR108W,.,+
chrII,356016,356017,YBR058C,.,-
chrIV,935893,935894,YDR236C,.,-
chrIV,1471014,1471015,YDR513W,.,+
chrVIII,106052,106053,YHR001W,.,+
chrX,302857,302858,YJL074C,.,-
chrXIV,349766,349767,YNL149C,.,-
chrXV,43679,43680,YOL151W,.,+
chrIV,699484,699485,YDR123C,.,-
chrXVI,355675,355676,YPL104W,.,+
chrIX,416091,416092,YIR033W,.,+
chrIV,1498198,1498199,YDR531W,.,+
chrX,338217,338218,YJL052W,.,+
chrII,269573,269574,YBR015C,.,-
chrIX,332533,332534,YIL013C,.,-
chrVI,76728,76729,YFL030W,.,+
chrXVI,222883,222884,YPL174C,.,-
chrII,607509,607510,YBR192W,.,+
chrXVI,344915,344916,YPL110C,.,-
chrXIV,119076,119077,YNL275W,.,+
chrV,221489,221490,YER033C,.,-
chrXVI,279970,279971,YPL145C,.,-
chrXVI,778561,778562,YPR121W,.,+
chrVII,985916,985917,YGR248W,.,+
chrVII,807730,807731,YGR159C,.,-
chrII,533684,533685,YBR145W,.,+
chrXIII,852525,852526,YMR291W,.,+
chrVI,223993,223994,YFR032C-B,.,-
chrX,460395,460396,YJR012C,.,-
chrXII,871359,871360,YLR373C,.,-
chrI,48560,48561,YAL051W,.,+
chrXII,762362,762363,YLR313C,.,-
chrI,130756,130757,YAL012W,.,+
chrX,23053,23054,YJL217W,.,+
chrXV,915187,915188,YOR320C,.,-
chrII,164867,164868,YBL029C-A,.,-
chrIV,135785,135786,YDL180W,.,+
chrXI,63500,63501,YKL203C,.,-
chrII,135678,135679,YBL045C,.,-
chrXI,171292,171293,YKL148C,.,-
chrXII,784723,784724,YLR328W,.,+
chrIV,1071678,1071679,YDR303C,.,-
chrIV,1494288,1494289,YDR528W,.,+
chrVIII,538400,538401,YHR213W,.,+
chrX,172773,172774,YJL130C,.,-
chrXVI,297466,297467,YPL135W,.,+
chrVII,610458,610459,YGR060W,.,+
chrXV,810798,810799,YOR256C,.,-
chrXVI,322077,322078,YPL120W,.,+
chrXII,541568,541569,YLR194C,.,-
chrXII,567922,567923,YLR213C,.,-
chrVII,713698,713699,YGR110W,.,+
chrXII,1022264,1022265,YLR442C,.,-
chrXV,530411,530412,YOR111W,.,+
chrXII,511027,511028,YLR177W,.,+
chrIV,485390,485391,YDR019C,.,-
chrXVI,841237,841238,YPR157W,.,+
chrII,177554,177555,YBL023C,.,-
chrVII,358578,358579,YGL080W,.,+
chrXVI,822553,822554,YPR145W,.,+
chrXII,1043929,1043930,YLR454W,.,+
chrIII,77998,77999,YCL025C,.,-
chrVII,1007384,1007385,YGR257C,.,-
chrXVI,208010,208011,YPL179W,.,+
chrI,67825,67826,YAL040C,.,-
chrVII,398303,398304,YGL055W,.,+
chrV,94244,94245,YEL030W,.,+
chrXV,605114,605115,YOR144C,.,-
chrX,639895,639896,YJR115W,.,+
chrXV,296166,296167,YOL016C,.,-
chrXI,148892,148893,YKL162C,.,-
chrIV,219354,219355,YDL135C,.,-
chrXV,83028,83029,YOL126C,.,-
chrVII,584060,584061,YGR044C,.,-
chrXVI,739810,739811,YPR105C,.,-
chrXV,40716,40717,YOL152W,.,+
chrXV,853380,853381,YOR289W,.,+
chrIV,503254,503255,YDR030C,.,-
chrVIII,178230,178231,YHR035W,.,+
chrV,441813,441814,YER137C,.,-
chrXIV,252059,252060,YNL209W,.,+
chrXII,398528,398529,YLR128W,.,+
chrIV,950560,950561,YDR244W,.,+
chrVI,109937,109938,YFL013C,.,-
chrII,476452,476453,YBR117C,.,-
chrV,540378,540379,YER175C,.,-
chrIV,1468461,1468462,YDR508C,.,-
chrVII,157876,157877,YGL181W,.,+
chrXV,877721,877722,YOR298C-A,.,-
chrII,158425,158426,YBL034C,.,-
chrV,97835,97836,YEL029C,.,-
chrX,705688,705689,YJR148W,.,+
chrVII,423843,423844,YGL039W,.,+
chrX,471799,471800,YJR025C,.,-
chrXV,427355,427356,YOR052C,.,-
chrIV,93903,93904,YDL205C,.,-
chrVII,993711,993712,YGR250C,.,-
chrXV,74171,74172,YOL130W,.,+
chrXIV,357196,357197,YNL142W,.,+
chrIX,166374,166375,YIL106W,.,+
chrX,486261,486262,YJR030C,.,-
chrV,16263,16264,YEL071W,.,+
chrXII,783497,783498,YLR327C,.,-
chrXV,521050,521051,YOR107W,.,+
chrXIII,632335,632336,YMR186W,.,+
chrIV,1500578,1500579,YDR532C,.,-
chrIV,1430764,1430765,YDR488C,.,-
chrIII,13003,13004,YCL067C,.,-
chrIII,200163,200164,YCR039C,.,-
chrX,466196,466197,YJR016C,.,-
chrXIII,693389,693390,YMR213W,.,+
chrIV,716622,716623,YDR130C,.,-
chrI,203400,203401,YAR050W,.,+
chrVII,313221,313222,YGL100W,.,+
chrII,668366,668367,YBR222C,.,-
chrXV,241338,241339,YOL048C,.,-
chrXII,805851,805852,YLR340W,.,+
chrXV,274919,274920,YOL025W,.,+
chrXIII,388783,388784,YMR058W,.,+
chrII,625731,625732,YBR202W,.,+
chrXV,997157,997158,YOR352W,.,+
chrVI,176453,176454,YFR015C,.,-
chrVII,984861,984862,YGR247W,.,+
chrVI,99730,99731,YFL020C,.,-
chrXIII,584065,584066,YMR162C,.,-
chrXIV,332450,332451,YNL161W,.,+
chrXII,906460,906461,YLR392C,.,-
chrIV,407388,407389,YDL025C,.,-
chrVII,368470,368471,YGL073W,.,+
chrXV,494801,494802,YOR092W,.,+
chrV,464866,464867,YER147C,.,-
chrXV,231811,231812,YOL052C-A,.,-
chrIX,241917,241918,YIL064W,.,+
chrXIII,759352,759353,YMR244C-A,.,-
chrXVI,703945,703946,YPR081C,.,-
chrV,159595,159596,YER004W,.,+
chrXIII,645668,645669,YMR191W,.,+
chrIX,339355,339356,YIL009W,.,+
chrXII,771949,771950,YLR320W,.,+
