chromosome,start,end,gene,stable/fragile,gene orientation
chrV,261306,261307,YER053C-A,stable,-
chrI,184765,184766,YAR028W,stable,+
chrVI,76433,76434,YFL030W,stable,+
chrXV,142705,142706,YOL093W,stable,+
chrXV,142705,142706,YOL094C,stable,-
chrXIV,678653,678654,YNR030W,stable,+
chrXIV,678653,678654,YNR029C,stable,-
chrXI,180339,180340,YKL140W,stable,+
chrV,31494,31495,YEL064C,stable,-
chrX,550096,550097,YJR061W,stable,+
chrXV,292292,292293,YOL017W,stable,+
chrXV,292292,292293,YOL018C,stable,-
chrXII,543841,543842,YLR196W,stable,+
chrII,165911,165912,YBL029W,stable,+
chrII,607283,607284,YBR192W,stable,+
chrXIII,919388,919389,YMR323W,stable,+
chrXIII,95707,95708,YML087C,stable,-
chrXII,1014484,1014485,YLR438C-A,stable,-
chrXII,35481,35482,YLL054C,stable,-
chrXI,122424,122425,YKL174C,stable,-
chrVII,848583,848584,YGR175C,stable,-
chrXIV,205018,205019,YNL237W,stable,+
chrXV,888869,888870,YOR305W,stable,+
chrXII,704265,704266,YLR278C,stable,-
chrXIII,743447,743448,YMR237W,stable,+
chrXIII,646824,646825,YMR192W,stable,+
chrVII,985687,985688,YGR248W,stable,+
chrIV,373832,373833,YDL045C,stable,-
chrV,460357,460358,YER144C,stable,-
chrII,408915,408916,YBR083W,stable,+
chrX,570784,570785,YJR070C,stable,-
chrXV,128870,128871,YOL100W,stable,+
chrVI,263857,263858,YFR055W,stable,+
chrX,411072,411073,YJL013C,stable,-
chrXIII,918077,918078,YMR321C,stable,-
chrXV,989033,989034,YOR348C,stable,-
chrX,461707,461708,YJR014W,stable,+
chrVII,270289,270290,YGL128C,stable,-
chrXV,116220,116221,YOL105C,stable,-
chrXVI,46621,46622,YPL263C,stable,-
chrXII,29411,29412,YLL055W,stable,+
chrXIV,694318,694319,YNR035C,stable,-
chrXVI,313025,313026,YPL125W,stable,+
chrII,595170,595171,YBR182C,stable,-
chrVII,639763,639764,YGR077C,stable,-
chrXV,343988,343989,YOR009W,stable,+
chrXVI,259647,259648,YPL155C,stable,-
chrVII,80519,80520,YGL223C,stable,-
chrXII,23301,23302,YLL058W,stable,+
chrIII,160559,160560,YCR023C,stable,-
chrIV,917229,917230,YDR227W,stable,+
chrVII,974129,974130,YGR240C,stable,-
chrX,665144,665145,YJR129C,stable,-
chrXII,341002,341003,YLR099W-A,stable,+
chrIX,53987,53988,YIL155C,stable,-
chrXIV,287705,287706,YNL187W,stable,+
chrIII,68571,68572,YCL030C,stable,-
chrIV,1305879,1305880,YDR420W,stable,+
chrXV,1061301,1061302,YOR383C,stable,-
chrXV,1061301,1061302,YOR384W,stable,+
chrII,59769,59770,YBL088C,stable,-
chrIV,1242322,1242323,YDR384C,stable,-
chrIV,368499,368500,YDL048C,stable,-
chrXIV,419930,419931,YNL108C,stable,-
chrXIV,419930,419931,YNL107W,stable,+
chrXVI,347650,347651,YPL109C,stable,-
chrXIII,732741,732742,YMR230W-A,stable,+
chrXII,39778,39779,YLL051C,stable,-
chrXIV,695036,695037,YNR036C,stable,-
chrIV,1469832,1469833,YDR511W,stable,+
chrXII,1062409,1062410,YLR461W,stable,+
chrI,114574,114575,YAL019W,stable,+
chrIV,770105,770106,YDR158W,stable,+
chrXVI,829502,829503,YPR149W,stable,+
chrXIII,841798,841799,YMR285C,stable,-
chrXIII,841798,841799,YMR286W,stable,+
chrXIII,119134,119135,YML075C,stable,-
chrXVI,730272,730273,YPR101W,stable,+
chrXIII,171319,171320,YML051W,stable,+
chrIV,221511,221512,YDL134C,stable,-
chrIII,224425,224426,YCR059C,stable,-
chrXII,605209,605210,YLR229C,stable,-
chrXIV,493028,493029,YNL070W,stable,+
chrV,192604,192605,YER019W,stable,+
chrII,467043,467044,YBR114W,stable,+
chrV,140012,140013,YEL009C,stable,-
chrVII,746334,746335,YGR127W,stable,+
chrXII,1014206,1014207,YLR439W,stable,+
chrXV,648679,648680,YOR166C,stable,-
chrVII,617471,617472,YGR062C,stable,-
chrXV,1007046,1007047,YOR356W,stable,+
chrV,19345,19346,YEL070W,stable,+
chrXV,424123,424124,YOR049C,stable,-
chrIV,1008727,1008728,YDR272W,stable,+
chrIX,243945,243946,YIL063C,stable,-
chrXI,491153,491154,YKR027W,stable,+
chrXI,84403,84404,YKL189W,stable,+
chrVII,82106,82107,YGL220W,stable,+
chrXI,80056,80057,YKL193C,stable,-
chrXII,1017951,1017952,YLR440C,stable,-
chrVIII,422622,422623,YHR162W,stable,+
chrXIV,476889,476890,YNL081C,stable,-
chrIX,26508,26509,YIL169C,stable,-
chrI,151358,151359,YAL001C,stable,-
chrX,497166,497167,YJR035W,stable,+
chrXVI,675826,675827,YPR060C,stable,-
chrVII,123624,123625,YGL200C,stable,-
chrXV,389075,389076,YOR031W,stable,+
chrXIV,547806,547807,YNL042W,stable,+
chrX,317066,317067,YJL062W,stable,+
chrXI,133606,133607,YKL168C,stable,-
chrIX,241784,241785,YIL064W,stable,+
chrXV,138048,138049,YOL097C,stable,-
chrXI,571156,571157,YKR068C,stable,-
chrXV,326653,326654,YOR001W,stable,+
chrVI,224235,224236,YFR032C-B,stable,-
chrIX,277537,277538,YIL040W,stable,+
chrXV,241586,241587,YOL048C,stable,-
chrVII,584184,584185,YGR044C,stable,-
chrV,474764,474765,YER154W,stable,+
chrXIII,854539,854540,YMR292W,stable,+
chrXIV,375002,375003,YNL132W,stable,+
chrIX,274094,274095,YIL044C,stable,-
chrVII,225925,225926,YGL150C,stable,-
chrIV,570000,570001,YDR059C,stable,-
chrX,26529,26530,YJL214W,stable,+
chrII,256155,256156,YBR010W,stable,+
chrVIII,39645,39646,YHL031C,stable,-
chrV,462327,462328,YER146W,stable,+
chrXI,247945,247946,YKL103C,stable,-
chrI,113613,113614,YAL021C,stable,-
chrIV,915286,915287,YDR225W,stable,+
chrXIV,255000,255001,YNL207W,stable,+
chrXII,1043142,1043143,YLR453C,stable,-
chrXIII,715687,715688,YMR221C,stable,-
chrIX,134095,134096,YIL120W,stable,+
chrXII,281989,281990,YLR073C,stable,-
chrXII,556544,556545,YLR207W,stable,+
chrVII,528998,528999,YGR023W,stable,+
chrXIII,221197,221198,YML027W,stable,+
chrIII,69942,69943,YCL028W,stable,+
chrXVI,273036,273037,YPL147W,stable,+
chrV,241892,241893,YER045C,stable,-
chrXIV,234255,234256,YNL221C,stable,-
chrXV,249809,249810,YOL043C,stable,-
chrXV,48923,48924,YOL147C,stable,-
chrII,581717,581718,YBR172C,stable,-
chrXVI,40759,40760,YPL265W,stable,+
chrXII,341233,341234,YLR099C,stable,-
chrXIII,51136,51137,YML110C,stable,-
chrXIII,178134,178135,YML048W,stable,+
chrIX,246000,246001,YIL060W,stable,+
chrII,62911,62912,YBL086C,stable,-
chrVIII,538240,538241,YHR213W,stable,+
chrX,310886,310887,YJL070C,stable,-
chrIX,380682,380683,YIR013C,stable,-
chrX,472045,472046,YJR025C,stable,-
chrVII,888075,888076,YGR194C,stable,-
chrIV,472936,472937,YDR013W,stable,+
chrIV,147759,147760,YDL174C,stable,-
chrII,182069,182070,YBL020W,stable,+
chrXI,78880,78881,YKL194C,stable,-
chrVII,939231,939232,YGR221C,stable,-
chrVII,968886,968887,YGR238C,stable,-
chrX,569638,569639,YJR069C,stable,-
chrXIII,768260,768261,YMR247C,stable,-
chrXV,1023442,1023443,YOR363C,stable,-
chrIV,976074,976075,YDR259C,stable,-
chrII,565406,565407,YBR163W,stable,+
chrXIV,64860,64861,YNL301C,stable,-
chrXV,104030,104031,YOL113W,stable,+
chrXII,1006077,1006078,YLR435W,stable,+
chrXIII,756871,756872,YMR244W,stable,+
chrII,744863,744864,YBR270C,stable,-
chrXIII,915232,915233,YMR319C,stable,-
chrXII,168774,168775,YLR011W,stable,+
chrIV,616476,616477,YDR085C,stable,-
chrXVI,464546,464547,YPL049C,stable,-
chrXVI,906687,906688,YPR185W,stable,+
chrIII,13251,13252,YCL067C,stable,-
chrIII,200411,200412,YCR039C,stable,-
chrXIII,20741,20742,YML126C,stable,-
chrXV,826103,826104,YOR269W,stable,+
chrXV,811519,811520,YOR258W,stable,+
chrXI,451461,451462,YKR006C,stable,-
chrV,366589,366590,YER104W,stable,+
chrIV,135524,135525,YDL180W,stable,+
chrX,36432,36433,YJL212C,stable,-
chrXI,164531,164532,YKL152C,stable,-
chrXII,893415,893416,YLR386W,stable,+
chrXIII,625415,625416,YMR182C,stable,-
chrXIII,282850,282851,YMR008C,stable,-
chrII,90457,90458,YBL069W,stable,+
chrVII,939534,939535,YGR222W,stable,+
chrXII,524449,524450,YLR187W,stable,+
chrX,471307,471308,YJR024C,stable,-
chrII,779463,779464,YBR289W,stable,+
chrXVI,143160,143161,YPL216W,stable,+
chrII,653088,653089,YBR215W,stable,+
chrVII,245434,245435,YGL140C,stable,-
chrII,136383,136384,YBL043W,stable,+
chrXVI,491687,491688,YPL032C,stable,-
chrVII,506082,506083,YGR005C,stable,-
chrX,572900,572901,YJR074W,stable,+
chrVIII,187175,187176,YHR039C,stable,-
chrIX,230209,230210,YIL071C,stable,-
chrVII,754191,754192,YGR130C,stable,-
chrXIV,118870,118871,YNL275W,stable,+
chrXVI,359632,359633,YPL103C,stable,-
chrXIV,147955,147956,YNL262W,stable,+
chrII,738571,738572,YBR264C,stable,-
chrIV,1324454,1324455,YDR428C,stable,-
chrXIII,739991,739992,YMR234W,stable,+
chrIII,199820,199821,YCR038C,stable,-
chrI,68014,68015,YAL040C,stable,-
chrVII,254205,254206,YGL136C,stable,-
chrII,38929,38930,YBL098W,stable,+
chrII,392807,392808,YBR078W,stable,+
chrXII,687464,687465,YLR272C,stable,-
chrXII,510825,510826,YLR177W,stable,+
chrXVI,11595,11596,YPL280W,stable,+
chrXVI,11595,11596,YPL281C,stable,-
chrIX,183632,183633,YIL095W,stable,+
chrXIV,336137,336138,YNL160W,stable,+
chrVII,69387,69388,YGL227W,stable,+
chrIV,680166,680167,YDR111C,stable,-
chrVII,20712,20713,YGL255W,stable,+
chrXV,340155,340156,YOR007C,stable,-
chrIV,1430762,1430763,YDR489W,stable,+
chrXV,749254,749255,YOR216C,stable,-
chrVII,908880,908881,YGR205W,stable,+
chrXII,954737,954738,YLR417W,stable,+
chrVIII,352439,352440,YHR121W,stable,+
chrXII,828033,828034,YLR348C,stable,-
chrXI,173896,173897,YKL145W,stable,+
chrXI,74084,74085,YKL197C,stable,-
chrXII,841052,841053,YLR357W,stable,+
chrXV,868504,868505,YOR293C-A,stable,-
chrX,312960,312961,YJL069C,stable,-
chrVIII,150580,150581,YHR022C,stable,-
chrXIV,348764,348765,YNL151C,stable,-
chrI,57357,57358,YAL044W-A,stable,+
chrV,128330,128331,YEL013W,stable,+
chrVII,593311,593312,YGR052W,stable,+
chrX,578427,578428,YJR077C,stable,-
chrIV,1422517,1422518,YDR484W,stable,+
chrIV,658086,658087,YDR103W,stable,+
chrX,115740,115741,YJL162C,stable,-
chrXI,527401,527402,YKR049C,stable,-
chrXIV,687456,687457,YNR033W,stable,+
chrXIV,708248,708249,YNR047W,stable,+
chrIV,64996,64997,YDL219W,stable,+
chrXII,677785,677786,YLR266C,stable,-
chrVI,36398,36399,YFL050C,stable,-
chrXV,216946,216947,YOL059W,stable,+
chrV,465151,465152,YER147C,stable,-
chrIX,276545,276546,YIL042C,stable,-
chrVII,423666,423667,YGL039W,stable,+
chrXIV,234070,234071,YNL220W,stable,+
chrVII,1012068,1012069,YGR260W,stable,+
chrIII,210663,210664,YCR046C,stable,-
chrII,326341,326342,YBR044C,stable,-
chrXV,748991,748992,YOR217W,stable,+
chrXI,573394,573395,YKR070W,stable,+
chrIV,1016036,1016037,YDR277C,stable,-
chrV,198576,198577,YER022W,stable,+
chrVIII,497441,497442,YHR198C,stable,-
chrXI,619396,619397,YKR095W,stable,+
chrXII,906660,906661,YLR392C,stable,-
chrVII,635434,635435,YGR074W,stable,+
chrII,651118,651119,YBR214W,stable,+
chrXVI,121481,121482,YPL226W,stable,+
chrVII,196947,196948,YGL163C,stable,-
chrXV,303424,303425,YOL013C,stable,-
chrIX,155815,155816,YIL110W,stable,+
chrIV,1161610,1161611,YDR343C,stable,-
chrXIII,25950,25951,YML123C,stable,-
chrXV,605379,605380,YOR144C,stable,-
chrXIV,532485,532486,YNL051W,stable,+
chrXI,242990,242991,YKL105C,stable,-
chrXI,94052,94053,YKL185W,stable,+
chrX,68993,68994,YJL196C,stable,-
chrXV,31995,31996,YOL155C,stable,-
chrIV,1049725,1049726,YDR293C,stable,-
chrII,597145,597146,YBR184W,stable,+
chrXIII,13509,13510,YML130C,stable,-
chrXI,273161,273162,YKL089W,stable,+
chrXI,421355,421356,YKL011C,stable,-
chrXII,783644,783645,YLR327C,stable,-
chrVII,1069966,1069967,YGR288W,stable,+
chrVI,9205,9206,YFL061W,stable,+
chrXIII,856995,856996,YMR293C,stable,-
chrVIII,341777,341778,YHR115C,stable,-
chrIV,381711,381712,YDL040C,stable,-
chrVII,271003,271004,YGL127C,stable,-
chrIII,299072,299073,YCR098C,stable,-
chrXV,841338,841339,YOR275C,stable,-
chrXV,443681,443682,YOR062C,stable,-
chrIV,867798,867799,YDR207C,stable,-
chrXVI,8798,8799,YPL282C,stable,-
chrXV,1082345,1082346,YOR394W,stable,+
chrVII,670095,670096,YGR093W,stable,+
chrVII,1079961,1079962,YGR294W,stable,+
chrXI,237294,237295,YKL106W,stable,+
chrX,189730,189731,YJL123C,stable,-
chrII,808713,808714,YBR301W,stable,+
chrIV,857937,857938,YDR204W,stable,+
chrXI,260977,260978,YKL096W,stable,+
chrXII,718181,718182,YLR290C,stable,-
chrIV,300349,300350,YDL088C,stable,-
chrXII,626574,626575,YLR244C,stable,-
chrX,517697,517698,YJR043C,stable,-
chrXII,669646,669647,YLR263W,stable,+
chrI,58639,58640,YAL044C,stable,-
chrXI,556285,556286,YKR060W,stable,+
chrIV,629599,629600,YDR092W,stable,+
chrIV,340477,340478,YDL063C,stable,-
chrXVI,647319,647320,YPR037C,stable,-
chrIV,1507634,1507635,YDR536W,stable,+
chrXIV,263712,263713,YNL201C,stable,-
chrXI,179403,179404,YKL141W,stable,+
chrXV,193796,193797,YOL075C,stable,-
chrV,151234,151235,YEL001C,stable,-
chrXIV,542752,542753,YNL045W,stable,+
chrXII,965548,965549,YLR422W,stable,+
chrVII,358319,358320,YGL080W,stable,+
chrII,582155,582156,YBR175W,stable,+
chrXVI,837669,837670,YPR155C,stable,-
chrVIII,190240,190241,YHR041C,stable,-
chrVIII,525233,525234,YHR211W,stable,+
chrXIII,721617,721618,YMR225C,stable,-
chrXVI,868557,868558,YPR162C,stable,-
chrIV,267507,267508,YDL108W,stable,+
chrXIII,861684,861685,YMR297W,stable,+
chrXVI,128476,128477,YPL224C,stable,-
chrIV,1036972,1036973,YDR288W,stable,+
chrV,318753,318754,YER078C,stable,-
chrXV,967908,967909,YOR342C,stable,-
chrII,405592,405593,YBR081C,stable,-
chrIX,278240,278241,YIL039W,stable,+
chrIV,234747,234748,YDL127W,stable,+
chrII,373111,373112,YBR067C,stable,-
chrI,203166,203167,YAR050W,stable,+
chrXII,849659,849660,YLR362W,stable,+
chrXIII,912508,912509,YMR318C,stable,-
chrX,555621,555622,YJR064W,stable,+
chrVI,153134,153135,YFR004W,stable,+
chrXIV,381268,381269,YNL129W,stable,+
chrIV,790133,790134,YDR168W,stable,+
chrVII,676607,676608,YGR095C,stable,-
chrVIII,417260,417261,YHR159W,stable,+
chrVII,678225,678226,YGR097W,stable,+
chrXIII,405777,405778,YMR067C,stable,-
chrXII,745359,745360,YLR307W,stable,+
chrVII,921906,921907,YGR215W,stable,+
chrIV,223758,223759,YDL132W,stable,+
chrVIII,122027,122028,YHR007C,stable,-
chrXIV,301060,301061,YNL180C,stable,-
chrIV,1075354,1075355,YDR306C,stable,-
chrV,483347,483348,YER155C,stable,-
chrIV,80705,80706,YDL211C,stable,-
chrVII,347226,347227,YGL087C,stable,-
chrXIV,51930,51931,YNL311C,stable,-
chrII,774457,774458,YBR286W,stable,+
chrXVI,517517,517518,YPL019C,stable,-
chrIV,1270797,1270798,YDR400W,stable,+
chrIV,979525,979526,YDR261C,stable,-
chrXVI,450697,450698,YPL058C,stable,-
chrXV,517261,517262,YOR104W,stable,+
chrIV,433276,433277,YDL008W,stable,+
chrVII,270749,270750,YGL126W,stable,+
chrIV,943651,943652,YDR239C,stable,-
chrXI,407391,407392,YKL017C,stable,-
chrIII,293866,293867,YCR096C,stable,-
chrXV,738064,738065,YOR209C,stable,-
chrXV,738064,738065,YOR210W,stable,+
chrII,246643,246644,YBR006W,stable,+
chrVII,293036,293037,YGL114W,stable,+
chrIX,406199,406200,YIR026C,stable,-
chrX,26244,26245,YJL216C,stable,-
chrVII,317149,317150,YGL098W,stable,+
chrIX,97106,97107,YIL134W,stable,+
chrVII,648314,648315,YGR084C,stable,-
chrVIII,383245,383246,YHR142W,stable,+
chrVII,1000719,1000720,YGR254W,stable,+
chrXII,988123,988124,YLR427W,stable,+
chrIV,276823,276824,YDL103C,stable,-
chrVIII,342074,342075,YHR117W,stable,+
chrXII,566581,566582,YLR212C,stable,-
chrXIII,353456,353457,YMR043W,stable,+
chrXIV,733443,733444,YNR056C,stable,-
chrIV,275079,275080,YDL104C,stable,-
chrX,31716,31717,YJL213W,stable,+
chrXIII,306013,306014,YMR016C,stable,-
chrVII,403503,403504,YGL051W,stable,+
chrXIII,845588,845589,YMR287C,stable,-
chrII,767823,767824,YBR281C,stable,-
chrXVI,244330,244331,YPL162C,stable,-
chrXI,562539,562540,YKR063C,stable,-
chrVIII,12790,12791,YHL046C,stable,-
chrIV,1489034,1489035,YDR524W-C,stable,+
chrXV,1079547,1079548,YOR393W,stable,+
chrXV,493409,493410,YOR090C,stable,-
chrI,114849,114850,YAL020C,stable,-
chrX,245361,245362,YJL097W,stable,+
chrV,23472,23473,YEL069C,stable,-
chrXVI,82593,82594,YPL248C,stable,-
chrVIII,39814,39815,YHL030W,stable,+
chrV,467736,467737,YER149C,stable,-
chrXII,573733,573734,YLR219W,stable,+
chrXVI,742401,742402,YPR107C,stable,-
chrII,40520,40521,YBL097W,stable,+
chrVII,1016986,1016987,YGR261C,stable,-
chrVII,605964,605965,YGR058W,stable,+
chrXI,195238,195239,YKL132C,stable,-
chrXII,201661,201662,YLR028C,stable,-
chrIV,285383,285384,YDL098C,stable,-
chrVI,30759,30760,YFL051C,stable,-
chrXV,774227,774228,YOR232W,stable,+
chrVIII,101973,101974,YHL002W,stable,+
chrII,143091,143092,YBL040C,stable,-
chrXV,243049,243050,YOL047C,stable,-
chrV,201899,201900,YER024W,stable,+
chrIX,18855,18856,YIL172C,stable,-
chrIV,789455,789456,YDR166C,stable,-
chrX,18838,18839,YJL221C,stable,-
chrXV,810781,810782,YOR257W,stable,+
chrXIV,218960,218961,YNL230C,stable,-
chrVI,23130,23131,YFL053W,stable,+
chrXI,589817,589818,YKR079C,stable,-
chrIV,357026,357027,YDL055C,stable,-
chrVII,55940,55941,YGL236C,stable,-
chrII,140939,140940,YBL041W,stable,+
chrXIV,52400,52401,YNL309W,stable,+
chrIV,771562,771563,YDR159W,stable,+
chrIV,1226524,1226525,YDR376W,stable,+
chrVI,64254,64255,YFL034C-B,stable,-
chrXVI,482263,482264,YPL037C,stable,-
chrXV,611572,611573,YOR149C,stable,-
chrXIII,449034,449035,YMR090W,stable,+
chrVIII,21562,21563,YHL040C,stable,-
chrVIII,21562,21563,YHL039W,stable,+
chrVII,153060,153061,YGL186C,stable,-
chrII,711350,711351,YBR246W,stable,+
chrVII,180715,180716,YGL173C,stable,-
chrXIII,213928,213929,YML031W,stable,+
chrIV,1110342,1110343,YDR322W,stable,+
chrVIII,187949,187950,YHR039C-A,stable,-
chrXV,296190,296191,YOL015W,stable,+
chrXIV,442682,442683,YNL097C,stable,-
chrX,542841,542842,YJR056C,stable,-
chrXVI,729802,729803,YPR098C,stable,-
chrIV,442751,442752,YDL004W,stable,+
chrVII,828905,828906,YGR165W,stable,+
chrIII,231280,231281,YCR066W,stable,+
chrXV,471910,471911,YOR076C,stable,-
chrXII,278606,278607,YLR072W,stable,+
chrII,436692,436693,YBR097W,stable,+
chrXIV,581682,581683,YNL026W,stable,+
chrXIII,298528,298529,YMR014W,stable,+
chrXVI,184918,184919,YPL191C,stable,-
chrIV,671263,671264,YDR107C,stable,-
chrX,468511,468512,YJR019C,stable,-
chrVII,1059074,1059075,YGR282C,stable,-
chrIV,1420523,1420524,YDR481C,stable,-
chrIV,610121,610122,YDR082W,stable,+
chrXI,418034,418035,YKL012W,stable,+
chrII,691959,691960,YBR236C,stable,-
chrXII,857284,857285,YLR368W,stable,+
chrXVI,623197,623198,YPR028W,stable,+
chrXVI,752980,752981,YPR114W,stable,+
chrII,307156,307157,YBR035C,stable,-
chrIV,1410314,1410315,YDR475C,stable,-
chrXIII,178601,178602,YML049C,stable,-
chrIX,142752,142753,YIL116W,stable,+
chrV,65416,65417,YEL048C,stable,-
chrV,27503,27504,YEL065W,stable,+
chrIV,1473009,1473010,YDR515W,stable,+
chrXVI,218344,218345,YPL175W,stable,+
chrXVI,67452,67453,YPL255W,stable,+
chrXVI,506645,506646,YPL023C,stable,-
chrIV,29153,29154,YDL239C,stable,-
chrX,146059,146060,YJL144W,stable,+
chrVII,850760,850761,YGR177C,stable,-
chrXIII,44839,44840,YML112W,stable,+
chrIV,681917,681918,YDR115W,stable,+
chrIV,681917,681918,YDR113C,stable,-
chrV,316751,316752,YER077C,stable,-
chrV,318530,318531,YER079W,stable,+
chrIV,1447613,1447614,YDR499W,stable,+
chrXII,228900,228901,YLR039C,stable,-
chrXIII,216138,216139,YML030W,stable,+
chrXVI,564037,564038,YPR003C,stable,-
chrXI,526882,526883,YKR048C,stable,-
chrIV,174868,174869,YDL157C,stable,-
chrII,192157,192158,YBL016W,stable,+
chrXII,778937,778938,YLR324W,stable,+
chrXII,214597,214598,YLR035C,stable,-
chrIX,259928,259929,YIL049W,stable,+
chrV,46879,46880,YEL056W,stable,+
chrXIV,254143,254144,YNL208W,stable,+
chrXV,1026671,1026672,YOR368W,stable,+
chrIX,39189,39190,YIL161W,stable,+
chrXVI,432398,432399,YPL061W,stable,+
chrXVI,174791,174792,YPL196W,stable,+
chrXV,775435,775436,YOR233W,stable,+
chrXVI,136435,136436,YPL219W,stable,+
chrXIV,122441,122442,YNL274C,stable,-
chrIV,447953,447954,YDL002C,stable,-
chrXV,106274,106275,YOL112W,stable,+
chrII,704312,704313,YBR241C,stable,-
chrII,704312,704313,YBR242W,stable,+
chrXIII,283848,283849,YMR009W,stable,+
chrXV,408136,408137,YOR042W,stable,+
chrIV,447673,447674,YDL001W,stable,+
chrXIII,531861,531862,YMR130W,stable,+
chrXII,820209,820210,YLR345W,stable,+
chrXV,820198,820199,YOR265W,stable,+
chrXV,878101,878102,YOR299W,stable,+
chrX,513792,513793,YJR042W,stable,+
chrI,41919,41920,YAL055W,stable,+
chrXV,550858,550859,YOR120W,stable,+
chrX,324692,324693,YJL059W,stable,+
chrVII,995362,995363,YGR251W,stable,+
chrIX,11301,11302,YIL173W,stable,+
chrX,11284,11285,YJL222W,stable,+
chrIX,199601,199602,YIL088C,stable,-
chrVII,654394,654395,YGR088W,stable,+
chrXIV,181207,181208,YNL249C,stable,-
chrIV,1019064,1019065,YDR279W,stable,+
chrXIII,818837,818838,YMR275C,stable,-
chrII,735702,735703,YBR261C,stable,-
chrIII,264679,264680,YCR087C-A,stable,-
chrVII,238345,238346,YGL142C,stable,-
chrVI,252240,252241,YFR052W,stable,+
chrIII,293622,293623,YCR097W,stable,+
chrX,172965,172966,YJL130C,stable,-
chrV,53610,53611,YEL054C,stable,-
chrIV,1334203,1334204,YDR435C,stable,-
chrVIII,452637,452638,YHR175W,stable,+
chrXII,166121,166122,YLR009W,stable,+
chrIV,1367051,1367052,YDR454C,stable,-
chrI,36319,36320,YAL059W,stable,+
chrIV,1126298,1126299,YDR328C,stable,-
chrIV,1150757,1150758,YDR339C,stable,-
chrII,356846,356847,YBR058C-A,stable,-
chrXII,36582,36583,YLL052C,stable,-
chrXII,893069,893070,YLR384C,stable,-
chrV,131411,131412,YEL012W,stable,+
chrX,291075,291076,YJL079C,stable,-
chrV,348575,348576,YER093C-A,stable,-
chrXVI,264740,264741,YPL152W,stable,+
chrVII,846313,846314,YGR174W-A,stable,+
chrXV,444279,444280,YOR063W,stable,+
chrIX,378221,378222,YIR012W,stable,+
chrX,315062,315063,YJL066C,stable,-
chrII,748001,748002,YBR272C,stable,-
chrXIII,562688,562689,YMR150C,stable,-
chrIV,489168,489169,YDR023W,stable,+
chrVII,624977,624978,YGR067C,stable,-
chrXIII,716305,716306,YMR223W,stable,+
chrXII,390621,390622,YLR121C,stable,-
chrX,328118,328119,YJL058C,stable,-
