SNP	Chr	Pos
286	2	120090
287	2	120291
288	2	120726
289	2	121716
290	2	123100
291	2	124677
293	2	127887
294	2	128935
295	2	129053
296	2	130040
297	2	130976
298	2	132199
299	2	133355
300	2	133435
302	2	135183
303	2	135402
304	2	135898
305	2	135912
306	2	135925
307	2	136002
308	2	136173
310	2	138318
311	2	138695
312	2	138818
313	2	139728
314	2	140174
315	2	140863
316	2	141152
317	2	141292
318	2	141545
322	2	146723
323	2	147946
326	2	151397
327	2	153035
328	2	153228
329	2	153455
331	2	153815
332	2	154160
333	2	154235
335	2	159870
336	2	161229
339	2	162696
340	2	163284
341	2	164166
342	2	165270
343	2	165675
346	2	168062
347	2	168518
348	2	168980
349	2	169651
352	2	170725
353	2	171254
354	2	172242
355	2	173254
356	2	173340
357	2	173385
358	2	173973
360	2	177341
361	2	180314
362	2	180339
363	2	182758
364	2	183619
367	2	187176
368	2	191066
371	2	191599
373	2	191763
374	2	191959
376	2	195759
377	2	196912
379	2	198110
381	2	198805
382	2	198891
383	2	199248
384	2	201782
385	2	203285
386	2	203783
387	2	204179
388	2	205406
389	2	205834
391	2	207192
392	2	207561
393	2	208682
394	2	210102
396	2	214801
397	2	215016
398	2	218876
399	2	227511
400	2	230378
401	2	231943
402	2	232156
403	2	232789
404	2	238524
405	2	241518
406	2	250396
407	2	250466
408	2	252305
409	2	254571
410	2	254742
411	2	254908
413	2	255862
414	2	255975
415	2	258311
416	2	259284
417	2	266330
418	2	267100
419	2	268086
420	2	274614
421	2	274729
422	2	275746
423	2	277029
424	2	277741
425	2	278218
426	2	278379
427	2	279910
429	2	283431
430	2	283573
431	2	286762
432	2	287187
433	2	288379
434	2	294941
439	2	297610
441	2	299680
442	2	299708
443	2	299759
444	2	300111
446	2	301710
447	2	303446
448	2	303854
449	2	304472
450	2	304691
451	2	308097
453	2	309402
454	2	310030
455	2	310113
456	2	310972
457	2	312659
460	2	318265
461	2	318379
462	2	321266
463	2	322957
464	2	325221
465	2	332691
466	2	333006
468	2	335046
469	2	335049
470	2	335995
471	2	336060
472	2	338292
473	2	339568
474	2	340466
478	2	348480
479	2	350086
480	2	351083
481	2	351335
482	2	351417
483	2	351450
484	2	352302
485	2	352469
486	2	352562
487	2	352944
490	2	355266
491	2	358277
492	2	358926
493	2	358948
494	2	359515
495	2	363190
496	2	363588
497	2	363888
498	2	363954
499	2	364199
501	2	365981
502	2	366047
503	2	366936
504	2	369530
506	2	369931
507	2	371033
508	2	372919
509	2	373518
510	2	376157
511	2	376172
514	2	381433
515	2	381922
516	2	382146
517	2	384206
518	2	384955
520	2	387301
521	2	388313
524	2	390138
525	2	391233
530	2	395606
531	2	395726
532	2	395853
533	2	396484
534	2	396705
535	2	398759
536	2	400386
537	2	400847
538	2	401130
539	2	401143
540	2	401979
541	2	403598
542	2	404844
543	2	405100
548	2	406181
549	2	406688
550	2	407621
551	2	409016
552	2	410647
554	2	419803
555	2	419943
556	2	422349
557	2	425467
560	2	429095
561	2	431266
562	2	431446
563	2	432524
564	2	434090
565	2	441927
566	2	446471
567	2	449325
569	2	450017
570	2	451779
571	2	451784
572	2	453525
573	2	453768
574	2	454027
575	2	455029
576	2	455247
579	2	455756
580	2	457024
581	2	457298
582	2	460202
586	2	464424
587	2	465824
588	2	470145
589	2	470686
590	2	471144
591	2	471830
592	2	472403
593	2	473668
594	2	473888
595	2	474138
596	2	474141
597	2	475703
598	2	476732
600	2	477272
601	2	477273
604	2	480275
605	2	480340
607	2	481312
608	2	483628
609	2	484021
610	2	484651
611	2	485249
612	2	485603
613	2	486033
615	2	488757
616	2	490612
617	2	491316
618	2	495558
619	2	495559
620	2	498324
621	2	498889
625	2	500276
626	2	500320
627	2	500677
628	2	501170
629	2	501746
630	2	505207
632	2	507274
633	2	507491
634	2	510017
635	2	510140
636	2	517548
637	2	517869
638	2	518106
639	2	518133
640	2	518385
641	2	518844
642	2	523217
643	2	524731
644	2	528468
645	2	528729
646	2	530047
647	2	533672
648	2	538868
653	2	542505
654	2	544518
655	2	544904
656	2	544912
657	2	544962
658	2	552681
660	2	553949
661	2	555320
662	2	555633
663	2	556553
664	2	557658
665	2	558703
669	2	567265
670	2	567339
673	2	572291
674	2	572565
675	2	573554
676	2	573624
678	2	573868
679	2	573983
680	2	574281
681	2	574592
682	2	574678
684	2	577915
687	2	582226
692	2	592973
693	2	592989
694	2	593029
695	2	593045
696	2	593459
697	2	594044
698	2	595492
699	2	598249
701	2	602542
702	2	604023
703	2	609784
704	2	610624
706	2	616723
707	2	618646
708	2	618987
709	2	619593
710	2	620149
711	2	620925
715	2	625090
716	2	625278
717	2	626092
718	2	628663
719	2	628692
720	2	630554
721	2	633052
722	2	633130
723	2	633281
724	2	633308
725	2	633859
726	2	635476
727	2	635959
728	2	636093
729	2	637041
730	2	637229
731	2	638637
734	2	645476
735	2	646360
736	2	647193
737	2	647884
738	2	649511
741	2	650924
742	2	654520
743	2	657722
744	2	660189
745	2	662669
746	2	668152
747	2	671051
748	2	671554
749	2	672334
750	2	678375
751	2	679565
752	2	680493
754	2	682076
755	2	682239
757	2	687998
758	2	689964
759	2	690583
760	2	694474
762	2	696541
763	2	697507
764	2	698030
767	2	699381
768	2	699384
769	2	699889
770	2	699929
771	2	701195
772	2	703873
773	2	704219
776	2	705106
777	2	705558
778	2	707207
779	2	707848
780	2	712159
781	2	712303
782	2	712456
783	2	712761
786	2	712962
788	2	714775
789	2	717833
791	2	718552
792	2	718598
793	2	718839
794	2	718965
795	2	719785
797	2	722169
798	2	723281
800	2	725477
801	2	725577
802	2	734490
803	2	734586
804	2	735866
805	2	737571
807	2	738941
808	2	741443
809	2	741554
810	2	742609
811	2	742620
812	2	742623
813	2	742956
814	2	744118
815	2	744147
816	2	744252
817	2	744413
818	2	744417
819	2	744466
820	2	746573
821	2	747212
824	2	750067
825	2	751443
827	2	758111
828	2	760471
829	2	762267
830	2	764689
831	2	767731
832	2	769972
833	2	772699
834	2	773629
838	2	774837
839	2	777253
840	2	778895
841	2	779029
842	2	780187
846	2	780545
847	2	782605
848	2	784284
849	2	785333
850	2	786434
851	2	787182
852	2	787277
853	2	788140
855	2	789465
856	2	789530
857	2	790356
858	2	790998
859	2	791790
863	2	794032
864	2	794999
865	2	797599
866	2	799021
868	2	799494
869	2	799991
870	2	800811
871	2	801661
872	2	801662
874	2	801676
875	2	801677
876	2	801689
877	2	801690
879	2	802096
880	2	802200
883	2	802702
884	2	803024
885	2	803493
886	2	804707
887	3	450
889	3	493
891	3	550
892	3	583
904	3	1886
905	3	1933
906	3	2644
907	3	2869
908	3	2926
909	3	3249
910	3	3277
911	3	3939
923	3	14069
924	3	16356
925	3	21337
928	3	25563
929	3	27063
933	3	31109
936	3	40865
937	3	41458
938	3	45881
939	3	46486
940	3	47344
941	3	48180
942	3	48299
943	3	48656
944	3	48764
945	3	49187
946	3	49221
947	3	49250
948	3	49783
949	3	49785
952	3	52350
953	3	52792
954	3	54110
955	3	56674
961	3	59518
962	3	59758
963	3	61460
964	3	61462
965	3	61544
966	3	62729
967	3	63929
969	3	67277
970	3	68046
971	3	68178
972	3	69265
973	3	72402
974	3	72790
975	3	74472
976	3	75264
977	3	75503
979	3	76131
980	3	76147
981	3	78480
982	3	79867
983	3	80341
984	3	80444
1002	3	92556
1003	3	92671
1006	3	95493
1007	3	96560
1008	3	98535
1009	3	100583
1010	3	101685
1011	3	101814
1012	3	105429
1013	3	111179
1016	3	114885
1017	3	118719
1018	3	119698
1019	3	120341
1020	3	122628
1021	3	123478
1022	3	125079
1023	3	126125
1024	3	126954
1026	3	131971
1027	3	134374
1028	3	135728
1029	3	135857
1030	3	136159
1031	3	136656
1032	3	136789
1034	3	139688
1036	3	143226
1037	3	143428
1039	3	145017
1040	3	145505
1041	3	146875
1042	3	147639
1043	3	147975
1044	3	147986
1047	3	149289
1057	3	152269
1059	3	156729
1060	3	158006
1061	3	163856
1062	3	165283
1063	3	165304
1064	3	166390
1066	3	168031
1067	3	170404
1068	3	177081
1069	3	177336
1071	3	181268
1073	3	186935
1074	3	187346
1076	3	188758
1077	3	188786
1078	3	188904
1079	3	188979
1080	3	189025
1081	3	189052
1082	3	189158
1083	3	190765
1084	3	195779
1085	3	196679
1086	3	196680
1087	3	196733
1088	3	197297
1089	3	198109
1090	3	198110
1091	3	198164
1092	3	198348
1093	3	198615
1095	3	203261
1096	3	204854
1097	3	204897
1098	3	204903
1099	3	207966
1100	3	207999
1101	3	208066
1103	3	208234
1104	3	208660
1105	3	208696
1106	3	208702
1107	3	210472
1108	3	210757
1109	3	211348
1111	3	211881
1112	3	211998
1113	3	212095
1114	3	214156
1115	3	217647
1117	3	218769
1118	3	219050
1119	3	221006
1120	3	221813
1121	3	222829
1122	3	224310
1124	3	226294
1125	3	226510
1126	3	227816
1127	3	228048
1130	3	229351
1131	3	230175
1132	3	233663
1133	3	234438
1134	3	235617
1135	3	237105
1136	3	238714
1137	3	238914
1138	3	241126
1140	3	242578
1141	3	245238
1142	3	247158
1144	3	248454
1146	3	249928
1147	3	251255
1148	3	251274
1149	3	251879
1150	3	251939
1151	3	252801
1152	3	253109
1153	3	253118
1154	3	253321
1155	3	253394
1156	3	254361
1157	3	254926
1158	3	256359
1159	3	256593
1160	3	256989
1161	3	257462
1162	3	258273
1163	3	258343
1164	3	258579
1165	3	258768
1166	3	258781
1167	3	258828
1168	3	259020
1169	3	259458
1171	3	261281
1172	3	262631
1173	3	265059
1174	3	267625
1178	3	274530
1179	3	274845
1180	3	275765
1181	3	278462
1182	3	278675
1183	3	278791
1184	3	282537
1185	3	284743
1186	3	285299
1187	3	285659
1191	3	289803
1192	3	289856
1193	3	289942
1194	3	290417
1195	3	290527
1196	3	290957
1197	3	290963
1198	3	291002
1199	3	291045
1200	3	291075
1201	3	291159
1206	3	291349
1213	3	293851
1214	3	293855
1215	3	295047
1216	3	295867
1218	3	297295
1219	3	298996
1220	3	299045
1223	3	299701
1224	3	302380
1233	3	306783
1247	3	311452
1248	3	312012
1253	4	0
1254	4	0
1255	4	0
1257	4	1
1259	4	2
1261	4	2
1262	4	2
1263	4	2
1264	4	3
1265	4	3
1266	4	4
1267	4	4
1270	4	5
1271	4	6
1272	4	6
1273	4	7
1274	4	7
1278	4	8
1279	4	8
1280	4	8
1281	4	8
1282	4	9
1283	4	9
1284	4	9
1285	4	10
1286	4	13
1287	4	20
1288	4	23
1289	4	26
1290	4	30
1291	4	30
1292	4	31
1293	4	32
1294	4	33
1295	4	34
1297	4	36
1299	4	43
1301	4	44
1302	4	55
1304	4	57
1305	4	58
1306	4	60
1307	4	73
1309	4	80
1310	4	81
1311	4	81
1312	4	82
1313	4	85
1314	4	86
1316	4	112
1317	4	118
1318	4	135
1319	4	148
1321	4	155
1322	4	165
1323	4	211
1324	4	275
1325	4	306
1326	4	314
1328	4	423
1330	4	486
1331	4	501
1332	4	573
1333	4	593
1334	4	624
1335	4	633
1336	4	650
1337	4	684
1338	4	697
1339	4	704
1340	4	771
1341	4	835
1342	4	851
1345	4	935
1346	4	959
1347	4	975
1348	4	999
1349	4	1046
1350	4	1309
1351	4	1418
1352	4	1685
1353	4	1834
1358	4	2947
1359	4	3400
1360	4	3501
1361	4	3576
1362	4	4193
1363	4	4217
1364	4	4354
1366	4	5164
1367	4	5243
1368	4	5360
1369	4	5373
1372	4	5583
1379	4	6085
1380	4	6124
1381	4	6371
1382	4	6383
1383	4	6424
1384	4	6509
1385	4	6795
1386	4	6930
1387	4	6965
1388	4	7094
1389	4	7383
1391	4	7893
1392	4	8452
1393	4	8550
1396	4	8644
1397	4	9487
1398	4	13362
1399	4	13533
1400	4	13882
1401	4	14176
1402	4	15219
1403	4	15754
1404	4	16051
1405	4	16202
1406	4	16647
1409	4	17795
1412	4	18597
1413	4	18955
1414	4	19310
1415	4	20302
1416	4	20874
1417	4	21871
1418	4	22141
1419	4	22771
1421	4	26744
1424	4	28509
1425	4	29308
1426	4	29835
1429	4	36857
1430	4	37106
1431	4	38160
1432	4	38200
1433	4	39021
1434	4	40300
1435	4	43687
1436	4	43708
1439	4	43992
1442	4	46913
1443	4	47131
1445	4	48617
1446	4	48723
1447	4	49408
1448	4	49568
1449	4	49675
1450	4	51735
1451	4	51775
1452	4	51793
1453	4	51859
1454	4	52093
1455	4	52141
1456	4	52459
1457	4	53342
1458	4	55290
1459	4	56089
1461	4	57719
1464	4	60023
1465	4	60460
1466	4	61772
1467	4	62037
1468	4	62324
1469	4	62762
1470	4	64285
1471	4	65329
1472	4	65934
1473	4	66022
1475	4	66159
1476	4	66228
1477	4	66763
1478	4	68860
1479	4	68911
1480	4	69269
1481	4	70023
1482	4	70129
1484	4	71282
1485	4	71689
1486	4	72324
1487	4	72434
1488	4	72764
1489	4	73313
1490	4	74160
1491	4	76499
1493	4	77589
1494	4	77718
1495	4	77851
1496	4	77997
1497	4	79690
1498	4	79853
1499	4	80944
1500	4	82080
1501	4	82454
1506	4	83947
1507	4	84004
1508	4	84689
1509	4	84692
1510	4	84897
1511	4	85322
1512	4	85809
1513	4	86292
1514	4	86372
1515	4	86424
1516	4	86904
1517	4	90193
1518	4	90424
1519	4	90554
1520	4	91087
1521	4	91200
1522	4	91234
1523	4	91966
1524	4	92317
1525	4	94122
1526	4	95022
1527	4	95148
1528	4	95215
1529	4	95478
1530	4	96178
1531	4	96325
1532	4	98110
1533	4	98128
1534	4	98837
1535	4	98990
1536	4	99543
1537	4	102509
1538	4	102705
1539	4	103444
1540	4	103991
1541	4	105908
1542	4	106371
1543	4	107525
1544	4	108510
1545	4	108791
1546	4	111205
1547	4	112474
1548	4	112969
1549	4	114992
1550	4	115453
1551	4	115541
1553	4	116782
1554	4	117170
1555	4	117432
1556	4	121939
1557	4	121955
1558	4	122050
1559	4	122309
1560	4	122365
1561	4	122560
1562	4	122596
1563	4	122617
1564	4	123193
1565	4	123439
1566	4	123976
1567	4	126981
1568	4	127308
1569	4	127323
1570	4	132281
1571	4	132892
1572	4	132952
1573	4	135298
1577	4	135873
1578	4	136069
1579	4	136920
1580	4	137351
1581	4	137511
1582	4	141606
1583	4	142711
1584	4	143484
1585	4	145738
1586	4	147035
1587	4	147814
1588	4	148075
1591	4	149457
1592	4	149464
1593	4	149678
1594	4	154434
1595	4	156313
1596	4	156362
1597	4	156963
1599	4	158123
1600	4	158426
1601	4	158963
1603	4	161760
1604	4	163032
1605	4	163327
1607	4	165032
1608	4	165290
1609	4	165509
1610	4	167204
1611	4	167436
1612	4	167687
1613	4	168238
1614	4	168256
1615	4	171883
1616	4	172408
1617	4	173416
1618	4	173461
1622	4	174546
1623	4	174974
1624	4	175467
1625	4	177157
1626	4	177207
1627	4	177280
1628	4	177330
1629	4	177633
1630	4	177756
1631	4	178032
1632	4	178058
1633	4	178267
1634	4	178339
1635	4	178489
1636	4	178698
1637	4	178705
1638	4	178974
1639	4	179020
1640	4	179134
1641	4	179240
1642	4	179480
1643	4	179651
1644	4	179674
1645	4	179696
1646	4	179726
1647	4	179806
1648	4	179890
1649	4	180004
1650	4	180086
1651	4	180121
1652	4	182380
1656	4	192266
1659	4	193794
1660	4	193943
1661	4	195122
1662	4	195463
1663	4	195795
1664	4	196790
1665	4	198420
1666	4	199642
1667	4	203027
1668	4	204037
1669	4	205977
1675	4	211091
1676	4	211612
1679	4	213169
1680	4	213950
1681	4	217566
1684	4	219124
1686	4	220692
1687	4	221261
1689	4	222510
1690	4	223039
1691	4	223328
1692	4	223356
1693	4	224819
1694	4	224966
1697	4	228580
1701	4	234153
1702	4	234536
1703	4	238194
1704	4	242179
1705	4	243657
1706	4	248600
1707	4	248779
1708	4	249022
1709	4	249864
1710	4	250515
1712	4	251719
1716	4	256985
1717	4	257828
1718	4	259994
1719	4	263044
1720	4	264432
1721	4	265022
1722	4	267372
1723	4	267844
1724	4	268855
1728	4	271787
1729	4	274059
1730	4	274409
1731	4	274840
1732	4	274870
1733	4	274922
1734	4	274930
1738	4	275180
1739	4	275191
1740	4	275289
1741	4	275562
1742	4	275637
1743	4	275645
1744	4	275715
1745	4	275721
1746	4	275859
1747	4	275865
1748	4	275877
1749	4	276015
1750	4	276066
1751	4	276194
1752	4	276201
1753	4	276375
1754	4	276645
1755	4	276806
1756	4	276820
1757	4	276934
1758	4	277129
1759	4	277137
1760	4	277249
1761	4	277276
1762	4	277639
1763	4	277649
1764	4	277971
1765	4	278164
1766	4	278914
1767	4	278971
1768	4	279037
1769	4	280703
1770	4	280859
1771	4	280934
1772	4	282594
1773	4	282713
1774	4	283570
1775	4	283830
1776	4	285234
1778	4	285568
1779	4	287068
1782	4	289631
1783	4	289647
1784	4	290003
1785	4	290096
1786	4	291044
1787	4	291531
1788	4	292625
1789	4	292985
1790	4	293190
1791	4	293625
1792	4	294073
1793	4	294288
1794	4	294760
1795	4	297290
1796	4	297499
1797	4	297638
1798	4	297848
1799	4	298091
1800	4	299599
1802	4	300148
1807	4	302611
1809	4	303011
1810	4	304549
1811	4	307387
1812	4	308154
1813	4	311231
1814	4	311787
1815	4	312488
1816	4	312611
1817	4	314015
1820	4	320017
1821	4	320510
1822	4	328073
1823	4	331098
1824	4	336922
1826	4	351322
1827	4	353020
1831	4	356055
1832	4	356492
1833	4	356541
1834	4	356853
1836	4	357632
1837	4	357802
1838	4	362032
1839	4	362199
1841	4	363194
1843	4	368078
1844	4	368457
1846	4	369403
1851	4	372110
1853	4	375688
1854	4	376511
1856	4	380252
1857	4	382176
1858	4	383443
1872	4	384094
1874	4	384602
1875	4	384607
1876	4	388305
1877	4	388542
1879	4	390909
1880	4	397927
1883	4	404981
1885	4	405368
1886	4	408981
1889	4	413957
1890	4	414243
1891	4	415928
1892	4	419709
1893	4	420255
1894	4	421542
1895	4	422070
1896	4	422545
1897	4	425689
1898	4	425858
1902	4	428826
1903	4	428861
1904	4	433301
1905	4	433554
1906	4	434256
1907	4	434351
1910	4	442926
1912	4	445208
1916	4	450801
1917	4	451837
1920	4	454081
1921	4	454191
1922	4	454676
1923	4	454817
1924	4	454913
1926	4	455170
1927	4	458042
1928	4	458282
1929	4	458401
1930	4	461656
1931	4	461812
1932	4	462685
1933	4	463276
1934	4	463970
1935	4	464078
1936	4	464336
1937	4	464368
1938	4	466223
1939	4	466334
1942	4	472918
1943	4	473492
1944	4	473912
1945	4	474265
1946	4	474320
1947	4	474321
1948	4	474625
1949	4	474628
1951	4	476181
1953	4	476833
1954	4	478092
1955	4	479557
1956	4	480076
1957	4	481074
1961	4	485199
1962	4	485454
1963	4	487562
1965	4	491790
1967	4	493748
1968	4	495614
1969	4	497124
1970	4	497529
1971	4	498734
1972	4	499794
1973	4	501469
1974	4	504047
1975	4	504419
1976	4	512749
1991	4	523964
2027	4	538866
2028	4	539688
2030	4	542062
2033	4	544372
2034	4	546036
2035	4	546402
2037	4	547460
2041	4	548101
2042	4	548356
2043	4	548896
2044	4	549461
2045	4	551365
2048	4	554056
2049	4	554792
2050	4	558812
2051	4	559258
2055	4	562709
2056	4	563928
2057	4	564066
2058	4	565447
2059	4	567144
2060	4	567417
2064	4	571075
2065	4	572183
2066	4	573409
2067	4	574801
2068	4	575378
2069	4	575468
2073	4	576758
2074	4	577415
2075	4	577658
2076	4	577740
2077	4	578506
2078	4	578512
2079	4	579070
2080	4	579494
2081	4	579699
2082	4	579809
2083	4	579869
2084	4	580657
2085	4	582525
2086	4	584486
2087	4	584912
2088	4	588662
2090	4	590025
2091	4	590826
2092	4	590885
2093	4	590984
2094	4	591356
2095	4	591435
2097	4	591983
2100	4	592839
2108	4	593676
2109	4	594369
2110	4	597710
2111	4	598800
2112	4	600513
2113	4	604043
2114	4	605641
2115	4	605918
2117	4	608349
2118	4	608355
2119	4	609905
2120	4	610797
2121	4	611309
2122	4	613791
2123	4	614738
2124	4	618428
2125	4	619541
2126	4	620206
2127	4	620786
2128	4	621613
2132	4	622259
2133	4	622563
2134	4	623642
2135	4	624555
2138	4	629973
2140	4	631409
2141	4	636237
2142	4	636347
2143	4	636391
2144	4	636810
2145	4	636879
2147	4	638340
2148	4	639037
2149	4	641585
2150	4	641978
2151	4	642192
2152	4	643795
2153	4	644586
2154	4	645245
2157	4	657631
2158	4	660338
2159	4	663656
2160	4	664068
2161	4	664414
2162	4	664456
2163	4	665001
2166	4	667986
2167	4	667994
2168	4	668101
2169	4	668118
2177	4	671424
2179	4	672752
2180	4	672865
2181	4	673119
2182	4	674432
2183	4	675810
2184	4	675982
2185	4	677658
2187	4	679438
2188	4	679624
2189	4	680423
2190	4	680477
2191	4	680490
2192	4	681327
2193	4	681488
2195	4	682178
2196	4	687169
2197	4	687895
2200	4	689337
2201	4	692323
2203	4	694335
2204	4	694920
2205	4	695803
2206	4	696549
2207	4	696696
2208	4	697690
2209	4	698189
2210	4	698339
2211	4	700036
2212	4	700250
2213	4	700621
2214	4	700855
2215	4	703521
2216	4	705139
2217	4	706032
2218	4	707926
2219	4	708514
2220	4	709553
2221	4	710109
2222	4	710130
2223	4	710388
2224	4	711314
2225	4	712914
2226	4	712924
2227	4	713335
2228	4	713520
2229	4	713555
2230	4	719215
2232	4	721638
2233	4	722056
2234	4	724885
2235	4	727323
2236	4	730263
2237	4	732758
2238	4	732994
2239	4	736459
2240	4	736615
2241	4	736769
2242	4	736908
2243	4	738776
2244	4	741699
2245	4	741737
2247	4	746943
2254	4	749708
2256	4	755257
2257	4	756788
2258	4	756811
2263	4	760553
2264	4	760734
2265	4	762727
2266	4	764905
2267	4	765852
2268	4	767117
2269	4	769065
2270	4	769779
2271	4	769848
2272	4	769943
2273	4	778367
2274	4	778573
2275	4	781689
2276	4	782125
2277	4	782960
2278	4	783543
2279	4	784282
2280	4	789241
2281	4	794376
2282	4	794951
2283	4	795775
2284	4	795937
2285	4	797067
2286	4	797405
2289	4	802519
2292	4	808113
2295	4	811690
2296	4	812053
2297	4	814423
2299	4	816707
2300	4	817314
2301	4	817489
2302	4	817645
2303	4	817729
2305	4	820654
2306	4	821138
2307	4	825050
2308	4	825273
2309	4	826151
2310	4	826324
2313	4	831973
2314	4	832289
2315	4	834790
2316	4	835165
2317	4	835337
2318	4	838720
2319	4	839960
2320	4	842152
2321	4	842326
2322	4	842566
2323	4	843045
2324	4	843203
2325	4	843659
2326	4	843707
2327	4	843818
2328	4	843920
2329	4	843927
2330	4	844384
2331	4	844958
2332	4	845665
2333	4	845722
2335	4	846867
2336	4	847743
2337	4	847796
2338	4	847822
2339	4	848136
2340	4	849577
2341	4	850450
2342	4	851053
2343	4	851208
2344	4	851282
2345	4	851750
2346	4	852621
2347	4	855191
2348	4	855322
2349	4	855709
2350	4	856696
2351	4	857609
2352	4	857970
2353	4	858371
2354	4	861346
2355	4	861441
2356	4	861470
2357	4	861549
2358	4	861716
2361	4	863847
2362	4	863856
2363	4	864546
2366	4	865297
2367	4	866929
2368	4	867989
2369	4	870200
2370	4	870855
2371	4	871120
2372	4	871373
2384	4	884500
2385	4	884706
2388	4	888476
2389	4	889739
2390	4	889957
2391	4	891344
2392	4	891466
2393	4	892444
2395	4	894785
2396	4	896181
2397	4	896785
2398	4	903873
2400	4	906490
2401	4	908655
2402	4	909027
2403	4	909524
2404	4	910018
2406	4	911766
2408	4	912509
2409	4	912557
2410	4	913736
2413	4	914902
2414	4	914952
2415	4	915199
2419	4	916142
2420	4	916254
2421	4	916444
2422	4	917149
2423	4	917833
2424	4	918606
2425	4	923675
2426	4	924091
2427	4	924619
2429	4	926384
2430	4	926385
2431	4	926405
2432	4	926695
2433	4	926907
2434	4	927194
2435	4	927218
2436	4	927223
2437	4	927509
2438	4	927559
2439	4	927577
2440	4	928575
2441	4	929694
2442	4	930648
2443	4	930822
2444	4	930823
2445	4	930964
2446	4	932727
2447	4	934187
2448	4	934911
2449	4	936493
2450	4	936521
2451	4	936663
2452	4	937563
2455	4	938323
2456	4	938510
2457	4	938617
2458	4	941039
2459	4	941936
2460	4	942067
2461	4	942069
2462	4	942533
2463	4	944445
2464	4	947317
2465	4	948413
2466	4	949523
2467	4	950108
2468	4	953287
2469	4	956734
2471	4	959283
2472	4	960412
2473	4	960833
2474	4	961744
2475	4	962979
2477	4	964930
2478	4	965160
2479	4	969630
2481	4	973283
2482	4	974042
2483	4	974632
2484	4	974689
2485	4	974731
2492	4	975090
2493	4	975108
2496	4	975252
2497	4	975354
2498	4	975573
2499	4	975702
2504	4	976707
2505	4	977037
2506	4	977428
2507	4	979983
2508	4	980596
2509	4	980779
2510	4	980835
2511	4	996583
2512	4	997624
2513	4	998174
2514	4	1112991
2515	4	1118719
2516	4	1123519
2517	4	1123610
2518	4	1123959
2519	4	1126543
2520	4	1127480
2521	4	1133634
2522	4	1137173
2523	4	1138274
2524	4	1138987
2525	4	1141284
2526	4	1144564
2537	4	1156518
2538	4	1156658
2539	4	1156839
2540	4	1157271
2542	4	1161556
2543	4	1166231
2544	4	1171385
2545	4	1171794
2546	4	1171863
2547	4	1172380
2548	4	1172576
2549	4	1172914
2550	4	1173839
2552	4	1175150
2553	4	1175327
2554	4	1175949
2556	4	1176852
2558	4	1181165
