Yeast_Gene_stable_ID	Yeast_Gene_name	Human_Gene_stable_ID	Human_Gene_name
YDL138W	RGT2	ENSG00000197496	SLC2A10
YGR070W	ROM1	ENSG00000152767	FARP1
YNL026W	SAM50	ENSG00000100347	SAMM50
YOR233W	KIN4	ENSG00000142149	HUNK
YNR072W	HXT17	ENSG00000197496	SLC2A10
YMR247C	RKR1	ENSG00000198862	LTN1
YNL126W	SPC98	ENSG00000126216	TUBGCP3
YNL271C	BNI1	ENSG00000139734	DIAPH3
YOL086C	ADH1	ENSG00000205758	CRYZL1
YIR036C	IRC24	ENSG00000159228	CBR1
YIR036C	IRC24	ENSG00000159231	CBR3
YEL029C	BUD16	ENSG00000160209	PDXK
YGL039W		ENSG00000088451	TGDS
YGR155W	CYS4	ENSG00000160200	CBS
YER157W	COG3	ENSG00000136152	COG3
YKL182W	FAS1	ENSG00000100294	MCAT
YLR077W	FMP25	ENSG00000136161	RCBTB2
YMR105C	PGM2	ENSG00000099256	PRTFDC1
YCR054C	CTR86	ENSG00000130638	ATXN10
YLR422W	DCK1	ENSG00000147459	DOCK5
YDR122W	KIN1	ENSG00000142178	SIK1
YNL128W	TEP1	ENSG00000274391	TPTE
YKL168C	KKQ8	ENSG00000142178	SIK1
YPR031W	NTO1	ENSG00000102221	JADE3
YJL110C	GZF3	ENSG00000130700	GATA5
YDR541C		ENSG00000112699	GMDS
YNL247W		ENSG00000134905	CARS2
YNL320W		ENSG00000139826	ABHD13
YPR129W	SCD6	ENSG00000149657	LSM14B
YHR135C	YCK1	ENSG00000180138	CSNK1A1L
YBR244W	GPX2	ENSG00000224586	GPX5
YOR328W	PDR10	ENSG00000160179	ABCG1
YKL198C	PTK1	ENSG00000142178	SIK1
YDR406W	PDR15	ENSG00000160179	ABCG1
YER123W	YCK3	ENSG00000180138	CSNK1A1L
YJL088W	ARG3	ENSG00000036473	OTC
YPL268W	PLC1	ENSG00000182621	PLCB1
YPL058C	PDR12	ENSG00000160179	ABCG1
YJR059W	PTK2	ENSG00000142178	SIK1
YOR093C	CMR2	ENSG00000151240	DIP2C
YLR435W	TSR2	ENSG00000158526	TSR2
YOR171C	LCB4	ENSG00000100422	CERK
YDR129C	SAC6	ENSG00000136167	LCP1
YOR110W	TFC7	ENSG00000160185	UBASH3A
YJL165C	HAL5	ENSG00000142178	SIK1
YJR110W	YMR1	ENSG00000102043	MTMR8
YJR110W	YMR1	ENSG00000100330	MTMR3
YDR247W	VHS1	ENSG00000142178	SIK1
YIL048W	NEO1	ENSG00000054793	ATP9A
YFR040W	SAP155	ENSG00000100239	PPP6R2
YNR052C	POP2	ENSG00000198791	CNOT7
YLR273C	PIG1	ENSG00000132825	PPP1R3D
YLR273C	PIG1	ENSG00000173281	PPP1R3B
YER078C	ICP55	ENSG00000196236	XPNPEP3
YPL141C	FRK1	ENSG00000142178	SIK1
YOR175C	ALE1	ENSG00000177669	MBOAT4
YOR109W	INP53	ENSG00000159082	SYNJ1
YOR109W	INP53	ENSG00000185133	INPP5J
YLR378C	SEC61	ENSG00000065665	SEC61A2
YGL157W	ARI1	ENSG00000112699	GMDS
YER105C	NUP157	ENSG00000113569	NUP155
YCR067C	SED4	ENSG00000134759	ELP2
YIL013C	PDR11	ENSG00000160179	ABCG1
YOL119C	MCH4	ENSG00000147100	SLC16A2
YEL042W	GDA1	ENSG00000197586	ENTPD6
YLR197W	NOP56	ENSG00000101361	NOP56
YOR011W	AUS1	ENSG00000160179	ABCG1
YNR030W	ALG12	ENSG00000182858	ALG12
YBR283C	SSH1	ENSG00000065665	SEC61A2
YOR156C	NFI1	ENSG00000078043	PIAS2
YGR070W	ROM1	ENSG00000102302	FGD1
YJR155W	AAD10	ENSG00000196139	AKR1C3
YJR155W	AAD10	ENSG00000198610	AKR1C4
YOR233W	KIN4	ENSG00000142178	SIK1
YKL165C	MCD4	ENSG00000197563	PIGN
YIR035C		ENSG00000100612	DHRS7
YDR198C	RKM2	ENSG00000185917	SETD4
YCL043C	PDI1	ENSG00000139921	TMX1
YKL033W	TTI1	ENSG00000101407	TTI1
YLR071C	RGR1	ENSG00000180182	MED14
YDR409W	SIZ1	ENSG00000078043	PIAS2
YDL048C	STP4	ENSG00000179388	EGR3
YLR260W	LCB5	ENSG00000100422	CERK
YNL106C	INP52	ENSG00000159082	SYNJ1
YNL106C	INP52	ENSG00000185133	INPP5J
YMR176W	ECM5	ENSG00000008083	JARID2
YIL159W	BNR1	ENSG00000189132	FAM47B
YNL154C	YCK2	ENSG00000180138	CSNK1A1L
YNR070W	PDR18	ENSG00000160179	ABCG1
YNL037C	IDH1	ENSG00000101365	IDH3B
YGL229C	SAP4	ENSG00000100239	PPP6R2
YHR077C	NMD2	ENSG00000151461	UPF2
YGL039W		ENSG00000112699	GMDS
YJR103W	URA8	ENSG00000047230	CTPS2
YKR028W	SAP190	ENSG00000100239	PPP6R2
YNL271C	BNI1	ENSG00000189132	FAM47B
YIR036C	IRC24	ENSG00000100612	DHRS7
YGR244C	LSC2	ENSG00000136143	SUCLA2
YER120W	SCS2	ENSG00000124164	VAPB
YDR011W	SNQ2	ENSG00000160179	ABCG1
YMR076C	PDS5	ENSG00000083642	PDS5B
YPL026C	SKS1	ENSG00000142178	SIK1
YLR375W	STP3	ENSG00000179388	EGR3
YHR132C	ECM14	ENSG00000080618	CPB2
YNL233W	BNI4	ENSG00000087495	PHACTR3
YLR166C	SEC10	ENSG00000070367	EXOC5
YJR090C	GRR1	ENSG00000183580	FBXL7
YGL097W	SRM1	ENSG00000136161	RCBTB2
YPR111W	DBF20	ENSG00000150457	LATS2
YOR153W	PDR5	ENSG00000160179	ABCG1
YLR299W	ECM38	ENSG00000131067	GGT7
YIL129C	TAO3	ENSG00000073910	FRY
YKL127W	PGM1	ENSG00000099256	PRTFDC1
YHR030C	SLT2	ENSG00000100030	MAPK1
YHR030C	SLT2	ENSG00000080823	MOK
YPL048W	CAM1	ENSG00000159212	CLIC6
YOR370C	MRS6	ENSG00000188419	CHM
YPR156C	TPO3	ENSG00000036565	SLC18A1
YLR371W	ROM2	ENSG00000102302	FGD1
YLR215C	CDC123	ENSG00000151465	CDC123
YNR026C	SEC12	ENSG00000134759	ELP2
YOR014W	RTS1	ENSG00000154001	PPP2R5E
YOL151W	GRE2	ENSG00000112699	GMDS
YOR077W	RTS2	ENSG00000151657	KIN
YGR092W	DBF2	ENSG00000150457	LATS2
YNL183C	NPR1	ENSG00000142178	SIK1
YLR096W	KIN2	ENSG00000142178	SIK1
YJL004C	SYS1	ENSG00000204070	SYS1
YDL243C	AAD4	ENSG00000196139	AKR1C3
YDL243C	AAD4	ENSG00000198610	AKR1C4
YJL098W	SAP185	ENSG00000100239	PPP6R2
YMR020W	FMS1	ENSG00000069535	MAOB
YDL040C	NAT1	ENSG00000172766	NAA16
YDR063W	AIM7	ENSG00000197045	GMFB
YGL044C	RNA15	ENSG00000177613	CSTF2T
YIL125W	KGD1	ENSG00000181192	DHTKD1
YLR103C	CDC45	ENSG00000093009	CDC45
YER154W	OXA1	ENSG00000155463	OXA1L
YPR074C	TKL1	ENSG00000007350	TKTL1
YDL215C	GDH2	ENSG00000182890	GLUD2
YHR117W	TOM71	ENSG00000165416	SUGT1
YHR117W	TOM71	ENSG00000197860	SGTB
YDL224C	WHI4	ENSG00000161082	CELF5
YHR019C	DED81	ENSG00000134440	NARS1
YDR135C	YCF1	ENSG00000124574	ABCC10
YDL080C	THI3	ENSG00000105135	ILVBL
YPL012W	RRP12	ENSG00000052749	RRP12
YDR141C	DOP1	ENSG00000142197	DOP1B
YER005W	YND1	ENSG00000197217	ENTPD4
YGR109C	CLB6	ENSG00000147082	CCNB3
YGR109C	CLB6	ENSG00000152669	CCNO
YDR319C		ENSG00000197296	FITM2
YOR175C	ALE1	ENSG00000172197	MBOAT1
YOR359W	VTS1	ENSG00000020577	SAMD4A
YLR273C	PIG1	ENSG00000235194	PPP1R3E
YKL121W	DGR2	ENSG00000131725	WDR44
YPL164C	MLH3	ENSG00000119684	MLH3
YGR087C	PDC6	ENSG00000105135	ILVBL
YLR168C	UPS2	ENSG00000101166	PRELID3B
YJL074C	SMC3	ENSG00000151773	CCDC122
YIL048W	NEO1	ENSG00000132932	ATP8A2
YIL048W	NEO1	ENSG00000068650	ATP11A
YIL048W	NEO1	ENSG00000081923	ATP8B1
YDR358W	GGA1	ENSG00000139668	WDFY2
YBR236C	ABD1	ENSG00000101654	RNMT
YEL016C	NPP2	ENSG00000112796	ENPP5
YEL016C	NPP2	ENSG00000001561	ENPP4
YDR502C	SAM2	ENSG00000151224	MAT1A
YJR031C	GEA1	ENSG00000144711	IQSEC1
YCL025C	AGP1	ENSG00000164893	SLC7A13
YBR049C	REB1	ENSG00000101057	MYBL2
YDR108W	TRS85	ENSG00000153339	TRAPPC8
YBR079C	RPG1	ENSG00000107581	EIF3A
YGL073W	HSF1	ENSG00000171116	HSFX1
YGL073W	HSF1	ENSG00000283463	HSFX4
YNL242W	ATG2	ENSG00000066739	ATG2B
YBR105C	VID24	ENSG00000141034	GID4
YPR002W	PDH1	ENSG00000102794	ACOD1
YGR108W	CLB1	ENSG00000147082	CCNB3
YGR108W	CLB1	ENSG00000152669	CCNO
YDR046C	BAP3	ENSG00000164893	SLC7A13
YJR110W	YMR1	ENSG00000139505	MTMR6
YGR194C	XKS1	ENSG00000093217	XYLB
YPL145C	KES1	ENSG00000130703	OSBPL2
YNL161W	CBK1	ENSG00000112079	STK38
YKR056W	TRM2	ENSG00000188917	TRMT2B
YOR127W	RGA1	ENSG00000105137	SYDE1
YOR093C	CMR2	ENSG00000160305	DIP2A
YCR037C	PHO87	ENSG00000141485	SLC13A5
YEL026W	SNU13	ENSG00000100138	SNU13
YLR246W	ERF2	ENSG00000104219	ZDHHC2
YLR246W	ERF2	ENSG00000102383	ZDHHC15
YLR246W	ERF2	ENSG00000180776	ZDHHC20
YGL238W	CSE1	ENSG00000124207	CSE1L
YPL268W	PLC1	ENSG00000154822	PLCL2
YBR296C	PHO89	ENSG00000168575	SLC20A2
YCR092C	MSH3	ENSG00000113318	MSH3
YOR119C	RIO1	ENSG00000124784	RIOK1
YCR026C	NPP1	ENSG00000112796	ENPP5
YCR026C	NPP1	ENSG00000001561	ENPP4
YLR342W	FKS1	ENSG00000009844	VTA1
YJR119C	JHD2	ENSG00000127663	KDM4B
YMR210W	MGL2	ENSG00000158201	ABHD3
YCR053W	THR4	ENSG00000185875	THNSL1
YLR399C	BDF1	ENSG00000114166	KAT2B
YOR336W	KRE5	ENSG00000102595	UGGT2
YDR180W	SCC2	ENSG00000164190	NIPBL
YDL193W	NUS1	ENSG00000153989	NUS1
YPR029C	APL4	ENSG00000213983	AP1G2
YDR508C	GNP1	ENSG00000164893	SLC7A13
YJL110C	GZF3	ENSG00000141448	GATA6
YLR417W	VPS36	ENSG00000136100	VPS36
YER155C	BEM2	ENSG00000105137	SYDE1
YNL286W	CUS2	ENSG00000102241	HTATSF1
YDL141W	BPL1	ENSG00000159267	HLCS
YDR270W	CCC2	ENSG00000075673	ATP12A
YBR265W	TSC10	ENSG00000119537	KDSR
YIL051C	MMF1	ENSG00000132541	RIDA
YCR014C	POL4	ENSG00000166169	POLL
YNL128W	TEP1	ENSG00000132958	TPTE2
YGL008C	PMA1	ENSG00000074370	ATP2A3
YGL008C	PMA1	ENSG00000123191	ATP7B
YGL008C	PMA1	ENSG00000075673	ATP12A
YEL060C	PRB1	ENSG00000134900	TPP2
YEL060C	PRB1	ENSG00000175426	PCSK1
YHR108W	GGA2	ENSG00000139668	WDFY2
YJL093C	TOK1	ENSG00000152315	KCNK13
YJL093C	TOK1	ENSG00000124780	KCNK17
YBR169C	SSE2	ENSG00000120694	HSPH1
YLR422W	DCK1	ENSG00000088387	DOCK9
YGR232W	NAS6	ENSG00000101843	PSMD10
YAL032C	PRP45	ENSG00000100603	SNW1
YLR077W	FMP25	ENSG00000136144	RCBTB1
YHR009C	TDA3	ENSG00000132837	DMGDH
YDR492W	IZH1	ENSG00000170915	PAQR8
YMR229C	RRP5	ENSG00000148843	PDCD11
YHR072W	ERG7	ENSG00000160285	LSS
YNL197C	WHI3	ENSG00000161082	CELF5
YOL124C	TRM11	ENSG00000066651	TRMT11
YDL024C	DIA3	ENSG00000107789	MINPP1
YPL208W	RKM1	ENSG00000183576	SETD3
YNR006W	VPS27	ENSG00000139668	WDFY2
YDL155W	CLB3	ENSG00000152669	CCNO
YPL227C	ALG5	ENSG00000120697	ALG5
YER093C	TSC11	ENSG00000164327	RICTOR
YOR005C	DNL4	ENSG00000174405	LIG4
YMR284W	YKU70	ENSG00000196419	XRCC6
YLR180W	SAM1	ENSG00000151224	MAT1A
YHR155W	LAM1	ENSG00000108100	CCNY
YDL167C	NRP1	ENSG00000170925	TEX13B
YDL167C	NRP1	ENSG00000268629	TEX13A
YML093W	UTP14	ENSG00000253797	UTP14C
YMR308C	PSE1	ENSG00000137040	RANBP6
YBR260C	RGD1	ENSG00000105137	SYDE1
YMR216C	SKY1	ENSG00000188130	MAPK12
YNR047W	FPK1	ENSG00000100784	RPS6KA5
YGL067W	NPY1	ENSG00000112874	NUDT12
YFL009W	CDC4	ENSG00000166167	BTRC
YBR290W	BSD2	ENSG00000102471	NDFIP2
YHL021C	AIM17	ENSG00000185973	TMLHE
YNR013C	PHO91	ENSG00000141485	SLC13A5
YDL070W	BDF2	ENSG00000114166	KAT2B
YOL056W	GPM3	ENSG00000171314	PGAM1
YBR088C	POL30	ENSG00000132646	PCNA
YJR147W	HMS2	ENSG00000171116	HSFX1
YJR147W	HMS2	ENSG00000283463	HSFX4
YMR022W	UBC7	ENSG00000184787	UBE2G2
YKL029C	MAE1	ENSG00000065833	ME1
YOR367W	SCP1	ENSG00000064666	CNN2
YIL031W	ULP2	ENSG00000112701	SENP6
YDR026C	NSI1	ENSG00000101057	MYBL2
YNL023C	FAP1	ENSG00000086102	NFX1
YPL048W	CAM1	ENSG00000124194	GDAP1L1
YPL048W	CAM1	ENSG00000155962	CLIC2
YPL048W	CAM1	ENSG00000148834	GSTO1
YHR030C	SLT2	ENSG00000188130	MAPK12
YHR030C	SLT2	ENSG00000185386	MAPK11
YEL044W	IES6	ENSG00000153391	INO80C
YJL198W	PHO90	ENSG00000141485	SLC13A5
YLR134W	PDC5	ENSG00000105135	ILVBL
YDR081C	PDC2	ENSG00000125817	CENPB
YBR029C	CDS1	ENSG00000101290	CDS2
YLR195C	NMT1	ENSG00000152465	NMT2
YPL106C	SSE1	ENSG00000120694	HSPH1
YJR090C	GRR1	ENSG00000005812	FBXL3
YGL097W	SRM1	ENSG00000136144	RCBTB1
YML087C	AIM33	ENSG00000065615	CYB5R4
YLR438W	CAR2	ENSG00000065154	OAT
YCR091W	KIN82	ENSG00000100784	RPS6KA5
YBR028C	YPK3	ENSG00000100784	RPS6KA5
YNL257C	SIP3	ENSG00000108100	CCNY
YPL113C		ENSG00000137106	GRHPR
YPL217C	BMS1	ENSG00000165733	BMS1
YDR040C	ENA1	ENSG00000075673	ATP12A
YOR258W	HNT3	ENSG00000137074	APTX
YAL022C	FUN26	ENSG00000112759	SLC29A1
YNL048W	ALG11	ENSG00000253710	ALG11
YMR213W	CEF1	ENSG00000096401	CDC5L
YNL271C	BNI1	ENSG00000146122	DAAM2
YDL021W	GPM2	ENSG00000171314	PGAM1
YIL074C	SER33	ENSG00000137106	GRHPR
YIR036C	IRC24	ENSG00000157326	DHRS4
YIR036C	IRC24	ENSG00000100867	DHRS2
YPR105C	COG4	ENSG00000177692	DNAJC28
YJL053W	PEP8	ENSG00000157538	VPS26C
YKL022C	CDC16	ENSG00000130177	CDC16
YPR025C	CCL1	ENSG00000134480	CCNH
YPL169C	MEX67	ENSG00000147206	NXF3
YDR392W	SPT3	ENSG00000196284	SUPT3H
YLR205C	HMX1	ENSG00000100292	HMOX1
YBL008W	HIR1	ENSG00000100084	HIRA
YNL231C	PDR16	ENSG00000124120	TTPAL
YNL231C	PDR16	ENSG00000177182	CLVS1
YNL231C	PDR16	ENSG00000146352	CLVS2
YNL121C	TOM70	ENSG00000165416	SUGT1
YNL121C	TOM70	ENSG00000197860	SGTB
YLR075W	RPL10	ENSG00000165496	RPL10L
YDL101C	DUN1	ENSG00000183765	CHEK2
YLL061W	MMP1	ENSG00000164893	SLC7A13
YLR430W	SEN1	ENSG00000073146	MOV10L1
YPR160W	GPH1	ENSG00000100504	PYGL
YOR291W	YPK9	ENSG00000075673	ATP12A
YPL274W	SAM3	ENSG00000164893	SLC7A13
YEL063C	CAN1	ENSG00000164893	SLC7A13
YIR035C		ENSG00000157326	DHRS4
YIR035C		ENSG00000100867	DHRS2
YLR253W	MCP2	ENSG00000063761	ADCK1
YER066W	RRT13	ENSG00000166167	BTRC
YLL043W	FPS1	ENSG00000171885	AQP4
YGR032W	GSC2	ENSG00000009844	VTA1
YKR088C	TVP38	ENSG00000180694	TMEM64
YKL020C	SPT23	ENSG00000185722	ANKFY1
YKR036C	CAF4	ENSG00000166167	BTRC
YNL139C	THO2	ENSG00000125676	THOC2
YEL053C	MAK10	ENSG00000135040	NAA35
YCL016C	DCC1	ENSG00000136982	DSCC1
YJR059W	PTK2	ENSG00000178093	TSSK6
YJR059W	PTK2	ENSG00000177453	NIM1K
YJR059W	PTK2	ENSG00000206203	TSSK2
YJR059W	PTK2	ENSG00000139908	TSSK4
YJR059W	PTK2	ENSG00000174672	BRSK2
YKL198C	PTK1	ENSG00000178093	TSSK6
YKL198C	PTK1	ENSG00000177453	NIM1K
YKL198C	PTK1	ENSG00000206203	TSSK2
YKL198C	PTK1	ENSG00000139908	TSSK4
YKL198C	PTK1	ENSG00000174672	BRSK2
YFR047C	BNA6	ENSG00000103485	QPRT
YCR037C	PHO87	ENSG00000104044	OCA2
YHR164C	DNA2	ENSG00000107290	SETX
YOL107W		ENSG00000126062	TMEM115
YMR303C	ADH2	ENSG00000171724	VAT1L
YLR001C		ENSG00000120708	TGFBI
YOR251C	TUM1	ENSG00000128309	MPST
YGL213C	SKI8	ENSG00000141076	UTP4
YBR140C	IRA1	ENSG00000105122	RASAL3
YGR082W	TOM20	ENSG00000196860	TOMM20L
YBR042C	CST26	ENSG00000026652	AGPAT4
YOR018W	ROD1	ENSG00000113369	ARRDC3
YDR387C	CIN10	ENSG00000151229	SLC2A13
YLR207W	HRD3	ENSG00000091490	SEL1L3
YLR207W	HRD3	ENSG00000081791	DELE1
YGR203W	YCH1	ENSG00000101224	CDC25B
YOR232W	MGE1	ENSG00000109519	GRPEL1
YPL061W	ALD6	ENSG00000165092	ALDH1A1
YPL061W	ALD6	ENSG00000118514	ALDH8A1
YPL061W	ALD6	ENSG00000128918	ALDH1A2
YKL168C	KKQ8	ENSG00000178093	TSSK6
YKL168C	KKQ8	ENSG00000177453	NIM1K
YKL168C	KKQ8	ENSG00000206203	TSSK2
YKL168C	KKQ8	ENSG00000139908	TSSK4
YKL168C	KKQ8	ENSG00000174672	BRSK2
YMR227C	TAF7	ENSG00000102387	TAF7L
YPL074W	YTA6	ENSG00000167216	KATNAL2
YPL074W	YTA6	ENSG00000186625	KATNA1
YKR021W	ALY1	ENSG00000113369	ARRDC3
YER015W	FAA2	ENSG00000140284	SLC27A2
YJL010C	NOP9	ENSG00000196943	NOP9
YEL062W	NPR2	ENSG00000114388	NPRL2
YHR108W	GGA2	ENSG00000100284	TOM1
YHR108W	GGA2	ENSG00000141198	TOM1L1
YDR232W	HEM1	ENSG00000158578	ALAS2
YML042W	CAT2	ENSG00000205560	CPT1B
YML104C	MDM1	ENSG00000071189	SNX13
YJL194W	CDC6	ENSG00000094804	CDC6
YDR453C	TSA2	ENSG00000165672	PRDX3
YMR105C	PGM2	ENSG00000154330	PGM5
YDR492W	IZH1	ENSG00000108960	MMD
YHR117W	TOM71	ENSG00000154174	TOMM70
YHR117W	TOM71	ENSG00000100380	ST13
YHR117W	TOM71	ENSG00000005175	RPAP3
YHR174W	ENO2	ENSG00000188316	ENO4
YEL011W	GLC3	ENSG00000114480	GBE1
YBR241C		ENSG00000059804	SLC2A3
YBR241C		ENSG00000109667	SLC2A9
YBR241C		ENSG00000146411	SLC2A12
YBR241C		ENSG00000133460	SLC2A11
YHR080C	LAM4	ENSG00000155324	GRAMD2B
YDR135C	YCF1	ENSG00000108846	ABCC3
YOL059W	GPD2	ENSG00000167588	GPD1
YOR374W	ALD4	ENSG00000165092	ALDH1A1
YOR374W	ALD4	ENSG00000118514	ALDH8A1
YOR374W	ALD4	ENSG00000128918	ALDH1A2
YGR110W	CLD1	ENSG00000127220	ABHD8
YGR110W	CLD1	ENSG00000011198	ABHD5
YFL048C	EMP47	ENSG00000074695	LMAN1
YFL048C	EMP47	ENSG00000140506	LMAN1L
YLR273C	PIG1	ENSG00000049769	PPP1R3F
YIL048W	NEO1	ENSG00000166377	ATP9B
YIL048W	NEO1	ENSG00000104043	ATP8B4
YDR358W	GGA1	ENSG00000100284	TOM1
YDR358W	GGA1	ENSG00000141198	TOM1L1
YGR238C	KEL2	ENSG00000172534	HCFC1
YLR142W	PUT1	ENSG00000100033	PRODH
YNL102W	POL1	ENSG00000101868	POLA1
YHR158C	KEL1	ENSG00000172534	HCFC1
YBR235W	VHC1	ENSG00000064651	SLC12A2
YAL060W	BDH1	ENSG00000171724	VAT1L
YJR110W	YMR1	ENSG00000150712	MTMR12
YNL134C		ENSG00000171724	VAT1L
YGL073W	HSF1	ENSG00000025156	HSF2
YGL073W	HSF1	ENSG00000176160	HSF5
YDR497C	ITR1	ENSG00000151229	SLC2A13
YPL145C	KES1	ENSG00000141447	OSBPL1A
YPL145C	KES1	ENSG00000070882	OSBPL3
YPR161C	SGV1	ENSG00000136807	CDK9
YEL052W	AFG1	ENSG00000135537	AFG1L
YOL078W	AVO1	ENSG00000119487	MAPKAP1
YKL080W	VMA5	ENSG00000155097	ATP6V1C1
YMR076C	PDS5	ENSG00000121892	PDS5A
YBR204C	LDH1	ENSG00000127220	ABHD8
YBR204C	LDH1	ENSG00000011198	ABHD5
YIR036C	IRC24	ENSG00000157379	DHRS1
YIR036C	IRC24	ENSG00000119471	HSDL2
YPL167C	REV3	ENSG00000050030	NEXMIF
YBR073W	RDH54	ENSG00000197275	RAD54B
YPR025C	CCL1	ENSG00000129315	CCNT1
YJL154C	VPS35	ENSG00000069329	VPS35
YMR277W	FCP1	ENSG00000060069	CTDP1
YHR190W	ERG9	ENSG00000079459	FDFT1
YJL062W	LAS21	ENSG00000174227	PIGG
YDR390C	UBA2	ENSG00000126261	UBA2
YDL048C	STP4	ENSG00000184937	WT1
YHR208W	BAT1	ENSG00000060982	BCAT1
YOL013C	HRD1	ENSG00000198919	DZIP3
YFL033C	RIM15	ENSG00000120539	MASTL
YBL041W	PRE7	ENSG00000008018	PSMB1
YBR298C	MAL31	ENSG00000059804	SLC2A3
YBR298C	MAL31	ENSG00000109667	SLC2A9
YBR298C	MAL31	ENSG00000146411	SLC2A12
YBR298C	MAL31	ENSG00000136856	SLC2A8
YBR298C	MAL31	ENSG00000133460	SLC2A11
YBR298C	MAL31	ENSG00000142583	SLC2A5
YPL111W	CAR1	ENSG00000118520	ARG1
YJL005W	CYR1	ENSG00000206422	LRRC30
YDL138W	RGT2	ENSG00000059804	SLC2A3
YDL138W	RGT2	ENSG00000109667	SLC2A9
YDL138W	RGT2	ENSG00000146411	SLC2A12
YDL138W	RGT2	ENSG00000136856	SLC2A8
YDL138W	RGT2	ENSG00000133460	SLC2A11
YDL138W	RGT2	ENSG00000142583	SLC2A5
YMR253C		ENSG00000176273	SLC35G1
