Yeast_Gene_stable_ID	Yeast_Gene_name	Human_Gene_stable_ID	Human_Gene_name
YKL198C	PTK1	ENSG00000142149	HUNK
YGL206C	CHC1	ENSG00000070371	CLTCL1
YLR081W	GAL2	ENSG00000197496	SLC2A10
YJL008C	CCT8	ENSG00000156261	CCT8
YDL214C	PRR2	ENSG00000142149	HUNK
YMR303C	ADH2	ENSG00000205758	CRYZL1
YJR119C	JHD2	ENSG00000012817	KDM5D
YDR018C		ENSG00000160216	AGPAT3
YER016W	BIM1	ENSG00000166974	MAPRE2
YFL011W	HXT10	ENSG00000197496	SLC2A10
YLR001C		ENSG00000133110	POSTN
YNL041C	COG6	ENSG00000133103	COG6
YBR140C	IRA1	ENSG00000185989	RASA3
YBR068C	BAP2	ENSG00000139514	SLC7A1
YBR103W	SIF2	ENSG00000092377	TBL1Y
YDL194W	SNF3	ENSG00000197496	SLC2A10
YDR298C	ATP5	ENSG00000241837	ATP5PO
YDR541C		ENSG00000088451	TGDS
YBR042C	CST26	ENSG00000160216	AGPAT3
YHR094C	HXT1	ENSG00000197496	SLC2A10
YIL072W	HOP1	ENSG00000176635	HORMAD2
YLR323C	CWC24	ENSG00000139797	RNF113B
Q0110	BI2	ENSG00000198727	MT-CYB
YDR508C	GNP1	ENSG00000139514	SLC7A1
YJL214W	HXT8	ENSG00000197496	SLC2A10
YPL231W	FAS2	ENSG00000100294	MCAT
YKL189W	HYM1	ENSG00000102547	CAB39L
YGR209C	TRX2	ENSG00000091164	TXNL1
YKL087C	CYT2	ENSG00000004961	HCCS
YJR160C	MPH3	ENSG00000197496	SLC2A10
YKR019C	IRS4	ENSG00000205726	ITSN1
YGR005C	TFG2	ENSG00000188342	GTF2F2
YOR048C	RAT1	ENSG00000088930	XRN2
YJR147W	HMS2	ENSG00000169953	HSFY2
YJR147W	HMS2	ENSG00000172468	HSFY1
YKL029C	MAE1	ENSG00000082212	ME2
YAL036C	RBG1	ENSG00000185721	DRG1
YHR030C	SLT2	ENSG00000141639	MAPK4
YDL219W	DTD1	ENSG00000129480	DTD2
YPL006W	NCR1	ENSG00000141458	NPC1
YCR057C	PWP2	ENSG00000241945	PWP2
YBR112C	CYC8	ENSG00000183878	UTY
YPL026C	SKS1	ENSG00000142149	HUNK
YBR145W	ADH5	ENSG00000205758	CRYZL1
YBL068W-A		ENSG00000205758	CRYZL1
YKL071W		ENSG00000159231	CBR3
YDR342C	HXT7	ENSG00000197496	SLC2A10
YGR289C	MAL11	ENSG00000197496	SLC2A10
YLR460C		ENSG00000205758	CRYZL1
YNL197C	WHI3	ENSG00000101489	CELF4
YIR022W	SEC11	ENSG00000166562	SEC11C
YDL155W	CLB3	ENSG00000133101	CCNA1
YLR096W	KIN2	ENSG00000142149	HUNK
YNL183C	NPR1	ENSG00000142149	HUNK
YJR138W	IML1	ENSG00000100150	DEPDC5
YMR216C	SKY1	ENSG00000141639	MAPK4
YCR102C		ENSG00000205758	CRYZL1
YMR308C	PSE1	ENSG00000065150	IPO5
YBR087W	RFC5	ENSG00000133119	RFC3
YJL219W	HXT9	ENSG00000197496	SLC2A10
YOL151W	GRE2	ENSG00000088451	TGDS
YJL083W	TAX4	ENSG00000205726	ITSN1
YLR043C	TRX1	ENSG00000091164	TXNL1
YLL050C	COF1	ENSG00000125868	DSTN
YGL104C	VPS73	ENSG00000197496	SLC2A10
YDR289C	RTT103	ENSG00000141425	RPRD1A
YLR371W	ROM2	ENSG00000152767	FARP1
YOL156W	HXT11	ENSG00000197496	SLC2A10
YOR259C	RPT4	ENSG00000100519	PSMC6
YLL061W	MMP1	ENSG00000139514	SLC7A1
YCL043C	PDI1	ENSG00000125827	TMX4
YCL043C	PDI1	ENSG00000166479	TMX3
YBR017C	KAP104	ENSG00000065150	IPO5
YKL134C	OCT1	ENSG00000027001	MIPEP
YHR092C	HXT4	ENSG00000197496	SLC2A10
YBR298C	MAL31	ENSG00000197496	SLC2A10
YEL063C	CAN1	ENSG00000139514	SLC7A1
YMR318C	ADH6	ENSG00000205758	CRYZL1
YLR008C	PAM18	ENSG00000120675	DNAJC15
YLR206W	ENT2	ENSG00000176177	ENTHD1
YIR035C		ENSG00000159228	CBR1
YIR035C		ENSG00000159231	CBR3
YML102W	CAC2	ENSG00000159259	CHAF1B
Q0120	BI4	ENSG00000198727	MT-CYB
YOL081W	IRA2	ENSG00000185989	RASA3
YPL274W	SAM3	ENSG00000139514	SLC7A1
YNL246W	VPS75	ENSG00000236424	TSPY10
YNL246W	VPS75	ENSG00000258992	TSPY1
YNL246W	VPS75	ENSG00000168757	TSPY2
YNL246W	VPS75	ENSG00000229549	TSPY8
YNL246W	VPS75	ENSG00000228927	TSPY3
YNL246W	VPS75	ENSG00000233803	TSPY4
YNL246W	VPS75	ENSG00000238074	TSPY9
YDL138W	RGT2	ENSG00000197496	SLC2A10
YGR070W	ROM1	ENSG00000152767	FARP1
YNL026W	SAM50	ENSG00000100347	SAMM50
YOR233W	KIN4	ENSG00000142149	HUNK
YNR072W	HXT17	ENSG00000197496	SLC2A10
YOR003W	YSP3	ENSG00000125851	PCSK2
YMR247C	RKR1	ENSG00000198862	LTN1
YNL126W	SPC98	ENSG00000126216	TUBGCP3
Q0065	AI4	ENSG00000198804	MT-CO1
YIR009W	MSL1	ENSG00000125870	SNRPB2
YKL161C	KDX1	ENSG00000141639	MAPK4
YNL271C	BNI1	ENSG00000139734	DIAPH3
YOL086C	ADH1	ENSG00000205758	CRYZL1
YIR036C	IRC24	ENSG00000159228	CBR1
YIR036C	IRC24	ENSG00000159231	CBR3
YEL029C	BUD16	ENSG00000160209	PDXK
Q0250	COX2	ENSG00000198712	MT-CO2
YAL061W	BDH2	ENSG00000205758	CRYZL1
YGL039W		ENSG00000088451	TGDS
YDL245C	HXT15	ENSG00000197496	SLC2A10
YGR155W	CYS4	ENSG00000160200	CBS
YER157W	COG3	ENSG00000136152	COG3
YOL021C	DIS3	ENSG00000083520	DIS3
YKL182W	FAS1	ENSG00000100294	MCAT
YDR140W	MTQ2	ENSG00000156239	N6AMT1
YMR260C	TIF11	ENSG00000198692	EIF1AY
YMR226C		ENSG00000159231	CBR3
YER143W	DDI1	ENSG00000134882	UBAC2
YLR077W	FMP25	ENSG00000136161	RCBTB2
YGL225W	VRG4	ENSG00000134490	TMEM241
YMR105C	PGM2	ENSG00000099256	PRTFDC1
YCR054C	CTR86	ENSG00000130638	ATXN10
YLR422W	DCK1	ENSG00000147459	DOCK5
YOR120W	GCY1	ENSG00000196139	AKR1C3
YOR120W	GCY1	ENSG00000198610	AKR1C4
YML015C	TAF11	ENSG00000284283	TAF11L4
YDR460W	TFB3	ENSG00000020426	MNAT1
YNL108C		ENSG00000160185	UBASH3A
YKL151C	NNR2	ENSG00000213995	NAXD
YDR122W	KIN1	ENSG00000142178	SIK1
YDR166C	SEC5	ENSG00000112685	EXOC2
YML130C	ERO1	ENSG00000197930	ERO1A
YNL128W	TEP1	ENSG00000274391	TPTE
YNL201C	PSY2	ENSG00000224960	PPP4R3C
YMR005W	TAF4	ENSG00000141384	TAF4B
YKL168C	KKQ8	ENSG00000142178	SIK1
YJR044C	VPS55	ENSG00000104660	LEPROTL1
YPR031W	NTO1	ENSG00000102221	JADE3
YDR165W	TRM82	ENSG00000160193	WDR4
YER074W-A	YOS1	ENSG00000134049	IER3IP1
YLR147C	SMD3	ENSG00000100028	SNRPD3
YBR111C	YSA1	ENSG00000165609	NUDT5
snR6		ENSG00000252952	RNU6-58P
YHR128W	FUR1	ENSG00000094841	UPRT
YIR037W	HYR1	ENSG00000224586	GPX5
YJL110C	GZF3	ENSG00000130700	GATA5
YKL056C	TMA19	ENSG00000133112	TPT1
YDR541C		ENSG00000112699	GMDS
YJL136C	RPS21B	ENSG00000171858	RPS21
YNL247W		ENSG00000134905	CARS2
YNL320W		ENSG00000139826	ABHD13
YPR129W	SCD6	ENSG00000149657	LSM14B
YHR135C	YCK1	ENSG00000180138	CSNK1A1L
YBR244W	GPX2	ENSG00000224586	GPX5
YDL007W	RPT2	ENSG00000100764	PSMC1
YDL214C	PRR2	ENSG00000142178	SIK1
YOR328W	PDR10	ENSG00000160179	ABCG1
YKL198C	PTK1	ENSG00000142178	SIK1
YDR406W	PDR15	ENSG00000160179	ABCG1
YER123W	YCK3	ENSG00000180138	CSNK1A1L
YJL088W	ARG3	ENSG00000036473	OTC
snR19		ENSG00000201155	RNU1-24P
snR19		ENSG00000200231	RNU1-23P
YER042W	MXR1	ENSG00000175806	MSRA
YPL268W	PLC1	ENSG00000182621	PLCB1
YPL204W	HRR25	ENSG00000180138	CSNK1A1L
YPL058C	PDR12	ENSG00000160179	ABCG1
YBL039C	URA7	ENSG00000047230	CTPS2
YBL079W	NUP170	ENSG00000113569	NUP155
YOL163W		ENSG00000101194	SLC17A9
YOL163W		ENSG00000160190	SLC37A1
YJR059W	PTK2	ENSG00000142178	SIK1
YAL025C	MAK16	ENSG00000198042	MAK16
YOR093C	CMR2	ENSG00000151240	DIP2C
YKL081W	TEF4	ENSG00000159212	CLIC6
YLR435W	TSR2	ENSG00000158526	TSR2
YER039C	HVG1	ENSG00000134490	TMEM241
YOR171C	LCB4	ENSG00000100422	CERK
YDR129C	SAC6	ENSG00000136167	LCP1
YOL165C	AAD15	ENSG00000196139	AKR1C3
YOL165C	AAD15	ENSG00000198610	AKR1C4
YOR110W	TFC7	ENSG00000160185	UBASH3A
YNL331C	AAD14	ENSG00000196139	AKR1C3
YNL331C	AAD14	ENSG00000198610	AKR1C4
YJL165C	HAL5	ENSG00000142178	SIK1
YJR110W	YMR1	ENSG00000102043	MTMR8
YJR110W	YMR1	ENSG00000100330	MTMR3
YHR002W	LEU5	ENSG00000122912	SLC25A16
YBR039W	ATP3	ENSG00000165629	ATP5F1C
YPL088W		ENSG00000196139	AKR1C3
YPL088W		ENSG00000198610	AKR1C4
YDR247W	VHS1	ENSG00000142178	SIK1
YIL048W	NEO1	ENSG00000054793	ATP9A
YNL255C	GIS2	ENSG00000187969	ZCCHC13
YFR040W	SAP155	ENSG00000100239	PPP6R2
YNR052C	POP2	ENSG00000198791	CNOT7
YLR273C	PIG1	ENSG00000132825	PPP1R3D
YLR273C	PIG1	ENSG00000173281	PPP1R3B
YER078C	ICP55	ENSG00000196236	XPNPEP3
YBL091C-A	SCS22	ENSG00000124164	VAPB
YPL141C	FRK1	ENSG00000142178	SIK1
YPL237W	SUI3	ENSG00000125977	EIF2S2
YOR175C	ALE1	ENSG00000177669	MBOAT4
YOR109W	INP53	ENSG00000159082	SYNJ1
YOR109W	INP53	ENSG00000185133	INPP5J
YLR378C	SEC61	ENSG00000065665	SEC61A2
YJL204C	RCY1	ENSG00000070367	EXOC5
YDR518W	EUG1	ENSG00000139921	TMX1
YGR201C		ENSG00000159212	CLIC6
YGL157W	ARI1	ENSG00000112699	GMDS
YER105C	NUP157	ENSG00000113569	NUP155
YKL026C	GPX1	ENSG00000224586	GPX5
YCR067C	SED4	ENSG00000134759	ELP2
YIL013C	PDR11	ENSG00000160179	ABCG1
YOL119C	MCH4	ENSG00000147100	SLC16A2
YEL042W	GDA1	ENSG00000197586	ENTPD6
YOR036W	PEP12	ENSG00000124222	STX16
YLR197W	NOP56	ENSG00000101361	NOP56
YOR306C	MCH5	ENSG00000147100	SLC16A2
YOR011W	AUS1	ENSG00000160179	ABCG1
YNR030W	ALG12	ENSG00000182858	ALG12
YGR200C	ELP2	ENSG00000134759	ELP2
YBR283C	SSH1	ENSG00000065665	SEC61A2
YOR156C	NFI1	ENSG00000078043	PIAS2
YGR070W	ROM1	ENSG00000102302	FGD1
YNL178W	RPS3	ENSG00000182093	GET1
YJR155W	AAD10	ENSG00000196139	AKR1C3
YJR155W	AAD10	ENSG00000198610	AKR1C4
YOR233W	KIN4	ENSG00000142178	SIK1
YKL165C	MCD4	ENSG00000197563	PIGN
YOL162W		ENSG00000101194	SLC17A9
YOL162W		ENSG00000160190	SLC37A1
YIR035C		ENSG00000100612	DHRS7
YDR198C	RKM2	ENSG00000185917	SETD4
YCL043C	PDI1	ENSG00000139921	TMX1
YKL033W	TTI1	ENSG00000101407	TTI1
YLR071C	RGR1	ENSG00000180182	MED14
YDR409W	SIZ1	ENSG00000078043	PIAS2
YDL048C	STP4	ENSG00000179388	EGR3
YLR260W	LCB5	ENSG00000100422	CERK
YNL106C	INP52	ENSG00000159082	SYNJ1
YNL106C	INP52	ENSG00000185133	INPP5J
YCR107W	AAD3	ENSG00000196139	AKR1C3
YCR107W	AAD3	ENSG00000198610	AKR1C4
YMR176W	ECM5	ENSG00000008083	JARID2
YIL159W	BNR1	ENSG00000189132	FAM47B
YNL154C	YCK2	ENSG00000180138	CSNK1A1L
YNR070W	PDR18	ENSG00000160179	ABCG1
YNL037C	IDH1	ENSG00000101365	IDH3B
YGL229C	SAP4	ENSG00000100239	PPP6R2
YHR077C	NMD2	ENSG00000151461	UPF2
YMR205C	PFK2	ENSG00000141959	PFKL
YGL039W		ENSG00000112699	GMDS
YMR041C	ARA2	ENSG00000196139	AKR1C3
YMR041C	ARA2	ENSG00000198610	AKR1C4
YJR103W	URA8	ENSG00000047230	CTPS2
YKR028W	SAP190	ENSG00000100239	PPP6R2
YNL271C	BNI1	ENSG00000189132	FAM47B
YIR036C	IRC24	ENSG00000100612	DHRS7
YGR244C	LSC2	ENSG00000136143	SUCLA2
YJL001W	PRE3	ENSG00000101182	PSMA7
YNL153C	GIM3	ENSG00000101132	PFDN4
YER120W	SCS2	ENSG00000124164	VAPB
YDR011W	SNQ2	ENSG00000160179	ABCG1
YKL161C	KDX1	ENSG00000100030	MAPK1
YKL161C	KDX1	ENSG00000080823	MOK
YMR076C	PDS5	ENSG00000083642	PDS5B
YKR034W	DAL80	ENSG00000130700	GATA5
YMR161W	HLJ1	ENSG00000172404	DNAJB7
YOR090C	PTC5	ENSG00000100614	PPM1A
YPL026C	SKS1	ENSG00000142178	SIK1
YLR375W	STP3	ENSG00000179388	EGR3
YHR132C	ECM14	ENSG00000080618	CPB2
YNL233W	BNI4	ENSG00000087495	PHACTR3
YLR166C	SEC10	ENSG00000070367	EXOC5
YCR059C	YIH1	ENSG00000154059	IMPACT
YJR090C	GRR1	ENSG00000183580	FBXL7
YGL097W	SRM1	ENSG00000136161	RCBTB2
YPR111W	DBF20	ENSG00000150457	LATS2
YPR068C	HOS1	ENSG00000147099	HDAC8
YNR054C	ESF2	ENSG00000146109	ABT1
YOR153W	PDR5	ENSG00000160179	ABCG1
YLR299W	ECM38	ENSG00000131067	GGT7
YIL129C	TAO3	ENSG00000073910	FRY
YKL127W	PGM1	ENSG00000099256	PRTFDC1
YHR030C	SLT2	ENSG00000100030	MAPK1
YHR030C	SLT2	ENSG00000080823	MOK
YPL048W	CAM1	ENSG00000159212	CLIC6
YOR370C	MRS6	ENSG00000188419	CHM
YPR156C	TPO3	ENSG00000036565	SLC18A1
YLR371W	ROM2	ENSG00000102302	FGD1
YGR138C	TPO2	ENSG00000036565	SLC18A1
YDL124W		ENSG00000196139	AKR1C3
YDL124W		ENSG00000198610	AKR1C4
YLR215C	CDC123	ENSG00000151465	CDC123
YDR289C	RTT103	ENSG00000101413	RPRD1B
YOR178C	GAC1	ENSG00000132825	PPP1R3D
YOR178C	GAC1	ENSG00000173281	PPP1R3B
YNR026C	SEC12	ENSG00000134759	ELP2
YOR014W	RTS1	ENSG00000154001	PPP2R5E
YOL151W	GRE2	ENSG00000112699	GMDS
YPR067W	ISA2	ENSG00000165898	ISCA2
YOR077W	RTS2	ENSG00000151657	KIN
YGR092W	DBF2	ENSG00000150457	LATS2
YDR368W	YPR1	ENSG00000196139	AKR1C3
YDR368W	YPR1	ENSG00000198610	AKR1C4
YNL183C	NPR1	ENSG00000142178	SIK1
YLR096W	KIN2	ENSG00000142178	SIK1
YGR001C	EFM5	ENSG00000150456	EEF1AKMT1
YJL068C		ENSG00000139684	ESD
YPR051W	MAK3	ENSG00000139977	NAA30
YLR421C	RPN13	ENSG00000130706	ADRM1
YJL004C	SYS1	ENSG00000204070	SYS1
YDL243C	AAD4	ENSG00000196139	AKR1C3
YDL243C	AAD4	ENSG00000198610	AKR1C4
YJL098W	SAP185	ENSG00000100239	PPP6R2
YMR020W	FMS1	ENSG00000069535	MAOB
YDL040C	NAT1	ENSG00000172766	NAA16
YDR063W	AIM7	ENSG00000197045	GMFB
YML078W	CPR3	ENSG00000113593	PPWD1
YGL044C	RNA15	ENSG00000177613	CSTF2T
YIL125W	KGD1	ENSG00000181192	DHTKD1
YLR103C	CDC45	ENSG00000093009	CDC45
YBR177C	EHT1	ENSG00000158201	ABHD3
YJL180C	ATP12	ENSG00000171953	ATPAF2
YPR119W	CLB2	ENSG00000147082	CCNB3
YPR119W	CLB2	ENSG00000152669	CCNO
YER154W	OXA1	ENSG00000155463	OXA1L
YPR074C	TKL1	ENSG00000007350	TKTL1
YDL215C	GDH2	ENSG00000182890	GLUD2
YHR117W	TOM71	ENSG00000165416	SUGT1
YHR117W	TOM71	ENSG00000197860	SGTB
YDL224C	WHI4	ENSG00000161082	CELF5
YHR019C	DED81	ENSG00000134440	NARS1
YNL223W	ATG4	ENSG00000101844	ATG4A
YDR135C	YCF1	ENSG00000124574	ABCC10
YDR374C	PHO92	ENSG00000149658	YTHDF1
YDL080C	THI3	ENSG00000105135	ILVBL
YGR201C		ENSG00000124194	GDAP1L1
YGR201C		ENSG00000155962	CLIC2
YGR201C		ENSG00000148834	GSTO1
YML125C	PGA3	ENSG00000065615	CYB5R4
YPL012W	RRP12	ENSG00000052749	RRP12
YDR141C	DOP1	ENSG00000142197	DOP1B
YKL181W	PRS1	ENSG00000141127	PRPSAP2
YBR154C	RPB5	ENSG00000099817	POLR2E
YER005W	YND1	ENSG00000197217	ENTPD4
YGR109C	CLB6	ENSG00000147082	CCNB3
YGR109C	CLB6	ENSG00000152669	CCNO
YDR319C		ENSG00000197296	FITM2
YGL018C	JAC1	ENSG00000100209	HSCB
YOR175C	ALE1	ENSG00000172197	MBOAT1
YGR127W		ENSG00000183597	TANGO2
YFL054C	AQY3	ENSG00000171885	AQP4
YPL175W	SPT14	ENSG00000165195	PIGA
YER081W	SER3	ENSG00000137106	GRHPR
YOR359W	VTS1	ENSG00000020577	SAMD4A
YBR092C	PHO3	ENSG00000107789	MINPP1
YLR273C	PIG1	ENSG00000235194	PPP1R3E
YKL121W	DGR2	ENSG00000131725	WDR44
YPL164C	MLH3	ENSG00000119684	MLH3
YGR087C	PDC6	ENSG00000105135	ILVBL
YLR168C	UPS2	ENSG00000101166	PRELID3B
YNL024C-A	KSH1	ENSG00000174695	TMEM167A
YJL074C	SMC3	ENSG00000151773	CCDC122
YIL048W	NEO1	ENSG00000132932	ATP8A2
YIL048W	NEO1	ENSG00000068650	ATP11A
YIL048W	NEO1	ENSG00000081923	ATP8B1
YDR358W	GGA1	ENSG00000139668	WDFY2
YER025W	GCD11	ENSG00000101210	EEF1A2
YBR236C	ABD1	ENSG00000101654	RNMT
YPL213W	LEA1	ENSG00000148655	LRMDA
YEL016C	NPP2	ENSG00000112796	ENPP5
YEL016C	NPP2	ENSG00000001561	ENPP4
YPR173C	VPS4	ENSG00000119541	VPS4B
YLR291C	GCD7	ENSG00000119718	EIF2B2
YMR194C-B	CMC4	ENSG00000182712	CMC4
YDR502C	SAM2	ENSG00000151224	MAT1A
YPL036W	PMA2	ENSG00000074370	ATP2A3
YPL036W	PMA2	ENSG00000123191	ATP7B
YPL036W	PMA2	ENSG00000075673	ATP12A
YJR031C	GEA1	ENSG00000144711	IQSEC1
YDL033C	SLM3	ENSG00000100416	TRMU
YLR274W	MCM5	ENSG00000100297	MCM5
YCL025C	AGP1	ENSG00000164893	SLC7A13
YHR215W	PHO12	ENSG00000107789	MINPP1
YBR049C	REB1	ENSG00000101057	MYBL2
YDR108W	TRS85	ENSG00000153339	TRAPPC8
YBR079C	RPG1	ENSG00000107581	EIF3A
YMR199W	CLN1	ENSG00000147082	CCNB3
YMR199W	CLN1	ENSG00000152669	CCNO
YPR120C	CLB5	ENSG00000147082	CCNB3
YPR120C	CLB5	ENSG00000152669	CCNO
YGL073W	HSF1	ENSG00000171116	HSFX1
YGL073W	HSF1	ENSG00000283463	HSFX4
YNL270C	ALP1	ENSG00000164893	SLC7A13
YNL242W	ATG2	ENSG00000066739	ATG2B
YBR105C	VID24	ENSG00000141034	GID4
YNL312W	RFA2	ENSG00000204086	RPA4
YPR002W	PDH1	ENSG00000102794	ACOD1
YGR108W	CLB1	ENSG00000147082	CCNB3
YGR108W	CLB1	ENSG00000152669	CCNO
YKR084C	HBS1	ENSG00000112339	HBS1L
YNL297C	MON2	ENSG00000144711	IQSEC1
YKL086W	SRX1	ENSG00000271303	SRXN1
YDR046C	BAP3	ENSG00000164893	SLC7A13
YJR110W	YMR1	ENSG00000139505	MTMR6
YOL002C	IZH2	ENSG00000170915	PAQR8
YGR194C	XKS1	ENSG00000093217	XYLB
YPL225W		ENSG00000102390	PBDC1
YPL145C	KES1	ENSG00000130703	OSBPL2
YOL018C	TLG2	ENSG00000079950	STX7
YNL161W	CBK1	ENSG00000112079	STK38
YKR056W	TRM2	ENSG00000188917	TRMT2B
YOR127W	RGA1	ENSG00000105137	SYDE1
YKL081W	TEF4	ENSG00000124194	GDAP1L1
YKL081W	TEF4	ENSG00000155962	CLIC2
YKL081W	TEF4	ENSG00000148834	GSTO1
YOR093C	CMR2	ENSG00000160305	DIP2A
YOR237W	HES1	ENSG00000130703	OSBPL2
YCR037C	PHO87	ENSG00000141485	SLC13A5
YGR066C		ENSG00000141034	GID4
YEL026W	SNU13	ENSG00000100138	SNU13
YLR246W	ERF2	ENSG00000104219	ZDHHC2
YLR246W	ERF2	ENSG00000102383	ZDHHC15
YLR246W	ERF2	ENSG00000180776	ZDHHC20
YGL238W	CSE1	ENSG00000124207	CSE1L
YGR173W	RBG2	ENSG00000108591	DRG2
YPL268W	PLC1	ENSG00000154822	PLCL2
YBR296C	PHO89	ENSG00000168575	SLC20A2
YCR092C	MSH3	ENSG00000113318	MSH3
YPL095C	EEB1	ENSG00000158201	ABHD3
YOR119C	RIO1	ENSG00000124784	RIOK1
YBR217W	ATG12	ENSG00000145782	ATG12
YOL010W	RCL1	ENSG00000120158	RCL1
YCR026C	NPP1	ENSG00000112796	ENPP5
YCR026C	NPP1	ENSG00000001561	ENPP4
YBR068C	BAP2	ENSG00000164893	SLC7A13
YLR342W	FKS1	ENSG00000009844	VTA1
YPL157W	TGS1	ENSG00000137574	TGS1
YPR035W	GLN1	ENSG00000146166	LGSN
YJR119C	JHD2	ENSG00000127663	KDM4B
YMR210W	MGL2	ENSG00000158201	ABHD3
YCR053W	THR4	ENSG00000185875	THNSL1
YER016W	BIM1	ENSG00000101367	MAPRE1
YMR039C	SUB1	ENSG00000113387	SUB1
YLR399C	BDF1	ENSG00000114166	KAT2B
YDR059C	UBC5	ENSG00000072401	UBE2D1
YMR186W	HSC82	ENSG00000096384	HSP90AB1
YOR057W	SGT1	ENSG00000165416	SUGT1
YOR057W	SGT1	ENSG00000197860	SGTB
YOR336W	KRE5	ENSG00000102595	UGGT2
YDR180W	SCC2	ENSG00000164190	NIPBL
YDR284C	DPP1	ENSG00000141934	PLPP2
YDR284C	DPP1	ENSG00000067113	PLPP1
YDL193W	NUS1	ENSG00000153989	NUS1
YPR029C	APL4	ENSG00000213983	AP1G2
YNL221C	POP1	ENSG00000104356	POP1
YJL050W	MTR4	ENSG00000039123	MTREX
YPL240C	HSP82	ENSG00000096384	HSP90AB1
YDR508C	GNP1	ENSG00000164893	SLC7A13
