SNP,Chr,Pos,Effect,SE,ERG11_TPO4_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
144,1,184718,-0.185694340936243,0.133784354543801,0.166008674312773
145,1,185296,-0.130557260937774,0.133398975700723,0.328399652976211
146,1,185438,-0.128827110334179,0.133410055959203,0.334881589332281
147,1,185469,-0.130607782893707,0.133598203987427,0.328933620852084
148,1,185503,-0.132372058739472,0.133246795391683,0.321178382252757
149,1,185705,-0.145078622322333,0.134703087752507,0.282204483700935
150,1,185749,-0.152460173660119,0.134679991249571,0.258395252325627
151,1,185806,-0.177635820837363,0.134773166867152,0.188346410746835
152,1,185879,-0.175527121494557,0.135435393029939,0.195814947825694
153,1,185916,-0.0815596301908891,0.135626032959343,0.547988374706075
154,1,185941,-0.100520049164144,0.136181540539502,0.460924231846202
155,1,185954,-0.135027280497034,0.136495542724991,0.323221771766578
156,1,186055,-0.125989424831381,0.133788716952573,0.346987994723114
157,1,186896,-0.148882233853587,0.135922045729002,0.274110028172193
161,1,190132,0.050130370964652,0.134100045229532,0.70875660262301
162,1,190148,0.0575206179984031,0.134132104170439,0.668304463766535
163,1,190165,0.0383363306509424,0.135182611632362,0.776891453305904
164,1,190169,0.0568778717498262,0.134995475701678,0.673769325033706
165,1,190933,-0.0758663999032084,0.133873525503032,0.571276775879397
166,1,192149,0.117983954438156,0.134883316221624,0.382325769157066
168,1,192303,0.168998669594071,0.160723849873894,0.293755295597394
171,1,192795,0.0824660584992963,0.133608780844792,0.537487307859886
173,1,194187,-0.133151847814879,0.133603778590115,0.319632930338549
174,1,194867,-0.21519705136616,0.133227354073519,0.107147411379284
190,2,8314,0.181644104806828,0.135638754109359,0.181375172594292
194,2,8498,0.0932611504640103,0.135692957495003,0.492347870344608
195,2,8651,0.0766663871520795,0.135849582008437,0.572875983618142
197,2,9812,0.0828643692272659,0.136647249515817,0.544631763399626
198,2,9932,0.0712621570171599,0.136126727882104,0.600955772422243
199,2,10135,0.0634760677704218,0.135615963481189,0.640032330340658
200,2,11616,0.10761353907029,0.13539295209594,0.427250070110173
201,2,12133,0.094736738539238,0.135959309082961,0.486385220058444
202,2,12194,0.108451987524552,0.136456847724141,0.427280561596204
203,2,12359,0.087034886113467,0.136100745857573,0.52291985081785
204,2,13061,0.0858723714142494,0.136092810359982,0.528459376970915
205,2,14298,0.070589429646466,0.136547430420975,0.605508486913378
206,2,15222,0.112408834052264,0.13780132798931,0.415203996864792
207,2,17986,0.102461333487587,0.135404274753548,0.449730285654153
208,2,19770,0.115892618947491,0.13631149225183,0.395787790062219
209,2,19836,0.110329625871745,0.135949341677313,0.417597028810746
210,2,19851,0.110115260000202,0.136348614200153,0.419864235811647
211,2,21595,0.0666558160768513,0.135864540417921,0.624010706851911
212,2,22385,0.0679315072515919,0.135991398653321,0.617718685288644
213,2,23441,0.0721243059414709,0.137307092570879,0.599720165864271
214,2,24209,0.119001502230737,0.136082379962412,0.382450737722818
215,2,24341,0.108826193769882,0.136429024002556,0.42559463034102
216,2,26815,0.131317092235973,0.136209086925847,0.33566345277264
217,2,28209,0.12517470989498,0.136271417158817,0.358948221273499
221,2,41245,-0.0154164963898538,0.135908375229516,0.909751751966143
222,2,43214,-0.0500268790312408,0.138088676973632,0.717358978884041
223,2,47104,0.140802545456325,0.134054746515611,0.294282115319715
224,2,50915,0.187005560595371,0.135217405562448,0.167539263660736
225,2,55834,0.134747444393882,0.134766034940807,0.318062159987069
226,2,56422,0.195481589653335,0.134797068214922,0.147892987579781
227,2,57715,0.187949008791745,0.134380513398589,0.162801030236846
228,2,59046,0.158618390243074,0.135170622391571,0.24139936721463
229,2,59191,0.152925964912492,0.134412344513152,0.256001743425149
230,2,59383,0.143635655496446,0.134480217440854,0.28621421023464
231,2,59477,0.151646501527941,0.136485593166055,0.267289836966315
233,2,60471,0.112676068466849,0.134745367430064,0.403599763555009
234,2,60478,0.119514141864327,0.134882760629757,0.376188711827682
235,2,60786,0.126137174978523,0.134643369044173,0.349489441474151
236,2,61035,0.135147347189531,0.134608864242133,0.316066160698909
237,2,61071,0.118153809827594,0.134041970636332,0.37866393991471
238,2,61675,0.0702804819802131,0.134523732379847,0.601692220059525
240,2,62939,0.103483947019769,0.134230154373501,0.441255761936298
241,2,63527,0.117119764021427,0.13470323099645,0.385183565714049
242,2,63857,0.1089329864349,0.134754086782876,0.419414272845533
243,2,65527,0.0391652317751772,0.134417921985862,0.770940162814987
247,2,67976,0.0697076559421654,0.136319913642917,0.609423289691851
250,2,72389,0.138930964022638,0.135327541505934,0.30529890337753
251,2,72392,0.0220122074221543,0.136445955354207,0.871929357172164
252,2,73646,0.138712960318683,0.133449404819924,0.29931049390204
253,2,74564,0.20100013811819,0.132961349293891,0.131500157665444
254,2,74739,0.249728728083262,0.133167953760512,0.0615779365959404
257,2,80873,0.285568860887422,0.133285103128666,0.0328334269256347
258,2,81501,0.283641926210203,0.133274265381162,0.0340079954168996
259,2,83526,0.322266587711512,0.132815515047705,0.0157487157967623
260,2,83845,0.365849130804249,0.132623936635878,0.00610829121165437
263,2,84447,0.333666139409723,0.134590617394271,0.0136370824594344
264,2,87391,0.413970267675359,0.131622447877666,0.00180101681449267
265,2,87562,0.419052612659143,0.131919406356426,0.00162158191513779
266,2,87849,0.410452646493297,0.131983135847552,0.00202381797503012
267,2,87878,0.414836124801491,0.13252713014656,0.00189251378684018
269,2,89785,0.342711933164291,0.133124922125714,0.0104494438802704
272,2,93721,0.251148879083563,0.133294437097866,0.0603640411293539
273,2,93952,0.225542704352327,0.133039344308896,0.0908987528453636
274,2,95085,0.322617530045037,0.132659582908072,0.0155156728588419
276,2,107124,0.348208233849596,0.132543355057367,0.00898637417545297
277,2,111645,0.363602254076806,0.132512818348668,0.00638144595831742
278,2,111916,0.337553138430463,0.13302644092364,0.0115947032683726
279,2,111931,0.353812202374329,0.133114000976917,0.0082190091366254
280,2,111999,0.366052077580181,0.132532263945757,0.00604568438969415
281,2,114528,0.302078373628937,0.133764735554841,0.0245381633485405
282,2,116024,0.352432810674437,0.133738783379536,0.00877867926724945
286,2,120090,0.170414687968142,0.134208359645052,0.205000488076563
287,2,120291,0.173165342354508,0.135740237043784,0.20289644501212
288,2,120726,0.189709557349646,0.134889327259698,0.160482416999207
289,2,121716,0.218393027318688,0.134612155063768,0.10561321126061
290,2,123100,0.18821508281506,0.134928102160056,0.163914411885007
291,2,124677,0.125885067498338,0.134946858314657,0.351535442679
293,2,127887,0.153971485503136,0.135792393102169,0.257616779989403
294,2,128935,0.142809311488501,0.135698139091285,0.29333393295774
295,2,129053,0.175442713095723,0.136004378613707,0.197902577650355
296,2,130040,0.188695345085545,0.136788423523194,0.168623538469914
297,2,130976,0.12938261371331,0.135865049153207,0.341602686892391
298,2,132199,0.157768530551866,0.13641176423099,0.248233842134939
299,2,133355,0.136136078974045,0.13740357129928,0.322473900886436
300,2,133435,0.132747974715346,0.137710686567727,0.335724479591058
302,2,135183,0.109013974275742,0.137846131797897,0.429569467172482
303,2,135402,0.12467224617004,0.13778766211059,0.366180885844135
304,2,135898,0.167947256326423,0.138390544968777,0.225721560416811
305,2,135912,0.161018053125212,0.13851650371367,0.245839343938102
306,2,135925,0.168230399517007,0.137862230653795,0.2231736471378
307,2,136002,0.148082602469444,0.137824154323197,0.283363226640282
308,2,136173,0.141545138792179,0.138821737388317,0.30860795688162
310,2,138318,0.183060203547891,0.142363362011531,0.199332677606435
311,2,138695,0.149165179488453,0.14002576471995,0.287482068345476
312,2,138818,0.165034881439726,0.139717611847566,0.238317233652038
313,2,139728,0.178900308317202,0.139417699240957,0.200265025670719
314,2,140174,0.158496436657991,0.13948762254817,0.256611881887999
315,2,140863,0.167604447576854,0.139400819399791,0.230045304201772
316,2,141152,0.152887087240718,0.139842884174297,0.275017457424098
317,2,141292,0.164999694633353,0.138794686829281,0.235315862955864
318,2,141545,0.163278165555096,0.13947923230492,0.242538365139669
322,2,146723,0.151882832741677,0.139263211628873,0.276185306163679
323,2,147946,0.194628610792953,0.140393831015558,0.166528896117091
326,2,151397,0.184405572869102,0.140785713245046,0.191104590690192
327,2,153035,0.250888273063775,0.138950934621824,0.0718343672363563
328,2,153228,0.204995322594857,0.140185736572771,0.144545353742636
329,2,153455,0.185751703919365,0.141325581332914,0.189580805347766
331,2,153815,0.220992578446895,0.140636407784452,0.116991361521182
332,2,154160,0.227478502756907,0.139122869701195,0.102921408719212
333,2,154235,0.211529046355251,0.140593146310019,0.133334671977113
335,2,159870,0.239287125809629,0.136889715053667,0.0813284816766353
336,2,161229,0.173669891435092,0.139284722378354,0.213271983130584
339,2,162696,0.214623710781133,0.138520254330213,0.122180890828915
340,2,163284,0.230049300470595,0.136600996835218,0.0930469258638554
341,2,164166,0.225106874905505,0.137902588254984,0.10349503048631
342,2,165270,0.205605509438657,0.136821062809121,0.13380198483694
343,2,165675,0.187670613427167,0.139168373626901,0.178357397087439
346,2,168062,0.129399062898593,0.138100992493055,0.349404992592012
347,2,168518,0.0550621946451866,0.137449664194509,0.688957742375526
348,2,168980,0.12617500436766,0.137251438124018,0.358567344366585
349,2,169651,0.0893570597797129,0.13739861528532,0.515889812632128
352,2,170725,0.138034830697697,0.137529534012367,0.316223221613225
353,2,171254,0.199902885852336,0.137537581836365,0.14698951368014
354,2,172242,0.117949037699762,0.136173230569568,0.386985788152261
355,2,173254,0.110419541718213,0.135145538704882,0.414455665816624
356,2,173340,0.124754224531857,0.135093811636106,0.356396416990971
357,2,173385,0.114749692305954,0.135243624326849,0.396753162103614
358,2,173973,0.133046294256509,0.134835994892472,0.324452408714379
360,2,177341,0.196256337144509,0.134155712605383,0.144384632347579
361,2,180314,0.131744986777939,0.134424144679028,0.327723083195328
362,2,180339,0.127591076748421,0.134775998829245,0.344444399831388
363,2,182758,0.10607831116302,0.134344434126827,0.430291691123565
364,2,183619,0.096606606119961,0.134894555861524,0.47436366874415
367,2,187176,0.00688199749797458,0.135726955793075,0.959589492722707
368,2,191066,0.0476828389369293,0.136718524498989,0.72747255440689
371,2,191599,-0.00212155398807534,0.134847343905855,0.987456284014314
373,2,191763,0.00102888910828514,0.135381448503386,0.99394048717903
374,2,191959,-0.0446088243380964,0.13503026171283,0.741322672125503
376,2,195759,0.0931305901343931,0.136120529441064,0.49431205426671
377,2,196912,0.118366095771823,0.133859402585546,0.377159432242432
379,2,198110,0.0863721431308675,0.134732237235498,0.521896321535327
381,2,198805,0.0609948996092341,0.135352381052479,0.652527275855946
382,2,198891,0.106983556295126,0.134215961319516,0.425928703017852
383,2,199248,0.0741200479448604,0.134585684990402,0.582168796592263
384,2,201782,0.0482248593397184,0.134453534905924,0.720054107610806
385,2,203285,0.205754357791555,0.13350827303612,0.124179700015243
386,2,203783,0.12689604629951,0.133497475350993,0.342483126002745
387,2,204179,0.148628995514147,0.133757933289923,0.267247603070502
388,2,205406,0.0707782613445067,0.135315903396331,0.601261043546829
389,2,205834,0.0840384702922806,0.134645705612202,0.53293537899194
391,2,207192,0.0257556217173922,0.134587023439706,0.848347473830548
392,2,207561,0.0297058770131627,0.133989755769428,0.824673605262479
393,2,208682,0.0236021317880505,0.133767760621055,0.860048593894181
394,2,210102,0.00735727192434255,0.134118567391469,0.956283840497373
396,2,214801,0.00622964893708744,0.134112346450534,0.962977077189048
397,2,215016,-0.0210951801238312,0.13403153193634,0.875027730575697
398,2,218876,-0.118104275833308,0.135275989957804,0.383222985676143
399,2,227511,-0.164151818857203,0.136100315815219,0.228583202889794
400,2,230378,-0.104360609216246,0.134547187148148,0.438479011326232
401,2,231943,-0.110731910868638,0.134919210738015,0.412355371180941
402,2,232156,-0.135420873909211,0.134799957415135,0.315774637498168
403,2,232789,-0.100343858619441,0.134408443272507,0.455826606505691
404,2,238524,-0.0847310564799238,0.134628296445781,0.529513731108326
405,2,241518,-0.133352111224099,0.135687721425045,0.326385444180204
406,2,250396,-0.2115952871912,0.134476216901078,0.116504128047556
407,2,250466,-0.211407507850903,0.134429230058261,0.116700231844436
408,2,252305,-0.15872412400947,0.134992808146795,0.240468429917123
409,2,254571,-0.122232619140107,0.137002241683506,0.372896566761724
410,2,254742,-0.110799196429125,0.136905818520893,0.41888223246091
411,2,254908,-0.111264318920678,0.137952454056634,0.420473982133047
413,2,255862,-0.143999743283861,0.137033571210233,0.294052986490492
414,2,255975,-0.134762088959165,0.136563993849733,0.324413929833599
415,2,258311,-0.220371300963971,0.133981697043969,0.100903989866731
416,2,259284,-0.136030859903244,0.134752614051028,0.313433121748174
417,2,266330,-0.0942147209095532,0.135434419897641,0.487106835655979
418,2,267100,-0.080577684307338,0.135449463441881,0.552297375490184
419,2,268086,-0.0579505984022171,0.135492118673013,0.669127021205283
420,2,274614,-0.134020442603875,0.134514809350157,0.319774813204732
421,2,274729,-0.143533440958539,0.135224959635167,0.289214767807881
422,2,275746,-0.0772529876626494,0.135319004628753,0.568433844874431
423,2,277029,-0.0988996364782022,0.134649486126925,0.463133539532183
424,2,277741,-0.111469093040317,0.134674621264796,0.408404204870693
425,2,278218,-0.117625332394387,0.134416042914748,0.38212319854478
426,2,278379,-0.111590545154269,0.137763848246416,0.418478247927197
427,2,279910,-0.10913437355122,0.134389036499212,0.417294181593688
429,2,283431,-0.0900460317743664,0.136400433964207,0.509582047638011
430,2,283573,-0.0910272073775676,0.134760327826601,0.49981638022416
431,2,286762,-0.0638190837225008,0.135149882674284,0.637068905556872
432,2,287187,-0.125425629773408,0.134396063398953,0.351326866404982
433,2,288379,-0.074338059746673,0.1334833895205,0.577942723397985
434,2,294941,0.113451357201452,0.133485393900482,0.395947920166876
439,2,297610,-0.0250760388171993,0.134291594036313,0.851980947345697
441,2,299680,0.0629762506308918,0.133842676763242,0.63827096778158
442,2,299708,0.0889642395901981,0.134083455987931,0.507444086757851
443,2,299759,0.0665462967978351,0.133665553734691,0.618895021563392
444,2,300111,0.021062512893604,0.134642053605064,0.875780845652663
446,2,301710,0.0402108861297628,0.133731205667509,0.763832186890391
447,2,303446,0.0155059651318907,0.134588248706267,0.908343867177511
448,2,303854,0.0377000248213521,0.134601633909991,0.779575631342129
449,2,304472,-0.018925905779062,0.133475248379599,0.887324106153055
450,2,304691,-0.0260439791808652,0.135634445983213,0.847840107466524
451,2,308097,0.0611131336624609,0.134172369194881,0.649042367030707
453,2,309402,-0.0568129663897217,0.133360954874137,0.670360926833862
454,2,310030,-0.0254059351261472,0.134137863481193,0.849886871825038
455,2,310113,-0.0657085490350126,0.133724767257491,0.62346903602294
456,2,310972,-0.0222102043984718,0.133968411486401,0.868419583339176
457,2,312659,-0.148065629238222,0.133220997175014,0.267140305069043
460,2,318265,-0.363277334247092,0.133798342321446,0.00695095531702358
461,2,318379,-0.371692769498448,0.134137727290375,0.00588470325776291
462,2,321266,-0.283001030172475,0.133836234848222,0.0351703900747511
463,2,322957,-0.281345827833798,0.132636420938666,0.0346031280430013
464,2,325221,-0.135655856802948,0.134017435835766,0.312123581276521
465,2,332691,-0.164511605466026,0.135295802481054,0.224820200808521
466,2,333006,-0.165915524503928,0.135024112646599,0.219971180447701
468,2,335046,-0.082110205685754,0.133885355231811,0.540081249487551
469,2,335049,-0.0882589332329605,0.134444275511054,0.511948034884775
470,2,335995,-0.160245118558836,0.133494087417771,0.230792401339799
471,2,336060,-0.161728551434594,0.133308520837731,0.225868404688222
472,2,338292,-0.17206804892168,0.133263416251312,0.197483578648488
473,2,339568,-0.177644935926705,0.1334443911094,0.183973026559374
474,2,340466,-0.225197397956953,0.13440383211325,0.0947161582954762
478,2,348480,-0.148848650699235,0.133344698997652,0.26506595671325
479,2,350086,-0.219210348444029,0.133075656743451,0.100394234650163
480,2,351083,-0.193451529483074,0.134920266545273,0.152508486176952
481,2,351335,-0.18560099890853,0.133426417865354,0.165090540288433
482,2,351417,-0.15865754413589,0.133503689771715,0.23546957213368
483,2,351450,-0.219778344318206,0.133406655136343,0.10035917228874
484,2,352302,-0.200123029290978,0.134555318970531,0.137830416020116
485,2,352469,-0.215150463614719,0.133119755177062,0.106940626652057
486,2,352562,-0.231505578298889,0.133590403433372,0.0839777520310532
487,2,352944,-0.221740885726513,0.13324884827897,0.0969776161554009
490,2,355266,-0.219071302428879,0.133261356873687,0.101082551732955
491,2,358277,-0.204865586404126,0.133346539884317,0.125350889106933
492,2,358926,-0.214731263425006,0.133500148265468,0.108625779776515
493,2,358948,-0.228245231304904,0.133479243988522,0.088150517105738
494,2,359515,-0.220598088314885,0.133313602892964,0.0988679714677039
495,2,363190,-0.148895528386976,0.134906633452206,0.27047806366763
496,2,363588,-0.111674490048275,0.135542090979397,0.410546987779347
497,2,363888,-0.108394343363817,0.134384287892371,0.420440159417989
498,2,363954,-0.0936046904610584,0.133880960694543,0.484910227538879
499,2,364199,-0.102544858953586,0.133680237205125,0.443540361089933
501,2,365981,-0.155065092665207,0.136239332112177,0.25581657077674
502,2,366047,-0.125436295286048,0.133864543483022,0.34937914149225
503,2,366936,-0.102648478249834,0.135463220168973,0.449100801300084
504,2,369530,-0.173675289437334,0.133488836004681,0.194090852844692
506,2,369931,-0.167972835369693,0.134429488845379,0.212301426008466
507,2,371033,-0.200028490193679,0.133946339503598,0.136239383828959
508,2,372919,-0.107850596792574,0.133665237638054,0.420284132681347
509,2,373518,-0.0847834200021882,0.133636305215847,0.526208542738609
510,2,376157,-0.1366201043648,0.133810141808001,0.307953823484206
511,2,376172,-0.130350968206042,0.1347978247493,0.334200617196791
514,2,381433,-0.0510079349962559,0.134851433774074,0.705470154521002
515,2,381922,-0.0417962028620826,0.135908148686881,0.758619279935371
516,2,382146,-0.0266733900285133,0.133873939525604,0.842187701430716
517,2,384206,0.0189807174811848,0.134294426413021,0.88768466045522
518,2,384955,-0.0141179848787599,0.13399697697974,0.916149622142445
520,2,387301,-0.0260391103433365,0.134674049652946,0.846796753472444
521,2,388313,0.0139896098518565,0.133879396331756,0.916836578829286
524,2,390138,-0.0591463702603682,0.134261324939718,0.659821698115683
525,2,391233,0.0407695953099927,0.135027182519824,0.762878501198126
530,2,395606,-0.218155358359387,0.133757829395001,0.103787925160647
531,2,395726,-0.219006022970208,0.133704639186097,0.102316107435757
532,2,395853,-0.214272444742362,0.134109961643249,0.11099624065586
533,2,396484,-0.189132026407316,0.133620434134504,0.157820449883591
534,2,396705,-0.191232608766351,0.133547102098087,0.153043317348313
535,2,398759,-0.199017859895267,0.13461329337787,0.14018140546829
536,2,400386,-0.188534384568259,0.133900321465311,0.160005074563889
537,2,400847,-0.191297862621498,0.133765189999102,0.153572247784143
538,2,401130,-0.178274289512848,0.135048533461465,0.187665094015171
539,2,401143,-0.170197579743008,0.134809075955915,0.207599332398606
540,2,401979,-0.12657907048165,0.134861240488037,0.348584340547449
541,2,403598,-0.133542370397409,0.134126052688934,0.320103077547477
542,2,404844,-0.105398611657535,0.135698733689081,0.437849815757393
543,2,405100,-0.140974002677852,0.134362087968208,0.294799419551867
548,2,406181,-0.134282973369136,0.134468757432546,0.318663627751384
549,2,406688,-0.110192109127786,0.13375294286891,0.410582134908386
550,2,407621,-0.124508440045482,0.134816727438964,0.3563574765921
551,2,409016,-0.18597541442894,0.135971449011812,0.172259379461725
552,2,410647,-0.169698886991433,0.134040212662134,0.206337324037259
554,2,419803,-0.184885009537948,0.134929099871289,0.171483339358935
555,2,419943,-0.164451862985122,0.135804328805816,0.226725765537689
556,2,422349,-0.209527308540852,0.133953529076072,0.118671517273872
557,2,425467,-0.0884959564180376,0.133851560730788,0.508947412400906
560,2,429095,-0.0252747877897177,0.134720812033703,0.8512912462722
561,2,431266,0.000406532004611826,0.134800918107837,0.997595450515323
562,2,431446,0.0108324850674173,0.135344137843446,0.936253498704766
563,2,432524,0.106100401043582,0.133926786647225,0.428760460239417
564,2,434090,-0.0499259650415253,0.135254805803966,0.71225567038607
565,2,441927,-0.049940477633654,0.133806416818184,0.709201803639886
566,2,446471,-0.0840062882672049,0.135399660395274,0.53537371800837
567,2,449325,-0.184706151400491,0.134321902573924,0.169972301150015
569,2,450017,-0.241005460591097,0.133318727464268,0.0714981978279026
570,2,451779,-0.284958610527697,0.133575786722324,0.0335884285613515
571,2,451784,-0.288345056901111,0.134043104457288,0.0321435890320448
572,2,453525,-0.279963260756845,0.134135947354338,0.0375904787139497
573,2,453768,-0.269383182460379,0.134376452001218,0.0457594207784281
574,2,454027,-0.263538754438535,0.13384273333898,0.0497328553070678
575,2,455029,-0.247632247771061,0.134000087277834,0.0654385657311212
576,2,455247,-0.291896544905004,0.133309545482444,0.0292062831464247
579,2,455756,-0.196624778697883,0.143808857876511,0.17241231590511
580,2,457024,-0.315935354719523,0.134148199432734,0.0190633569610791
581,2,457298,-0.343413208014494,0.134351101610951,0.0110037776145179
582,2,460202,-0.367384750185215,0.134482314251538,0.0066146217909327
586,2,464424,-0.339474907139496,0.133979702391496,0.0117159207671004
587,2,465824,-0.273199565451638,0.135745032100746,0.0449164319259431
588,2,470145,-0.218339341045932,0.13407303496438,0.104308789039448
589,2,470686,-0.220130805955563,0.133982817002825,0.101277906257103
590,2,471144,-0.218542596073976,0.134223382413877,0.104374481789809
591,2,471830,-0.232689808934198,0.133771025492402,0.082824932676477
592,2,472403,-0.233176251998721,0.133889051441275,0.0824560058633548
593,2,473668,-0.290589248570278,0.134463151671072,0.0313590764414623
