S288C|Orientation|Locus_tag|Name|RM11|YJM975
CHR3:214994-216445|+|locus_tag=YCR052W|Name=RSC6|CHR3:209033-210483|CHR3:208681-210131
CHR3:216697-218241|+|locus_tag=YCR053W|Name=THR4|CHR3:210735-212278|CHR3:210383-211926
CHR3:218376-220067|-|locus_tag=YCR054C|Name=CTR86|CHR3:212414-214104|CHR3:212062-213752
CHR3:220457-223228|-|locus_tag=YCR057C|Name=PWP2|CHR3:214495-217265|CHR3:214143-216913
CHR3:223454-224230|-|locus_tag=YCR059C|Name=YIH1|CHR3:217492-218267|CHR3:217140-217915
CHR3:22429-23379|-|locus_tag=YCL059C|Name=KRR1|CHR3:24632-25581|CHR3:23274-24223
CHR3:224399-224734|+|locus_tag=YCR060W|Name=TAH1|CHR3:218437-218771|CHR3:218085-218419
CHR3:225563-227458|+|locus_tag=YCR061W|Name=YCR061W|CHR3:219601-221495|CHR3:219245-221139
CHR3:227942-228042|+|locus_tag=tS(CGA)C|Name=SUP61|CHR3:221980-222079|CHR3:221626-221725
CHR3:228318-228791|+|locus_tag=YCR063W|Name=BUD31|CHR3:222356-222828|CHR3:222004-222476
CHR3:229310-231004|+|locus_tag=YCR065W|Name=HCM1|CHR3:223345-225038|CHR3:222995-224688
CHR3:231500-232963|+|locus_tag=YCR066W|Name=RAD18|CHR3:225538-227000|CHR3:225184-226646
CHR3:233125-236322|-|locus_tag=YCR067C|Name=SED4|CHR3:227163-230359|CHR3:226809-230005
CHR3:23523-23981|-|locus_tag=YCL058C|Name=FYV5|CHR3:25726-26183|CHR3:24368-24825
CHR3:23584-23925|+|locus_tag=YCL058W-A|Name=ADF1|CHR3:25787-26127|CHR3:24429-24769
CHR3:237214-238776|+|locus_tag=YCR068W|Name=ATG15|CHR3:231250-232811|CHR3:230896-232457
CHR3:239055-240011|+|locus_tag=YCR069W|Name=CPR4|CHR3:233091-234046|CHR3:232737-233692
CHR3:240103-240543|-|locus_tag=YCR071C|Name=IMG2|CHR3:234139-234578|CHR3:233785-234224
CHR3:24032-24325|-|locus_tag=YCL057C-A|Name=MIC10|CHR3:26235-26527|CHR3:24878-25170
CHR3:240805-242352|-|locus_tag=YCR072C|Name=RSA4|CHR3:234841-236387|CHR3:234487-236033
CHR3:242588-246583|-|locus_tag=YCR073C|Name=SSK22|CHR3:236622-240613|CHR3:236269-240260
CHR3:246963-247910|+|locus_tag=YCR073W-A|Name=SOL2|CHR3:240997-241943|CHR3:240644-241590
CHR3:24768-26906|+|locus_tag=YCL057W|Name=PRD1|CHR3:26971-29108|CHR3:25614-27751
CHR3:248033-248815|-|locus_tag=YCR075C|Name=ERS1|CHR3:242061-242842|CHR3:241706-242487
CHR3:248975-249202|+|locus_tag=YCR075W-A|Name=EGO2|CHR3:243005-243231|CHR3:242650-242876
CHR3:249293-250045|-|locus_tag=YCR076C|Name=FUB1|CHR3:243330-244049|CHR3:242975-243694
CHR3:250238-252628|-|locus_tag=YCR077C|Name=PAT1|CHR3:244243-246632|CHR3:243888-246277
CHR3:252845-254173|+|locus_tag=YCR079W|Name=PTC6|CHR3:246850-248177|CHR3:246495-247822
CHR3:254371-258654|+|locus_tag=YCR081W|Name=SRB8|CHR3:248376-252658|CHR3:248021-252303
CHR3:258883-259269|+|locus_tag=YCR082W|Name=AHC2|CHR3:252887-253272|CHR3:252533-252918
CHR3:259578-259961|+|locus_tag=YCR083W|Name=TRX3|CHR3:253581-253963|CHR3:253228-253610
CHR3:260311-262452|-|locus_tag=YCR084C|Name=TUP1|CHR3:254310-256450|CHR3:253961-256101
CHR3:262916-263269|+|locus_tag=YCR085W|Name=YCR085W|CHR3:256915-257267|CHR3:256566-256918
CHR3:263392-263964|+|locus_tag=YCR086W|Name=CSM1|CHR3:257393-257964|CHR3:257044-257615
CHR3:264006-264467|-|locus_tag=YCR087C-A|Name=YCR087C-A|CHR3:258007-258452|CHR3:257658-258103
CHR3:265068-266846|+|locus_tag=YCR088W|Name=ABP1|CHR3:259054-260831|CHR3:258705-260482
CHR3:267434-272263|+|locus_tag=YCR089W|Name=FIG2|CHR3:261420-266248|CHR3:261071-265899
CHR3:26925-27359|-|locus_tag=YCL056C|Name=PEX34|CHR3:29128-29561|CHR3:27771-28204
CHR3:272315-272863|-|locus_tag=YCR090C|Name=YCR090C|CHR3:266301-266848|CHR3:265952-266499
CHR3:274404-276566|+|locus_tag=YCR091W|Name=KIN82|CHR3:268389-270550|CHR3:268040-270201
CHR3:276764-279820|-|locus_tag=YCR092C|Name=MSH3|CHR3:270749-273804|CHR3:270400-273455
CHR3:27929-28936|+|locus_tag=YCL055W|Name=KAR4|CHR3:30131-31137|CHR3:28775-29781
CHR3:280117-286443|+|locus_tag=YCR093W|Name=CDC39|CHR3:274102-280427|CHR3:273753-280078
CHR3:286762-287937|+|locus_tag=YCR094W|Name=CDC50|CHR3:280747-281921|CHR3:280398-281572
CHR3:288170-289258|-|locus_tag=YCR095C|Name=OCA4|CHR3:282155-283242|CHR3:281806-282893
CHR3:289639-289797|+|locus_tag=YCR095W-A|Name=YCR095W-A|CHR3:283624-283781|CHR3:283275-283432
CHR3:293179-293538|-|locus_tag=YCR096C|Name=HMRA2|CHR3:193695-194053|CHR3:13229-13587
CHR3:293835-294321|+|locus_tag=YCR097W|Name=HMRA1|CHR3:287818-288304|CHR3:287473-287958
CHR3:295484-295556|+|locus_tag=tT(AGU)C|Name=tT(AGU)C|CHR10:63795-63724|CHR2:240073-240144
CHR3:297049-298605|-|locus_tag=YCR098C|Name=GIT1|CHR3:291475-293030|CHR3:290792-292347
CHR3:300832-301299|-|locus_tag=YCR099C|Name=YCR099C|CHR3:295258-295724|CHR3:294582-295048
CHR3:301271-302221|-|locus_tag=YCR100C|Name=EMA35|CHR3:295697-296646|CHR3:295021-295970
CHR3:302482-303030|-|locus_tag=YCR101C|Name=YCR101C|CHR3:296908-297455|CHR3:296232-296779
CHR3:304361-305467|-|locus_tag=YCR102C|Name=YCR102C|CHR12:1011980-1013085|CHR3:298111-299216
CHR3:307801-308175|+|locus_tag=YCR104W|Name=PAU3|CHR11:9001-8628|CHR3:301668-301943
CHR3:309070-310155|+|locus_tag=YCR105W|Name=ADH7|CHR3:303477-304561|CHR3:302839-303923
CHR3:30910-30996|+|locus_tag=YCL054W-A|Name=RDT1|CHR3:33112-33197|CHR3:31756-31841
CHR3:310958-313456|+|locus_tag=YCR106W|Name=RDS1|CHR3:305364-307860|CHR3:304727-307224
CHR3:313890-314981|+|locus_tag=YCR107W|Name=AAD3|CHR12:1021491-1022580|CHR3:307659-308749
CHR3:31449-33974|+|locus_tag=YCL054W|Name=SPB1|CHR3:33651-36175|CHR3:32295-34819
CHR3:315997-316188|-|locus_tag=YCR108C|Name=YCR108C|CHR7:1074953-1075148|CHR14:754723-754912
CHR3:34143-35393|-|locus_tag=YCL052C|Name=PBN1|CHR3:36345-37594|CHR3:34989-36238
CHR3:35865-37616|+|locus_tag=YCL051W|Name=LRE1|CHR3:38067-39817|CHR3:36711-38461
CHR3:37836-38801|-|locus_tag=YCL050C|Name=APA1|CHR3:40038-41002|CHR3:38682-39646
CHR3:39786-40724|-|locus_tag=YCL049C|Name=YCL049C|CHR3:41988-42925|CHR3:40632-41569
CHR3:41488-41727|+|locus_tag=YCL048W-A|Name=YCL048W-A|CHR3:43690-43928|CHR3:42334-42572
CHR3:42165-43556|+|locus_tag=YCL048W|Name=SPS22|CHR3:44361-45751|CHR3:43010-44400
CHR3:43661-44437|-|locus_tag=YCL047C|Name=POF1|CHR3:45857-46632|CHR3:44506-45281
CHR3:44623-46905|-|locus_tag=YCL045C|Name=EMC1|CHR3:46819-49100|CHR3:45468-47749
CHR3:47111-48364|-|locus_tag=YCL044C|Name=MGR1|CHR3:49307-50559|CHR3:47956-49208
CHR3:48653-50221|-|locus_tag=YCL043C|Name=PDI1|CHR3:50849-52416|CHR3:49498-51065
CHR3:50584-50943|+|locus_tag=YCL042W|Name=YCL042W|CHR3:52772-53132|CHR3:51420-51780
CHR3:50838-52340|+|locus_tag=YCL040W|Name=GLK1|CHR3:53028-54529|CHR3:51676-53177
CHR3:52645-54882|+|locus_tag=YCL039W|Name=GID7|CHR3:54837-57073|CHR3:53483-55719
CHR3:54941-56527|-|locus_tag=YCL038C|Name=ATG22|CHR3:57132-58711|CHR3:55778-57357
CHR3:57374-58678|-|locus_tag=YCL037C|Name=SRO9|CHR3:59551-60854|CHR3:58204-59507
CHR3:59026-60726|+|locus_tag=YCL036W|Name=GFD2|CHR3:61203-62902|CHR3:59856-61555
CHR3:60841-61173|-|locus_tag=YCL035C|Name=GRX1|CHR3:63018-63349|CHR3:61671-62002
CHR3:61658-62722|+|locus_tag=YCL034W|Name=LSB5|CHR3:63834-64897|CHR3:62488-63551
CHR3:62776-63282|-|locus_tag=YCL033C|Name=MXR2|CHR3:64958-65463|CHR3:63606-64111
CHR3:63441-64481|+|locus_tag=YCL032W|Name=STE50|CHR3:65623-66662|CHR3:64271-65310
CHR3:64675-65568|-|locus_tag=YCL031C|Name=RRP7|CHR3:66857-67749|CHR3:65496-66388
CHR3:6479-8326|-|locus_tag=YCL073C|Name=GEX1|CHR3:8684-10530|CHR3:7044-8284
CHR3:65934-68333|-|locus_tag=YCL030C|Name=HIS4|CHR3:68116-70514|CHR3:66755-69153
CHR3:68599-69921|-|locus_tag=YCL029C|Name=BIK1|CHR3:70781-72102|CHR3:69420-70741
CHR3:70150-71367|+|locus_tag=YCL028W|Name=RNQ1|CHR3:72332-73548|CHR3:70971-72187
CHR3:71803-73341|+|locus_tag=YCL027W|Name=FUS1|CHR3:73984-75521|CHR3:72623-74160
CHR3:73405-73986|-|locus_tag=YCL026C-B|Name=HBN1|CHR3:75586-76166|CHR3:74225-74805
CHR3:74704-75285|-|locus_tag=YCL026C-A|Name=FRM2|CHR3:76885-77465|CHR3:75524-76104
CHR3:76018-77919|-|locus_tag=YCL025C|Name=AGP1|CHR3:78198-80098|CHR3:76837-78737
CHR3:79162-82275|+|locus_tag=YCL024W|Name=KCC4|CHR3:81341-84453|CHR3:79981-83093
CHR3:82462-82533|-|locus_tag=tE(UUC)C|Name=tE(UUC)C|CHR10:120556-120626|CHR2:618796-618726
CHR3:83620-83997|+|locus_tag=YCL021W-A|Name=YCL021W-A|CHR3:85456-85832|CHR3:84095-84471
CHR3:85102-86418|+|locus_tag=YCL020W|Name=YCL020W|CHR13:104825-106138|CHR5:428768-428728
CHR3:85102-90415|+|locus_tag=YCL019W|Name=YCL019W|CHR12:573005-567690|CHR12:1511835-1512763
CHR3:90859-90972|+|locus_tag=tL(CAA)C|Name=SUP53|CHR1:47530-47418|CHR1:172272-172384
CHR3:92777-94270|-|locus_tag=YCL017C|Name=NFS1|CHR3:87270-88762|CHR3:86945-88437
CHR3:94621-95763|-|locus_tag=YCL016C|Name=DCC1|CHR3:89112-90253|CHR3:88787-89928
CHR3:96281-101191|+|locus_tag=YCL014W|Name=BUD3|CHR3:90772-95681|CHR3:90447-95356
CHR3:9706-11082|+|locus_tag=YCL069W|Name=VBA3|CHR3:11909-13284|CHR3:10551-11926
CHR4:1000104-1002023|-|locus_tag=YDR266C|Name=HEL2|CHR4:519704-517786|CHR4:957790-959708
CHR4:1002510-1003502|-|locus_tag=YDR267C|Name=CIA1|CHR4:517299-516308|CHR4:960195-961186
CHR4:1004004-1005143|+|locus_tag=YDR268W|Name=MSW1|CHR4:515805-514667|CHR4:961689-962827
CHR4:100501-101067|-|locus_tag=YDL200C|Name=MGT1|CHR4:1383494-1382929|CHR4:101648-102213
CHR4:1005675-1008689|+|locus_tag=YDR270W|Name=CCC2|CHR4:514134-511121|CHR4:963360-966373
CHR4:1009010-1009834|+|locus_tag=YDR272W|Name=GLO2|CHR4:510799-509976|CHR4:966695-967518
CHR4:1010176-1011273|+|locus_tag=YDR273W|Name=DON1|CHR4:509633-508537|CHR4:967861-968957
CHR4:1011589-1011960|-|locus_tag=YDR274C|Name=YDR274C|CHR4:508220-507850|CHR4:969274-969644
CHR4:1012252-1012959|+|locus_tag=YDR275W|Name=BSC2|CHR4:507559-506853|CHR4:969938-970644
CHR4:101290-103353|-|locus_tag=YDL199C|Name=YDL199C|CHR4:1382703-1380641|CHR4:102439-104501
CHR4:1013476-1013643|-|locus_tag=YDR276C|Name=PMP3|CHR4:506334-506168|CHR4:971162-971328
CHR4:1014401-1015702|-|locus_tag=YDR277C|Name=MTH1|CHR4:505410-504110|CHR4:972086-973386
CHR4:1017001-1017318|-|locus_tag=YDR278C|Name=YDR278C|CHR4:502785-502469|CHR4:974711-975027
CHR4:1017207-1017278|-|locus_tag=tE(CUC)D|Name=tE(CUC)D|CHR4:502579-502509|CHR4:974917-974987
CHR4:1019368-1020420|+|locus_tag=YDR279W|Name=RNH202|CHR4:500418-499367|CHR4:977078-978129
CHR4:1020747-1021664|+|locus_tag=YDR280W|Name=RRP45|CHR4:499039-498123|CHR4:978457-979373
CHR4:1022007-1022321|-|locus_tag=YDR281C|Name=PHM6|CHR4:497779-497466|CHR4:979717-980030
CHR4:1023511-1024755|-|locus_tag=YDR282C|Name=MRX10|CHR4:496275-495032|CHR4:981221-982464
CHR4:1025070-1030049|-|locus_tag=YDR283C|Name=GCN2|CHR4:494716-489738|CHR4:982780-987758
CHR4:1030550-1031419|-|locus_tag=YDR284C|Name=DPP1|CHR4:489236-488368|CHR4:988260-989128
CHR4:1032436-1035063|+|locus_tag=YDR285W|Name=ZIP1|CHR4:487350-484724|CHR4:990146-992772
CHR4:1035231-1035575|-|locus_tag=YDR286C|Name=MGP12|CHR4:484555-484212|CHR4:992941-993284
CHR4:1035995-1036873|+|locus_tag=YDR287W|Name=INM2|CHR4:483791-482914|CHR4:993705-994582
CHR4:103649-104551|-|locus_tag=YDL198C|Name=GGC1|CHR4:1380344-1379443|CHR4:104798-105699
CHR4:1037195-1038106|+|locus_tag=YDR288W|Name=NSE3|CHR4:482591-481681|CHR4:994905-995815
CHR4:1038280-1039509|-|locus_tag=YDR289C|Name=RTT103|CHR4:481506-480281|CHR4:995990-997215
CHR4:1039728-1042961|+|locus_tag=YDR291W|Name=HRQ1|CHR4:480061-476829|CHR4:997435-1000667
CHR4:1043146-1045011|-|locus_tag=YDR292C|Name=SRP101|CHR4:476643-474779|CHR4:1000853-1002717
CHR4:1045640-1049392|-|locus_tag=YDR293C|Name=SSD1|CHR4:474149-470398|CHR4:1003347-1007098
CHR4:104917-106494|-|locus_tag=YDL197C|Name=ASF2|CHR4:1379076-1377500|CHR4:106066-107642
CHR4:1050459-1052228|-|locus_tag=YDR294C|Name=DPL1|CHR4:469330-467562|CHR4:1008166-1009934
CHR4:1052623-1054647|-|locus_tag=YDR295C|Name=HDA2|CHR4:467169-465146|CHR4:1010329-1012352
CHR4:1055212-1055892|+|locus_tag=YDR296W|Name=MHR1|CHR4:464598-463919|CHR4:1012900-1013579
CHR4:1056551-1057600|+|locus_tag=YDR297W|Name=SUR2|CHR4:463259-462211|CHR4:1014239-1015287
CHR4:1058176-1058814|-|locus_tag=YDR298C|Name=ATP5|CHR4:461628-460994|CHR4:1015865-1016502
CHR4:1059627-1061231|+|locus_tag=YDR299W|Name=BFR2|CHR4:460180-458550|CHR4:1017316-1018946
CHR4:1061505-1062791|-|locus_tag=YDR300C|Name=PRO1|CHR4:458275-456990|CHR4:1019221-1020506
CHR4:1063352-1067425|+|locus_tag=YDR301W|Name=CFT1|CHR4:456428-452356|CHR4:1021068-1025140
CHR4:1067731-1068390|+|locus_tag=YDR302W|Name=GPI11|CHR4:452049-451391|CHR4:1025447-1026105
CHR4:1068729-1071386|-|locus_tag=YDR303C|Name=RSC3|CHR4:451051-448395|CHR4:1026445-1029101
CHR4:1071880-1072557|-|locus_tag=YDR304C|Name=CPR5|CHR4:447900-447224|CHR4:1029596-1030272
CHR4:107208-111029|+|locus_tag=YDL195W|Name=SEC31|CHR4:1376786-1372966|CHR4:108356-112176
CHR4:1072746-1073488|-|locus_tag=YDR305C|Name=HNT2|CHR4:447034-446293|CHR4:1030462-1031203
CHR4:1073735-1075171|-|locus_tag=YDR306C|Name=PFU1|CHR4:446045-444610|CHR4:1031451-1032886
CHR4:1075472-1075544|-|locus_tag=tV(CAC)D|Name=tV(CAC)D|CHR4:444308-444237|CHR4:1033188-1033259
CHR4:1075865-1077853|+|locus_tag=YDR307W|Name=PMT7|CHR4:443915-441928|CHR4:1033581-1035568
CHR4:1078027-1078449|-|locus_tag=YDR308C|Name=SRB7|CHR4:441753-441332|CHR4:1035743-1036164
CHR4:1079048-1080199|-|locus_tag=YDR309C|Name=GIC2|CHR4:440734-439584|CHR4:1036766-1037916
CHR4:1081128-1084316|-|locus_tag=YDR310C|Name=SUM1|CHR4:438679-435492|CHR4:1038821-1042008
CHR4:1085065-1086993|+|locus_tag=YDR311W|Name=TFB1|CHR4:434742-432815|CHR4:1042758-1044685
CHR4:1087581-1088942|+|locus_tag=YDR312W|Name=SSF2|CHR4:432226-430866|CHR4:1045274-1046634
CHR4:1089219-1090079|-|locus_tag=YDR313C|Name=PIB1|CHR4:430588-429729|CHR4:1046912-1047771
CHR4:1090433-1092511|-|locus_tag=YDR314C|Name=RAD34|CHR4:429376-427299|CHR4:1048127-1050204
CHR4:1092741-1093586|-|locus_tag=YDR315C|Name=IPK1|CHR4:427068-426224|CHR4:1050435-1051279
CHR4:1093763-1095178|+|locus_tag=YDR316W|Name=OMS1|CHR4:426046-424632|CHR4:1051457-1052871
CHR4:1095370-1095461|-|locus_tag=tF(GAA)D|Name=tF(GAA)D|CHR4:424439-424349|CHR4:1053064-1053154
CHR4:1096064-1097386|+|locus_tag=YDR316W-A|Name=YDR316W-A|CHR4:699205-697884|CHR4:783863-785184
CHR4:1096064-1101332|+|locus_tag=YDR316W-B|Name=YDR316W-B|CHR4:699205-696749|CHR4:783863-786319
CHR4:1102184-1103428|+|locus_tag=YDR317W|Name=HIM1|CHR4:423554-422311|CHR4:1053947-1055190
CHR4:1103758-1104947|+|locus_tag=YDR318W|Name=MCM21|CHR4:421980-420792|CHR4:1055521-1056709
CHR4:1105003-1105827|-|locus_tag=YDR319C|Name=YFT2|CHR4:420735-419912|CHR4:1056766-1057589
CHR4:1106095-1108101|-|locus_tag=YDR320C|Name=SWA2|CHR4:419644-417639|CHR4:1057857-1059862
CHR4:1108280-1108498|-|locus_tag=YDR320C-A|Name=DAD4|CHR4:417457-417240|CHR4:1060044-1060261
CHR4:1108702-1109847|+|locus_tag=YDR321W|Name=ASP1|CHR4:417038-415894|CHR4:1060465-1061609
CHR4:1110589-1111692|+|locus_tag=YDR322W|Name=MRPL35|CHR4:415156-414054|CHR4:1062347-1063449
CHR4:1112003-1112293|-|locus_tag=YDR322C-A|Name=TIM11|CHR4:413743-413454|CHR4:1063760-1064049
CHR4:1112480-1114027|-|locus_tag=YDR323C|Name=PEP7|CHR4:413266-411720|CHR4:1064237-1065783
CHR4:1114433-1116763|-|locus_tag=YDR324C|Name=UTP4|CHR4:411311-408982|CHR4:1066192-1068521
CHR4:111580-114234|+|locus_tag=YDL194W|Name=SNF3|CHR4:1372414-1369761|CHR4:112728-115381
CHR4:1117126-1120233|+|locus_tag=YDR325W|Name=YCG1|CHR4:408618-405512|CHR4:1068885-1071991
CHR4:1120609-1124925|-|locus_tag=YDR326C|Name=YSP2|CHR4:405135-400820|CHR4:1072368-1076683
CHR4:1125434-1126018|-|locus_tag=YDR328C|Name=SKP1|CHR4:400310-399727|CHR4:1077193-1077776
CHR4:1126270-1127595|-|locus_tag=YDR329C|Name=PEX3|CHR4:399474-398150|CHR4:1078029-1079353
CHR4:1127872-1129374|+|locus_tag=YDR330W|Name=UBX5|CHR4:397872-396371|CHR4:1079631-1081132
CHR4:1129588-1130823|+|locus_tag=YDR331W|Name=GPI8|CHR4:396156-394922|CHR4:1081347-1082581
CHR4:1131001-1133070|+|locus_tag=YDR332W|Name=IRC3|CHR4:394743-392675|CHR4:1082760-1084828
CHR4:1133260-1135431|-|locus_tag=YDR333C|Name=RQC1|CHR4:392484-390314|CHR4:1085019-1087189
CHR4:1135932-1140476|+|locus_tag=YDR334W|Name=SWR1|CHR4:389812-385269|CHR4:1087691-1092234
CHR4:1141168-1144842|+|locus_tag=YDR335W|Name=MSN5|CHR4:384580-380907|CHR4:1092923-1096596
CHR4:1145092-1146036|+|locus_tag=YDR336W|Name=MRX8|CHR4:380656-379713|CHR4:1096847-1097790
CHR4:1146319-1147179|+|locus_tag=YDR337W|Name=MRPS28|CHR4:379429-378570|CHR4:1098074-1098933
CHR4:114672-115799|+|locus_tag=YDL193W|Name=NUS1|CHR4:1369322-1368196|CHR4:115820-116946
CHR4:1147379-1149466|-|locus_tag=YDR338C|Name=YDR338C|CHR4:378369-376283|CHR4:1099134-1101220
CHR4:1149951-1150520|-|locus_tag=YDR339C|Name=FCF1|CHR4:375797-375229|CHR4:1101706-1102274
CHR4:1150842-1150941|-|locus_tag=tX(XXX)D|Name=tX(XXX)D|CHR12:746402-746303|CHR4:1102596-1102695
CHR4:1151803-1153626|-|locus_tag=YDR341C|Name=YDR341C|CHR4:373945-372123|CHR4:1103558-1105380
CHR4:1154216-1155928|-|locus_tag=YDR342C|Name=HXT7|CHR4:366141-364430|CHR4:1105971-1107682
CHR4:1159608-1161320|-|locus_tag=YDR343C|Name=HXT6|CHR4:366141-364430|CHR4:1105971-1107682
CHR4:1162006-1162449|-|locus_tag=YDR344C|Name=YDR344C|CHR4:363742-363300|CHR4:1113762-1114204
CHR4:1162957-1164660|-|locus_tag=YDR345C|Name=HXT3|CHR4:362791-361089|CHR4:1114713-1116415
CHR4:116321-116866|+|locus_tag=YDL192W|Name=ARF1|CHR4:1367672-1367128|CHR4:117470-118014
CHR4:11657-13360|-|locus_tag=YDL245C|Name=HXT15|CHR4:34987-33285|CHR4:12484-14186
CHR4:1167214-1168659|-|locus_tag=YDR346C|Name=SVF1|CHR4:358534-357090|CHR4:1118970-1120414
CHR4:1169178-1170143|+|locus_tag=YDR347W|Name=MRP1|CHR4:356570-355606|CHR4:1120934-1121898
CHR4:1170326-1171825|-|locus_tag=YDR348C|Name=PAL1|CHR4:355422-353924|CHR4:1122082-1123580
CHR4:1172386-1174176|-|locus_tag=YDR349C|Name=YPS7|CHR4:353362-351573|CHR4:1124142-1125931
CHR4:1175829-1175901|+|locus_tag=tM(CAU)D|Name=EMT1|CHR10:389401-389330|CHR4:1127584-1127655
CHR4:1176120-1178174|-|locus_tag=YDR350C|Name=ATP22|CHR4:349292-347239|CHR4:1127875-1129928
CHR4:117664-118517|+|locus_tag=YDL191W|Name=RPL35A|CHR4:1366327-1365477|CHR4:118815-119665
CHR4:1178666-1181260|+|locus_tag=YDR351W|Name=SBE2|CHR4:346750-344157|CHR4:1130422-1133015
CHR4:1181801-1182754|+|locus_tag=YDR352W|Name=YPQ2|CHR4:343615-342663|CHR4:1133557-1134509
CHR4:1183299-1184258|+|locus_tag=YDR353W|Name=TRR1|CHR4:342117-341159|CHR4:1135055-1136013
CHR4:1184747-1185889|+|locus_tag=YDR354W|Name=TRP4|CHR4:340669-339528|CHR4:1136503-1137644
CHR4:1186107-1188941|+|locus_tag=YDR356W|Name=SPC110|CHR4:339309-336476|CHR4:1137863-1140696
CHR4:118707-121592|-|locus_tag=YDL190C|Name=UFD2|CHR4:1365286-1362402|CHR4:119856-122740
CHR4:1189199-1189567|-|locus_tag=YDR357C|Name=CNL1|CHR4:336217-335850|CHR4:1140955-1141322
CHR4:1190059-1191732|+|locus_tag=YDR358W|Name=GGA1|CHR4:335357-333685|CHR4:1141815-1143487
CHR4:1191936-1194884|-|locus_tag=YDR359C|Name=EAF1|CHR4:333480-330533|CHR4:1143692-1146639
CHR4:1195412-1196263|-|locus_tag=YDR361C|Name=BCP1|CHR4:330004-329154|CHR4:1147168-1148018
CHR4:1196679-1198697|-|locus_tag=YDR362C|Name=TFC6|CHR4:328737-326720|CHR4:1148435-1150452
CHR4:1199183-1200553|+|locus_tag=YDR363W|Name=ESC2|CHR4:326233-324864|CHR4:1150939-1152308
CHR4:1201750-1201822|+|locus_tag=tK(CUU)D1|Name=tK(CUU)D1|CHR10:413530-413601|CHR4:1153506-1153577
CHR4:1202128-1202397|+|locus_tag=YDR363W-A|Name=SEM1|CHR4:323287-323019|CHR4:1153885-1154153
CHR4:1202843-1204210|-|locus_tag=YDR364C|Name=CDC40|CHR4:322572-321206|CHR4:1154600-1155966
CHR4:1204497-1206383|-|locus_tag=YDR365C|Name=ESF1|CHR4:320918-319033|CHR4:1156254-1158139
CHR4:1206997-1208319|+|locus_tag=YDR365W-A|Name=YDR365W-A|CHR4:699205-697884|CHR4:783863-785184
CHR4:1206997-1212265|+|locus_tag=YDR365W-B|Name=YDR365W-B|CHR4:699205-696749|CHR4:783863-786319
CHR4:1212438-1212836|-|locus_tag=YDR366C|Name=YDR366C|CHR4:318717-318503|CHR4:1158455-1158669
CHR4:1212848-1213614|+|locus_tag=YDR367W|Name=KEI1|CHR4:318490-317725|CHR4:1158682-1159447
CHR4:1213904-1214842|+|locus_tag=YDR368W|Name=YPR1|CHR4:317434-316497|CHR4:1159739-1160676
CHR4:1215016-1217580|-|locus_tag=YDR369C|Name=XRS2|CHR4:316322-313759|CHR4:1160851-1163414
CHR4:1217782-1219110|-|locus_tag=YDR370C|Name=DXO1|CHR4:313556-312229|CHR4:1163617-1164944
CHR4:1219413-1220948|+|locus_tag=YDR371W|Name=CTS2|CHR4:311925-310391|CHR4:1165248-1166782
CHR4:1221112-1222149|-|locus_tag=YDR372C|Name=VPS74|CHR4:310226-309190|CHR4:1166947-1167983
CHR4:122216-123589|+|locus_tag=YDL189W|Name=RBS1|CHR4:1361777-1360405|CHR4:123365-124737
CHR4:1222759-1223331|+|locus_tag=YDR373W|Name=FRQ1|CHR4:308579-308008|CHR4:1168594-1169165
CHR4:1223474-1224394|-|locus_tag=YDR374C|Name=PHO92|CHR4:307864-306945|CHR4:1169309-1170228
CHR4:1224757-1225026|+|locus_tag=YDR374W-A|Name=WIP1|CHR4:306581-306313|CHR4:1170592-1170860
CHR4:1225166-1226536|-|locus_tag=YDR375C|Name=BCS1|CHR4:306172-304803|CHR4:1171001-1172370
CHR4:1226822-1228303|+|locus_tag=YDR376W|Name=ARH1|CHR4:304516-303036|CHR4:1172657-1174137
CHR4:1228611-1228916|+|locus_tag=YDR377W|Name=ATP17|CHR4:302727-302423|CHR4:1174446-1174750
CHR4:1229349-1229609|-|locus_tag=YDR378C|Name=LSM6|CHR4:301989-301730|CHR4:1175184-1175443
CHR4:1230167-1233196|+|locus_tag=YDR379W|Name=RGA2|CHR4:301171-298143|CHR4:1176002-1179030
CHR4:1233278-1233517|-|locus_tag=YDR379C-A|Name=SDH6|CHR4:298060-297822|CHR4:1179113-1179351
CHR4:1234218-1236125|+|locus_tag=YDR380W|Name=ARO10|CHR4:297120-295214|CHR4:1180053-1181959
CHR4:1236558-1238004|+|locus_tag=YDR381W|Name=YRA1|CHR4:294780-293335|CHR4:1182393-1183838
CHR4:1238312-1238850|-|locus_tag=YDR381C-A|Name=COI1|CHR4:293026-292489|CHR4:1184147-1184684
CHR4:123865-124998|-|locus_tag=YDL188C|Name=PPH22|CHR4:1360129-1358997|CHR4:125014-126146
CHR4:1239492-1239824|+|locus_tag=YDR382W|Name=RPP2B|CHR4:291850-291519|CHR4:1185323-1185654
CHR4:1239960-1240676|-|locus_tag=YDR383C|Name=NKP1|CHR4:291382-290667|CHR4:1185791-1186506
CHR4:1241204-1242031|-|locus_tag=YDR384C|Name=ATO3|CHR4:290138-289312|CHR4:1187035-1187861
CHR4:1243230-1245758|+|locus_tag=YDR385W|Name=EFT2|CHR15:496221-493694|CHR4:1189060-1191587
