CHR|S288C|YJM975|RM11
CHR2|29935-31251|28715-28896|38972-40034
CHR2|35248-36398|29707-29875|40425-40621
CHR2|36488-37053|30536-31598|41235-41419
CHR2|38690-39145|31989-32185|42683-42881
CHR2|40527-40831|32799-32983|43413-43630
CHR2|43095-43277|34247-34445|45008-45075
CHR2|44089-44256|34977-35194|53437-53878
CHR2|44918-45978|36572-36639|54794-55258
CHR2|46370-46565|45001-45442|56657-57931
CHR2|47180-47363|46358-46823|60872-61224
CHR2|48628-48825|48222-49495|63481-63789
CHR2|49358-49574|52436-52789|65164-65905
CHR2|50953-51019|55037-55344|67010-67109
CHR2|59382-59822|56719-57459|68733-69298
CHR2|60739-61202|58561-58660|73805-74417
CHR2|62602-63876|60284-60849|74769-75082
CHR2|66818-67169|65356-65968|78299-78538
CHR2|69445-69751|66320-66633|80486-80761
CHR2|71127-71866|69850-70089|81827-82229
CHR2|72972-73070|72037-72312|82315-82557
CHR2|74695-75259|73378-73780|83158-83492
CHR2|79767-80378|73866-74108|83589-84012
CHR2|80731-81043|74709-75043|84257-84259
CHR2|84261-84499|75140-75563|84564-84775
CHR2|86448-86722|75808-75810|86063-86448
CHR2|87789-88190|76115-76326|87427-87673
CHR2|88277-88523|77614-77999|89915-90702
CHR2|89125-89458|78978-79224|94147-94404
CHR2|89556-89978|81466-82253|95188-95919
CHR2|90223-90226|85698-85955|99253-99349
CHR2|90531-90741|86739-87470|101438-101965
CHR2|92030-92414|90804-90900|104027-104158
CHR2|93394-93639|92989-93516|104571-104627
CHR2|95882-96669|95578-95709|105276-105470
CHR2|100115-100371|96122-96178|106740-106834
CHR2|101156-101886|96827-97021|107459-107795
CHR2|105221-105316|98294-98388|109200-109606
CHR2|107406-107932|99013-99349|110861-111620
CHR2|109995-110125|100754-101150|113196-113408
CHR2|110539-110594|102405-103164|115905-116782
CHR2|111244-111437|104740-104954|118787-119154
CHR2|112708-112801|107451-108330|120147-120857
CHR2|113427-113762|110335-110702|121272-121328
CHR2|115168-115573|111695-112405|121637-121923
CHR2|116829-117589|112820-112876|126067-126452
CHR2|119166-119379|113185-113472|127803-128190
CHR2|121874-122753|117616-118001|129562-130044
CHR2|124759-125125|119352-119740|130412-130735
CHR2|126119-126828|121112-121594|131507-132371
CHR2|127244-127299|121963-122286|134289-135277
CHR2|127610-127895|123058-123911|136001-136142
CHR2|132040-132424|125829-126817|136897-137423
CHR2|133749-134143|127541-127682|137601-138022
CHR2|135516-135998|128437-128963|139760-140206
CHR2|136366-136688|129141-129560|140903-141228
CHR2|137461-138341|131298-131752|144304-144474
CHR2|140260-141247|132449-132774|145246-145521
CHR2|141972-142112|135850-136020|147637-147876
CHR2|142868-143393|136792-137067|152416-152684
CHR2|143572-143989|139183-139423|153720-154211
CHR2|145728-146187|143963-144231|155355-155726
CHR2|146885-147209|145267-145759|156741-157068
CHR2|150286-150447|146903-147274|158023-158515
CHR2|151220-151493|148289-148616|158798-160154
CHR2|153610-153848|149571-150063|161271-161525
CHR2|158389-158656|150346-151704|161844-162440
CHR2|159693-160184|152833-153087|163392-164632
CHR2|161329-161699|153406-153996|165046-165491
CHR2|162715-163041|154949-156189|165927-166544
CHR2|163997-164488|156603-157048|168591-168930
CHR2|164772-166134|157484-158102|171535-171884
CHR2|167264-167518|160149-160490|175284-175670
CHR2|167838-168423|163095-163444|176103-176411
CHR2|169376-170623|166844-167230|178134-178362
CHR2|171038-171481|167663-167971|179923-180007
CHR2|171918-172534|169694-169922|180482-180853
CHR2|174588-174920|171483-171567|185585-186452
CHR2|177526-177874|172042-172413|187512-188127
CHR2|181275-181660|177145-178011|189706-193057
CHR2|182094-182401|179071-179686|195740-196049
CHR2|184125-184353|181265-183056|197253-197531
CHR2|185915-185998|183128-183129|199787-200085
CHR2|186474-186844|183129-183181|200926-201171
CHR2|191583-192451|183181-183182|203200-203386
CHR2|193512-194122|183182-183250|203624-203630
CHR2|195702-197494|183250-183251|206148-206607
CHR2|197567-197629|183251-184633|210340-210562
CHR2|197699-199064|187316-187625|211103-211445
CHR2|201748-202056|188829-189107|214374-215684
CHR2|203261-203538|191363-191663|223164-223442
CHR2|205817-206107|192504-192749|223839-224536
CHR2|206949-207194|194358-194778|224930-225197
CHR2|209224-209409|194964-195202|225510-226986
CHR2|209648-209653|195208-197726|229327-229753
CHR2|212175-212632|198186-201919|230612-230853
CHR2|216366-216587|202141-202682|232273-232410
CHR2|217129-217470|203024-205953|233710-233953
CHR2|220400-221330|207263-214743|234593-235056
CHR2|221330-222652|215021-215418|236548-236851
CHR2|226598-227075|216115-216509|239060-240607
CHR2|227156-227636|216776-217089|242252-243417
CHR2|230218-235117|218564-220905|243727-244375
CHR2|235394-235792|221331-222190|244784-245156
CHR2|236492-236887|222431-223851|246018-247609
CHR2|237153-237467|223988-225288|247996-248841
CHR2|238941-241283|225531-226171|249451-249827
CHR2|241708-242568|226634-228126|251619-252364
CHR2|242809-244230|228429-230638|252749-253063
CHR2|244366-245667|232185-233830|255812-256538
CHR2|245906-246547|234995-235305|257637-258364
CHR2|247010-248503|235954-236363|260462-261131
CHR2|248806-251016|236735-237597|262716-263554
CHR2|252563-254209|239188-239575|265454-265849
CHR2|255373-255684|240072-240073|266381-266539
CHR2|256331-256741|240073-240143|270035-271556
CHR2|257112-257975|240420-241030|272460-272792
CHR2|261191-265140|241406-243198|273975-274987
CHR2|265492-265881|243943-244328|276128-276134
CHR2|266378-266450|244643-247392|276465-276535
CHR2|266725-267336|248116-249215|278111-278477
CHR2|267710-269503|249942-252040|279849-280400
CHR2|270247-270633|252710-254295|282069-282281
CHR2|270947-273703|255132-257032|283367-283632
CHR2|274427-275527|257427-257959|283933-284057
CHR2|276253-278352|258117-261613|286815-287043
CHR2|279021-280607|263134-264038|288088-288382
CHR2|281443-283344|264370-265553|289067-289298
CHR2|283738-284271|266565-267706|289457-289700
CHR2|284428-287925|267712-268043|290999-291194
CHR2|289445-290350|268113-269689|292425-292678
CHR2|290681-291865|270055-271427|293564-294011
CHR2|292877-294019|271978-273647|296901-297688
CHR2|294024-294356|273857-274944|298622-299077
CHR2|294425-296002|275209-275510|299972-300375
CHR2|296369-297742|275634-278392|302383-302525
CHR2|298292-299950|278620-279665|303717-303985
CHR2|300166-301254|279959-280644|306053-306450
CHR2|301519-301821|280875-281034|308167-308901
CHR2|301944-304703|281277-282576|308901-308973
CHR2|304930-305976|282771-284002|308973-310284
CHR2|306269-306955|284255-285141|312202-312618
CHR2|307185-307345|285588-288478|313621-313944
CHR2|307587-308887|289265-290199|314470-314953
CHR2|309081-310313|290646-291541|315933-316507
CHR2|310565-311452|291944-293952|318938-319304
CHR2|311898-314789|294094-295286|320325-320847
CHR2|315575-316510|295554-297622|321478-321802
CHR2|316968-317864|298019-299736|322877-325230
CHR2|318266-320275|301853-303771|326263-326725
CHR2|320416-321609|304187-305190|329423-330002
CHR2|321876-323945|305513-306039|331506-332950
CHR2|324341-326059|306510-307490|333020-333377
CHR2|326792-326865|308064-310495|333576-334315
CHR2|328173-330092|310861-311882|335414-335792
CHR2|330507-331511|312404-313035|338136-338444
CHR2|331833-332360|313359-314434|338685-338981
CHR2|332831-333812|316785-317818|342306-342772
CHR2|334386-336818|318281-320979|344633-346976
CHR2|337183-338199|321558-323062|347907-348165
CHR2|338720-339352|324506-324576|348788-349159
CHR2|339675-340751|324934-325133|350372-350773
CHR2|343101-344135|325853-326952|351866-352227
CHR2|344602-347301|327320-329664|352888-354292
CHR2|347603-347686|329972-330213|354905-356033
CHR2|347879-349384|330509-333834|357861-358747
CHR2|350827-350898|334300-336161|360605-361393
CHR2|351255-351455|338458-339389|362105-362582
CHR2|352193-353293|339647-340270|363219-364185
CHR2|353672-356017|340641-341854|364828-365015
CHR2|356324-356566|342255-343348|365176-365267
CHR2|356861-360187|343709-344370|368143-368443
CHR2|360652-362514|345774-346387|371372-372386
CHR2|364787-365719|347515-349343|373449-373963
CHR2|365976-366600|350230-352088|374450-375299
CHR2|366970-368184|352876-353588|376916-377558
CHR2|368584-369678|354065-354702|380451-380789
CHR2|370037-370699|355668-356311|383064-383428
CHR2|372103-372735|356498-356659|387425-392111
CHR2|373861-375690|356750-359626|393429-394774
CHR2|376574-378433|359924-362853|395314-397314
CHR2|379221-379934|363867-364930|398773-399199
CHR2|380411-381046|365444-365931|402125-402331
CHR2|382030-382674|366780-368397|403406-404126
CHR2|382860-383021|369040-371933|405048-407046
CHR2|383112-385988|372271-374546|407302-408338
CHR2|386286-389216|374910-378907|411189-411916
CHR2|390227-391291|379533-379534|412979-413140
CHR2|391805-392293|379534-379603|413915-414340
CHR2|393123-394742|379615-379616|414483-414638
CHR2|395383-398277|379616-379623|415207-415305
CHR2|398614-400890|380284-380824|415633-415844
CHR2|401253-405251|382824-384283|417246-417694
CHR2|405878-405949|384709-387635|419096-420182
CHR2|405960-406031|387841-388916|422442-422552
CHR2|406628-407169|389642-390564|423843-424167
CHR2|409169-410629|392561-392817|424858-425097
CHR2|411054-413981|393853-396704|429460-429661
CHR2|414186-415261|397431-398494|431735-431967
CHR2|415983-416906|398655-399430|432838-433207
CHR2|418907-419164|399855-399998|435467-435854
CHR2|420201-423041|400153-400722|437460-437812
CHR2|423765-424829|400820-401148|438800-439026
CHR2|424990-425766|401359-402761|440113-440801
CHR2|426190-426333|403209-404611|441366-441937
CHR2|426489-427058|405697-407957|442673-443393
CHR2|427155-427484|408067-409358|445777-446032
CHR2|427698-429101|409682-410373|446474-446985
CHR2|429548-430951|410612-414975|448333-449308
CHR2|432036-434297|415176-417250|450002-450269
CHR2|434406-435698|417482-418353|450708-451000
CHR2|436021-436713|418722-420982|453890-455369
CHR2|436951-441315|421369-422975|457740-457869
CHR2|441515-443590|423327-424315|462046-462511
CHR2|443821-444693|424541-425628|464555-467448
CHR2|445062-447323|426318-426883|468432-468545
CHR2|447709-449316|427454-428190|469032-469474
CHR2|449667-450656|428910-431312|471476-472080
CHR2|450881-451969|431567-432009|472612-472852
CHR2|452658-453224|432520-433868|474800-475321
CHR2|453793-454530|434843-435537|476501-477026
CHR2|454822-457665|435804-436243|478512-478992
CHR2|457919-458362|436535-439425|479197-479411
CHR2|458872-460221|440904-443275|480963-481222
CHR2|461178-461873|443404-447581|482255-482494
CHR2|462139-462579|448048-450092|483479-483733
CHR2|462870-465770|452984-453968|485009-485304
CHR2|467248-469620|454081-454568|487417-487799
CHR2|469748-473926|455011-457013|489588-489953
CHR2|474392-476437|457617-458149|492435-493004
CHR2|477671-479047|458389-460337|493379-493793
CHR2|479338-480323|460861-462041|500898-501169
CHR2|480435-480923|462566-464052|501707-501887
CHR2|481364-483367|464532-464737|503460-503792
CHR2|483970-484503|464951-466503|505317-505478
CHR2|484742-486691|466751-467784|514755-515153
CHR2|487199-488380|468023-469008|516165-516445
CHR2|488905-490392|469262-470538|518753-518986
CHR2|490850-491056|470833-472946|520298-521353
CHR2|491269-492822|473327-475116|521666-521880
CHR2|493081-494115|475481-477963|522934-523376
CHR2|494353-495339|478532-478983|524211-524691
CHR2|495592-496869|479346-486451|525470-526025
CHR2|497163-499277|486722-487260|527854-528138
CHR2|499652-501442|487440-489013|529171-529562
CHR2|501804-504287|489345-490870|532599-533135
CHR2|504854-505306|491031-500308|534084-534482
CHR2|505668-512774|500706-501718|535356-535566
CHR2|513044-513583|501998-504306|536299-536468
CHR2|513762-515336|504539-505851|537114-537876
CHR2|515664-517190|506906-507219|539032-539209
CHR2|517350-526628|507433-508487|541304-541649
CHR2|527025-528038|508929-509764|542415-544654
CHR2|528317-530638|510244-511023|546302-546791
CHR2|530869-532182|511578-513406|547833-548189
CHR2|533235-533549|513690-514723|549084-549745
CHR2|533762-534817|515129-518154|550872-551317
CHR2|535260-536096|518690-519639|552683-553345
CHR2|536575-537465|520037-520911|553541-553837
CHR2|537876-539705|521121-521854|555592-555989
CHR2|539987-541021|522023-522669|556539-556966
CHR2|541209-544493|523431-524587|557798-557956
CHR2|545028-545978|524764-526859|559313-559584
CHR2|546376-547251|527204-527970|560005-560486
CHR2|547460-548194|530210-531858|561726-562030
CHR2|548362-549009|532347-533389|564110-564456
CHR2|549771-550928|533741-534636|566197-566476
CHR2|551104-553200|535293-536420|567095-567262
CHR2|553543-554310|536862-538228|569483-569836
CHR2|556549-558198|538889-539085|570281-570518
CHR2|558685-559728|539381-541136|571464-571808
CHR2|560078-560974|541533-542083|572745-572895
CHR2|561634-562764|542510-543342|574249-574635
CHR2|563203-564570|543500-544857|577201-577829
CHR2|565231-565428|545121-545542|579546-579793
CHR2|565723-567480|546023-547263|580853-581587
CHR2|567875-568426|547567-549647|582944-583442
CHR2|568852-569685|549992-551733|583636-584197
CHR2|569842-571200|552012-552631|585146-585446
CHR2|571468-571890|552798-555019|587016-587205
CHR2|572371-573612|555373-555818|588040-588635
CHR2|573915-575996|556055-557001|590441-590716
CHR2|576344-578086|557345-558282|591557-591766
CHR2|578364-578984|558432-559786|592187-592589
CHR2|579150-581372|560172-562738|593588-594350
CHR2|581726-582172|563366-565083|595219-595730
CHR2|582408-583355|565330-566390|596862-597160
CHR2|583720-584658|567125-568482|597830-598116
CHR2|584807-586162|568980-569174|598486-598692
CHR2|586547-589114|569735-570684|599959-600314
CHR2|589741-591459|570984-572554|601977-602102
CHR2|591712-592774|572744-573579|602250-602602
CHR2|593506-594864|574174-575980|602705-603280
CHR2|595361-595555|576255-577096|603931-604202
CHR2|596115-597065|577305-577726|606597-606985
CHR2|597363-598934|578128-579127|608376-608948
CHR2|599123-599959|579889-580758|610602-611059
CHR2|600553-602360|581269-582401|611222-611652
CHR2|602634-603476|582699-583369|612286-612569
CHR2|603685-604107|583655-584025|612771-613848
CHR2|604508-605508|584231-585498|616384-617250
CHR2|606270-607140|585853-587516|620023-620336
CHR2|607652-608785|587641-587789|621471-621713
CHR2|609082-609753|588141-588244|622926-623237
CHR2|610038-610409|588819-589470|624633-624794
CHR2|610614-611882|589741-592136|630300-630674
CHR2|612236-613900|592524-593915|630990-633245
CHR2|614024-614173|594487-596141|633672-633826
CHR2|614526-614630|596599-596762|634799-635553
CHR2|615203-615856|597192-597826|637564-638023
CHR2|616127-618523|598109-598311|638846-639070
CHR2|618909-620303|599388-601924|640652-641012
CHR2|620872-622527|602787-605560|642972-643234
CHR2|622983-623147|605873-606999|645257-645490
CHR2|623576-624211|607241-608454|646049-646365
CHR2|624493-624696|608765-610161|649906-650157
CHR2|625772-628309|610322-615828|650653-650960
CHR2|629168-631942|616202-616518|652334-652811
CHR2|632254-633381|619110-619537|653910-654196
CHR2|633622-634836|619693-620666|654299-654378
CHR2|635146-636543|621420-623431|656008-656321
CHR2|636703-642210|623892-624715|657954-658285
CHR2|642583-642900|624939-626521|660986-661231
CHR2|643007-643078|626881-628841|662792-662972
CHR2|645167-645238|629103-631126|663885-664016
CHR2|645550-645978|631359-631918|666879-667209
CHR2|646158-647132|632234-635775|667709-668020
CHR2|647886-649904|636026-636522|668219-668346
CHR2|650368-651192|636829-638203|669519-669837
CHR2|651415-652998|638680-639779|670747-671086
CHR2|653356-655317|640065-640168|672326-672638
CHR2|655576-657600|640247-641877|672921-673098
CHR2|657832-658392|642190-643823|674251-674561
CHR2|658707-662249|644154-646855|677922-678043
CHR2|662499-662995|647100-648661|679352-679629
CHR2|663303-664677|648841-649754|682177-682768
CHR2|665153-666253|649885-652748|684962-686008
CHR2|666538-666642|653078-653578|687596-688152
CHR2|666720-668351|653889-654088|689503-690253
CHR2|668663-670297|654215-655388|691718-692334
CHR2|670627-673329|655708-656618|693049-693111
CHR2|673572-675134|656957-658197|694456-695192
CHR2|675313-676227|658507-658790|695679-695814
CHR2|676357-679221|658967-660120|699202-699255
CHR2|679549-680050|660430-663791|700417-700656
CHR2|680362-680562|663912-665221|702106-702459
CHR2|680688-681862|665498-668046|704116-704534
CHR2|682179-683090|668638-670832|705645-706685
CHR2|683428-684669|671882-673470|708255-709043
CHR2|684977-685261|674030-675381|709965-710264
CHR2|685438-686592|676131-677596|710706-710923
CHR2|686901-690263|678213-678928|711287-711388
CHR2|690383-691693|678990-680335|711914-712108
CHR2|691969-694518|681071-681558|714191-714270
CHR2|695107-697302|681693-685081|714725-715038
CHR2|698354-699943|685134-686296|715753-716537
CHR2|700490-701842|686547-687997|717375-717386
CHR2|702589-704055|688351-690008|717813-718039
CHR2|704670-705386|690426-691537|720104-720291
CHR2|705447-706793|692577-694147|722290-722483
CHR2|707528-708016|694934-695856|723180-723371
CHR2|708150-711539|696155-696597|723690-723915
CHR2|711591-712754|696814-697178|725386-725421
CHR2|713004-714455|697279-697805|726019-726233
CHR2|714807-716465|697999-700082|727194-727492
CHR2|716882-717994|700161-700616|728672-728950
CHR2|719033-720604|700929-701644|729266-729811
CHR2|721390-722313|702428-703266|730226-730412
CHR2|722611-723054|703277-703704|732048-732502
CHR2|723270-723635|703930-705995|733760-734012
CHR2|723736-724263|706182-708181|735445-735704
CHR2|724456-726540|708374-709071|737013-737237
CHR2|726618-727074|709262-709581|738819-738998
CHR2|727386-728102|709806-711277|744747-745260
CHR2|728885-729724|711312-711910|747682-747934
CHR2|729734-730162|712125-713086|748538-748897
CHR2|730387-732453|713384-714564|750233-750424
CHR2|732639-734639|714842-715158|752336-752610
CHR2|734832-735530|715703-716118|755245-755879
CHR2|735720-736040|716304-717940|756318-756582
CHR2|736264-737736|718394-719652|758053-758878
CHR2|737770-738369|719904-721337|761270-761562
CHR2|738582-739544|721595-722904|761995-762330
CHR2|739841-741022|723128-724710|763942-764201
CHR2|741299-741616|724889-730638|765483-765642
CHR2|742160-742576|731151-733573|767092-767297
CHR2|742761-744398|733825-734429|769995-770203
CHR2|744852-746111|734788-736124|771167-771285
CHR2|746361-747803|736315-738227|772183-772314
CHR2|748061-749371|738501-741136|772684-774620
CHR2|749594-751177|741770-742209|776043-776851
CHR2|751356-757106|742473-743944|779429-780465
CHR2|757620-760043|744769-747161|784114-784414
CHR2|760294-760899|747454-747887|786137-787739
CHR2|761257-762594|748231-749843|787857-788139
CHR2|762784-764697|750102-751384|789544-790246
CHR2|764970-767606|751543-752993|792089-792650
CHR2|768240-768680|753198-755914|792870-792966
CHR2|768943-770415|756122-757086|792966-794720
CHR2|771239-773632|757204-758102|794720-796674
CHR2|773922-774356|758233-758603|796674-797035
CHR2|774700-776313|760539-761962|797035-919793
CHR2|776571-777854|762768-765346|
CHR2|779667-782384|770331-772054|--
CHR2|782591-783556|773656-773774|--
CHR2|783673-784572|774056-775461|--
CHR2|784702-785073|776163-778006|--
CHR2|787006-788430|778567-778787|--
CHR2|789235-791814|782589-782590|--
CHR2|792849-796499|782590-782950|--
CHR2|796798-798522|784918-784919|--
CHR2|800123-800242|784919-785710|--
CHR2|800523-801929||--
CHR2|805035-805256|--|--
CHR2|805351-807105|--|--
CHR2|809057-809419|--|--
CHR2|810340-811479|--|--
CHR2||--|--
CHR3|0-6479|0-7043|0-8683
CHR3|8326-9706|7044-8284|8684-10529
CHR3|11082-11503|8284-8285|10530-11536
CHR3|12285-12386|8325-10178|11909-13283
CHR3|13018-13282|10551-11925|13284-14587
CHR3|13809-15798|11926-12348|14587-15220
CHR3|16880-17290|13129-13229|15220-15485
CHR3|18561-18816|13587-13860|15485-16011
CHR3|22106-22429|13860-14125|16011-18001
CHR3|23379-23523|14125-14651|19082-19493
CHR3|23584-23925|14651-16641|20763-21019
CHR3|23981-24032|17722-18133|24308-24632
CHR3|24325-24768|19403-19659|25581-25726
CHR3|26906-26925|22948-23274|25787-26127
CHR3|27359-27929|24223-24368|26183-26235
CHR3|28936-30910|24429-24769|26527-26971
CHR3|30996-31449|24825-24878|29108-29128
CHR3|33974-34143|25170-25614|29561-30131
CHR3|35393-35865|27751-27771|31137-33112
CHR3|37616-37836|28204-28775|33197-33651
CHR3|38801-39786|29781-31756|36175-36345
CHR3|40724-41488|31841-32295|37594-38067
CHR3|41727-42165|34819-34989|39817-40038
CHR3|43556-43661|36238-36711|41002-41988
CHR3|44437-44623|38461-38682|42925-43690
CHR3|46905-47111|39646-40632|43928-44361
CHR3|48364-48653|41569-42334|45751-45857
CHR3|50221-50584|42572-43010|46632-46819
CHR3|50838-50943|44400-44506|49100-49307
CHR3|52340-52645|45281-45468|50559-50849
CHR3|54882-54941|47749-47956|52416-52772
CHR3|56527-57374|49208-49498|53028-53132
CHR3|58678-59026|51065-51420|54529-54837
CHR3|60726-60841|51676-51780|57073-57132
CHR3|61173-61658|53177-53483|58711-59551
CHR3|62722-62776|55719-55778|60854-61203
CHR3|63282-63441|57357-58204|62902-63018
CHR3|64481-64675|59507-59856|63349-63834
CHR3|65568-65934|61555-61671|64897-64958
CHR3|68333-68599|62002-62488|65463-65623
CHR3|69921-70150|63551-63606|66662-66857
CHR3|71367-71803|64111-64271|67749-68116
CHR3|73341-73405|65310-65496|70514-70781
CHR3|73986-74704|66388-66755|72102-72332
CHR3|75285-76018|69153-69420|73548-73984
CHR3|77919-79162|70741-70971|75521-75586
CHR3|82275-82462|72187-72623|76166-76885
CHR3|82533-83620|74160-74225|77465-78198
CHR3|83997-85102|74805-75524|80098-81341
CHR3|85102-86418|76104-76837|84453-85456
CHR3|90415-90859|78737-79981|85832-87270
CHR3|90972-92777|83093-84095|88762-89112
CHR3|94270-94621|84471-85494|90253-90772
CHR3|95763-96281|86587-86945|95681-95808
CHR3|101191-101317|88437-88787|96278-96565
CHR3|101788-102075|89928-90447|97847-98061
CHR3|103358-103571|95356-95483|98839-99109
CHR3|104350-104619|95953-96240|100037-100193
CHR3|105548-105696|97522-97736|101349-101520
CHR3|106853-107023|98514-98784|101913-102001
CHR3|107417-107504|99712-99868|102208-102518
CHR3|107712-108021|101024-101195|103287-103602
CHR3|108791-109105|101588-101676|105166-105305
CHR3|110670-110808|101883-102193|106171-106413
CHR3|111675-111916|102962-103277|106978-107577
CHR3|112482-113080|104841-104980|108037-108267
CHR3|113541-113770|105846-106088|108520-110182
CHR3|114024-115685|106653-107252|110495-111877
CHR3|115999-117380|107712-107942|112844-113117
CHR3|118348-118620|108195-109852|113667-114072
CHR3|119171-119575|110165-111547|114814-115443
CHR3|120318-120946|112514-112787|116824-117027
CHR3|122328-122530|113337-113742|117499-120507
CHR3|123003-123577|114484-115113|121225-122966
CHR3|123648-126011|116494-116697|124776-125239
CHR3|126730-127716|117169-120331|126035-126767
CHR3|127789-128470|121049-122790|127617-128218
CHR3|130281-130745|124600-125063|131366-132240
CHR3|131542-132273|125859-126591|133489-133679
CHR3|133124-133724|127441-128042|135426-135711
CHR3|136873-137746|131190-132064|136663-136858
