SNP,Chr,Pos,Effect,SE,TPO1_TCB2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
77,1,93789,-0.0605010956919215,0.153032370492383,0.692824622309143
78,1,94351,-0.0910928872602074,0.153392485529197,0.55298948343582
79,1,99148,-0.0668877838369626,0.153024839887024,0.662303132018309
80,1,101281,2.69378699275194,1.66789302568429,0.107185957931024
81,1,106011,0.0503344769765505,0.159501247312704,0.752512215791652
82,1,106800,-0.0724030545247312,0.153224262875139,0.63684056851613
83,1,107970,0.0243853265123943,0.152813110913156,0.873306240577568
84,1,109000,0.0282914400195308,0.15308053476665,0.853480987800259
85,1,112549,-0.0779614887082504,0.152858334240054,0.610353065343788
86,1,112742,-0.0538813512254662,0.153483609930363,0.725755714720456
87,1,113050,-0.0739786050421343,0.153201560539187,0.629477329158308
88,1,113135,-0.0426944955166664,0.152844918657847,0.780153543890145
89,1,114076,-0.0848715354236118,0.152795050160237,0.578931916508751
90,1,114628,-0.0505521697943018,0.153224901721713,0.741655071164719
91,1,116283,0.0453154064309944,0.154082000135539,0.768854889642783
92,1,126880,-3.74759684954089,2.88448494161672,0.194714412041178
93,1,127853,0.121493004798326,0.153677971549223,0.429726469784798
94,1,128302,0.113935760789316,0.153103084942805,0.457264613931995
95,1,128704,0.0638003608319206,0.153338061266119,0.677606882524577
96,1,128911,0.116537610364773,0.153267173371721,0.44754938257562
97,1,130267,0.15979164566825,0.15308385226825,0.297283996154868
98,1,130271,0.148538870104736,0.153298164408297,0.33323155072736
99,1,130613,0.235508191583898,0.154428472996121,0.128146794864651
100,1,132012,-0.121265524593451,0.154472710458478,0.432963226556775
101,1,133231,-0.146244719905853,0.153312931645706,0.34078860282539
102,1,137074,-0.131134082085709,0.153133100319855,0.392390365208733
103,1,137304,-0.230771616909951,0.152852652555981,0.131997897494368
104,1,139686,-0.192815931253582,0.153203536680924,0.20902082633564
105,1,149562,-0.197761263607853,0.153536794288799,0.198576328745367
106,1,150447,-0.129242220603273,0.155452114422235,0.406312140189354
107,1,151446,0.0442336645588401,0.312593838329741,0.887551545154167
108,1,154084,-0.170874101716563,0.155819784403186,0.273557852504213
109,1,156633,-0.139311903178619,0.158051041682783,0.378681554366319
110,1,157269,-0.217033990319265,0.152816175639726,0.156423568073626
111,1,160054,-0.219012134229687,0.15426839065525,0.156582620308839
112,1,166222,-0.18451950144334,0.153249543981435,0.229378531624028
113,1,166416,-0.190746402645146,0.152915501406675,0.213078724235572
114,1,167326,-0.231464702426474,0.153629847733374,0.13279757989073
115,1,168836,-0.139414342094267,0.153213051193942,0.363476209544525
116,1,171200,-0.225137807188875,0.153154290061203,0.142450695037619
117,1,171431,-0.221740986834762,0.154130226447775,0.151132912686672
118,1,173339,-0.234624347700322,0.152870084827271,0.125729784691207
119,1,173845,-0.230888639211005,0.152758644065046,0.131565857489188
120,1,175121,-0.260262685583965,0.152319704239943,0.0883928328553904
121,1,175281,-0.274032777030896,0.15238187037347,0.0729790843975482
122,1,175315,-0.285157420314379,0.152275608939826,0.0619444976531232
123,1,175523,-0.270388154637065,0.15322280916741,0.0784834646905355
124,1,175541,-0.280382507095745,0.152540843847528,0.0668905124960635
125,1,175653,-0.28409732905683,0.153008734754025,0.0641811312222247
126,1,175805,-0.213376854186765,0.162052946015308,0.188789796472955
127,1,175818,-0.30091617192674,0.157908142960766,0.0575089894939278
128,1,175856,-0.26425170745479,0.155658246485412,0.0904570081716289
129,1,175876,-0.255749722516238,0.153293990341651,0.0961307783370623
130,1,175989,-0.257751554308893,0.153725335801724,0.0944860916966287
131,1,176001,-0.255835035909128,0.154541733609452,0.0987233597337319
132,1,176451,-0.225774073842337,0.156544780654095,0.150123242364978
133,1,177692,-0.261835889042677,0.152394222657679,0.0866464273071513
134,1,178191,-0.26751519874858,0.152518884901877,0.0803015577335049
135,1,178224,-0.261835889042677,0.152394222657679,0.0866464273071513
136,1,178960,-0.290159325177312,0.153477288690816,0.0595007634602821
137,1,179139,-0.284195004123907,0.305349194673206,0.352633801385688
138,1,179139,-0.710253299021416,0.614574150856241,0.248592189046115
139,1,180955,-0.223765575908028,0.176744148398314,0.206332794109125
140,1,183802,-0.310617527781939,0.152153832981767,0.0419472246785154
141,1,183954,-0.290157691198233,0.153388134677333,0.0593550576582609
142,1,184450,-0.196352506161904,0.152456047747234,0.198614451364558
143,1,184641,-0.239684504343728,0.156742537362042,0.127120220170059
144,1,184718,-0.263949779400357,0.153038608134066,0.0854520584139525
145,1,185296,-0.211703551006328,0.152614711617331,0.166263124031324
146,1,185438,-0.223036172301669,0.152576226362271,0.144685210117227
147,1,185469,-0.23420600486712,0.152750404541229,0.126107651601505
148,1,185503,-0.203865998111758,0.152476212681307,0.182072253717866
149,1,185705,-0.245047180328157,0.154019008496235,0.112500387147874
150,1,185749,-0.22562825698517,0.154103041366603,0.144045946165807
151,1,185806,-0.270007646414384,0.154108023732566,0.0806305092620091
152,1,185879,-0.230996121019166,0.155037818385646,0.137134513848178
153,1,185916,-0.15995629008841,0.155220507307878,0.303476186280602
154,1,185941,-0.155191802078482,0.155912341474499,0.320233994132299
155,1,185954,-0.173377900706652,0.156314813329956,0.268116881335822
156,1,186055,-0.195952530313078,0.153106990325027,0.201441700604853
157,1,186896,-0.217551590525313,0.155547373708002,0.162805050267129
158,1,187697,-0.717012186524936,0.31580486960901,0.0237837610378972
159,1,189392,-0.261864730067721,0.31946624366225,0.412943371360484
160,1,189416,-0.269654846010349,0.308986193512189,0.383415271639559
161,1,190132,0.194774838125888,0.153306357600879,0.204745352844409
162,1,190148,0.201147060834857,0.153329500992452,0.190419381794392
163,1,190165,0.166304581985562,0.154630763737389,0.282887787636887
164,1,190169,0.199009215479416,0.154327688381991,0.198060325427629
165,1,190933,-0.0492847604242701,0.153413883488257,0.748208347217738
166,1,192149,0.062263550502533,0.154655254143455,0.687489316094126
167,1,192302,-0.0266971170729073,0.204245313404507,0.896078357182531
168,1,192303,-0.0237558742364055,0.18441028950752,0.897572839166989
169,1,192305,-0.0466585448554779,0.191623309917537,0.807766520806775
170,1,192315,-0.147404288242226,0.217256324700294,0.497911303207512
171,1,192795,0.0366470783504688,0.15313341524378,0.811000450170932
172,1,194020,-0.0294760374455743,0.161301115990757,0.855107558139246
173,1,194187,0.0174597173753903,0.153269897862493,0.909370054558179
174,1,194867,-0.186053980550458,0.152868897650036,0.22438606957874
175,1,197325,-0.156354501728777,0.156706540233787,0.319082339006488
176,1,197392,-0.212149122772244,0.158542894162961,0.181719239533966
177,1,198857,-0.575385055854762,0.733903995857981,0.433562403928063
178,1,206666,-0.113906348849236,0.172178502593772,0.508685066575393
179,1,206675,-0.10770650699541,0.224226983331365,0.631279003566327
180,1,223051,-0.299357558789572,0.17680888600432,0.0913160521633439
181,1,223059,-0.401260933990137,0.183099568848464,0.0290692351652455
182,2,7366,-0.147500629418796,0.222042053690848,0.506937491994951
183,2,8180,0.298669124315076,0.305483261520293,0.328895281242323
184,2,8187,0.0509346402451829,0.318090802370379,0.872873327915109
185,2,8250,0.0893230605148894,0.313359985495522,0.775773497648719
186,2,8253,0.0858772217458732,0.313362714345271,0.78420607386053
187,2,8285,0.0783226715552006,0.169857968913015,0.645005926698141
188,2,8302,0.1165326258355,0.158924784302054,0.463888684424049
189,2,8306,0.1165326258355,0.158924784302054,0.463888684424049
190,2,8314,0.155356417694296,0.155563436038418,0.318639020678113
191,2,8317,0.109373627253603,0.159229465701104,0.492601059486911
192,2,8328,0.0794578254309042,0.158566613525668,0.616612647863666
193,2,8331,0.0915340898917347,0.158249818091444,0.563352710504516
194,2,8498,0.0713131920600769,0.155508575720312,0.646817685047724
195,2,8651,0.0721361109003863,0.155653191369445,0.643333721034745
196,2,9418,-0.304427821657977,0.395655479873233,0.442154680184946
197,2,9812,0.0242794866367078,0.156620345982339,0.876893140640896
198,2,9932,-0.00511305642223836,0.156008131339557,0.973873100562349
199,2,10135,0.00556824662806132,0.155410630159832,0.971438760288689
200,2,11616,0.0485670159830169,0.155224435427888,0.754554668000933
201,2,12133,0.0400821033388135,0.155848528959629,0.79718482080399
202,2,12194,0.0615322746183544,0.156431557439931,0.694298823510574
203,2,12359,0.0112420963878734,0.156007221224371,0.942593867601698
204,2,13061,0.0218389660575838,0.155992557079223,0.888739795105641
205,2,14298,0.000377651567018855,0.156489007543526,0.998075847364314
206,2,15222,0.0309874138824338,0.15800639466035,0.844633055015782
207,2,17986,0.0722106227595722,0.155198375577177,0.642018213405789
208,2,19770,0.0570642963052532,0.156289808390997,0.715241631008118
209,2,19836,0.00409412959764865,0.155889701429787,0.979062415163683
210,2,19851,0.00862896863769058,0.156345602156467,0.956017020635596
211,2,21595,0.0187867517346552,0.155697325849553,0.9040274027953
212,2,22385,0.0195253958469855,0.155844399944241,0.900367061954168
213,2,23441,-0.00629276513698374,0.157361187571503,0.968124256668841
214,2,24209,-0.0248208996898251,0.156060220249983,0.873722851418599
215,2,24341,-0.0126605974489842,0.156433504780932,0.935541281444391
216,2,26815,-0.00835076542710222,0.156246861309214,0.95740681010946
217,2,28209,0.0653997164041878,0.156261303864678,0.675815702590239
218,2,28695,-0.140629860826582,0.163117819342851,0.389197581342993
219,2,35849,-2.4956887803349,1.6687658313031,0.135669714765634
220,2,35850,-0.365181457142123,2.04729495763776,0.858532637502776
221,2,41245,-0.0534034068615257,0.155674590116722,0.731768721863643
222,2,43214,-0.122709003343321,0.158090023697484,0.438152417437054
223,2,47104,-0.0242693399534827,0.153808533481683,0.87471305427749
224,2,50915,0.149753584077107,0.155120580012296,0.335004837393533
225,2,55834,0.100059157564086,0.154515741233617,0.517686539491893
226,2,56422,0.153854117687499,0.154667272658564,0.320542867368547
227,2,57715,0.108775321208943,0.154264732581356,0.481199858264808
228,2,59046,0.142375576511109,0.15496909753341,0.358861384410311
229,2,59191,0.0943202788478726,0.154184199235155,0.54110513108927
230,2,59383,0.136875124536701,0.15413826643166,0.37514420526219
231,2,59477,0.0903415115547281,0.156558309601067,0.564275483572511
232,2,59755,-0.0293739010513159,0.351923275704774,0.933527705927665
233,2,60471,0.11311895176426,0.154400821713612,0.464269212883637
234,2,60478,0.120526297962325,0.154561420021612,0.436033775388471
235,2,60786,0.137780220827205,0.154265925438234,0.372393615108862
236,2,61035,0.147887826902887,0.154228258837413,0.338270806598175
237,2,61071,0.182390655226457,0.153421620815853,0.235309710489192
238,2,61675,0.149025045101537,0.153966836798045,0.333755221386717
239,2,62776,0.142124082726355,0.160738804521627,0.377193998142195
240,2,62939,0.16460420151812,0.153654957373176,0.284785019537214
241,2,63527,0.155775920137808,0.154259573401128,0.313268502046314
242,2,63857,0.145661186348135,0.154323547838155,0.345882238016002
243,2,65527,0.0838665941535327,0.153944038006661,0.586244538615178
244,2,67007,0.125205624527855,0.169431421174383,0.460413105638602
245,2,67023,0.158169463781425,0.350543924778239,0.652114153083146
246,2,67024,0.159976551237903,0.351823728958129,0.649599870181022
247,2,67976,0.129586447296161,0.156074665934915,0.406938862600041
248,2,69628,0.17914560351832,0.15852862829318,0.259221545242842
249,2,71825,-0.133632874843629,0.307023545878832,0.663644896296441
250,2,72389,0.273926999287899,0.1545775110664,0.0772402842405114
251,2,72392,0.164873091653795,0.156072812805139,0.291514444298064
252,2,73646,0.231710081818728,0.15261698903504,0.129847546666799
253,2,74564,0.252312208498722,0.152222604895654,0.098302519446768
254,2,74739,0.292018229465318,0.152526434199389,0.056359076094934
255,2,79931,0.40973847773048,0.171426601257662,0.0173644424758351
256,2,80748,0.263287947642921,0.158833155795211,0.0982788360909064
257,2,80873,0.319355597226465,0.152739195110023,0.0372556917345459
258,2,81501,0.301696440885233,0.152815120587477,0.0491316093096219
259,2,83526,0.331775938741325,0.152398448246398,0.0301403875258766
260,2,83845,0.35786205444607,0.152378093384679,0.0193995539581467
261,2,84412,0.616221138175351,0.385605360708195,0.110923952389127
262,2,84412,0.209986842403478,0.19346662005636,0.278489385069389
263,2,84447,0.365414508196965,0.154303657578272,0.0184153842649771
264,2,87391,0.374900952704573,0.15157807528021,0.0138564960320818
265,2,87562,0.380878797487399,0.151926185343143,0.0126247841748553
266,2,87849,0.383647964420301,0.151891799130392,0.0119804844340224
267,2,87878,0.380080872358438,0.152581560568736,0.0131971528486619
268,2,88125,0.328029322617888,0.170264372606453,0.0548335073233986
269,2,89785,0.384752160186005,0.152565699942489,0.0121123428944457
270,2,93441,0.328374723648602,0.157562824175101,0.0378708641784617
271,2,93588,0.36382627585074,0.162949014449232,0.0261912094137601
272,2,93721,0.339384984060101,0.152402317449117,0.0265841425421461
273,2,93952,0.32276235645097,0.152062814813395,0.0344864914537367
274,2,95085,0.386018466807811,0.151860139902369,0.0114509588541313
275,2,103188,0.355058726382104,0.155821952212539,0.0232865672426265
276,2,107124,0.304717738766763,0.152459696118249,0.0464097417441463
277,2,111645,0.369067087147821,0.15215534665947,0.0157841164261778
278,2,111916,0.359953861412014,0.152581655063786,0.0188639354870772
279,2,111931,0.376889768574056,0.15270293439571,0.0140556899869892
280,2,111999,0.371598108064362,0.152181959839181,0.0151044635110601
281,2,114528,0.305459073739592,0.153486256369586,0.0473465223925499
282,2,116024,0.385571066921007,0.153344793793218,0.0123673315591633
283,2,119244,0.178797912496308,0.168348277055207,0.288929267768976
284,2,119246,0.210878445577794,0.170045683327563,0.215751675281225
285,2,119247,0.246634802234326,0.171143457618982,0.15044293368405
286,2,120090,0.216348676593102,0.153670045817455,0.160047213844714
287,2,120291,0.221478818333764,0.155416714737651,0.155022145769699
288,2,120726,0.201705229227192,0.154590282108364,0.19282009990499
289,2,121716,0.237367030895544,0.154270164492828,0.124786831871427
290,2,123100,0.176275964269526,0.154715917109987,0.255328712288116
291,2,124677,0.192962739843005,0.154445509314698,0.212350096016918
292,2,127636,-0.166867811348064,0.195568932680141,0.394103178692047
293,2,127887,0.195209733766458,0.155501143430677,0.210178893097447
294,2,128935,0.220437346086958,0.155257853118647,0.15654421296494
295,2,129053,0.224736102128661,0.155715745968275,0.149838033929021
296,2,130040,0.202487891744018,0.156757659345734,0.197297259904296
297,2,130976,0.0924961874014719,0.155770088034536,0.55302659057317
298,2,132199,0.170083661725354,0.156308269336664,0.277280234903403
299,2,133355,0.194636564267136,0.157288539972986,0.216742882737656
300,2,133435,0.15978177244987,0.157740866928397,0.311783395982468
301,2,133943,0.0902025595315976,0.184885646036205,0.625935615988382
302,2,135183,0.164610970813922,0.15781442651911,0.29763120755658
303,2,135402,0.196373256587397,0.157687556750266,0.213835984394313
304,2,135898,0.213162357850381,0.158466050761459,0.179436748207703
305,2,135912,0.218187439815974,0.158564339074656,0.169688290680466
306,2,135925,0.216432097670292,0.157849038182343,0.171204387644428
307,2,136002,0.191017611850221,0.157823264089875,0.226963594890277
308,2,136173,0.207217897333302,0.158886953994501,0.193020431762641
309,2,138209,0.282847192108211,0.163247250222723,0.084034728713316
310,2,138318,0.30988362029906,0.162639931792737,0.0575487645950723
311,2,138695,0.292986263009672,0.15991371606414,0.0677710922485068
312,2,138818,0.258068956001283,0.159788321978168,0.107189446023667
313,2,139728,0.25505940205163,0.159513453783125,0.110718874601096
314,2,140174,0.237957385198464,0.159588306079868,0.136836074982035
315,2,140863,0.250570154630227,0.159468628132115,0.117013070065548
316,2,141152,0.216393278383137,0.160062260507533,0.177262662329925
317,2,141292,0.277607156834641,0.158635632647429,0.0809928374362316
318,2,141545,0.282858531419902,0.159388923636659,0.0768185196499618
319,2,145823,0.38225628940435,0.164952170050327,0.0210546847676234
320,2,145934,0.317362420330674,0.273327136984919,0.246382400276698
321,2,145980,0.278063797204303,0.167080641520387,0.0969500342097632
322,2,146723,0.283311041982949,0.159096589587877,0.0758134068199809
323,2,147946,0.26745742135741,0.160644007353252,0.0968184593483235
324,2,150394,0.358664663180912,0.174641890117792,0.0407394950518972
325,2,151274,0.0859709110457363,0.275166114158244,0.754896129349438
326,2,151397,0.296768033781267,0.160903249566599,0.0659643188666458
327,2,153035,0.264952670112978,0.159293667017713,0.0971405214174668
328,2,153228,0.20008584567066,0.160731154499473,0.214013443748109
329,2,153455,0.180878355688185,0.162013592719225,0.264993463422915
330,2,153732,0.217885581555892,0.1674002623815,0.193907257212248
331,2,153815,0.252623172542157,0.161116605391079,0.117788172762861
332,2,154160,0.232413672333063,0.159503704139361,0.145976309999763
333,2,154235,0.20472126444747,0.161212395607515,0.204961917175201
334,2,155527,0.210653394442436,0.175018085889883,0.229547146062804
335,2,159870,0.190077911339533,0.157173941696751,0.227338699077698
336,2,161229,0.237002593710931,0.159418369426363,0.137994453779929
337,2,161451,-0.0796259335316538,0.342399386050172,0.816243459128969
338,2,161451,0.428007419115545,0.342767463744449,0.212609035830973
339,2,162696,0.302641469545636,0.158411717656158,0.0568821709156387
340,2,163284,0.287839530810784,0.156369884566974,0.0664957442976891
341,2,164166,0.182449612522533,0.158279815049408,0.249812301069022
342,2,165270,0.20396937630373,0.156868633416056,0.19436155046235
343,2,165675,0.160893049038073,0.159612955560597,0.314135320729366
344,2,166404,-0.816081801100968,0.411982869236805,0.0483823711017018
345,2,168012,0.123704932920259,0.193102441422819,0.522186423066139
346,2,168062,0.107200746998668,0.158303406128379,0.498731906630179
347,2,168518,0.116282869626906,0.157377549255394,0.460471844276736
348,2,168980,0.13869324552795,0.157251257809168,0.378385106879054
349,2,169651,0.156529846504283,0.157278696948591,0.320301898031631
350,2,169902,0.385288318721033,0.262455854766742,0.142991445961855
351,2,169960,-0.055116868327028,0.245195801834517,0.822274916731119
352,2,170725,0.191153040344851,0.157451192831944,0.225541631190109
353,2,171254,0.261562244486594,0.157420510548514,0.0974905696140186
354,2,172242,0.113584713879526,0.156049749781884,0.467172615329808
355,2,173254,0.110616307637851,0.154858234352499,0.475509481833681
356,2,173340,0.0951425780664286,0.154868588976667,0.539383820590104
357,2,173385,0.0932989335386236,0.155014542453749,0.547645615956826
358,2,173973,0.162245369112571,0.154440816098216,0.294191196157068
359,2,174714,-0.256826092717695,0.396378875957698,0.517450886341156
360,2,177341,0.237016116864658,0.153637968262344,0.123801393715853
361,2,180314,0.140652081377487,0.154024909493223,0.361772456308613
362,2,180339,0.109543684283926,0.154486334036865,0.478740810197987
363,2,182758,0.198726239390412,0.153678327078364,0.196811314095706
364,2,183619,0.115244270171739,0.154526794251869,0.456291650820203
365,2,183913,0.114093077874051,0.158449044721073,0.471963545254906
366,2,184146,0.177188997987297,0.159350049048748,0.266917143113965
367,2,187176,0.0305512588101956,0.155481926947834,0.844336637795762
368,2,191066,0.05914435799951,0.156621163344647,0.705934755885588
369,2,191124,0.400869319043015,0.196769805123129,0.0423704572890708
370,2,191128,-0.343336957390283,0.181279571591351,0.0590471212113325
371,2,191599,-0.00996031155136456,0.154481317778305,0.948627846131238
372,2,191762,0.016651830168696,0.160594598808013,0.917475351670347
373,2,191763,0.00514160929724505,0.155093818908864,0.973572425822911
374,2,191959,-0.02877133825985,0.154708058240932,0.852573684248208
375,2,192390,0.0534257654117019,0.158959542628147,0.73699769304283
376,2,195759,0.0840812547919049,0.155979918293332,0.59019091712741
377,2,196912,0.0959301050932922,0.153435195059873,0.532233400857351
378,2,197598,0.379804884668702,0.500956490874643,0.448861404956591
379,2,198110,0.0521425707453966,0.154415190119532,0.735806771779942
380,2,198283,0.10587926657938,0.159198088838935,0.506434400238761
381,2,198805,0.0494872490599162,0.155082977241747,0.749838100819589
382,2,198891,0.0242083784021831,0.153891776416214,0.875092202602487
383,2,199248,0.0217969305729325,0.154244275143449,0.887702217603582
384,2,201782,0.0211711700282289,0.154054966329066,0.890772368925238
385,2,203285,0.14843015928109,0.153258320355569,0.333459514834533
386,2,203783,0.116207596071292,0.153006394971436,0.448063373025379
387,2,204179,0.0797328805612165,0.153443218952001,0.60365087530445
388,2,205406,0.0773376991776753,0.155024381618858,0.618178582037825
389,2,205834,0.0464215186052302,0.154316485678694,0.763728692014949
390,2,205965,-0.0257205779635807,0.168635648228084,0.878862699311344
391,2,207192,0.0467634197612847,0.154171855957842,0.761824628911574
392,2,207561,0.0789930167232548,0.153452813981124,0.60703540230626
393,2,208682,0.0309753973479998,0.153243283280594,0.839929838770121
394,2,210102,0.0289799402703929,0.153640193682248,0.850497380452605
395,2,212519,0.182241428255836,0.326874794460068,0.577520978817293
396,2,214801,-0.0120272053946405,0.153639290377362,0.937648014810805
397,2,215016,0.0192795772619104,0.153549531353788,0.900152230311533
398,2,218876,-0.0910090158204124,0.155064822106227,0.557639656973254
399,2,227511,-0.0988243217759573,0.15614995831672,0.527221199231903
400,2,230378,-0.103117592442568,0.154171945053711,0.504029622910029
401,2,231943,-0.121325789304395,0.154577079996231,0.433045309761643
402,2,232156,-0.142254307211515,0.154463029433159,0.357700146726803
403,2,232789,-0.131370510640621,0.153942164108208,0.394029646019724
404,2,238524,-0.107114694496103,0.154212391296145,0.487767922000474
405,2,241518,-0.132911326672181,0.155496600833203,0.393267126978576
406,2,250396,-0.150590362595168,0.154388403503134,0.330030100820711
407,2,250466,-0.129116939226784,0.154388847853779,0.403546275748476
408,2,252305,-0.113277650554309,0.1548340157753,0.464893863470034
409,2,254571,0.0144661413684766,0.157125816005788,0.926696835953943
410,2,254742,-0.00759658958680465,0.156985296334935,0.961432434287083
411,2,254908,0.0160980615964423,0.158182641768133,0.918997952873016
412,2,255033,0.0400888562604709,0.185390123234676,0.828925175807546
413,2,255862,-0.00225256493500092,0.157232038028349,0.988577692031411
414,2,255975,-0.00505853848381466,0.156664190509166,0.974259787135137
415,2,258311,-0.121371232960808,0.153942038311217,0.430979265305196
416,2,259284,-0.0230277045255943,0.154591458460916,0.881671476940967
417,2,266330,0.0559008385917302,0.155232535434503,0.71897999299217
418,2,267100,0.0141759648639503,0.155247895949692,0.927296635097756
419,2,268086,0.0512778215271993,0.15523705649215,0.741354539905272
420,2,274614,-0.0242846723661181,0.154312326011911,0.875040465373799
421,2,274729,-0.0511708751703585,0.155137889080482,0.741715562538207
422,2,275746,0.0149248637183824,0.155092026002068,0.923390680166943
423,2,277029,0.0273953585711,0.154366447951733,0.859241296035834
424,2,277741,-0.00507683163002437,0.154433703126143,0.973793759386984
425,2,278218,0.00263554558921786,0.15415494230349,0.986369105669654
426,2,278379,-0.0157989885387984,0.157967710463913,0.920389956466086
427,2,279910,-0.0111385775071211,0.154099735689227,0.942418733008229
428,2,280616,-0.0163693056688786,0.160833200368718,0.918990556043679
429,2,283431,-0.00803855564125699,0.156357249679773,0.959026726459912
430,2,283573,-0.00113376019375477,0.154482215621003,0.9941484449721
431,2,286762,-0.00391580478469322,0.154877516960533,0.979843331918321
432,2,287187,-0.0546761891521069,0.154127535229833,0.722991420545306
433,2,288379,-0.0367323624859107,0.152974286866491,0.810375714175813
434,2,294941,0.0179321375073108,0.153075322153241,0.906811104829789
