SNP,Chr,Pos,Effect,SE,SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
106,1,150447,-0.10610556150871,0.126330332882762,0.401529768629987
107,1,151446,-0.175109274226507,0.253875042929418,0.490807162539079
108,1,154084,-0.0838242135393851,0.126768699828961,0.50889138147681
109,1,156633,-0.14128701309949,0.128366163407985,0.271796292340964
110,1,157269,-0.182781035680477,0.124164470744359,0.141888067863548
111,1,160054,-0.175427870992051,0.125381101071326,0.162643906133097
112,1,166222,-0.193405608324847,0.124373095847607,0.120831707484566
113,1,166416,-0.160073814877683,0.124253251123998,0.198489945314136
114,1,167326,-0.172591530399903,0.124915426218167,0.167947757068414
115,1,168836,-0.131610504908062,0.124462204195715,0.291036878341252
116,1,171200,-0.0539842465117082,0.124812789574518,0.665626358014372
117,1,171431,-0.11736549348873,0.125469871769426,0.350217647114754
118,1,173339,-0.0792022825557617,0.124577029425881,0.52533858446132
119,1,173845,-0.0961511700465422,0.124439819410858,0.44023352586728
120,1,175121,-0.0389578418761288,0.124280771713548,0.754111509135163
121,1,175281,-0.0643898195746741,0.124356503789097,0.604933254697547
122,1,175315,-0.0641522324934415,0.124317675573072,0.606153257138087
123,1,175523,-0.0599738142711746,0.12502845872361,0.631751083522761
124,1,175541,-0.0644515878173976,0.124511521669434,0.605036815134523
125,1,175653,-0.0529030772747336,0.124921183183374,0.672194503455516
126,1,175805,-0.170880582590984,0.13170659406901,0.19532922708249
127,1,175818,-0.145115118614472,0.128755784046345,0.260483882843576
128,1,175856,-0.0999643270580824,0.126904247910788,0.431392272021745
129,1,175876,-0.052234568303626,0.125038296419448,0.676384947278381
130,1,175989,-0.0489920969739673,0.125398934791997,0.696262140853516
131,1,176001,-0.0688443190752127,0.126026341019057,0.58522593171644
132,1,176451,-0.0205889930064775,0.127590426379448,0.871896000968535
133,1,177692,-0.0791164936433306,0.124293246231105,0.524842966647839
134,1,178191,-0.0664127429096888,0.124437846169962,0.593883534204959
135,1,178224,-0.0791164936433306,0.124293246231105,0.524842966647839
136,1,178960,-0.0611679839476974,0.125315554816432,0.625773796360948
137,1,179139,-0.0308503142458978,0.248450141028057,0.901250520743661
138,1,179139,-0.702697507524626,0.498996609566885,0.159945727621966
139,1,180955,0.0418766470062526,0.143944969585033,0.771282419798789
140,1,183802,-0.010584886539836,0.124378941529561,0.932228609979672
141,1,183954,0.00673893446218174,0.125285227816885,0.957133908894621
142,1,184450,0.0411001047377717,0.124169520197337,0.740840917526837
143,1,184641,0.0859005717336634,0.127720970216977,0.501664490077047
144,1,184718,0.0128735051474465,0.124892515522969,0.917960649558873
145,1,185296,0.0577803130330394,0.124326527479729,0.642399562353123
146,1,185438,0.057494258884136,0.124332776771557,0.644063346735395
147,1,185469,0.0500294820663039,0.124521452987437,0.688093495387089
148,1,185503,0.0568471087224856,0.12419093173671,0.647421142456294
149,1,185705,0.0302068641314943,0.125605911939553,0.810090646259356
150,1,185749,0.016545541847931,0.125613114210731,0.895282176496452
151,1,185806,0.0253116101822961,0.125776718501059,0.840624937924288
152,1,185879,0.0219945318067329,0.126386315003568,0.861944618376634
153,1,185916,0.0513692019412265,0.12630466303895,0.684468444467836
154,1,185941,0.0571853245672887,0.126848071721139,0.652397906227019
155,1,185954,0.0310188487762804,0.127244430398641,0.807547682102833
156,1,186055,0.0413152759915023,0.124695998061127,0.740593346083205
157,1,186896,-0.0255665052636116,0.126752749184918,0.840264511766667
158,1,187697,-0.0277665204396538,0.258511296445951,0.914525286949847
159,1,189392,0.498738190006016,0.258511577430519,0.0544988348290495
160,1,189416,0.470441334620716,0.250127594021069,0.0608213720780706
161,1,190132,0.110844665939169,0.124734143457216,0.374797769721685
162,1,190148,0.108868102486698,0.12477677660934,0.383527152153238
163,1,190165,0.10846065272499,0.125738648263887,0.388949645831798
164,1,190169,0.127407030251324,0.125531105083157,0.310827704139024
165,1,190933,0.175310007046675,0.12434506781764,0.159459405419817
166,1,192149,0.115007329506626,0.12556501719602,0.360334881246582
167,1,192302,-0.110548599340316,0.165885844697886,0.505582006869725
168,1,192303,-0.155223330076538,0.149642244656806,0.300307860766226
169,1,192305,-0.106724030153345,0.155637944547665,0.493339865434466
170,1,192315,0.0799490658184983,0.176623771557093,0.651077564733692
171,1,192795,0.13350366883562,0.124255599647058,0.283364854361973
172,1,194020,0.0382775813278838,0.131076609589963,0.77043943901638
173,1,194187,0.023890852434233,0.124555227260537,0.84800186214068
174,1,194867,-0.0710757709748989,0.124436440470858,0.568240195264687
175,1,197325,-0.0266892909976632,0.127523858158739,0.8343436682025
176,1,197392,-0.0497558810194587,0.129143902139506,0.700265934709646
177,1,198857,-0.464625130417159,0.596435923542922,0.43650009089656
178,1,206666,-0.165773602114475,0.139734509647664,0.236283181584284
179,1,206675,-0.0784832230557999,0.182236529846739,0.666973497983562
180,1,223051,0.0135584050267774,0.144269549696445,0.925178623659158
181,1,223059,-0.0144381361968691,0.149808259396744,0.923275502748167
182,2,7366,0.172905057110448,0.18032728451744,0.338295488200074
183,2,8180,0.405271387780722,0.247658546712379,0.102644621212095
184,2,8187,0.354422983012107,0.257826342266954,0.170109548602856
185,2,8250,0.578824182429793,0.252820663762771,0.022642035468916
186,2,8253,0.589185876517259,0.252752849923892,0.0203118804873268
187,2,8285,0.298533864293573,0.137164536384347,0.0301828660093903
188,2,8302,0.253809469647718,0.128545485351632,0.0491071520698569
189,2,8306,0.253809469647718,0.128545485351632,0.0491071520698569
190,2,8314,0.251438657924489,0.125892496574224,0.0465653655346269
191,2,8317,0.249575357915374,0.12880595869995,0.0534684685559065
192,2,8328,0.253307105572991,0.128202826700858,0.0489522996082102
193,2,8331,0.249661803787695,0.127979433996982,0.0518722010473879
194,2,8498,0.234784078446717,0.125797249328357,0.0628187556187316
195,2,8651,0.231615627499519,0.125932817675653,0.0667254834771737
196,2,9418,0.577202939518742,0.320341181570657,0.0724239521009077
197,2,9812,0.245634851415208,0.126613406570563,0.0531711849186202
198,2,9932,0.226523708087986,0.126210363428535,0.0735392692174238
199,2,10135,0.250940221115013,0.125591192341494,0.0464756606863057
200,2,11616,0.236941720404869,0.12553346408582,0.0599161176294388
201,2,12133,0.271898780836811,0.125837483728818,0.0313896991604995
202,2,12194,0.2891897716525,0.126221683396712,0.0225447609399893
203,2,12359,0.257897249036241,0.126039684267974,0.0414812025483114
204,2,13061,0.224022464805966,0.126213638099154,0.0767683812637926
205,2,14298,0.239829263490498,0.126533301426712,0.0588581674223167
206,2,15222,0.223566853742929,0.127863187615122,0.0812493659240348
207,2,17986,0.236211878015474,0.125537360457882,0.0607121411597966
208,2,19770,0.248814655432103,0.126345482628279,0.049698064836922
209,2,19836,0.234082272331417,0.126074501484566,0.0641870274498695
210,2,19851,0.249794752598813,0.126362034350168,0.0488400593443427
211,2,21595,0.23935981894982,0.125891787679966,0.0580749698543241
212,2,22385,0.249475650371319,0.12595653344545,0.0484065691199057
213,2,23441,0.251307628663381,0.127183204170711,0.0489387669368652
214,2,24209,0.245687647233144,0.126155695880865,0.0522678924494698
215,2,24341,0.261374078927318,0.126368172793583,0.0393345947975396
216,2,26815,0.255362044786036,0.126249763093747,0.043860359754523
217,2,28209,0.266895171466419,0.126225165347704,0.0351785636449889
218,2,28695,0.113680798049486,0.132564117222183,0.391721001277171
219,2,35849,-0.360425245191482,1.36032745364627,0.791198951534669
220,2,35850,-1.33503506229951,1.66235332898725,0.422457654064273
221,2,41245,0.132878740876996,0.126336956272302,0.293619745281721
222,2,43214,0.103466702966274,0.128468263572322,0.42113839781931
223,2,47104,-0.0202787875273637,0.124996915155622,0.871214170540479
224,2,50915,0.0244692136326867,0.126223030889066,0.846399385411589
225,2,55834,-0.000334327695921677,0.125646463185212,0.997878446142856
226,2,56422,0.0419878875790346,0.12585125485565,0.738856069764227
227,2,57715,0.0466155927468332,0.125431633219221,0.710382804132005
228,2,59046,0.0999939508722021,0.125978444862474,0.427880866230923
229,2,59191,0.0689556725749449,0.125315130785926,0.582490334302901
230,2,59383,0.070817888491201,0.125348309547944,0.57245381991917
231,2,59477,0.0836118128262876,0.127214035484972,0.511446520170713
232,2,59755,0.295488103934684,0.285571194827175,0.30150495016588
233,2,60471,0.0787040564501732,0.125503979692339,0.530996402480131
234,2,60478,0.0837482708402066,0.125638116479504,0.505473764061151
235,2,60786,0.0926671451344341,0.125413504135403,0.460463054320377
236,2,61035,0.0977314018321209,0.125393553965493,0.436267899636098
237,2,61071,0.079213082039738,0.12486091459442,0.526223843000249
238,2,61675,0.0612675084256959,0.125249301460343,0.625029056029418
239,2,62776,0.0575409528438678,0.130737969131295,0.660116467792948
240,2,62939,0.0665898421721023,0.125024946772737,0.59463698899552
241,2,63527,0.123775348348024,0.125371697234715,0.324187940371412
242,2,63857,0.0971815717037992,0.12546729581727,0.43911995993654
243,2,65527,0.0652529278809169,0.125111674759316,0.602305553977898
244,2,67007,0.172371429942579,0.137494299333073,0.210794386077946
245,2,67023,-0.0233197092573665,0.284959583237641,0.934824187307776
246,2,67024,0.0101223013585887,0.286003432299883,0.97178697916534
247,2,67976,0.127924592595018,0.126779898780144,0.313651870884661
248,2,69628,0.103056589937555,0.128949310086597,0.424710514744464
249,2,71825,-0.0025547269878885,0.249578898055773,0.991838659164697
250,2,72389,0.0957698500306375,0.126076638667134,0.447991045182345
251,2,72392,0.090506518981128,0.126946266754431,0.476346850409588
252,2,73646,0.135133931001858,0.12422507176615,0.277418827297804
253,2,74564,0.116206603151829,0.124034673306615,0.349456672062122
254,2,74739,0.140674498329221,0.124371959265083,0.25878973245692
255,2,79931,-0.0074289915642276,0.140437270655488,0.957842301921575
256,2,80748,-0.0507683030343471,0.129553812553799,0.695390448086223
257,2,80873,0.00710595049671101,0.12489382239175,0.954660285267036
258,2,81501,0.0383623296398263,0.124856892379028,0.758833968624371
259,2,83526,0.000258309299890735,0.12467987284515,0.998348129992205
260,2,83845,0.0159146734634371,0.12479549155122,0.898596687669829
261,2,84412,-0.153047059181345,0.314399894623582,0.626708510560674
262,2,84412,0.0976119544658911,0.157402934294352,0.535565324036851
263,2,84447,0.0360754017721656,0.126377150861567,0.775460498322436
264,2,87391,0.0453331511857702,0.124223864480889,0.715381376398595
265,2,87562,0.0459011194898031,0.124537757193169,0.71266777453581
266,2,87849,0.0512985330278795,0.124519990263839,0.680611266958944
267,2,87878,0.039518709806421,0.125067442383367,0.752205043679685
268,2,88125,0.0157392905007343,0.139093551019565,0.909971084793854
269,2,89785,0.0155207539243096,0.125096342519118,0.901330147188762
270,2,93441,-0.0245640778106987,0.128826934955823,0.848889825632837
271,2,93588,-0.0521947311720286,0.133328324611476,0.69568222467565
272,2,93721,-0.027151774413322,0.124712934913284,0.82777760602548
273,2,93952,-0.0216770917406721,0.124359205425937,0.861721521017725
274,2,95085,-0.0224416373828792,0.12453239888538,0.857093296968765
275,2,103188,-0.0837113429450629,0.127483491725447,0.511837317902576
276,2,107124,-0.120279418548717,0.124435513203881,0.33440557921368
277,2,111645,-0.100915916496899,0.124564123889231,0.41839843047439
278,2,111916,-0.11334013473944,0.124828082065621,0.364513584601432
279,2,111931,-0.12907487170499,0.124976179614155,0.302406529644642
280,2,111999,-0.0927323460567978,0.124617682939669,0.457290017092954
281,2,114528,-0.184235755005221,0.125049190249492,0.141559592208727
282,2,116024,-0.122904129320376,0.125561032384299,0.328329513803769
283,2,119244,-0.318289389085937,0.135980541467322,0.0198039010103925
284,2,119246,-0.275409796677128,0.137715544464595,0.0462828067768951
285,2,119247,-0.291017287592966,0.138630821715816,0.0365067899290458
286,2,120090,-0.269706143209586,0.124409307620483,0.0308345420434172
287,2,120291,-0.288746260931274,0.125731120432069,0.0222302478753809
288,2,120726,-0.277470797759712,0.12506613312378,0.0271500875063833
289,2,121716,-0.234415658164793,0.125171754166939,0.0619289924091466
290,2,123100,-0.229995178657924,0.125369331431578,0.0674151781309894
291,2,124677,-0.203443824414804,0.125325118602349,0.105411855286286
292,2,127636,-0.0715737810802977,0.159053215762416,0.652987407875153
293,2,127887,-0.0730420554837048,0.126594812292263,0.564324032553673
294,2,128935,-0.0588748440098432,0.126495953579968,0.641911509316937
295,2,129053,-0.0739248600387172,0.12685892927042,0.560445230871036
296,2,130040,-0.123289108720387,0.127525873139988,0.33431729252277
297,2,130976,-0.172455912539865,0.126321447001833,0.173054941600957
298,2,132199,-0.178120121898612,0.126887844820247,0.161269338553946
299,2,133355,-0.151203573158369,0.127849205182138,0.23773543950881
300,2,133435,-0.216012149316814,0.127863208283138,0.0920256942274137
301,2,133943,-0.0799390795926869,0.150243341606627,0.595016342584557
302,2,135183,-0.188163109476109,0.128059157457529,0.142629807475727
303,2,135402,-0.177337980211708,0.128083456798031,0.167064574865548
304,2,135898,-0.228189828674447,0.128539369642207,0.076717795267931
305,2,135912,-0.222941022223341,0.128661232558671,0.0840089497210074
306,2,135925,-0.233165000140294,0.128021854190573,0.0694090001608155
307,2,136002,-0.246397202044904,0.127854883376841,0.0547615791562711
308,2,136173,-0.21344789150382,0.128935476904539,0.0987193405318721
309,2,138209,-0.0795208010302333,0.133163508504308,0.550778981873887
310,2,138318,-0.109327079365426,0.132724687469442,0.410658691701919
311,2,138695,-0.127933017724776,0.130397512283513,0.327215285365736
312,2,138818,-0.159356792795487,0.13005944977037,0.221293732991839
313,2,139728,-0.165887702944182,0.129802114171993,0.202087534059855
314,2,140174,-0.219413158002622,0.129576871404423,0.0912796359243205
315,2,140863,-0.215906911284995,0.129540723855127,0.0964589134375571
316,2,141152,-0.187283913701934,0.1300342613089,0.150678483861055
317,2,141292,-0.205212317489373,0.129016549214387,0.112597204750317
318,2,141545,-0.165112028845331,0.129811653858357,0.204233390871867
319,2,145823,-0.135659034405003,0.134876088939432,0.315198364702789
320,2,145934,-0.193930596492277,0.222311859767482,0.383618160184392
321,2,145980,-0.052485793200256,0.1362861736906,0.700384462841514
322,2,146723,-0.0877326315631137,0.12979013473387,0.499510150344829
323,2,147946,-0.140452584811953,0.130850431315278,0.283832663469388
324,2,150394,-0.130366309962666,0.142604698523539,0.361246462422233
325,2,151274,-0.257520801923366,0.223232609089027,0.249445285472118
326,2,151397,-0.151789166124688,0.131142844851487,0.247877722474876
327,2,153035,-0.0701076793108331,0.129907543280618,0.589762363231949
328,2,153228,-0.0752885458207353,0.130848098371494,0.565394879626282
329,2,153455,-0.114009699349747,0.131757846046674,0.387463339456936
330,2,153732,-0.0809102946386444,0.136300942564304,0.553149767296537
331,2,153815,-0.0925609653887371,0.13129906362363,0.48129821307324
332,2,154160,-0.116300234564,0.129867320552475,0.371113452100928
333,2,154235,-0.0867916201535026,0.131231775917391,0.50881206412806
334,2,155527,-0.0944762695993688,0.142436577350352,0.507579940473645
335,2,159870,-0.124736402517077,0.127824202997816,0.329810334415237
336,2,161229,-0.0879172864814244,0.129876853606517,0.498894945940266
337,2,161451,-0.0291942914820478,0.278278216194027,0.916506455214305
338,2,161451,-0.133714492687382,0.279084164924531,0.632150720797936
339,2,162696,-0.107353007030961,0.129275718273742,0.406863225069934
340,2,163284,-0.0906327956561634,0.12759602222419,0.477980591664116
341,2,164166,0.0145819384566808,0.128870414244322,0.909974412145133
342,2,165270,-0.0112493059320991,0.127787570013727,0.929901716772805
343,2,165675,-0.00492544066559208,0.129900598032716,0.969775294328603
344,2,166404,-0.541063510274709,0.33543211363263,0.10763063710646
345,2,168012,0.0135791471174445,0.157020084877891,0.931133632151041
346,2,168062,0.0464268727541619,0.128709880374746,0.718532398909029
347,2,168518,-0.0284875203754293,0.12798751839268,0.823990776096268
348,2,168980,-0.0322795337815724,0.127924196555056,0.800930315059464
349,2,169651,-0.01291266875456,0.127994654179977,0.919699471318405
350,2,169902,-0.0594113107891552,0.213919419393383,0.781384115087936
351,2,169960,0.0519287235127539,0.199260894345918,0.794547780669637
352,2,170725,-0.0526142866664612,0.128193758424602,0.681741129945895
353,2,171254,-0.0712421080236538,0.128375857133789,0.579280718221901
354,2,172242,-0.0261175089422276,0.126906078716019,0.837064311829831
355,2,173254,-0.0954259765642196,0.125838702773038,0.448765552458317
356,2,173340,-0.0928704027098912,0.125828866164099,0.46096280970397
357,2,173385,-0.0889076267183035,0.125953028291333,0.480728822632179
358,2,173973,-0.0672607956640436,0.125656071246791,0.592795422600772
359,2,174714,-0.163802746915329,0.322202870782745,0.611501708108509
360,2,177341,0.0139702753138442,0.125276531849839,0.911270953573341
361,2,180314,-0.0443922873647641,0.125298497208672,0.723331410691734
362,2,180339,-0.0431462266731097,0.125616393817407,0.731444810148849
363,2,182758,-0.0109128455221668,0.125185463857181,0.930583091361078
364,2,183619,-0.0294498245609879,0.125670004533715,0.814854943839645
365,2,183913,-0.029886060473598,0.128853134415755,0.816719831100685
366,2,184146,-0.047795804341736,0.129702300731437,0.712718429739142
367,2,187176,-0.107586187813798,0.126234200998483,0.394639619872033
368,2,191066,-0.0658950556845805,0.127260322828939,0.604924026294589
369,2,191124,0.00193956602809831,0.160848240796056,0.990385865647387
370,2,191128,0.0111089036760914,0.148067792977928,0.940236688172307
371,2,191599,-0.118806459998544,0.125385314493034,0.344016501785984
372,2,191762,-0.0861291369445019,0.130433523478161,0.509472886882661
373,2,191763,-0.0944793126871707,0.125941537193961,0.45364366844118
374,2,191959,-0.127544928608749,0.125550958303031,0.310381464501815
375,2,192390,-0.130920095603193,0.129015919420861,0.310915623243121
376,2,195759,0.0546099184313195,0.126780656699728,0.666917918999911
377,2,196912,-0.0177519688469644,0.124759205217298,0.886932238592144
378,2,197598,-0.247125011511663,0.407236448231065,0.544351026983365
379,2,198110,-0.0190516414795095,0.125506354956933,0.879432802065394
380,2,198283,-0.0446692507330604,0.129436352416726,0.730220286538217
381,2,198805,-0.0163069695134786,0.126048070540581,0.89713774656191
382,2,198891,0.0100114169841157,0.125068065300537,0.936244641238771
383,2,199248,-0.036278347317937,0.125339959077321,0.772414917367793
384,2,201782,0.0158114362481032,0.12519795881184,0.899573096113379
385,2,203285,0.0848608726347029,0.124633570982034,0.496391938836115
386,2,203783,0.0530690490950675,0.12441477985178,0.66996756929185
387,2,204179,0.0288321855296829,0.124738526429673,0.81733919132387
388,2,205406,0.0416435332308513,0.126010174956134,0.741235212737608
389,2,205834,0.0370782463115613,0.125410516885936,0.767667402143782
390,2,205965,0.0579834329137731,0.137016635281543,0.672417733836682
391,2,207192,0.0239851939415394,0.125302255589074,0.848307629608887
392,2,207561,0.0447072975783496,0.124732184502578,0.720238552772147
393,2,208682,0.0566717713777805,0.124508474893281,0.649271097154693
394,2,210102,0.0493661477110365,0.124839005162981,0.692758171892811
395,2,212519,0.112719733214382,0.26569391523652,0.671644425129772
396,2,214801,0.0574157253359934,0.124823308108548,0.64581663195674
397,2,215016,0.0306665012058932,0.124778792633907,0.806005486239891
398,2,218876,0.159638189115715,0.125792970631931,0.205257589755282
399,2,227511,0.168115498308927,0.12665629405046,0.185255262721775
400,2,230378,0.164520953247096,0.125065697045451,0.189203660532226
401,2,231943,0.158764894078948,0.125447034640906,0.206493503613926
402,2,232156,0.169426619979599,0.125355847898262,0.177379858518174
403,2,232789,0.182531392794951,0.124857349308081,0.144652914349066
404,2,238524,0.199845621282517,0.124959099067323,0.110651180645094
405,2,241518,0.178100700436025,0.126144060951919,0.158865184293031
406,2,250396,0.117240414435748,0.125482323345685,0.350778462408338
407,2,250466,0.130265970670154,0.125401490025057,0.299612832414984
408,2,252305,0.050383710229035,0.12589736084633,0.689253704707565
409,2,254571,0.0480871125469056,0.127668938136812,0.706656491770772
410,2,254742,0.0730895634019435,0.127519959255174,0.566900107017804
411,2,254908,0.0856484623818459,0.128472953369525,0.50542142678083
412,2,255033,0.0186515381997707,0.150669611271817,0.901551232734942
413,2,255862,0.0527937888668859,0.127748519304356,0.679664560411316
414,2,255975,0.0535507228049565,0.127286183937788,0.674221990982528
415,2,258311,0.0123669741438946,0.125214036435639,0.921379588586408
416,2,259284,0.0238784903699742,0.1256309547596,0.849364684145958
417,2,266330,-0.00453993160710597,0.126177364133648,0.971318201257552
418,2,267100,0.00737617465086848,0.12616778774042,0.953412742157781
419,2,268086,0.00261874408390739,0.126177518522551,0.983453265477396
420,2,274614,0.0622603482746453,0.125367200085281,0.619763412759701
421,2,274729,0.0812066044068277,0.126022838200136,0.519747502281688
422,2,275746,0.0510458918353742,0.126012603877421,0.685659963056572
423,2,277029,0.0482193010959849,0.125429915766227,0.700889607083961
424,2,277741,0.0703874544036686,0.125449495351992,0.575097620598496
425,2,278218,0.072294616562213,0.125219632389505,0.564076138492742
426,2,278379,0.0788041534198137,0.128310531668004,0.539500283906293
427,2,279910,0.0594879395810399,0.125194716943098,0.634964420566927
428,2,280616,0.0146638287350465,0.130705563049333,0.910736698018665
429,2,283431,0.0518956551830863,0.12703891014333,0.683152817157784
430,2,283573,0.0317310462644701,0.125533304595204,0.800593122587961
431,2,286762,-0.0423407932153625,0.125845846575366,0.736731717538662
432,2,287187,-0.0276910855542944,0.125270068613102,0.82518045518056
