Chromosome_Name,strand,feature_type,gene_class,husinga_classification,systematic_id,common_name,Experiment_ID,Experiment_Start,Experiment_End,Experiment_Length
CHR4,+,01_RP,01_RP,RP,YDL136W,RPL35B,ST0412,217528.0,218497.0,969.0
CHR13,+,01_RP,01_RP,RP,YML024W,RPS17A,ST2487,225856.0,226825.0,969.0
CHR4,+,01_RP,01_RP,RP,YDR471W,RPL27B,ST0761,1401700.0,1402685.0,985.0
CHR7,+,01_RP,01_RP,RP,YGL123W,RPS2,ST1120,277484.0,278469.0,985.0
CHR10,+,01_RP,01_RP,RP,YJL191W,RPS14B,ST1710,73753.0,74746.0,993.0
CHR8,+,01_RP,01_RP,RP,YHL001W,RPL14B,ST1410,104222.0,105223.0,1001.0
CHR16,+,01_RP,01_RP,RP,YPR132W,RPS23B,ST3584,794934.0,795943.0,1009.0
CHR2,+,01_RP,01_RP,RP,YBR191W,RPL21A,imputed,606200.0,607210.0,1010.0
CHR4,+,01_RP,01_RP,RP,YDR450W,RPS18A,ST0748,1359892.0,1360909.0,1017.0
CHR5,+,01_RP,01_RP,RP,YER074W,RPS24A,ST0903,306268.0,307309.0,1041.0
CHR16,+,01_RP,01_RP,RP,YPL131W,RPL5,ST3417,303073.0,304114.0,1041.0
CHR16,+,01_RP,01_RP,RP,YPL079W,RPL21B,ST3452,406605.0,407646.0,1041.0
CHR16,+,01_RP,01_RP,RP,YPL143W,RPL33A,ST3410,282065.0,283114.0,1049.0
CHR7,+,01_RP,01_RP,RP,YGR034W,RPL26B,ST1221,555734.0,556799.0,1065.0
CHR11,+,01_RP,01_RP,RP,YKL180W,RPL17A,ST1940,109198.0,110263.0,1065.0
CHR12,+,01_RP,01_RP,RP,YLR340W,RPP0,ST2342,805822.0,806895.0,1073.0
CHR7,+,01_RP,01_RP,RP,YGR118W,RPS23A,ST1277,726918.0,727998.0,1080.0
CHR4,+,01_RP,01_RP,RP,YDL191W,RPL35A,ST0383,117615.0,118704.0,1089.0
CHR7,+,01_RP,01_RP,RP,YGL103W,RPL28,ST1133,310919.0,312016.0,1097.0
CHR2,+,01_RP,01_RP,RP,YBR189W,RPS9B,ST0208,604468.0,605573.0,1105.0
CHR11,+,01_RP,01_RP,RP,YKL006W,RPL14A,ST2047,431752.0,432865.0,1113.0
CHR4,+,01_RP,01_RP,RP,YDR064W,RPS13,ST0525,579420.0,580541.0,1121.0
CHR15,+,01_RP,01_RP,RP,YOR096W,RPS7A,ST3146,505736.0,506865.0,1129.0
CHR2,+,01_RP,01_RP,RP,YBL027W,RPL19B,ST0083,168371.0,169508.0,1137.0
CHR4,+,01_RP,01_RP,RP,YDL082W,RPL13A,ST0441,308368.0,309505.0,1137.0
CHR5,+,01_RP,01_RP,RP,YER102W,RPS8B,ST0922,362708.0,363853.0,1145.0
CHR8,+,01_RP,01_RP,RP,YHR010W,RPL27A,ST1418,126471.0,127616.0,1145.0
CHR5,+,01_RP,01_RP,RP,YER117W,RPL23B,ST0928,396676.0,397829.0,1153.0
CHR12,+,01_RP,01_RP,RP,YLR344W,RPL26A,ST2345,819262.0,820415.0,1153.0
CHR9,+,01_RP,01_RP,RP,YIL148W,RPL40A,ST1581,68432.0,69601.0,1169.0
CHR10,+,01_RP,01_RP,RP,YJL177W,RPL17B,ST1718,90634.0,91835.0,1201.0
CHR4,+,01_RP,01_RP,RP,YDR012W,RPL4B,ST0492,471811.0,473020.0,1209.0
CHR13,+,01_RP,01_RP,RP,YMR143W,RPS16A,ST2598,551801.0,553066.0,1265.0
CHR12,+,01_RP,01_RP,RP,YLR448W,RPL6B,ST2406,1028779.0,1030052.0,1273.0
CHR2,+,01_RP,01_RP,RP,YBR031W,RPL4A,ST0119,300103.0,301392.0,1289.0
CHR2,+,01_RP,01_RP,RP,YBR048W,RPS11B,ST0131,332737.0,334042.0,1305.0
CHR12,+,01_RP,01_RP,RP,YLR264W,RPS28B,ST2309,673070.0,674375.0,1305.0
CHR16,+,01_RP,01_RP,RP,YPL081W,RPS9A,ST3451,404909.0,406222.0,1313.0
CHR15,+,01_RP,01_RP,RP,YOR063W,RPL3,ST3127,444647.0,445968.0,1321.0
CHR7,+,01_RP,01_RP,RP,YGR214W,RPS0A,ST1345,920549.0,921886.0,1337.0
CHR9,+,01_RP,01_RP,RP,YIL018W,RPL2B,ST1653,316706.0,318163.0,1457.0
CHR12,+,01_RP,01_RP,RP,YLR048W,RPS0B,ST2175,242143.0,243608.0,1465.0
CHR16,+,01_RP,01_RP,RP,YPL198W,RPL7B,ST3376,173113.0,174794.0,1681.0
CHR14,+,02_STM,02b_STM_YPD,TFIID-dominated,YNL145W,MFA2,ST2818,352384.0,352561.0,177.0
CHR3,+,02_STM,02b_STM_YPD,TFIID-dominated,YCL054W-A,RDT1,imputed,30840.0,31066.0,226.0
CHR10,+,02_STM,02b_STM_YPD,TFIID-dominated,YJL077W-A,nan,imputed,294729.0,294955.0,226.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR524W-C,nan,imputed,1489333.0,1489562.0,229.0
CHR11,+,02_STM,02b_STM_YPD,SAGA-dominated,YKL044W,MMO1,ST2022,356246.0,356479.0,233.0
CHR13,+,02_STM,02c_STM_HS,TFIID-dominated,YMR272W-B,nan,imputed,811019.0,811266.0,247.0
CHR8,+,02_STM,02c_STM_HS,TFIID-dominated,YHR086W-A,nan,imputed,280161.0,280462.0,301.0
CHR13,+,02_STM,02c_STM_HS,TFIID-dominated,YMR105W-A,nan,imputed,477994.0,478328.0,334.0
CHR13,+,02_STM,02c_STM_HS,TFIID-dominated,YML100W-A,nan,ST2437,70232.0,70569.0,337.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDR246W-A,nan,imputed,955063.0,955403.0,340.0
CHR2,+,02_STM,02b_STM_YPD,TFIID-dominated,YBR162W-A,YSY6,ST0196,565180.0,565525.0,345.0
CHR1,+,02_STM,02b_STM_YPD,TFIID-dominated,YAR029W,nan,imputed,186251.0,186615.0,364.0
CHR2,+,02_STM,02c_STM_HS,TFIID-dominated,YBR126W-A,MEO1,ST0173,490829.0,491206.0,377.0
CHR12,+,02_STM,02c_STM_HS,TFIID-dominated,YLR099W-A,MIM2,ST2210,341255.0,341656.0,401.0
CHR16,+,02_STM,02c_STM_HS,TFIID-dominated,YPR182W,SMX3,ST3618,900126.0,900527.0,401.0
CHR1,+,02_STM,02b_STM_YPD,TFIID-dominated,YAL064W,nan,imputed,21496.0,21920.0,424.0
CHR2,+,02_STM,02c_STM_HS,TFIID-dominated,YBR230W-A,nan,ST0231,680284.0,680709.0,425.0
CHR1,+,02_STM,02c_STM_HS,TFIID-dominated,YAR064W,nan,imputed,220128.0,220567.0,439.0
CHR8,+,02_STM,02c_STM_HS,TFIID-dominated,YHR213W-B,nan,imputed,540730.0,541169.0,439.0
CHR9,+,02_STM,02b_STM_YPD,TFIID-dominated,YIL054W,nan,imputed,254473.0,254930.0,457.0
CHR4,+,02_STM,02a_RSTM,TFIID-dominated,YDR510W,SMT3,ST0783,1469324.0,1469789.0,465.0
CHR14,+,02_STM,02c_STM_HS,SAGA-dominated,YNL015W,PBI2,ST2909,605314.0,605779.0,465.0
CHR12,+,02_STM,02b_STM_YPD,SAGA-dominated,YLR162W,nan,imputed,489503.0,489999.0,496.0
CHR11,+,02_STM,02c_STM_HS,TFIID-dominated,YKL037W,AIM26,imputed,369295.0,369791.0,496.0
CHR13,+,02_STM,02c_STM_HS,SAGA-dominated,YMR251W-A,HOR7,ST2672,774721.0,775218.0,497.0
CHR14,+,02_STM,02b_STM_YPD,SAGA-dominated,YNL030W,HHF2,ST2895,576698.0,577211.0,513.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR156W,RPA14,ST0570,769486.0,769999.0,513.0
CHR5,+,02_STM,02b_STM_YPD,TFIID-dominated,YEL008W,nan,imputed,140442.0,140962.0,520.0
CHR2,+,02_STM,02b_STM_YPD,TFIID-dominated,YBL071W-A,KTI11,ST0061,89946.0,90467.0,521.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDL181W,INH1,ST0387,135007.0,135536.0,529.0
CHR6,+,02_STM,02b_STM_YPD,TFIID-dominated,YFL014W,HSP12,ST0997,107214.0,107751.0,537.0
CHR11,+,02_STM,02a_RSTM,TFIID-dominated,YKL096W-A,CWP2,ST1987,259166.0,259703.0,537.0
CHR13,+,02_STM,02a_RSTM,TFIID-dominated,YMR122W-A,nan,ST2582,511265.0,511802.0,537.0
CHR10,+,02_STM,02c_STM_HS,SAGA-dominated,YJL144W,nan,ST1739,146330.0,146883.0,553.0
CHR7,+,02_STM,02b_STM_YPD,SAGA-dominated,YGR243W,MPC3,ST1361,977244.0,977813.0,569.0
CHR16,+,02_STM,02b_STM_YPD,TFIID-dominated,YPR036W-A,SPO24,ST3531,645877.0,646446.0,569.0
CHR5,+,02_STM,02b_STM_YPD,SAGA-dominated,YER035W,EDC2,imputed,222569.0,223146.0,577.0
CHR8,+,02_STM,02b_STM_YPD,TFIID-dominated,YHL041W,nan,imputed,17322.0,17911.0,589.0
CHR2,+,02_STM,02b_STM_YPD,TFIID-dominated,YBR010W,HHT1,ST0109,256305.0,256898.0,593.0
CHR13,+,02_STM,02a_RSTM,SAGA-dominated,YMR195W,ICY1,ST2638,653937.0,654538.0,601.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDR100W,TVP15,ST0544,654982.0,655583.0,601.0
CHR14,+,02_STM,02c_STM_HS,TFIID-dominated,YNR034W-A,EGO4,ST2943,692305.0,692906.0,601.0
CHR13,+,02_STM,02b_STM_YPD,TFIID-dominated,YML055W,SPC2,ST2469,164744.0,165353.0,609.0
CHR5,+,02_STM,02c_STM_HS,SAGA-dominated,YER150W,SPI1,ST0948,468349.0,468958.0,609.0
CHR14,+,02_STM,02c_STM_HS,TFIID-dominated,YNR010W,CSE2,ST2926,643689.0,644306.0,617.0
CHR15,+,02_STM,02b_STM_YPD,SAGA-dominated,YOL109W,ZEO1,ST3006,110217.0,110839.0,622.0
CHR2,+,02_STM,02c_STM_HS,TFIID-dominated,YBR047W,FMP23,ST0130,331785.0,332426.0,641.0
CHR11,+,02_STM,02c_STM_HS,TFIID-dominated,YKL068W-A,nan,ST2007,309094.0,309751.0,657.0
CHR5,+,02_STM,02b_STM_YPD,TFIID-dominated,YER092W,IES5,ST0915,342820.0,343485.0,665.0
CHR16,+,02_STM,02b_STM_YPD,TFIID-dominated,YPL170W,DAP1,ST3396,228217.0,228890.0,673.0
CHR14,+,02_STM,02b_STM_YPD,TFIID-dominated,YNL281W,HCH1,ST2736,108426.0,109107.0,681.0
CHR2,+,02_STM,02b_STM_YPD,TFIID-dominated,YBR135W,CKS1,ST0176,504765.0,505454.0,689.0
CHR9,+,02_STM,02c_STM_HS,TFIID-dominated,YIL111W,COX5B,ST1606,155147.0,155852.0,705.0
CHR15,+,02_STM,02b_STM_YPD,TFIID-dominated,YOR236W,DFR1,ST3229,780888.0,781601.0,713.0
CHR8,+,02_STM,02b_STM_YPD,TFIID-dominated,YHR152W,SPO12,ST1518,401334.0,402055.0,721.0
CHR14,+,02_STM,02c_STM_HS,SAGA-dominated,YNR014W,nan,ST2928,652425.0,653154.0,729.0
CHR7,+,02_STM,02b_STM_YPD,TFIID-dominated,YGR161W-C,nan,ST1314,809997.0,810734.0,737.0
CHR13,+,02_STM,02b_STM_YPD,SAGA-dominated,YML028W,TSA1,ST2485,220096.0,220849.0,753.0
CHR5,+,02_STM,02a_RSTM,TFIID-dominated,YEL034W,HYP2,ST0826,85592.0,86361.0,769.0
CHR13,+,02_STM,02c_STM_HS,TFIID-dominated,YMR040W,YET2,ST2537,350129.0,350898.0,769.0
CHR13,+,02_STM,02b_STM_YPD,TFIID-dominated,YMR251W,GTO3,ST2670,773313.0,774090.0,777.0
CHR12,+,02_STM,02b_STM_YPD,SAGA-dominated,YLR109W,AHP1,ST2216,368599.0,369384.0,785.0
CHR10,+,02_STM,02b_STM_YPD,TFIID-dominated,YJL218W,nan,ST1694,21896.0,22681.0,785.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDR377W,ATP17,ST0702,1228532.0,1229325.0,793.0
CHR15,+,02_STM,02c_STM_HS,TFIID-dominated,YOL014W,nan,ST3068,299488.0,300281.0,793.0
CHR8,+,02_STM,02b_STM_YPD,TFIID-dominated,YHR175W,CTR2,ST1536,452905.0,453706.0,801.0
CHR7,+,02_STM,02c_STM_HS,TFIID-dominated,YGL166W,CUP2,ST1094,191116.0,191917.0,801.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDR041W,RSM10,ST0510,539773.0,540574.0,801.0
CHR2,+,02_STM,02c_STM_HS,TFIID-dominated,YBR137W,nan,ST0178,512965.0,513774.0,809.0
CHR5,+,02_STM,02c_STM_HS,TFIID-dominated,YEL038W,UTR4,ST0825,80376.0,81185.0,809.0
CHR7,+,02_STM,02c_STM_HS,TFIID-dominated,YGL068W,MNP1,ST1162,375039.0,375848.0,809.0
CHR11,+,02_STM,02c_STM_HS,TFIID-dominated,YKL142W,MRP8,ST1960,178414.0,179239.0,825.0
CHR14,+,02_STM,02c_STM_HS,TFIID-dominated,YNR018W,RCF2,ST2932,664225.0,665058.0,833.0
CHR14,+,02_STM,02c_STM_HS,SAGA-dominated,YNL208W,nan,ST2783,254265.0,255106.0,841.0
CHR11,+,02_STM,02b_STM_YPD,SAGA-dominated,YKL096W,CWP1,ST1988,261094.0,261943.0,849.0
CHR15,+,02_STM,02c_STM_HS,TFIID-dominated,YOL032W,OPI10,ST3058,265344.0,266193.0,849.0
CHR10,+,02_STM,02c_STM_HS,TFIID-dominated,YJL140W,RPB4,ST1741,150858.0,151715.0,857.0
CHR14,+,02_STM,02b_STM_YPD,SAGA-dominated,YNL036W,NCE103,ST2892,559746.0,560611.0,865.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR226W,ADK1,ST0614,916424.0,917289.0,865.0
CHR5,+,02_STM,02c_STM_HS,SAGA-dominated,YER067W,RGI1,ST0897,291778.0,292643.0,865.0
CHR12,+,02_STM,02c_STM_HS,TFIID-dominated,YLR350W,ORM2,ST2348,828623.0,829496.0,873.0
CHR14,+,02_STM,02c_STM_HS,TFIID-dominated,YNL056W,OCA2,ST2878,517146.0,518019.0,873.0
CHR8,+,02_STM,02b_STM_YPD,TFIID-dominated,YHR049W,FSH1,ST1449,206424.0,207313.0,889.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR152W,GIR2,ST0569,765646.0,766543.0,897.0
CHR15,+,02_STM,02b_STM_YPD,TFIID-dominated,YOR382W,FIT2,ST3317,1059220.0,1060117.0,897.0
CHR8,+,02_STM,02c_STM_HS,TFIID-dominated,YHR163W,SOL3,ST1527,423710.0,424608.0,898.0
CHR5,+,02_STM,02b_STM_YPD,TFIID-dominated,YER011W,TIR1,ST0859,175209.0,176114.0,905.0
CHR16,+,02_STM,02b_STM_YPD,TFIID-dominated,YPR158W,CUR1,ST3602,843198.0,844127.0,929.0
CHR14,+,02_STM,02c_STM_HS,TFIID-dominated,YNR009W,NRM1,ST2925,642609.0,643538.0,929.0
CHR16,+,02_STM,02c_STM_HS,TFIID-dominated,YPR183W,DPM1,ST3619,900718.0,901647.0,929.0
CHR2,+,02_STM,02b_STM_YPD,TFIID-dominated,YBR106W,PHO88,ST0163,452580.0,453517.0,937.0
CHR10,+,02_STM,02b_STM_YPD,TFIID-dominated,YJL217W,REE1,ST1695,22952.0,23889.0,937.0
CHR9,+,02_STM,02c_STM_HS,TFIID-dominated,YIR016W,nan,imputed,382558.0,383495.0,937.0
CHR13,+,02_STM,02c_STM_HS,TFIID-dominated,YMR314W,PRE5,ST2705,901633.0,902578.0,945.0
CHR9,+,02_STM,02b_STM_YPD,TFIID-dominated,YIL118W,RHO3,ST1601,139619.0,140572.0,953.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDR003W,RCR2,ST0486,454067.0,455020.0,953.0
CHR12,+,02_STM,02c_STM_HS,TFIID-dominated,YLR064W,PER33,ST2187,265383.0,266336.0,953.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR073W,SNF11,ST0529,592197.0,593158.0,961.0
CHR16,+,02_STM,02c_STM_HS,TFIID-dominated,YPR154W,PIN3,ST3600,834526.0,835487.0,961.0
CHR15,+,02_STM,02b_STM_YPD,TFIID-dominated,YOR020W-A,nan,ST3096,371169.0,372137.0,968.0
CHR16,+,02_STM,02b_STM_YPD,SAGA-dominated,YPL135W,ISU1,ST3415,297457.0,298426.0,969.0
CHR16,+,02_STM,02b_STM_YPD,TFIID-dominated,YPR009W,SUT2,ST3508,576461.0,577430.0,969.0
CHR11,+,02_STM,02b_STM_YPD,TFIID-dominated,YKL007W,CAP1,ST2046,429264.0,430249.0,985.0
CHR12,+,02_STM,02b_STM_YPD,TFIID-dominated,YLR312W-A,MRPL15,ST2332,759454.0,760439.0,985.0
CHR14,+,02_STM,02c_STM_HS,TFIID-dominated,YNL129W,NRK1,ST2830,381336.0,382329.0,993.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDL010W,GRX6,ST0476,432283.0,433276.0,993.0
CHR12,+,02_STM,02b_STM_YPD,TFIID-dominated,YLR390W-A,CCW14,ST2376,903654.0,904655.0,1001.0
CHR13,+,02_STM,02b_STM_YPD,TFIID-dominated,YML052W,SUR7,ST2471,170368.0,171369.0,1001.0
CHR5,+,02_STM,02c_STM_HS,TFIID-dominated,YER146W,LSM5,ST0946,461925.0,462934.0,1009.0
CHR16,+,02_STM,02c_STM_HS,TFIID-dominated,YPL149W,ATG5,ST3406,271249.0,272266.0,1017.0
CHR10,+,02_STM,02b_STM_YPD,TFIID-dominated,YJL148W,RPA34,ST1734,140370.0,141395.0,1025.0
CHR15,+,02_STM,02b_STM_YPD,TFIID-dominated,YOR278W,HEM4,ST3253,842715.0,843740.0,1025.0
CHR2,+,02_STM,02b_STM_YPD,SAGA-dominated,YBL043W,ECM13,ST0074,136563.0,137596.0,1033.0
CHR15,+,02_STM,02b_STM_YPD,SAGA-dominated,YOL151W,GRE2,ST2983,43674.0,44707.0,1033.0
CHR5,+,02_STM,02b_STM_YPD,TFIID-dominated,YER177W,BMH1,ST0964,545573.0,546606.0,1033.0
CHR12,+,02_STM,02c_STM_HS,SAGA-dominated,YLR079W,SIC1,ST2197,286775.0,287808.0,1033.0
CHR11,+,02_STM,02c_STM_HS,TFIID-dominated,YKL023W,nan,ST2039,393688.0,394721.0,1033.0
CHR12,+,02_STM,02b_STM_YPD,SAGA-dominated,YLR297W,nan,ST2325,723742.0,724783.0,1041.0
CHR14,+,02_STM,02b_STM_YPD,TFIID-dominated,YNL217W,nan,ST2776,240297.0,241338.0,1041.0
CHR4,+,02_STM,02c_STM_HS,SAGA-dominated,YDL124W,nan,ST0421,240176.0,241217.0,1041.0
CHR14,+,02_STM,02a_RSTM,TFIID-dominated,YNL289W,PCL1,ST2728,87826.0,88875.0,1049.0
CHR14,+,02_STM,02b_STM_YPD,TFIID-dominated,YNL063W,MTQ1,ST2875,507634.0,508691.0,1057.0
CHR8,+,02_STM,02b_STM_YPD,SAGA-dominated,YHR071W,PCL5,ST1462,236622.0,237695.0,1073.0
CHR12,+,02_STM,02b_STM_YPD,SAGA-dominated,YLL027W,ISA1,ST2133,87193.0,88266.0,1073.0
CHR16,+,02_STM,02b_STM_YPD,SAGA-dominated,YPR149W,NCE102,ST3597,829734.0,830807.0,1073.0
CHR16,+,02_STM,02b_STM_YPD,SAGA-dominated,YPR192W,AQY1,ST3625,921758.0,922831.0,1073.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR472W,TRS31,ST0763,1403212.0,1404285.0,1073.0
CHR9,+,02_STM,02b_STM_YPD,TFIID-dominated,YIL134W,FLX1,ST1588,97360.0,98433.0,1073.0
CHR13,+,02_STM,02c_STM_HS,TFIID-dominated,YMR262W,nan,ST2678,793697.0,794770.0,1073.0
CHR7,+,02_STM,02c_STM_HS,TFIID-dominated,YGR079W,nan,ST1248,640814.0,641895.0,1081.0
CHR14,+,02_STM,02b_STM_YPD,TFIID-dominated,YNR028W,CPR8,ST2938,676105.0,677194.0,1089.0
CHR14,+,02_STM,02c_STM_HS,TFIID-dominated,YNL155W,CUZ1,ST2813,342376.0,343465.0,1089.0
CHR11,+,02_STM,02b_STM_YPD,SAGA-dominated,YKR091W,SRL3,ST2108,611378.0,612468.0,1090.0
CHR5,+,02_STM,02b_STM_YPD,TFIID-dominated,YER185W,PUG1,ST0969,559309.0,560406.0,1097.0
CHR13,+,02_STM,02c_STM_HS,TFIID-dominated,YMR161W,HLJ1,ST2611,577673.0,578770.0,1097.0
CHR2,+,02_STM,02b_STM_YPD,TFIID-dominated,YBL002W,HTB2,ST0099,236052.0,237150.0,1098.0
CHR6,+,02_STM,02c_STM_HS,TFIID-dominated,YFL031W,HAC1,imputed,75109.0,76217.0,1108.0
CHR15,+,02_STM,02c_STM_HS,SAGA-dominated,YOR120W,GCY1,ST3165,551048.0,552161.0,1113.0
CHR7,+,02_STM,02c_STM_HS,TFIID-dominated,YGR205W,TDA10,ST1339,909077.0,910198.0,1121.0
CHR2,+,02_STM,02b_STM_YPD,TFIID-dominated,YBL041W,PRE7,ST0075,140987.0,142116.0,1129.0
CHR2,+,02_STM,02b_STM_YPD,SAGA-dominated,YBR071W,nan,ST0145,380241.0,381378.0,1137.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDL127W,PCL2,ST0420,234864.0,236001.0,1137.0
CHR9,+,02_STM,02b_STM_YPD,TFIID-dominated,YIL019W,FAF1,ST1652,315074.0,316227.0,1153.0
CHR16,+,02_STM,02c_STM_HS,SAGA-dominated,YPL111W,CAR1,ST3429,339905.0,341058.0,1153.0
CHR8,+,02_STM,02c_STM_HS,TFIID-dominated,YHL025W,SNF6,ST1397,54795.0,55948.0,1153.0
CHR9,+,02_STM,02b_STM_YPD,SAGA-dominated,YIL053W,GPP1,ST1631,254978.0,256139.0,1161.0
CHR10,+,02_STM,02c_STM_HS,SAGA-dominated,YJL088W,ARG3,ST1774,268780.0,269941.0,1161.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDR007W,TRP1,ST0489,461651.0,462820.0,1169.0
CHR13,+,02_STM,02b_STM_YPD,TFIID-dominated,YMR241W,YHM2,ST2666,751737.0,752914.0,1177.0
CHR16,+,02_STM,02b_STM_YPD,TFIID-dominated,YPR103W,PRE2,ST3567,732244.0,733421.0,1177.0
CHR15,+,02_STM,02a_RSTM,TFIID-dominated,YOR247W,SRL1,ST3235,797432.0,798617.0,1185.0
CHR5,+,02_STM,02b_STM_YPD,TFIID-dominated,YER046W,SPO73,ST0884,242497.0,243690.0,1193.0
CHR10,+,02_STM,02c_STM_HS,SAGA-dominated,YJL052W,TDH1,ST1793,338196.0,339397.0,1201.0
CHR7,+,02_STM,02c_STM_HS,TFIID-dominated,YGR048W,UFD1,ST1230,589758.0,590959.0,1201.0
CHR10,+,02_STM,02b_STM_YPD,TFIID-dominated,YJR148W,BAT2,ST1905,705677.0,706886.0,1209.0
CHR4,+,02_STM,02c_STM_HS,TFIID-dominated,YDL137W,ARF2,ST0411,216008.0,217217.0,1209.0
CHR10,+,02_STM,02b_STM_YPD,TFIID-dominated,YJR159W,SOR1,imputed,735974.0,737187.0,1213.0
CHR10,+,02_STM,02b_STM_YPD,TFIID-dominated,YJR147W,HMS2,imputed,704126.0,705342.0,1216.0
CHR7,+,02_STM,02c_STM_HS,SAGA-dominated,YGL157W,ARI1,ST1101,208909.0,210126.0,1217.0
CHR12,+,02_STM,02c_STM_HS,TFIID-dominated,YLR100W,ERG27,ST2211,341719.0,342936.0,1217.0
CHR13,+,02_STM,02b_STM_YPD,TFIID-dominated,YMR144W,FDO1,ST2599,553233.0,554458.0,1225.0
CHR5,+,02_STM,02a_RSTM,SAGA-dominated,YER037W,PHM8,ST0878,225817.0,227050.0,1233.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR492W,IZH1,ST0773,1434716.0,1435949.0,1233.0
CHR8,+,02_STM,02c_STM_HS,TFIID-dominated,YHR104W,GRE3,ST1485,323317.0,324550.0,1233.0
CHR4,+,02_STM,02b_STM_YPD,TFIID-dominated,YDR214W,AHA1,ST0607,892751.0,893992.0,1241.0
