Chromosome_Name,strand,feature_type,gene_class,husinga_classification,systematic_id,common_name,NFR/NDR_Start,NFR/NDR_End,NFR/NDR_Length,nucleosome_stability,TATA_type
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR075W_NFR/NDR,RPL10,282457.0,282974.0,517.0,fragile,TATA_box
CHR5,+,01_RP,01_RP_NFR/NDR,RP,YER131W_NFR/NDR,RPS26B,423106.0,423584.0,478.0,fragile,TATA_like
CHR13,+,01_RP,01_RP_NFR/NDR,RP,YMR230W_NFR/NDR,RPS10B,732036.0,732433.0,397.0,fragile,TATA_like
CHR7,+,01_RP,01_RP_NFR/NDR,RP,YGL135W_NFR/NDR,RPL1B,254234.0,254618.0,384.0,fragile,TATA_like
CHR14,+,01_RP,01_RP_NFR/NDR,RP,YNL178W_NFR/NDR,RPS3,301898.0,302648.0,750.0,fragile,TATA_like
CHR10,+,01_RP,01_RP_NFR/NDR,RP,YJR123W_NFR/NDR,RPS5,651182.0,651932.0,750.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPR043W_NFR/NDR,RPL43A,653757.0,654190.0,433.0,fragile,TATA_like
CHR11,+,01_RP,01_RP_NFR/NDR,RP,YKR057W_NFR/NDR,RPS21A,551297.0,551684.0,387.0,fragile,TATA_like
CHR13,+,01_RP,01_RP_NFR/NDR,RP,YMR194W_NFR/NDR,RPL36A,650857.0,651190.0,333.0,stable,TATA_like
CHR14,+,01_RP,01_RP_NFR/NDR,RP,YNL067W_NFR/NDR,RPL9B,499347.0,499718.0,371.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR061W_NFR/NDR,RPL22A,262656.0,263223.0,567.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR367W_NFR/NDR,RPS22B,855554.0,856491.0,937.0,fragile, 
CHR13,+,01_RP,01_RP_NFR/NDR,RP,YML063W_NFR/NDR,RPS1B,145892.0,146501.0,609.0,fragile,TATA_like
CHR2,+,01_RP,01_RP_NFR/NDR,RP,YBL092W_NFR/NDR,RPL32,44989.0,45666.0,677.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR388W_NFR/NDR,RPS29A,897232.0,897982.0,750.0,fragile, 
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDR025W_NFR/NDR,RPS11A,490981.0,491530.0,549.0,fragile,TATA_like
CHR15,+,01_RP,01_RP_NFR/NDR,RP,YOL127W_NFR/NDR,RPL25,79599.0,80366.0,767.0,fragile,TATA_like
CHR15,+,01_RP,01_RP_NFR/NDR,RP,YOR293W_NFR/NDR,RPS10A,866558.0,867118.0,560.0,fragile,TATA_like
CHR14,+,01_RP,01_RP_NFR/NDR,RP,YNL162W_NFR/NDR,RPL42A,330817.0,331327.0,510.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDL136W_NFR/NDR,RPL35B,216851.0,217601.0,750.0,fragile,TATA_like
CHR13,+,01_RP,01_RP_NFR/NDR,RP,YML024W_NFR/NDR,RPS17A,225346.0,225906.0,560.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDR471W_NFR/NDR,RPL27B,1401241.0,1401817.0,576.0,fragile,TATA_like
CHR7,+,01_RP,01_RP_NFR/NDR,RP,YGL123W_NFR/NDR,RPS2,276734.0,277484.0,750.0,fragile,TATA_like
CHR10,+,01_RP,01_RP_NFR/NDR,RP,YJL191W_NFR/NDR,RPS14B,73392.0,73814.0,422.0,fragile,TATA_box
CHR8,+,01_RP,01_RP_NFR/NDR,RP,YHL001W_NFR/NDR,RPL14B,103893.0,104323.0,430.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPR132W_NFR/NDR,RPS23B,794494.0,794980.0,486.0,fragile,TATA_like
CHR2,+,01_RP,01_RP_NFR/NDR,RP,YBR191W_NFR/NDR,RPL21A,606050.0,606298.0,248.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDR450W_NFR/NDR,RPS18A,1358891.0,1359931.0,1040.0,fragile,TATA_like
CHR5,+,01_RP,01_RP_NFR/NDR,RP,YER074W_NFR/NDR,RPS24A,305853.0,306347.0,494.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPL131W_NFR/NDR,RPL5,302694.0,303160.0,466.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPL079W_NFR/NDR,RPL21B,406240.0,406629.0,389.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPL143W_NFR/NDR,RPL33A,281378.0,282128.0,750.0,fragile,TATA_like
CHR7,+,01_RP,01_RP_NFR/NDR,RP,YGR034W_NFR/NDR,RPL26B,555403.0,555819.0,416.0,fragile,TATA_like
CHR11,+,01_RP,01_RP_NFR/NDR,RP,YKL180W_NFR/NDR,RPL17A,108749.0,109313.0,564.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR340W_NFR/NDR,RPP0,805521.0,805870.0,349.0,fragile,TATA_like
CHR7,+,01_RP,01_RP_NFR/NDR,RP,YGR118W_NFR/NDR,RPS23A,726243.0,726993.0,750.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDL191W_NFR/NDR,RPL35A,117232.0,117683.0,451.0,fragile,TATA_like
CHR7,+,01_RP,01_RP_NFR/NDR,RP,YGL103W_NFR/NDR,RPL28,310545.0,310989.0,444.0,fragile,TATA_like
CHR2,+,01_RP,01_RP_NFR/NDR,RP,YBR189W_NFR/NDR,RPS9B,604130.0,604524.0,394.0,fragile,TATA_like
CHR11,+,01_RP,01_RP_NFR/NDR,RP,YKL006W_NFR/NDR,RPL14A,431002.0,431752.0,750.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDR064W_NFR/NDR,RPS13,579048.0,579484.0,436.0,stable,TATA_like
CHR15,+,01_RP,01_RP_NFR/NDR,RP,YOR096W_NFR/NDR,RPS7A,504986.0,505736.0,750.0,fragile,TATA_like
CHR2,+,01_RP,01_RP_NFR/NDR,RP,YBL027W_NFR/NDR,RPL19B,167696.0,168446.0,750.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDL082W_NFR/NDR,RPL13A,308004.0,308430.0,426.0,fragile,TATA_like
CHR5,+,01_RP,01_RP_NFR/NDR,RP,YER102W_NFR/NDR,RPS8B,362466.0,362749.0,283.0,fragile,TATA_like
CHR8,+,01_RP,01_RP_NFR/NDR,RP,YHR010W_NFR/NDR,RPL27A,125798.0,126548.0,750.0,fragile,TATA_like
CHR5,+,01_RP,01_RP_NFR/NDR,RP,YER117W_NFR/NDR,RPL23B,396208.0,396792.0,584.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR344W_NFR/NDR,RPL26A,818858.0,819351.0,493.0,fragile,TATA_like
CHR9,+,01_RP,01_RP_NFR/NDR,RP,YIL148W_NFR/NDR,RPL40A,68142.0,68539.0,397.0,fragile,TATA_like
CHR10,+,01_RP,01_RP_NFR/NDR,RP,YJL177W_NFR/NDR,RPL17B,89884.0,90634.0,750.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDR012W_NFR/NDR,RPL4B,471509.0,471866.0,357.0,fragile,TATA_like
CHR13,+,01_RP,01_RP_NFR/NDR,RP,YMR143W_NFR/NDR,RPS16A,551413.0,551771.0,358.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR448W_NFR/NDR,RPL6B,1027892.0,1028883.0,991.0,fragile,TATA_like
CHR2,+,01_RP,01_RP_NFR/NDR,RP,YBR031W_NFR/NDR,RPL4A,299856.0,300197.0,341.0,fragile,TATA_box
CHR2,+,01_RP,01_RP_NFR/NDR,RP,YBR048W_NFR/NDR,RPS11B,332367.0,332852.0,485.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR264W_NFR/NDR,RPS28B,672320.0,673070.0,750.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPL081W_NFR/NDR,RPS9A,404542.0,404975.0,433.0,fragile,TATA_like
CHR15,+,01_RP,01_RP_NFR/NDR,RP,YOR063W_NFR/NDR,RPL3,444316.0,444714.0,398.0,stable,TATA_box
CHR7,+,01_RP,01_RP_NFR/NDR,RP,YGR214W_NFR/NDR,RPS0A,920226.0,920593.0,367.0,fragile,TATA_like
CHR9,+,01_RP,01_RP_NFR/NDR,RP,YIL018W_NFR/NDR,RPL2B,316208.0,316795.0,587.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR048W_NFR/NDR,RPS0B,241993.0,242263.0,270.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPL198W_NFR/NDR,RPL7B,172738.0,173180.0,442.0,fragile,TATA_box
CHR14,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YNL145W_NFR/NDR,MFA2,351656.0,352406.0,750.0,stable,TATA_box
CHR3,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YCL054W-A_NFR/NDR,RDT1,30161.0,30911.0,750.0,nan, 
CHR10,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YJL077W-A_NFR/NDR,nan,294265.0,294693.0,428.0,nan,TATA_like
CHR4,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YDR524W-C_NFR/NDR,nan,1488970.0,1489470.0,500.0,stable, 
CHR11,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YKL044W_NFR/NDR,MMO1,355966.0,356300.0,334.0,nan, 
CHR13,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YMR272W-B_NFR/NDR,nan,810269.0,811019.0,750.0,nan, 
CHR8,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YHR086W-A_NFR/NDR,nan,279411.0,280161.0,750.0,nan, 
CHR13,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YMR105W-A_NFR/NDR,nan,477753.0,478042.0,289.0,nan, 
CHR13,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YML100W-A_NFR/NDR,nan,69482.0,70232.0,750.0,nan, 
CHR4,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YDR246W-A_NFR/NDR,nan,954313.0,955063.0,750.0,nan, 
CHR2,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YBR162W-A_NFR/NDR,YSY6,564839.0,565245.0,406.0,fragile,TATA_like
CHR1,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YAR029W_NFR/NDR,nan,185692.0,186261.0,569.0,nan, 
CHR2,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YBR126W-A_NFR/NDR,MEO1,490481.0,490864.0,383.0,nan,TATA_like
CHR12,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YLR099W-A_NFR/NDR,MIM2,341118.0,341362.0,244.0,stable,TATA_like
CHR16,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YPR182W_NFR/NDR,SMX3,899673.0,900171.0,498.0,stable,TATA_like
CHR1,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YAL064W_NFR/NDR,nan,20632.0,21551.0,919.0,fragile, 
CHR2,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YBR230W-A_NFR/NDR,nan,679534.0,680284.0,750.0,stable, 
CHR1,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YAR064W_NFR/NDR,nan,219378.0,220128.0,750.0,nan, 
CHR8,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YHR213W-B_NFR/NDR,nan,539980.0,540730.0,750.0,nan, 
CHR9,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YIL054W_NFR/NDR,nan,253723.0,254473.0,750.0,nan, 
CHR4,+,02_STM,02a_RSTM_NFR/NDR,TFIID-dominated,YDR510W_NFR/NDR,SMT3,1468614.0,1469364.0,750.0,fragile,TATA_like
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,SAGA-dominated,YNL015W_NFR/NDR,PBI2,605081.0,605328.0,247.0,stable,TATA_box
CHR12,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YLR162W_NFR/NDR,nan,488753.0,489503.0,750.0,nan, 
CHR11,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YKL037W_NFR/NDR,AIM26,369151.0,369339.0,188.0,nan, 
CHR13,+,02_STM,02c_STM_HS_NFR/NDR,SAGA-dominated,YMR251W-A_NFR/NDR,HOR7,774639.0,774826.0,187.0,fragile,TATA_box
CHR14,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YNL030W_NFR/NDR,HHF2,576577.0,576770.0,193.0,fragile,TATA_box
CHR4,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YDR156W_NFR/NDR,RPA14,768799.0,769549.0,750.0,fragile,TATA_like
CHR5,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YEL008W_NFR/NDR,nan,139692.0,140442.0,750.0,nan,TATA_box
CHR2,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YBL071W-A_NFR/NDR,KTI11,89623.0,89999.0,376.0,fragile,TATA_like
CHR4,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YDL181W_NFR/NDR,INH1,134688.0,135011.0,323.0,fragile,TATA_like
CHR6,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YFL014W_NFR/NDR,HSP12,106071.0,107179.0,1108.0,stable, 
CHR11,+,02_STM,02a_RSTM_NFR/NDR,TFIID-dominated,YKL096W-A_NFR/NDR,CWP2,258690.0,259221.0,531.0,fragile,TATA_box
CHR13,+,02_STM,02a_RSTM_NFR/NDR,TFIID-dominated,YMR122W-A_NFR/NDR,nan,510515.0,511265.0,750.0,fragile,TATA_box
CHR10,+,02_STM,02c_STM_HS_NFR/NDR,SAGA-dominated,YJL144W_NFR/NDR,nan,145881.0,146303.0,422.0,stable,TATA_box
CHR7,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YGR243W_NFR/NDR,MPC3,976448.0,977198.0,750.0,fragile,TATA_box
CHR16,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YPR036W-A_NFR/NDR,SPO24,645609.0,645865.0,256.0,fragile,TATA_box
CHR5,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YER035W_NFR/NDR,EDC2,222338.0,222669.0,331.0,fragile,TATA_like
CHR8,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YHL041W_NFR/NDR,nan,17211.0,17404.0,193.0,nan, 
CHR2,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YBR010W_NFR/NDR,HHT1,256154.0,256402.0,248.0,stable,TATA_box
CHR13,+,02_STM,02a_RSTM_NFR/NDR,SAGA-dominated,YMR195W_NFR/NDR,ICY1,653504.0,653865.0,361.0,fragile,TATA_box
CHR4,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YDR100W_NFR/NDR,TVP15,654737.0,655017.0,280.0,fragile,TATA_like
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YNR034W-A_NFR/NDR,EGO4,692227.0,692387.0,160.0,nan, 
CHR13,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YML055W_NFR/NDR,SPC2,164266.0,164806.0,540.0,fragile,TATA_like
CHR5,+,02_STM,02c_STM_HS_NFR/NDR,SAGA-dominated,YER150W_NFR/NDR,SPI1,467899.0,468411.0,512.0,stable,TATA_box
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YNR010W_NFR/NDR,CSE2,643513.0,643760.0,247.0,nan, 
CHR15,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YOL109W_NFR/NDR,ZEO1,109467.0,110217.0,750.0,fragile,TATA_box
CHR2,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YBR047W_NFR/NDR,FMP23,331523.0,331808.0,285.0,fragile, 
CHR11,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YKL068W-A_NFR/NDR,nan,308677.0,309183.0,506.0,fragile,TATA_like
CHR5,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YER092W_NFR/NDR,IES5,342402.0,342897.0,495.0,fragile,TATA_like
CHR16,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YPL170W_NFR/NDR,DAP1,227762.0,228234.0,472.0,fragile,TATA_like
CHR14,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YNL281W_NFR/NDR,HCH1,108166.0,108466.0,300.0,fragile,TATA_like
CHR2,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YBR135W_NFR/NDR,CKS1,504381.0,504824.0,443.0,fragile,TATA_box
CHR9,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YIL111W_NFR/NDR,COX5B,155041.0,155207.0,166.0,fragile,TATA_box
CHR15,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YOR236W_NFR/NDR,DFR1,780573.0,780935.0,362.0,fragile,TATA_like
CHR8,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YHR152W_NFR/NDR,SPO12,400972.0,401353.0,381.0,fragile, 
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,SAGA-dominated,YNR014W_NFR/NDR,nan,651675.0,652425.0,750.0,stable,TATA_box
CHR7,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YGR161W-C_NFR/NDR,nan,809794.0,810039.0,245.0,fragile,TATA_like
CHR13,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YML028W_NFR/NDR,TSA1,219818.0,220123.0,305.0,fragile,TATA_box
CHR5,+,02_STM,02a_RSTM_NFR/NDR,TFIID-dominated,YEL034W_NFR/NDR,HYP2,84922.0,85672.0,750.0,fragile,TATA_like
CHR13,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YMR040W_NFR/NDR,YET2,349668.0,350149.0,481.0,nan,TATA_like
CHR13,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YMR251W_NFR/NDR,GTO3,772965.0,773357.0,392.0,nan,TATA_like
CHR12,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YLR109W_NFR/NDR,AHP1,368171.0,368596.0,425.0,fragile,TATA_box
CHR10,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YJL218W_NFR/NDR,nan,21637.0,21925.0,288.0,fragile, 
CHR4,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YDR377W_NFR/NDR,ATP17,1228267.0,1228560.0,293.0,stable,TATA_like
CHR15,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YOL014W_NFR/NDR,nan,299183.0,299530.0,347.0,fragile,TATA_box
CHR8,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YHR175W_NFR/NDR,CTR2,452496.0,452975.0,479.0,stable,TATA_like
CHR7,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YGL166W_NFR/NDR,CUP2,190856.0,191159.0,303.0,fragile,TATA_like
CHR4,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YDR041W_NFR/NDR,RSM10,539537.0,539845.0,308.0,fragile,TATA_like
CHR2,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YBR137W_NFR/NDR,nan,512696.0,512967.0,271.0,stable,TATA_like
CHR5,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YEL038W_NFR/NDR,UTR4,80151.0,80472.0,321.0,fragile,TATA_like
CHR7,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YGL068W_NFR/NDR,MNP1,374819.0,375086.0,267.0,stable,TATA_like
CHR11,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YKL142W_NFR/NDR,MRP8,178138.0,178455.0,317.0,fragile,TATA_like
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YNR018W_NFR/NDR,RCF2,663892.0,664245.0,353.0,fragile,TATA_box
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,SAGA-dominated,YNL208W_NFR/NDR,nan,253515.0,254265.0,750.0,stable,TATA_like
CHR11,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YKL096W_NFR/NDR,CWP1,260344.0,261094.0,750.0,stable,TATA_like
CHR15,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YOL032W_NFR/NDR,OPI10,264964.0,265392.0,428.0,stable,TATA_like
CHR10,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YJL140W_NFR/NDR,RPB4,150511.0,150879.0,368.0,fragile,TATA_like
CHR14,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YNL036W_NFR/NDR,NCE103,558960.0,559710.0,750.0,nan,TATA_box
CHR4,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YDR226W_NFR/NDR,ADK1,915674.0,916424.0,750.0,fragile,TATA_box
CHR5,+,02_STM,02c_STM_HS_NFR/NDR,SAGA-dominated,YER067W_NFR/NDR,RGI1,291529.0,291808.0,279.0,fragile, 
CHR12,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YLR350W_NFR/NDR,ORM2,828295.0,828639.0,344.0,fragile,TATA_box
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YNL056W_NFR/NDR,OCA2,516396.0,517146.0,750.0,stable,TATA_like
CHR8,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YHR049W_NFR/NDR,FSH1,206073.0,206413.0,340.0,fragile,TATA_box
CHR4,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YDR152W_NFR/NDR,GIR2,765400.0,765706.0,306.0,fragile,TATA_like
CHR15,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YOR382W_NFR/NDR,FIT2,1058961.0,1059268.0,307.0,fragile,TATA_like
CHR8,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YHR163W_NFR/NDR,SOL3,423436.0,423748.0,312.0,fragile,TATA_box
CHR5,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YER011W_NFR/NDR,TIR1,174459.0,175209.0,750.0,stable,TATA_box
CHR16,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YPR158W_NFR/NDR,CUR1,842910.0,843215.0,305.0,fragile,TATA_like
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YNR009W_NFR/NDR,NRM1,642301.0,642668.0,367.0,fragile,TATA_box
CHR16,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YPR183W_NFR/NDR,DPM1,900469.0,900779.0,310.0,stable,TATA_like
CHR2,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YBR106W_NFR/NDR,PHO88,451912.0,452662.0,750.0,fragile,TATA_like
CHR10,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YJL217W_NFR/NDR,REE1,22725.0,23044.0,319.0,fragile,TATA_like
CHR9,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YIR016W_NFR/NDR,nan,382120.0,382609.0,489.0,fragile, 
CHR13,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YMR314W_NFR/NDR,PRE5,901277.0,901706.0,429.0,fragile,TATA_like
CHR9,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YIL118W_NFR/NDR,RHO3,139281.0,139697.0,416.0,fragile,TATA_like
CHR4,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YDR003W_NFR/NDR,RCR2,453814.0,454123.0,309.0,fragile,TATA_like
CHR12,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YLR064W_NFR/NDR,PER33,265197.0,265478.0,281.0,stable,TATA_like
CHR4,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YDR073W_NFR/NDR,SNF11,592072.0,592171.0,99.0,nan,TATA_box
CHR16,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YPR154W_NFR/NDR,PIN3,834277.0,834559.0,282.0,nan,TATA_like
CHR15,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YOR020W-A_NFR/NDR,nan,370828.0,371138.0,310.0,nan,TATA_like
CHR16,+,02_STM,02b_STM_YPD_NFR/NDR,SAGA-dominated,YPL135W_NFR/NDR,ISU1,297011.0,297490.0,479.0,fragile,TATA_box
CHR16,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YPR009W_NFR/NDR,SUT2,576212.0,576445.0,233.0,fragile,TATA_like
CHR11,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YKL007W_NFR/NDR,CAP1,428924.0,429305.0,381.0,fragile,TATA_like
CHR12,+,02_STM,02b_STM_YPD_NFR/NDR,TFIID-dominated,YLR312W-A_NFR/NDR,MRPL15,758978.0,759501.0,523.0,fragile,TATA_like
CHR14,+,02_STM,02c_STM_HS_NFR/NDR,TFIID-dominated,YNL129W_NFR/NDR,NRK1,380821.0,381311.0,490.0,stable,TATA_like
