seq_id,source,type,start,end,score,strand,phase,attributes,locus_id
chrI,Xu_2009_CUTs,transcript,180257,180513,.,+,.,ID=ST0043;Name=CUT005;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT005
chrI,Xu_2009_CUTs,transcript,199986,200426,.,-,.,ID=ST3679;Name=CUT442;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT442
chrII,Xu_2009_CUTs,transcript,42576,43104,.,-,.,ID=ST3686;Name=CUT443;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0052;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST0051;initiates_from_3NFR_of_and_same_strand_to=NA,CUT443
chrII,Xu_2009_CUTs,transcript,96352,96568,.,+,.,ID=ST0064;Name=CUT006;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT006
chrII,Xu_2009_CUTs,transcript,146720,146968,.,-,.,ID=ST3716;Name=CUT444;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0078;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT444
chrII,Xu_2009_CUTs,transcript,191988,192340,.,+,.,ID=ST0089;Name=CUT007;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3731;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT007
chrII,Xu_2009_CUTs,transcript,237742,237926,.,+,.,ID=ST0100;Name=CUT008;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT008
chrII,Xu_2009_CUTs,transcript,254874,255058,.,+,.,ID=ST0108;Name=CUT009;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT009
chrII,Xu_2009_CUTs,transcript,278428,280876,.,-,.,ID=ST3752;Name=CUT445;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0114;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT445
chrII,Xu_2009_CUTs,transcript,296288,296576,.,+,.,ID=ST0117;Name=CUT010;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3756;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3757;initiates_from_3NFR_of_and_same_strand_to=NA,CUT010
chrII,Xu_2009_CUTs,transcript,299292,299884,.,-,.,ID=ST3758;Name=CUT446;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0119;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST0118;initiates_from_3NFR_of_and_same_strand_to=NA,CUT446
chrII,Xu_2009_CUTs,transcript,306288,306696,.,+,.,ID=ST0121;Name=CUT011;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT011
chrII,Xu_2009_CUTs,transcript,306696,307104,.,+,.,ID=ST0122;Name=CUT012;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT012
chrII,Xu_2009_CUTs,transcript,306988,307108,.,-,.,ID=ST3762;Name=CUT447;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=ST3761;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT447
chrII,Xu_2009_CUTs,transcript,310633,310953,.,+,.,ID=ST0124;Name=CUT013;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT013
chrII,Xu_2009_CUTs,transcript,324513,325361,.,+,.,ID=ST0128;Name=CUT014;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT014
chrII,Xu_2009_CUTs,transcript,326297,326777,.,+,.,ID=ST0129;Name=CUT015;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3767;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT015
chrII,Xu_2009_CUTs,transcript,339602,339946,.,+,.,ID=ST0132;Name=CUT016;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3772;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT016
chrII,Xu_2009_CUTs,transcript,340774,340894,.,-,.,ID=ST3774;Name=CUT448;end_confidence=mappedNone;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT448
chrII,Xu_2009_CUTs,transcript,340894,341486,.,-,.,ID=ST3775;Name=CUT449;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT449
chrII,Xu_2009_CUTs,transcript,341018,342578,.,+,.,ID=ST0133;Name=CUT017;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3773;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT017
chrII,Xu_2009_CUTs,transcript,351878,352054,.,-,.,ID=ST3777;Name=CUT450;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT450
chrII,Xu_2009_CUTs,transcript,360618,360970,.,+,.,ID=ST0137;Name=CUT018;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3781;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3782;initiates_from_3NFR_of_and_same_strand_to=NA,CUT018
chrII,Xu_2009_CUTs,transcript,365898,366657,.,+,.,ID=ST0139;Name=CUT019;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3783;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT019
chrII,Xu_2009_CUTs,transcript,366605,366933,.,-,.,ID=ST3785;Name=CUT451;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT451
chrII,Xu_2009_CUTs,transcript,370073,370545,.,+,.,ID=ST0140;Name=CUT020;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT020
chrII,Xu_2009_CUTs,transcript,376378,376834,.,+,.,ID=ST0143;Name=CUT021;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT021
chrII,Xu_2009_CUTs,transcript,379154,379450,.,+,.,ID=ST0144;Name=CUT022;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3790;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT022
chrII,Xu_2009_CUTs,transcript,381378,381642,.,+,.,ID=ST0146;Name=CUT023;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT023
chrII,Xu_2009_CUTs,transcript,406105,406457,.,-,.,ID=ST3797;Name=CUT452;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT452
chrII,Xu_2009_CUTs,transcript,407905,408489,.,-,.,ID=ST3799;Name=CUT453;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT453
chrII,Xu_2009_CUTs,transcript,423517,423749,.,+,.,ID=ST0154;Name=CUT024;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3802;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT024
chrII,Xu_2009_CUTs,transcript,429669,431781,.,+,.,ID=ST0156;Name=CUT025;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT025
chrII,Xu_2009_CUTs,transcript,483734,484030,.,+,.,ID=ST0172;Name=CUT026;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3820;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT026
chrII,Xu_2009_CUTs,transcript,493094,493686,.,+,.,ID=ST0174;Name=CUT027;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3825;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3826;initiates_from_3NFR_of_and_same_strand_to=NA,CUT027
chrII,Xu_2009_CUTs,transcript,535770,536258,.,-,.,ID=ST3835;Name=CUT454;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST0184;initiates_from_3NFR_of_and_same_strand_to=NA,CUT454
chrII,Xu_2009_CUTs,transcript,539346,539674,.,-,.,ID=ST3836;Name=CUT455;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT455
chrII,Xu_2009_CUTs,transcript,549130,549538,.,-,.,ID=ST3840;Name=CUT456;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0190;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT456
chrII,Xu_2009_CUTs,transcript,571445,572005,.,+,.,ID=ST0199;Name=CUT028;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3845;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3846;initiates_from_3NFR_of_and_same_strand_to=NA,CUT028
chrII,Xu_2009_CUTs,transcript,576349,576773,.,+,.,ID=ST0201;Name=CUT029;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT029
chrII,Xu_2009_CUTs,transcript,614429,614885,.,+,.,ID=ST0212;Name=CUT030;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT030
chrII,Xu_2009_CUTs,transcript,625308,625693,.,+,.,ID=ST0216;Name=CUT031;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT031
chrII,Xu_2009_CUTs,transcript,655429,655781,.,+,.,ID=ST0226;Name=CUT032;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT032
chrII,Xu_2009_CUTs,transcript,662893,663181,.,+,.,ID=ST0228;Name=CUT033;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT033
chrII,Xu_2009_CUTs,transcript,682213,682533,.,+,.,ID=ST0232;Name=CUT034;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3878;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3879;initiates_from_3NFR_of_and_same_strand_to=NA,CUT034
chrII,Xu_2009_CUTs,transcript,698445,698773,.,+,.,ID=ST0238;Name=CUT035;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT035
chrII,Xu_2009_CUTs,transcript,704145,704273,.,-,.,ID=ST3886;Name=CUT457;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0239;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT457
chrII,Xu_2009_CUTs,transcript,707029,707317,.,+,.,ID=ST0240;Name=CUT036;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT036
chrII,Xu_2009_CUTs,transcript,714685,715477,.,+,.,ID=ST0243;Name=CUT037;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3889;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT037
chrII,Xu_2009_CUTs,transcript,720649,721185,.,-,.,ID=ST3892;Name=CUT458;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0245;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT458
chrII,Xu_2009_CUTs,transcript,734829,736189,.,+,.,ID=ST0251;Name=CUT038;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3897;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3898;initiates_from_3NFR_of_and_same_strand_to=NA,CUT038
chrII,Xu_2009_CUTs,transcript,785052,785372,.,+,.,ID=ST0268;Name=CUT039;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT039
chrIII,Xu_2009_CUTs,transcript,27389,27581,.,-,.,ID=ST3924;Name=CUT459;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT459
chrIII,Xu_2009_CUTs,transcript,28613,29109,.,-,.,ID=ST3925;Name=CUT460;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT460
chrIII,Xu_2009_CUTs,transcript,29909,30405,.,-,.,ID=ST3926;Name=CUT461;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT461
chrIII,Xu_2009_CUTs,transcript,30845,31189,.,-,.,ID=ST3927;Name=CUT462;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0278;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT462
chrIII,Xu_2009_CUTs,transcript,39049,39425,.,+,.,ID=ST0280;Name=CUT040;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3929;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT040
chrIII,Xu_2009_CUTs,transcript,68881,69425,.,+,.,ID=ST0289;Name=CUT041;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT041
chrIII,Xu_2009_CUTs,transcript,105794,106258,.,+,.,ID=ST0294;Name=CUT042;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3949;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3950;initiates_from_3NFR_of_and_same_strand_to=NA,CUT042
chrIII,Xu_2009_CUTs,transcript,119144,119376,.,-,.,ID=ST3956;Name=CUT463;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=ST3957,CUT463
chrIII,Xu_2009_CUTs,transcript,120476,121084,.,+,.,ID=ST0303;Name=CUT043;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT043
chrIII,Xu_2009_CUTs,transcript,130072,130456,.,-,.,ID=ST3962;Name=CUT464;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT464
chrIII,Xu_2009_CUTs,transcript,131828,132244,.,+,.,ID=ST0307;Name=CUT044;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT044
chrIII,Xu_2009_CUTs,transcript,139308,139988,.,+,.,ID=ST0309;Name=CUT045;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3966;initiates_from_3NFR_of_and_same_strand_to=ST0308,CUT045
chrIII,Xu_2009_CUTs,transcript,147784,148080,.,-,.,ID=ST3970;Name=CUT465;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT465
chrIII,Xu_2009_CUTs,transcript,155916,156046,.,+,.,ID=ST0313;Name=CUT046;end_confidence=mapped3;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT046
chrIII,Xu_2009_CUTs,transcript,163926,164318,.,+,.,ID=ST0315;Name=CUT047;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT047
chrIII,Xu_2009_CUTs,transcript,178258,178482,.,-,.,ID=ST3983;Name=CUT466;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=ST3982;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT466
chrIII,Xu_2009_CUTs,transcript,179038,179414,.,+,.,ID=ST0318;Name=CUT048;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3984;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT048
chrIII,Xu_2009_CUTs,transcript,238018,238706,.,-,.,ID=ST3997;Name=CUT467;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0338;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST0337;initiates_from_3NFR_of_and_same_strand_to=NA,CUT467
chrIV,Xu_2009_CUTs,transcript,21869,22453,.,-,.,ID=ST4012;Name=CUT468;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0357;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT468
chrIV,Xu_2009_CUTs,transcript,31717,32045,.,-,.,ID=ST4015;Name=CUT469;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0359;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT469
