SNP,Chr,Pos,locus_id,name,p-value_eQTL,p-value_rMVP,FDR,-log_pval,Effect,snps_class_up,snps_class_down,description
10454,15,462280,YOR072W,YOR072W,5.4799739010890695e-55,4.0511109909615886e-55,2.7302983566874098e-49,54.392425858000855,-2.22929476453053,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive"""
10460,15,466097,YOR073W,SGO1,6.00926305541391e-52,4.69692254282237e-52,2.36368985575657e-46,51.32818660172908,-2.18023527191321,ORF,Verified ORF,"""Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension"""
10462,15,466738,YOR074C,CDC21,1.05042353616608e-51,5.74721709622528e-52,3.9251596445332505e-46,51.24054239745271,-2.1857786703488,ORF,Verified ORF,"""Thymidylate synthase; required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S; human homolog TYMSOS can complement yeast cdc21 temperature-sensitive mutant at restrictive temperature"""
10461,15,466324,YOR073W,SGO1,1.59690590985994e-51,1.42279930513509e-51,5.68306875200955e-46,50.84685635558639,-2.19776639852759,ORF,Verified ORF,"""Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension"""
10463,15,467591,YOR073W-A,YOR073W-A,1.35564945844706e-49,1.16340628978831e-49,3.75237744989442e-44,48.93426859258083,-2.1276258583081,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF CDC21/YOR074C; identified by RT-PCR"""
10466,15,467792,YOR074C_NFR/NDR,,7.18438224096114e-49,6.74709141424038e-49,1.73201087065091e-43,48.17088340568416,-2.11994832379426,Promoter,Promoter,stable
10465,15,467752,YOR074C_NFR/NDR,,7.72716053389175e-49,7.39024426203836e-49,1.8046493658384197e-43,48.13134120708524,-2.12380672851545,Promoter,Promoter,stable
10464,15,467703,YOR074C_NFR/NDR,,9.035082780631649e-49,1.11533116685678e-48,2.04616698361803e-43,47.952596161688376,-2.13682145296154,Promoter,Promoter,stable
10467,15,467889,YOR074C,CDC21,3.06929799537311e-45,2.90863667724008e-45,5.5947163859661e-40,44.5363105238283,-2.07503503086708,Close to 3'-UTR,Close to 3'-UTR,"""Thymidylate synthase; required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S; human homolog TYMSOS can complement yeast cdc21 temperature-sensitive mutant at restrictive temperature"""
10457,15,464262,YOR072W-B_NFR/NDR,,6.030803828220989e-43,1.34469585426521e-43,6.59559613562152e-38,42.87137593406398,-2.21317011924801,Promoter,Promoter,
10470,15,472448,YOR077W,RTS2,1.2641733762655702e-35,1.03357115683562e-35,2.8254111532915996e-31,34.98565961873938,-1.87726311829902,ORF,Verified ORF,"""Basic zinc-finger protein; similar to human and mouse Kin17 proteins which are chromatin-associated proteins involved in UV response and DNA replication"""
10469,15,471823,YOR077W_NFR/NDR,,6.66633363352412e-34,7.09764299931705e-34,9.984110437569109e-30,33.14888584879313,-1.84299071988831,Promoter,Promoter,
10473,15,475002,YOR080W,DIA2,9.553612762886029e-34,7.503598114681399e-34,1.39178818540299e-29,33.12473043439047,-1.8439918966718,ORF,Verified ORF,"""Origin-binding F-box protein; forms SCF ubiquitin ligase complex with Skp1p and Cdc53p; functions in ubiquitination of silent chromatin structural protein Sir4p; required to target Cdc6p for destruction during G1 phase; required for deactivation of Rad53 checkpoint kinase ; completion of DNA replication during recovery from DNA damage ; assembly of RSC complex ; RSC-mediated transcription regulation ; and nucleosome positioning; involved in invasive and pseudohyphal growth"""
10472,15,474768,YOR080W,DIA2,2.6828855672527097e-33,3.0925775814648e-33,3.5804449337770997e-29,32.50967939670145,-1.82014327258991,ORF,Verified ORF,"""Origin-binding F-box protein; forms SCF ubiquitin ligase complex with Skp1p and Cdc53p; functions in ubiquitination of silent chromatin structural protein Sir4p; required to target Cdc6p for destruction during G1 phase; required for deactivation of Rad53 checkpoint kinase ; completion of DNA replication during recovery from DNA damage ; assembly of RSC complex ; RSC-mediated transcription regulation ; and nucleosome positioning; involved in invasive and pseudohyphal growth"""
10471,15,474477,YOR080W_NFR/NDR,,1.97065004278028e-29,3.13917761553535e-29,1.4625237022559701e-25,28.503184111103195,-1.78430228722268,Promoter,Promoter,stable
10474,15,477403,YOR081C,TGL5,1.13389123707817e-26,1.2786947126685299e-26,5.97189110815993e-23,25.893233130602994,-1.65904632848869,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication"""
10475,15,477590,YOR081C,TGL5,1.0990801687726402e-25,2.0324296741295504e-25,5.13051446578322e-22,24.691984472875774,-1.65554363197701,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication"""
10444,15,453019,YOR067C,ALG8,7.4162526171984e-25,5.93960192034805e-25,3.17077892503317e-21,24.226242661010307,-1.79720778479201,ORF,Verified ORF,"""Glucosyl transferase; involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p; human homolog ALG8 can complement yeast null mutant"""
10443,15,451421,YOR066W,MSA1,1.97834667558821e-24,1.68528288434822e-24,8.11033149373284e-21,23.773327189866883,-1.79468115298409,Close to 3'-UTR,Close to 3'-UTR,"""Activator of G1-specific transcription factors MBF and SBF; involved in regulation of the timing of G1-specific gene transcription and cell cycle initiation; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; MSA1 has a paralog ; MSA2 ; that arose from the whole genome duplication"""
10476,15,477914,YOR081C,TGL5,3.3989066988722304e-24,4.99379283825936e-24,1.36788698093094e-20,23.301569477817054,-1.59674555216986,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication"""
10477,15,478685,YOR081C,TGL5,6.77086140064085e-23,6.245531328396781e-23,2.38126575343348e-19,22.204430608823063,-1.53917380161622,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication"""
10432,15,446521,YOR064C,YNG1,1.04361864473889e-22,8.846134838523311e-23,3.624285812771e-19,22.05324644511786,-1.71679763539498,ORF,Verified ORF,"""Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3; shares significant sequence identity with the human candidate tumor suppressor p33-ING1 in C-terminal region"""
10433,15,446992,YOR065W_NFR/NDR,,6.88020206380894e-22,5.80832222748071e-22,2.2115721513907497e-18,21.235949298345332,-1.69209333886174,Promoter,Promoter,fragile
10442,15,449086,YOR065W,CYT1,1.28761804946454e-21,1.1067639381945e-21,4.03818201439875e-18,20.955944999963215,-1.70619936760235,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex"""
10434,15,447362,YOR064C,YNG1,7.62507885418191e-21,7.59372958242546e-21,2.21390343104706e-17,20.119544872425546,-1.73058300073054,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3; shares significant sequence identity with the human candidate tumor suppressor p33-ING1 in C-terminal region"""
10437,15,448753,YOR065W,CYT1,2.40094623363274e-19,1.9408048513149104e-19,6.1746124081657295e-16,18.712018130895956,-1.74943491726015,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex"""
10478,15,479604,YOR082C,YOR082C,3.4512806017149797e-16,3.24757921645391e-16,6.65799601221087e-13,15.488440246613914,-1.30080082007342,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene YOR083W"""
10429,15,442681,YOR061W,CKA2,4.0054406495668e-14,3.79625135235645e-14,6.2716489808767e-11,13.420645040362889,-1.43442583028755,Close to 3'-UTR,Close to 3'-UTR,"""Alpha' catalytic subunit of casein kinase 2 (CK2); CK2 is a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases; protein abundance increases in response to DNA replication stress; regulates Fkh1p-mediated donor preference during mating-type switching"""
10431,15,443890,YOR062C_NFR/NDR,,6.06055177709904e-14,5.54054466412444e-14,9.329230174070879e-11,13.256447539784824,-1.34781660418584,Promoter,Promoter,stable
10430,15,443566,YOR062C,YOR062C,1.38528320197767e-13,1.23019055523133e-13,2.0615066316838001e-10,12.910027611588538,-1.33637736137864,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YOR062C has a paralog ; YKR075C ; that arose from the whole genome duplication"""
10436,15,448419,SUT777_NFR/NDR,,3.66836128522096e-12,4.10527184605288e-12,4.748081866621611e-09,11.386658079145839,-1.32855143286281,Promoter,Promoter,
10428,15,441176,YOR061W_NFR/NDR,,7.56399531133104e-11,6.933286441687001e-11,8.7088842519375e-08,10.159060856995186,-1.18250835419565,Promoter,Promoter,fragile
