SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
43,1,60165,-0.0033112613722189,0.0576047515330184,0.954193421772604,YAL043C,PTA1,SGDID:S000000041,CDS,CDS,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",Verified ORF
44,1,62308,0.0069267368611652,0.0575404871051024,0.904250441281016,YAL042W,ERV46,SGDID:S000000040,CDS,CDS,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport""",Verified ORF
45,1,62869,-0.0119178855312054,0.0575309442699246,0.83600740425217,YAL041W,CDC24,SGDID:S000000039,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""",Verified ORF
49,1,66841,0.018817285195483,0.0575528427359487,0.743894452393613,YAL040C,CLN3,SGDID:S000000038,CDS,CDS,"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1""",Verified ORF
50,1,66948,0.0148149547431561,0.0579094505067471,0.798231384119967,YAL040C,CLN3,SGDID:S000000038,CDS,CDS,"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1""",Verified ORF
51,1,68621,0.0764500307275873,0.0576144171682383,0.185391046398434,SUT003_NFR/NDR,,,Promoter,Promoter,,Promoter
52,1,69417,0.0811851859356481,0.0574427277754111,0.158441659356262,SUT003,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
56,1,74327,-0.0873531516430184,0.057734827985071,0.131172850011197,YAL037W,YAL037W,SGDID:S000000035,CDS,CDS,"""Putative protein of unknown function; YAL037W has a paralog ; YOR342C ; that arose from the whole genome duplication""",Uncharacterized ORF
57,1,74572,-0.0940215494753227,0.0575503613253646,0.103207814167718,YAL037W,YAL037W,SGDID:S000000035,CDS,CDS,"""Putative protein of unknown function; YAL037W has a paralog ; YOR342C ; that arose from the whole genome duplication""",Uncharacterized ORF
58,1,75211,-0.108381286205827,0.0573729481561351,0.0597024279312976,YAL036C,RBG1,SGDID:S000000034,CDS,CDS,"""Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p ; Ygr250cp ; Gir2p and Yap1p via two-hybrid""",Verified ORF
59,1,76030,-0.0985323653989113,0.0574232374604,0.0870582737808057,YAL036C,RBG1,SGDID:S000000034,CDS,CDS,"""Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p ; Ygr250cp ; Gir2p and Yap1p via two-hybrid""",Verified ORF
60,1,80108,-0.0667646335541193,0.0575389585175398,0.246695407744102,YAL034W-A,MTW1,SGDID:S000000032,CDS,CDS,"""Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)""",Verified ORF
61,1,81262,-0.0538144018369968,0.057555564728153,0.35042791733523,YAL034C,FUN19,SGDID:S000002134,CDS,CDS,"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication""",Verified ORF
62,1,81999,-0.0587928566962048,0.0576827067695228,0.308784318037201,YAL034C,FUN19,SGDID:S000002134,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication""",Verified ORF
63,1,82431,-0.0157326320785194,0.058034938614464,0.786481050723488,YAL034C,FUN19,SGDID:S000002134,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication""",Verified ORF
64,1,83284,-0.044109811868781,0.0575707738763512,0.444078802105588,YAL033W,POP5,SGDID:S000000031,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA ; while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs""",Verified ORF
65,1,83613,-0.0149076714701067,0.0576068106816539,0.795953395980829,YAL032C,PRP45,SGDID:S000000030,CDS,CDS,"""Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene""",Verified ORF
66,1,84112,-0.0388593277596802,0.0575814907639748,0.50020776822829,YAL032C,PRP45,SGDID:S000000030,CDS,CDS,"""Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene""",Verified ORF
68,1,84858,-0.027815340875632,0.0577622723011328,0.630425037094036,YAL031W-A,YAL031W-A,SGDID:S000028731,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C""",Dubious ORF
69,1,85751,-0.0503640150294202,0.0579567791412115,0.385441597087677,YAL031C,GIP4,SGDID:S000000029,CDS,CDS,"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate""",Verified ORF
70,1,87445,-0.0386181541683498,0.0581050413674958,0.50672330425634,YAL031C,GIP4,SGDID:S000000029,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate""",Verified ORF
71,1,87467,-0.0534889605945526,0.0583763787706046,0.360146914027017,YAL031C,GIP4,SGDID:S000000029,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate""",Verified ORF
72,1,89070,-0.0699542831228601,0.0579604980884963,0.228267123616101,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
73,1,89616,-0.0548319296927624,0.0576937571688624,0.3425611910194,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
74,1,89679,-0.0441728975451917,0.057726981059877,0.444661559359364,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
75,1,89880,-0.0454092387799748,0.0577389150945176,0.432126778237862,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
76,1,91472,-0.0351850448665068,0.0581883083713414,0.545783092510133,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
77,1,93789,-0.0666391431108813,0.0575093534381809,0.247340112418447,YAL028W,FRT2,SGDID:S000000026,CDS,CDS,"""Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+ ; alkaline pH ; or cell wall stress ; possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog ; FRT1 ; that arose from the whole genome duplication""",Verified ORF
78,1,94351,-0.055679625450777,0.0576942037008337,0.335164525132106,YAL028W,FRT2,SGDID:S000000026,CDS,CDS,"""Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+ ; alkaline pH ; or cell wall stress ; possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog ; FRT1 ; that arose from the whole genome duplication""",Verified ORF
79,1,99148,-0.0355942581642027,0.0575874703057977,0.536914370093695,YAL026C,DRS2,SGDID:S000000024,CDS,CDS,"""Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation ; endocytosis ; protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease""",Verified ORF
82,1,106800,-0.0012491184514591,0.0576963065635907,0.982739471988311,YAL023C,PMT2,SGDID:S000000021,CDS,CDS,"""Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog ; PMT3 ; that arose from the whole genome duplication""",Verified ORF
83,1,107970,0.0164587474830758,0.0575187407296902,0.774934287781715,YAL023C,PMT2,SGDID:S000000021,CDS,CDS,"""Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog ; PMT3 ; that arose from the whole genome duplication""",Verified ORF
84,1,109000,-0.0134377309892769,0.0576223518356117,0.815738596966385,YAL022C,FUN26,SGDID:S000000020,CDS,CDS,"""High affinity ; broad selectivity ; nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole ; contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member""",Verified ORF
85,1,112549,0.0164125716439158,0.0575549276822873,0.775686025563793,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
86,1,112742,0.0233067274585858,0.0577725000402482,0.686881673932659,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
87,1,113050,0.0459072569584116,0.057636835976712,0.426281681735664,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
88,1,113135,0.027479935148427,0.0575230766728629,0.633145043826633,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
89,1,114076,0.0274748563631506,0.0575230835454236,0.633207872674077,YAL020C,ATS1,SGDID:S000000018,CDS,CDS,"""Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex ; Kti11p ; and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p""",Verified ORF
90,1,114628,0.0246625557736646,0.0576723019968406,0.669179385880213,YAL019W-A,YAL019W-A,SGDID:S000028729,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C""",Dubious ORF
91,1,116283,-0.0346204734129205,0.0579788149638016,0.550808184101631,YAL019W,FUN30,SGDID:S000000017,CDS,CDS,"""Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus ; telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres ; as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate""",Verified ORF
93,1,127853,-0.0078813752913463,0.0578985648386539,0.891800971961931,YAL015C,NTG1,SGDID:S000000013,CDS,CDS,"""DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog ; NTG2 ; that arose from the whole genome duplication""",Verified ORF
94,1,128302,-0.0005450532155226,0.0576776740874764,0.99246545253504,YAL014C,SYN8,SGDID:S000000012,CDS,CDS,"""Endosomal SNARE related to mammalian syntaxin 8""",Verified ORF
95,1,128704,-0.007658709668553,0.057733656207911,0.894541111582216,YAL014C,SYN8,SGDID:S000000012,CDS,CDS,"""Endosomal SNARE related to mammalian syntaxin 8""",Verified ORF
96,1,128911,-0.0111331547098585,0.0577384445812766,0.847210449224341,YAL014C,SYN8,SGDID:S000000012,CDS,CDS,"""Endosomal SNARE related to mammalian syntaxin 8""",Verified ORF
97,1,130267,-0.0333581539895367,0.0576867985771481,0.563455140377164,YAL013W,DEP1,SGDID:S000000011,CDS,CDS,"""Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes ; as well as maintenance of telomeres ; mating efficiency ; and sporulation""",Verified ORF
98,1,130271,-0.0315503305140772,0.0577582077929685,0.585240247064647,YAL013W,DEP1,SGDID:S000000011,CDS,CDS,"""Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes ; as well as maintenance of telomeres ; mating efficiency ; and sporulation""",Verified ORF
99,1,130613,-0.007402314052292,0.0583212585623171,0.899073541002706,YAL012W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
100,1,132012,0.0068178120344705,0.0581976625894266,0.906808412881883,YAL011W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
101,1,133231,0.0089266290558637,0.0577838631923148,0.877317138288851,YAL011W,SWC3,SGDID:S000000009,CDS,CDS,"""Protein of unknown function; component of the SWR1 complex ; which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae""",Verified ORF
102,1,137074,0.0188610943777878,0.0576949001907741,0.743928999119521,YAL008W,FUN14,SGDID:S000000006,CDS,CDS,"""Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes ; such as alterations in mitochondrial morphology ; protein complex assembly ; and lipid profile; dosage suppressor of MDM12 ; MDM34 ; and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p ; the TOM complex ; and the TIM23 complex ; requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis""",Verified ORF
103,1,137304,0.0033149134039355,0.0577234203328204,0.954237126698942,YAL008W,FUN14,SGDID:S000000006,CDS,CDS,"""Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes ; such as alterations in mitochondrial morphology ; protein complex assembly ; and lipid profile; dosage suppressor of MDM12 ; MDM34 ; and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p ; the TOM complex ; and the TIM23 complex ; requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis""",Verified ORF
104,1,139686,0.009960132429354,0.0577971166861168,0.863277465329281,YAL005C,SSA1,SGDID:S000000004,CDS,CDS,"""ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus ; cytoplasm ; cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions ; vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils""",Verified ORF
105,1,149562,0.0010012357697273,0.0579313836531061,0.986220506281823,YAL001C,TFC3,SGDID:S000000001,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes""",Verified ORF
106,1,150447,-0.0038571687936481,0.0585736385281024,0.947533239360848,YAL001C,TFC3,SGDID:S000000001,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes""",Verified ORF
108,1,154084,0.0098574921792302,0.0587526188977414,0.866852734207382,YAR002C-A,ERP1,SGDID:S000002129,CDS,CDS,"""Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p ; Emp24p ; and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog ; ERP6 ; that arose from the whole genome duplication""",Verified ORF
110,1,157269,0.007369301941559,0.0576872707429397,0.898422948533917,YAR007C,RFA1,SGDID:S000000065,CDS,CDS,"""Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication ; repair ; and recombination; RPA protects against inappropriate telomere recombination ; and upon telomere uncapping ; prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia""",Verified ORF
111,1,160054,-0.0326608404646423,0.0582107419559343,0.575099484723383,ARS109,ARS101,SGDID:S000077372,Other features,Replication,"""ARS containing multiple redundant ORC binding sites; ORC is the acronym for origin recognition complex""",ARS
112,1,166222,-0.0112884916317041,0.0578028366348725,0.845275905057636,tA(UGC)A_NFR/NDR,,,Promoter,Promoter,,Promoter
113,1,166416,-0.00299299677093,0.0576883842051581,0.958651952257016,YAR010C,YAR010C,SGDID:S000000068,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional""",transposable_element_gene
114,1,167326,-0.0109178800482975,0.0580135118183078,0.850831563119289,YAR014C,BUD14,SGDID:S000000069,CDS,CDS,"""Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly ; cytokinesis ; and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
115,1,168836,-0.0268649480371494,0.0577237781137073,0.64192828114114,YAR014C,BUD14,SGDID:S000000069,CDS,CDS,"""Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly ; cytokinesis ; and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
116,1,171200,0.0038553270754926,0.057827593019385,0.946882691520918,YAR018C,KIN3,SGDID:S000000071,CDS,CDS,"""Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol""",Verified ORF
117,1,171431,-0.0058468449011679,0.0581881481854382,0.920018942635734,YAR018C,KIN3,SGDID:S000000071,CDS,CDS,"""Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol""",Verified ORF
118,1,173339,-0.0206569880617477,0.0577259950151733,0.720672803140569,YAR019C,CDC15,SGDID:S000000072,CDS,CDS,"""Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure ; spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress""",Verified ORF
119,1,173845,-0.0437118604377418,0.0576416709093925,0.448754751068787,YAR019C,CDC15,SGDID:S000000072,CDS,CDS,"""Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure ; spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress""",Verified ORF
120,1,175121,-0.0136781242833303,0.0575696206102652,0.812334814717124,YAR019C,CDC15,SGDID:S000000072,CDS,CDS,"""Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure ; spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress""",Verified ORF
