SNP,Chr,Pos,Effect,SE,MID2_RSN1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
33,1,39144,-0.0164685561887827,0.0854781230745163,0.847332921287695,YAL056W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
34,1,41499,0.0563269409213454,0.0851927733830676,0.508934326093766,YAL056W,GPB2,SGDID:S000000052,CDS,CDS,"""Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p ; thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog ; GPB1 ; that arose from the whole genome duplication""",Verified ORF
37,1,51248,-0.0508725809609357,0.0855655210792573,0.552528302778881,YAL051W,OAF1,SGDID:S000000048,CDS,CDS,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",Verified ORF
38,1,51462,-0.0560590018384221,0.0856724960974538,0.513318402986875,YAL051W,OAF1,SGDID:S000000048,CDS,CDS,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",Verified ORF
39,1,52124,-0.0133134704237453,0.0856054190876087,0.87649921569006,YAL049C,AIM2,SGDID:S000000047,CDS,CDS,"""Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor""",Verified ORF
40,1,52667,-0.0430867741971684,0.0854403818621519,0.614371854538656,YAL049C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
42,1,59265,0.0222936244268051,0.0854197936786379,0.794253201239512,YAL043C,PTA1,SGDID:S000000041,CDS,CDS,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",Verified ORF
43,1,60165,0.0353604343928859,0.0853427297599285,0.678880831297264,YAL043C,PTA1,SGDID:S000000041,CDS,CDS,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",Verified ORF
44,1,62308,-0.0244106646199279,0.0852596993474318,0.774809013176089,YAL042W,ERV46,SGDID:S000000040,CDS,CDS,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport""",Verified ORF
45,1,62869,0.0097482672511342,0.085257309890478,0.909033778095668,YAL041W,CDC24,SGDID:S000000039,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""",Verified ORF
49,1,66841,0.007185939132191,0.0852982128826175,0.932909478219936,YAL040C,CLN3,SGDID:S000000038,CDS,CDS,"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1""",Verified ORF
50,1,66948,-0.0238260950734306,0.0858131912220813,0.781443023852902,YAL040C,CLN3,SGDID:S000000038,CDS,CDS,"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1""",Verified ORF
51,1,68621,-0.089825572034312,0.0854564333743864,0.293919257502268,SUT003_NFR/NDR,,,Promoter,Promoter,,Promoter
52,1,69417,-0.0231997421235902,0.0853545481785762,0.785931313865153,SUT003,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
56,1,74327,0.0112972066487282,0.0858306953005027,0.895358278954486,YAL037W,YAL037W,SGDID:S000000035,CDS,CDS,"""Putative protein of unknown function; YAL037W has a paralog ; YOR342C ; that arose from the whole genome duplication""",Uncharacterized ORF
57,1,74572,0.0124142986176331,0.0856017371164379,0.884774761576679,YAL037W,YAL037W,SGDID:S000000035,CDS,CDS,"""Putative protein of unknown function; YAL037W has a paralog ; YOR342C ; that arose from the whole genome duplication""",Uncharacterized ORF
58,1,75211,-0.0075600484853098,0.0854472907592035,0.929548400830545,YAL036C,RBG1,SGDID:S000000034,CDS,CDS,"""Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p ; Ygr250cp ; Gir2p and Yap1p via two-hybrid""",Verified ORF
59,1,76030,0.036294296940755,0.0854263995984272,0.671197269151364,YAL036C,RBG1,SGDID:S000000034,CDS,CDS,"""Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p ; Ygr250cp ; Gir2p and Yap1p via two-hybrid""",Verified ORF
60,1,80108,0.0400597193479915,0.085401422576915,0.639305204722644,YAL034W-A,MTW1,SGDID:S000000032,CDS,CDS,"""Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)""",Verified ORF
61,1,81262,-0.0439110598280788,0.0853637506397626,0.607294688713031,YAL034C,FUN19,SGDID:S000002134,CDS,CDS,"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication""",Verified ORF
62,1,81999,-0.0126686344197913,0.0856016315565779,0.882431019657458,YAL034C,FUN19,SGDID:S000002134,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication""",Verified ORF
63,1,82431,0.0422691105632581,0.0859800866416418,0.623296995397848,YAL034C,FUN19,SGDID:S000002134,Close to 3'-UTR,Close to 3'-UTR,"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication""",Verified ORF
64,1,83284,0.032620379790124,0.08536598318683,0.702599430727929,YAL033W,POP5,SGDID:S000000031,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA ; while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs""",Verified ORF
65,1,83613,0.044477631273075,0.0853414011546799,0.602573073842675,YAL032C,PRP45,SGDID:S000000030,CDS,CDS,"""Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene""",Verified ORF
66,1,84112,0.0534154219236588,0.0853362921745351,0.531758620645916,YAL032C,PRP45,SGDID:S000000030,CDS,CDS,"""Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene""",Verified ORF
68,1,84858,0.0348500020925441,0.0856045226787905,0.684177847254904,YAL031W-A,YAL031W-A,SGDID:S000028731,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C""",Dubious ORF
69,1,85751,0.0250162616496146,0.0859662449444361,0.77122147166095,YAL031C,GIP4,SGDID:S000000029,CDS,CDS,"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate""",Verified ORF
70,1,87445,0.049030503732894,0.0861187737023345,0.569490345309015,YAL031C,GIP4,SGDID:S000000029,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate""",Verified ORF
71,1,87467,0.0364718912540529,0.0865875895665651,0.673855288523769,YAL031C,GIP4,SGDID:S000000029,Close to 3'-UTR,Close to 3'-UTR,"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate""",Verified ORF
72,1,89070,0.0206498554329237,0.0860602679657286,0.810511046946449,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
73,1,89616,-0.0399854956722037,0.0855778282724915,0.640615528701199,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
74,1,89679,-0.0052268477715442,0.0856146754650616,0.951353270874736,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
75,1,89880,-0.0076826546026754,0.0856358441123033,0.928566107425594,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
76,1,91472,0.0403930256037043,0.0862456919506556,0.639824572091752,YAL029C,MYO4,SGDID:S000000027,CDS,CDS,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication""",Verified ORF
77,1,93789,-0.026567513648985,0.085371927329943,0.755834324235676,YAL028W,FRT2,SGDID:S000000026,CDS,CDS,"""Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+ ; alkaline pH ; or cell wall stress ; possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog ; FRT1 ; that arose from the whole genome duplication""",Verified ORF
78,1,94351,-0.0336165855953973,0.0855896521340491,0.694730418308815,YAL028W,FRT2,SGDID:S000000026,CDS,CDS,"""Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+ ; alkaline pH ; or cell wall stress ; possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog ; FRT1 ; that arose from the whole genome duplication""",Verified ORF
79,1,99148,0.0108610217533794,0.0853816803122043,0.898850158999956,YAL026C,DRS2,SGDID:S000000024,CDS,CDS,"""Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation ; endocytosis ; protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease""",Verified ORF
82,1,106800,0.130186415945026,0.085217567022436,0.127483898863277,YAL023C,PMT2,SGDID:S000000021,CDS,CDS,"""Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog ; PMT3 ; that arose from the whole genome duplication""",Verified ORF
83,1,107970,0.083794484078579,0.0851287586261543,0.325629225921533,YAL023C,PMT2,SGDID:S000000021,CDS,CDS,"""Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog ; PMT3 ; that arose from the whole genome duplication""",Verified ORF
84,1,109000,0.127592784341218,0.0851252808698099,0.134797880407638,YAL022C,FUN26,SGDID:S000000020,CDS,CDS,"""High affinity ; broad selectivity ; nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole ; contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member""",Verified ORF
85,1,112549,0.0980399811507274,0.0851393117243947,0.250295958699606,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
86,1,112742,0.0954684090532437,0.0854805041988541,0.264820525752573,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
87,1,113050,0.0845046044325493,0.0853689381403169,0.322913084167236,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
88,1,113135,0.0500786785097876,0.0852279292289201,0.557186345454672,YAL021C,CCR4,SGDID:S000000019,CDS,CDS,"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening""",Verified ORF
89,1,114076,0.0456976025985943,0.0852349024646086,0.592201398381607,YAL020C,ATS1,SGDID:S000000018,CDS,CDS,"""Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex ; Kti11p ; and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p""",Verified ORF
90,1,114628,0.0437317707413242,0.0854536211910627,0.609138766356057,YAL019W-A,YAL019W-A,SGDID:S000028729,CDS,CDS,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C""",Dubious ORF
91,1,116283,0.0810080662015898,0.0858525764495617,0.346033873420746,YAL019W,FUN30,SGDID:S000000017,CDS,CDS,"""Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus ; telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres ; as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate""",Verified ORF
93,1,127853,-0.0559370152682535,0.0857490571071868,0.514610356312488,YAL015C,NTG1,SGDID:S000000013,CDS,CDS,"""DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog ; NTG2 ; that arose from the whole genome duplication""",Verified ORF
94,1,128302,-0.144252289941718,0.0851256116018582,0.091036778077788,YAL014C,SYN8,SGDID:S000000012,CDS,CDS,"""Endosomal SNARE related to mammalian syntaxin 8""",Verified ORF
95,1,128704,-0.138447337286178,0.0852383111392187,0.105217483000618,YAL014C,SYN8,SGDID:S000000012,CDS,CDS,"""Endosomal SNARE related to mammalian syntaxin 8""",Verified ORF
96,1,128911,-0.116544885596536,0.0853405615731707,0.17292003162552,YAL014C,SYN8,SGDID:S000000012,CDS,CDS,"""Endosomal SNARE related to mammalian syntaxin 8""",Verified ORF
97,1,130267,-0.0236803705669172,0.08551585505459,0.782009717494103,YAL013W,DEP1,SGDID:S000000011,CDS,CDS,"""Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes ; as well as maintenance of telomeres ; mating efficiency ; and sporulation""",Verified ORF
98,1,130271,-0.0165449535669394,0.0856221215215288,0.846888229645207,YAL013W,DEP1,SGDID:S000000011,CDS,CDS,"""Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes ; as well as maintenance of telomeres ; mating efficiency ; and sporulation""",Verified ORF
99,1,130613,-0.0502339292127824,0.0863854601257491,0.561268537486568,YAL012W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
100,1,132012,-0.0301447416822385,0.0862284512738482,0.726853686006664,YAL011W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
101,1,133231,-0.0400049597034713,0.0856049192983643,0.640558710078772,YAL011W,SWC3,SGDID:S000000009,CDS,CDS,"""Protein of unknown function; component of the SWR1 complex ; which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae""",Verified ORF
102,1,137074,-0.0505216306769823,0.0854673196259572,0.554816849646291,YAL008W,FUN14,SGDID:S000000006,CDS,CDS,"""Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes ; such as alterations in mitochondrial morphology ; protein complex assembly ; and lipid profile; dosage suppressor of MDM12 ; MDM34 ; and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p ; the TOM complex ; and the TIM23 complex ; requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis""",Verified ORF
103,1,137304,-0.0667855745461902,0.0854654424503207,0.435071245765928,YAL008W,FUN14,SGDID:S000000006,CDS,CDS,"""Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes ; such as alterations in mitochondrial morphology ; protein complex assembly ; and lipid profile; dosage suppressor of MDM12 ; MDM34 ; and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p ; the TOM complex ; and the TIM23 complex ; requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis""",Verified ORF
104,1,139686,-0.0426979445586536,0.0856215894866759,0.618314026666166,YAL005C,SSA1,SGDID:S000000004,CDS,CDS,"""ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus ; cytoplasm ; cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions ; vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils""",Verified ORF
105,1,149562,-0.0691011082555796,0.0857683239801321,0.420974567633982,YAL001C,TFC3,SGDID:S000000001,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes""",Verified ORF
106,1,150447,-0.0564789047671719,0.0867473138516249,0.515422425824566,YAL001C,TFC3,SGDID:S000000001,CDS,CDS,"""Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes""",Verified ORF
108,1,154084,-0.0870779391958698,0.0869441059466254,0.317252185960324,YAR002C-A,ERP1,SGDID:S000002129,CDS,CDS,"""Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p ; Emp24p ; and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog ; ERP6 ; that arose from the whole genome duplication""",Verified ORF
110,1,157269,-0.0748559632100099,0.0853944462079801,0.381305222160526,YAR007C,RFA1,SGDID:S000000065,CDS,CDS,"""Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication ; repair ; and recombination; RPA protects against inappropriate telomere recombination ; and upon telomere uncapping ; prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia""",Verified ORF
111,1,160054,-0.0459444509831392,0.0862648852296575,0.594647413403245,ARS109,ARS101,SGDID:S000077372,Other features,Replication,"""ARS containing multiple redundant ORC binding sites; ORC is the acronym for origin recognition complex""",ARS
112,1,166222,-0.0528551409478571,0.0856150381595881,0.537396541377734,tA(UGC)A_NFR/NDR,,,Promoter,Promoter,,Promoter
113,1,166416,-0.0527760010047476,0.0854411771612184,0.537179203699991,YAR010C,YAR010C,SGDID:S000000068,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional""",transposable_element_gene
114,1,167326,-0.042268675702613,0.0859436840446185,0.623153493037899,YAR014C,BUD14,SGDID:S000000069,CDS,CDS,"""Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly ; cytokinesis ; and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
115,1,168836,-0.0658408743825611,0.0854939113074232,0.44174167895008,YAR014C,BUD14,SGDID:S000000069,CDS,CDS,"""Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly ; cytokinesis ; and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
116,1,171200,-0.0063206455752221,0.0856931824465983,0.941243908909567,YAR018C,KIN3,SGDID:S000000071,CDS,CDS,"""Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol""",Verified ORF
117,1,171431,-0.0098424369614779,0.0862272430591201,0.909187483672743,YAR018C,KIN3,SGDID:S000000071,CDS,CDS,"""Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol""",Verified ORF
118,1,173339,-0.0439987699876472,0.0855262069088348,0.607260865297205,YAR019C,CDC15,SGDID:S000000072,CDS,CDS,"""Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure ; spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress""",Verified ORF
119,1,173845,-0.0347834550354668,0.0854672901982426,0.684269531541407,YAR019C,CDC15,SGDID:S000000072,CDS,CDS,"""Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure ; spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress""",Verified ORF
120,1,175121,-0.0472102016251881,0.0852808310792195,0.580213251138218,YAR019C,CDC15,SGDID:S000000072,CDS,CDS,"""Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure ; spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress""",Verified ORF
