CHR	BP	SNP	N	P	P(R)	OR	OR(R)	I	snps_class_up	locus_id	name	description
1	28975	19	62	0.1524	0.1524	0.0195	0.0195	0.0	Intergenic region	A:27969-30945		between YAL063C and ARS104
1	29283	20	62	2.683e-12	2.683e-12	-0.2134	-0.2134	0.0	Intergenic region	A:27969-30945		between YAL063C and ARS104
1	29752	21	62	1.288e-12	1.288e-12	0.2256	0.2256	0.0	Promoter	XUT_1F-15_NFR/NDR		
1	29787	22	62	1.805e-37	1.805e-37	-1.0981	-1.0981	0.0	Promoter	XUT_1F-15_NFR/NDR		
1	30057	23	62	0.005119	0.005119	0.0782	0.0782	0.0	Unstable transcript	XUT_1F-15		ncRNA_STM
1	30479	24	62	9.35e-12	9.35e-12	-0.5573	-0.5573	0.0	Unstable transcript	XUT_1F-15		ncRNA_STM
1	30706	25	62	0.4865	0.4865	0.0098	0.0098	0.0	Unstable transcript	XUT_1F-15		ncRNA_STM
1	35128	27	62	1.335e-07	1.335e-07	0.0987	0.0987	0.0	Close to 3'-UTR	YAL061W	BDH2	"""Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"""
1	35129	28	62	0.4834	0.4834	0.0132	0.0132	0.0	Close to 3'-UTR	YAL061W	BDH2	"""Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"""
1	36146	29	62	0.006357	0.006357	-0.0369	-0.0369	0.0	ORF	YAL060W	BDH1	"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"""
1	37255	30	62	0.08163	0.08163	0.0475	0.0475	0.0	Promoter	YAL058W_NFR/NDR		stable
1	37409	31	62	0.07194	0.07194	0.0245	0.0245	0.0	Promoter	YAL058W_NFR/NDR		stable
1	37478	32	62	0.5827	0.5827	0.0075	0.0075	0.0	ORF	YAL058W	CNE1	"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"""
1	39144	33	62	6.095e-05	6.095e-05	-0.0543	-0.0543	0.0	Promoter	YAL056W_NFR/NDR		stable
1	41499	34	62	5.191e-05	5.191e-05	0.0546	0.0546	0.0	ORF	YAL056W	GPB2	"""Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p ; thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog ; GPB1 ; that arose from the whole genome duplication"""
1	45359	35	62	2.4460000000000003e-28	2.4460000000000003e-28	0.2502	0.2502	0.0	Promoter	YAL054C_NFR/NDR		
1	45634	36	62	0.00742	0.00742	-0.0559	-0.0559	0.0	Promoter	YAL053W_NFR/NDR		fragile
1	51248	37	62	7.681e-12	7.681e-12	-0.0927	-0.0927	0.0	ORF	YAL051W	OAF1	"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication"""
1	51462	38	62	1.813e-11	1.813e-11	0.0912	0.0912	0.0	ORF	YAL051W	OAF1	"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication"""
1	52124	39	62	1.732e-11	1.732e-11	-0.0912	-0.0912	0.0	ORF	YAL049C	AIM2	"""Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"""
1	52667	40	62	1.4950000000000001e-25	1.4950000000000001e-25	0.1412	0.1412	0.0	Promoter	YAL049C_NFR/NDR		stable
1	55470	41	62	2.846e-18	2.846e-18	0.1211	0.1211	0.0	ORF	YAL047C	SPC72	"""Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB ; connecting nuclear microtubules to the SPB; involved in astral microtubule formation ; stabilization ; and with Stu2p ; anchoring astral MTs at the cytoplasmic face of the SPB ; and regulating plus-end MT dynamics; regulated by Cdc5 kinase"""
1	59265	42	62	0.0284	0.0284	-0.0297	-0.0297	0.0	ORF	YAL043C	PTA1	"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"""
1	60165	43	62	0.05066	0.05066	-0.0264	-0.0264	0.0	ORF	YAL043C	PTA1	"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"""
1	62308	44	62	6.958e-09	6.958e-09	-0.0782	-0.0782	0.0	ORF	YAL042W	ERV46	"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport"""
1	62869	45	62	1.128e-07	1.128e-07	-0.0716	-0.0716	0.0	ORF	YAL041W	CDC24	"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"""
1	65431	46	62	4.895e-05	4.895e-05	-0.0573	-0.0573	0.0	Close to 3'-UTR	YAL041W	CDC24	"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"""
1	65451	47	62	0.006608	0.006608	-0.0378	-0.0378	0.0	Close to 3'-UTR	YAL041W	CDC24	"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"""
1	65719	48	62	0.01801	0.01801	-0.0343	-0.0343	0.0	Close to 3'-UTR	YAL041W	CDC24	"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"""
1	66841	49	62	0.05975	0.05975	-0.0254	-0.0254	0.0	ORF	YAL040C	CLN3	"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1"""
1	66948	50	62	0.001162	0.001162	-0.0442	-0.0442	0.0	ORF	YAL040C	CLN3	"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1"""
1	68621	51	62	7.421999999999999e-24	7.421999999999999e-24	-0.1363	-0.1363	0.0	Promoter	SUT003_NFR/NDR		
1	69417	52	62	4.267e-16	4.267e-16	-0.1098	-0.1098	0.0	Unstable transcript	SUT003		ncRNA_STM
1	69820	53	62	3.684e-18	3.684e-18	-0.459	-0.459	0.0	Promoter	YAL039C_NFR/NDR		fragile
1	69821	54	62	3.461e-11	3.461e-11	-0.2174	-0.2174	0.0	Promoter	YAL039C_NFR/NDR		fragile
1	70906	55	62	0.002552	0.002552	0.0655	0.0655	0.0	Close to 3'-UTR	YAL038W	CDC19	"""Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate ; the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog ; PYK2 ; that arose from the whole genome duplication"""
1	74327	56	62	1.141e-09	1.141e-09	-0.0827	-0.0827	0.0	ORF	YAL037W	YAL037W	"""Putative protein of unknown function; YAL037W has a paralog ; YOR342C ; that arose from the whole genome duplication"""
1	74572	57	62	4.257e-08	4.257e-08	-0.0743	-0.0743	0.0	ORF	YAL037W	YAL037W	"""Putative protein of unknown function; YAL037W has a paralog ; YOR342C ; that arose from the whole genome duplication"""
1	75211	58	62	1.043e-06	1.043e-06	-0.0661	-0.0661	0.0	ORF	YAL036C	RBG1	"""Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p ; Ygr250cp ; Gir2p and Yap1p via two-hybrid"""
1	76030	59	62	0.001825	0.001825	-0.0422	-0.0422	0.0	ORF	YAL036C	RBG1	"""Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p ; Ygr250cp ; Gir2p and Yap1p via two-hybrid"""
1	80108	60	62	5.892e-19	5.892e-19	-0.1202	-0.1202	0.0	ORF	YAL034W-A	MTW1	"""Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)"""
1	81262	61	62	3.845e-16	3.845e-16	-0.11	-0.11	0.0	ORF	YAL034C	FUN19	"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication"""
1	81999	62	62	4.056e-31	4.056e-31	-0.1569	-0.1569	0.0	Close to 3'-UTR	YAL034C	FUN19	"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication"""
1	82431	63	62	1.0660000000000001e-36	1.0660000000000001e-36	-0.1718	-0.1718	0.0	Close to 3'-UTR	YAL034C	FUN19	"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication"""
1	83284	64	62	1.358e-21	1.358e-21	-0.1289	-0.1289	0.0	Close to 3'-UTR	YAL033W	POP5	"""Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA ; while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"""
1	83613	65	62	4.712e-13	4.712e-13	-0.0977	-0.0977	0.0	ORF	YAL032C	PRP45	"""Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"""
1	84112	66	62	2.884e-15	2.884e-15	-0.1067	-0.1067	0.0	ORF	YAL032C	PRP45	"""Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"""
1	84701	67	62	1.32e-07	1.32e-07	-0.0764	-0.0764	0.0	ORF	YAL031W-A	YAL031W-A	"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C"""
1	84858	68	62	0.09574	0.09574	-0.0226	-0.0226	0.0	ORF	YAL031W-A	YAL031W-A	"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C"""
1	85751	69	62	1.238e-08	1.238e-08	0.0775	0.0775	0.0	ORF	YAL031C	GIP4	"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"""
1	87445	70	62	1.003e-05	1.003e-05	-0.0603	-0.0603	0.0	Close to 3'-UTR	YAL031C	GIP4	"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"""
1	87467	71	62	8.11e-13	8.11e-13	-0.0981	-0.0981	0.0	Close to 3'-UTR	YAL031C	GIP4	"""Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"""
1	89070	72	62	1.054e-09	1.054e-09	-0.0831	-0.0831	0.0	ORF	YAL029C	MYO4	"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication"""
1	89616	73	62	0.006451	0.006451	0.0369	0.0369	0.0	ORF	YAL029C	MYO4	"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication"""
1	89679	74	62	1.143e-05	1.143e-05	-0.0595	-0.0595	0.0	ORF	YAL029C	MYO4	"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication"""
1	89880	75	62	0.0001021	0.0001021	-0.0527	-0.0527	0.0	ORF	YAL029C	MYO4	"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication"""
1	91472	76	62	0.0006958	0.0006958	-0.0464	-0.0464	0.0	ORF	YAL029C	MYO4	"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication"""
1	93789	77	62	0.001048	0.001048	-0.0443	-0.0443	0.0	ORF	YAL028W	FRT2	"""Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+ ; alkaline pH ; or cell wall stress ; possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog ; FRT1 ; that arose from the whole genome duplication"""
1	94351	78	62	2.259e-07	2.259e-07	0.0702	0.0702	0.0	ORF	YAL028W	FRT2	"""Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+ ; alkaline pH ; or cell wall stress ; possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog ; FRT1 ; that arose from the whole genome duplication"""
1	99148	79	62	7.035e-07	7.035e-07	0.0671	0.0671	0.0	ORF	YAL026C	DRS2	"""Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation ; endocytosis ; protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"""
1	101281	80	62	1.972e-12	1.972e-12	-1.0401	-1.0401	0.0	Promoter	YAL025C_NFR/NDR		fragile
1	106011	81	62	1.002e-07	1.002e-07	-0.075	-0.075	0.0	Promoter	YAL024C_NFR/NDR		stable
1	106800	82	62	1.749e-07	1.749e-07	-0.0707	-0.0707	0.0	ORF	YAL023C	PMT2	"""Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog ; PMT3 ; that arose from the whole genome duplication"""
1	107970	83	62	0.0008473	0.0008473	-0.0451	-0.0451	0.0	ORF	YAL023C	PMT2	"""Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog ; PMT3 ; that arose from the whole genome duplication"""
1	109000	84	62	3.098e-06	3.098e-06	-0.0631	-0.0631	0.0	ORF	YAL022C	FUN26	"""High affinity ; broad selectivity ; nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole ; contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"""
1	112549	85	62	1.428e-08	1.428e-08	-0.0766	-0.0766	0.0	ORF	YAL021C	CCR4	"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening"""
1	112742	86	62	0.00144	0.00144	-0.0432	-0.0432	0.0	ORF	YAL021C	CCR4	"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening"""
1	113050	87	62	0.001077	0.001077	-0.0443	-0.0443	0.0	ORF	YAL021C	CCR4	"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening"""
1	113135	88	62	1.12e-06	1.12e-06	-0.0658	-0.0658	0.0	ORF	YAL021C	CCR4	"""Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase ; which is involved in mRNA poly(A) tail shortening"""
1	114076	89	62	0.01937	0.01937	-0.0316	-0.0316	0.0	ORF	YAL020C	ATS1	"""Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex ; Kti11p ; and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"""
1	114628	90	62	0.9589	0.9589	0.0007	0.0007	0.0	ORF	YAL019W-A	YAL019W-A	"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C"""
1	116283	91	62	0.419	0.419	-0.011	-0.011	0.0	ORF	YAL019W	FUN30	"""Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus ; telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres ; as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"""
1	126880	92	62	8.324e-37	8.324e-37	3.225	3.225	0.0	Close to 3'-UTR	YAL016W	TPD3	"""Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"""
1	127853	93	62	0.000479	0.000479	-0.0475	-0.0475	0.0	ORF	YAL015C	NTG1	"""DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog ; NTG2 ; that arose from the whole genome duplication"""
1	128302	94	62	4.977e-07	4.977e-07	-0.0681	-0.0681	0.0	ORF	YAL014C	SYN8	"""Endosomal SNARE related to mammalian syntaxin 8"""
1	128704	95	62	8.019e-05	8.019e-05	-0.0535	-0.0535	0.0	ORF	YAL014C	SYN8	"""Endosomal SNARE related to mammalian syntaxin 8"""
1	128911	96	62	1.031e-09	1.031e-09	-0.0827	-0.0827	0.0	ORF	YAL014C	SYN8	"""Endosomal SNARE related to mammalian syntaxin 8"""
1	130267	97	62	0.1974	0.1974	-0.0175	-0.0175	0.0	ORF	YAL013W	DEP1	"""Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes ; as well as maintenance of telomeres ; mating efficiency ; and sporulation"""
1	130271	98	62	0.1742	0.1742	-0.0184	-0.0184	0.0	ORF	YAL013W	DEP1	"""Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes ; as well as maintenance of telomeres ; mating efficiency ; and sporulation"""
1	130613	99	62	0.0001008	0.0001008	-0.0532	-0.0532	0.0	Promoter	YAL012W_NFR/NDR		fragile
1	132012	100	62	0.0002595	0.0002595	0.0499	0.0499	0.0	Promoter	YAL011W_NFR/NDR		stable
1	133231	101	62	1.985e-07	1.985e-07	0.0705	0.0705	0.0	ORF	YAL011W	SWC3	"""Protein of unknown function; component of the SWR1 complex ; which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"""
1	137074	102	62	8.616e-07	8.616e-07	0.0666	0.0666	0.0	ORF	YAL008W	FUN14	"""Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes ; such as alterations in mitochondrial morphology ; protein complex assembly ; and lipid profile; dosage suppressor of MDM12 ; MDM34 ; and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p ; the TOM complex ; and the TIM23 complex ; requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"""
1	137304	103	62	2.525e-08	2.525e-08	0.0755	0.0755	0.0	ORF	YAL008W	FUN14	"""Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes ; such as alterations in mitochondrial morphology ; protein complex assembly ; and lipid profile; dosage suppressor of MDM12 ; MDM34 ; and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p ; the TOM complex ; and the TIM23 complex ; requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"""
1	139686	104	62	0.0008142	0.0008142	0.0454	0.0454	0.0	ORF	YAL005C	SSA1	"""ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus ; cytoplasm ; cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions ; vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"""
1	149562	105	62	5.473e-06	5.473e-06	0.0618	0.0618	0.0	ORF	YAL001C	TFC3	"""Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes"""
1	150447	106	62	0.0006261	0.0006261	0.047	0.047	0.0	ORF	YAL001C	TFC3	"""Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes"""
1	151446	107	62	0.04358	0.04358	0.0558	0.0558	0.0	Promoter	YAL001C_NFR/NDR		stable
1	154084	108	62	0.007359	0.007359	0.037	0.037	0.0	ORF	YAR002C-A	ERP1	"""Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p ; Emp24p ; and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog ; ERP6 ; that arose from the whole genome duplication"""
